,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,270460099,270460099,🦄💖🌈KezAndUnicornsYT 🌈💖🦄,kezandunicorns,"Unicorn, Candy Mountain ",,Kawaii Unicorn Anime Magical Girl Wig-Addicted YOUTUBER | #BPD #CPTSD #CRPS #Anorexia #BDD #PanicD #DissA #DPDR She/Her | https://t.co/ATguhdEJcX,https://t.co/YDX6ImrI59,"{'urls': [{'url': 'https://t.co/YDX6ImrI59', 'expanded_url': 'https://www.youtube.com/kezandunicorns', 'display_url': 'youtube.com/kezandunicorns', 'indices': [0, 23]}]}",False,982,568,120,Tue Mar 22 17:19:46 +0000 2011,4469,,,True,False,10937,,,False,False,False,FF6699,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_banners/270460099/1607604065,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
description,270460099,270460099,🦄💖🌈KezAndUnicornsYT 🌈💖🦄,kezandunicorns,"Unicorn, Candy Mountain ",,Kawaii Unicorn Anime Magical Girl Wig-Addicted YOUTUBER | #BPD #CPTSD #CRPS #Anorexia #BDD #PanicD #DissA #DPDR She/Her | https://t.co/ATguhdEJcX,https://t.co/YDX6ImrI59,"{'urls': [{'url': 'https://t.co/ATguhdEJcX', 'expanded_url': 'http://instagram.com/kezandunicorns', 'display_url': 'instagram.com/kezandunicorns', 'indices': [122, 145]}]}",False,982,568,120,Tue Mar 22 17:19:46 +0000 2011,4469,,,True,False,10937,,,False,False,False,FF6699,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_banners/270460099/1607604065,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
created_at,270460099,270460099,🦄💖🌈KezAndUnicornsYT 🌈💖🦄,kezandunicorns,"Unicorn, Candy Mountain ",,Kawaii Unicorn Anime Magical Girl Wig-Addicted YOUTUBER | #BPD #CPTSD #CRPS #Anorexia #BDD #PanicD #DissA #DPDR She/Her | https://t.co/ATguhdEJcX,https://t.co/YDX6ImrI59,,False,982,568,120,Tue Mar 22 17:19:46 +0000 2011,4469,,,True,False,10937,,Mon Dec 14 13:34:42 +0000 2020,False,False,False,FF6699,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_banners/270460099/1607604065,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
id,270460099,270460099,🦄💖🌈KezAndUnicornsYT 🌈💖🦄,kezandunicorns,"Unicorn, Candy Mountain ",,Kawaii Unicorn Anime Magical Girl Wig-Addicted YOUTUBER | #BPD #CPTSD #CRPS #Anorexia #BDD #PanicD #DissA #DPDR She/Her | https://t.co/ATguhdEJcX,https://t.co/YDX6ImrI59,,False,982,568,120,Tue Mar 22 17:19:46 +0000 2011,4469,,,True,False,10937,,1338477518408593410,False,False,False,FF6699,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_banners/270460099/1607604065,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
id_str,270460099,270460099,🦄💖🌈KezAndUnicornsYT 🌈💖🦄,kezandunicorns,"Unicorn, Candy Mountain ",,Kawaii Unicorn Anime Magical Girl Wig-Addicted YOUTUBER | #BPD #CPTSD #CRPS #Anorexia #BDD #PanicD #DissA #DPDR She/Her | https://t.co/ATguhdEJcX,https://t.co/YDX6ImrI59,,False,982,568,120,Tue Mar 22 17:19:46 +0000 2011,4469,,,True,False,10937,,1338477518408593410,False,False,False,FF6699,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_banners/270460099/1607604065,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
text,270460099,270460099,🦄💖🌈KezAndUnicornsYT 🌈💖🦄,kezandunicorns,"Unicorn, Candy Mountain ",,Kawaii Unicorn Anime Magical Girl Wig-Addicted YOUTUBER | #BPD #CPTSD #CRPS #Anorexia #BDD #PanicD #DissA #DPDR She/Her | https://t.co/ATguhdEJcX,https://t.co/YDX6ImrI59,,False,982,568,120,Tue Mar 22 17:19:46 +0000 2011,4469,,,True,False,10937,,Anime literally makes me happier than anything. I honestly don’t know think I would be here if I hadn’t discovered… https://t.co/IZFtY3K8Sv,False,False,False,FF6699,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_banners/270460099/1607604065,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
truncated,270460099,270460099,🦄💖🌈KezAndUnicornsYT 🌈💖🦄,kezandunicorns,"Unicorn, Candy Mountain ",,Kawaii Unicorn Anime Magical Girl Wig-Addicted YOUTUBER | #BPD #CPTSD #CRPS #Anorexia #BDD #PanicD #DissA #DPDR She/Her | https://t.co/ATguhdEJcX,https://t.co/YDX6ImrI59,,False,982,568,120,Tue Mar 22 17:19:46 +0000 2011,4469,,,True,False,10937,,True,False,False,False,FF6699,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_banners/270460099/1607604065,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
entities,270460099,270460099,🦄💖🌈KezAndUnicornsYT 🌈💖🦄,kezandunicorns,"Unicorn, Candy Mountain ",,Kawaii Unicorn Anime Magical Girl Wig-Addicted YOUTUBER | #BPD #CPTSD #CRPS #Anorexia #BDD #PanicD #DissA #DPDR She/Her | https://t.co/ATguhdEJcX,https://t.co/YDX6ImrI59,,False,982,568,120,Tue Mar 22 17:19:46 +0000 2011,4469,,,True,False,10937,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/IZFtY3K8Sv', 'expanded_url': 'https://twitter.com/i/web/status/1338477518408593410', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",False,False,False,FF6699,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_banners/270460099/1607604065,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
source,270460099,270460099,🦄💖🌈KezAndUnicornsYT 🌈💖🦄,kezandunicorns,"Unicorn, Candy Mountain ",,Kawaii Unicorn Anime Magical Girl Wig-Addicted YOUTUBER | #BPD #CPTSD #CRPS #Anorexia #BDD #PanicD #DissA #DPDR She/Her | https://t.co/ATguhdEJcX,https://t.co/YDX6ImrI59,,False,982,568,120,Tue Mar 22 17:19:46 +0000 2011,4469,,,True,False,10937,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,FF6699,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_banners/270460099/1607604065,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
in_reply_to_status_id,270460099,270460099,🦄💖🌈KezAndUnicornsYT 🌈💖🦄,kezandunicorns,"Unicorn, Candy Mountain ",,Kawaii Unicorn Anime Magical Girl Wig-Addicted YOUTUBER | #BPD #CPTSD #CRPS #Anorexia #BDD #PanicD #DissA #DPDR She/Her | https://t.co/ATguhdEJcX,https://t.co/YDX6ImrI59,,False,982,568,120,Tue Mar 22 17:19:46 +0000 2011,4469,,,True,False,10937,,,False,False,False,FF6699,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_banners/270460099/1607604065,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
in_reply_to_status_id_str,270460099,270460099,🦄💖🌈KezAndUnicornsYT 🌈💖🦄,kezandunicorns,"Unicorn, Candy Mountain ",,Kawaii Unicorn Anime Magical Girl Wig-Addicted YOUTUBER | #BPD #CPTSD #CRPS #Anorexia #BDD #PanicD #DissA #DPDR She/Her | https://t.co/ATguhdEJcX,https://t.co/YDX6ImrI59,,False,982,568,120,Tue Mar 22 17:19:46 +0000 2011,4469,,,True,False,10937,,,False,False,False,FF6699,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_banners/270460099/1607604065,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
