,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1201664361309310976,1201664361309310976,ᴮᴱ Lee ⁷,flowerz4tae,bts | txt | skz | en-,,14 he/they ⟭⟬ ⟬⟭,https://t.co/tS14vC2jhb,"{'urls': [{'url': 'https://t.co/tS14vC2jhb', 'expanded_url': 'https://curiouscat.qa/move2themoon', 'display_url': 'curiouscat.qa/move2themoon', 'indices': [0, 23]}]}",False,300,686,3,Tue Dec 03 00:48:16 +0000 2019,80980,,,True,False,10500,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_banners/1201664361309310976/1601239229,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
description,1201664361309310976,1201664361309310976,ᴮᴱ Lee ⁷,flowerz4tae,bts | txt | skz | en-,,14 he/they ⟭⟬ ⟬⟭,https://t.co/tS14vC2jhb,{'urls': []},False,300,686,3,Tue Dec 03 00:48:16 +0000 2019,80980,,,True,False,10500,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_banners/1201664361309310976/1601239229,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1201664361309310976,1201664361309310976,ᴮᴱ Lee ⁷,flowerz4tae,bts | txt | skz | en-,,14 he/they ⟭⟬ ⟬⟭,https://t.co/tS14vC2jhb,,False,300,686,3,Tue Dec 03 00:48:16 +0000 2019,80980,,,True,False,10500,,Tue Dec 15 01:39:11 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_banners/1201664361309310976/1601239229,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1201664361309310976,1201664361309310976,ᴮᴱ Lee ⁷,flowerz4tae,bts | txt | skz | en-,,14 he/they ⟭⟬ ⟬⟭,https://t.co/tS14vC2jhb,,False,300,686,3,Tue Dec 03 00:48:16 +0000 2019,80980,,,True,False,10500,,1338659840269426689,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_banners/1201664361309310976/1601239229,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1201664361309310976,1201664361309310976,ᴮᴱ Lee ⁷,flowerz4tae,bts | txt | skz | en-,,14 he/they ⟭⟬ ⟬⟭,https://t.co/tS14vC2jhb,,False,300,686,3,Tue Dec 03 00:48:16 +0000 2019,80980,,,True,False,10500,,1338659840269426689,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_banners/1201664361309310976/1601239229,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1201664361309310976,1201664361309310976,ᴮᴱ Lee ⁷,flowerz4tae,bts | txt | skz | en-,,14 he/they ⟭⟬ ⟬⟭,https://t.co/tS14vC2jhb,,False,300,686,3,Tue Dec 03 00:48:16 +0000 2019,80980,,,True,False,10500,,@vantestaegi JIN HELP ME https://t.co/rLtHBxnfci,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_banners/1201664361309310976/1601239229,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1201664361309310976,1201664361309310976,ᴮᴱ Lee ⁷,flowerz4tae,bts | txt | skz | en-,,14 he/they ⟭⟬ ⟬⟭,https://t.co/tS14vC2jhb,,False,300,686,3,Tue Dec 03 00:48:16 +0000 2019,80980,,,True,False,10500,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_banners/1201664361309310976/1601239229,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1201664361309310976,1201664361309310976,ᴮᴱ Lee ⁷,flowerz4tae,bts | txt | skz | en-,,14 he/they ⟭⟬ ⟬⟭,https://t.co/tS14vC2jhb,,False,300,686,3,Tue Dec 03 00:48:16 +0000 2019,80980,,,True,False,10500,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'vantestaegi', 'name': 'fatima⁷', 'id': 1076869302446370816, 'id_str': '1076869302446370816', 'indices': [0, 12]}], 'urls': [], 'media': [{'id': 1338659837878677510, 'id_str': '1338659837878677510', 'indices': [25, 48], 'media_url': 'http://pbs.twimg.com/media/EpPgB6_XMAYLvBI.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpPgB6_XMAYLvBI.jpg', 'url': 'https://t.co/rLtHBxnfci', 'display_url': 'pic.twitter.com/rLtHBxnfci', 'expanded_url': 'https://twitter.com/flowerz4tae/status/1338659840269426689/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 180, 'h': 140, 'resize': 'fit'}, 'medium': {'w': 180, 'h': 140, 'resize': 'fit'}, 'small': {'w': 180, 'h': 140, 'resize': 'fit'}, 'thumb': {'w': 140, 'h': 140, 'resize': 'crop'}}}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_banners/1201664361309310976/1601239229,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
extended_entities,1201664361309310976,1201664361309310976,ᴮᴱ Lee ⁷,flowerz4tae,bts | txt | skz | en-,,14 he/they ⟭⟬ ⟬⟭,https://t.co/tS14vC2jhb,,False,300,686,3,Tue Dec 03 00:48:16 +0000 2019,80980,,,True,False,10500,,"{'media': [{'id': 1338659837878677510, 'id_str': '1338659837878677510', 'indices': [25, 48], 'media_url': 'http://pbs.twimg.com/media/EpPgB6_XMAYLvBI.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpPgB6_XMAYLvBI.jpg', 'url': 'https://t.co/rLtHBxnfci', 'display_url': 'pic.twitter.com/rLtHBxnfci', 'expanded_url': 'https://twitter.com/flowerz4tae/status/1338659840269426689/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 180, 'h': 140, 'resize': 'fit'}, 'medium': {'w': 180, 'h': 140, 'resize': 'fit'}, 'small': {'w': 180, 'h': 140, 'resize': 'fit'}, 'thumb': {'w': 140, 'h': 140, 'resize': 'crop'}}}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_banners/1201664361309310976/1601239229,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1201664361309310976,1201664361309310976,ᴮᴱ Lee ⁷,flowerz4tae,bts | txt | skz | en-,,14 he/they ⟭⟬ ⟬⟭,https://t.co/tS14vC2jhb,,False,300,686,3,Tue Dec 03 00:48:16 +0000 2019,80980,,,True,False,10500,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_banners/1201664361309310976/1601239229,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1201664361309310976,1201664361309310976,ᴮᴱ Lee ⁷,flowerz4tae,bts | txt | skz | en-,,14 he/they ⟭⟬ ⟬⟭,https://t.co/tS14vC2jhb,,False,300,686,3,Tue Dec 03 00:48:16 +0000 2019,80980,,,True,False,10500,,1338598940585807872,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_banners/1201664361309310976/1601239229,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
