,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,753187517801852928,753187517801852928,Crypto.Crew,CryptoTickers,,,Relentless Gem Hunter 💎 | Trades only on Dex | Riding the Defi ponzi | Since 2017,,{'urls': []},False,39277,580,695,Wed Jul 13 11:21:12 +0000 2016,16814,,,True,False,10165,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1143977155661111297/SW6VAnFI_normal.png,https://pbs.twimg.com/profile_images/1143977155661111297/SW6VAnFI_normal.png,https://pbs.twimg.com/profile_banners/753187517801852928/1596300818,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none
created_at,753187517801852928,753187517801852928,Crypto.Crew,CryptoTickers,,,Relentless Gem Hunter 💎 | Trades only on Dex | Riding the Defi ponzi | Since 2017,,,False,39277,580,695,Wed Jul 13 11:21:12 +0000 2016,16814,,,True,False,10165,,Wed Dec 16 01:21:05 +0000 2020,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1143977155661111297/SW6VAnFI_normal.png,https://pbs.twimg.com/profile_images/1143977155661111297/SW6VAnFI_normal.png,https://pbs.twimg.com/profile_banners/753187517801852928/1596300818,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none
id,753187517801852928,753187517801852928,Crypto.Crew,CryptoTickers,,,Relentless Gem Hunter 💎 | Trades only on Dex | Riding the Defi ponzi | Since 2017,,,False,39277,580,695,Wed Jul 13 11:21:12 +0000 2016,16814,,,True,False,10165,,1339017673108295686,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1143977155661111297/SW6VAnFI_normal.png,https://pbs.twimg.com/profile_images/1143977155661111297/SW6VAnFI_normal.png,https://pbs.twimg.com/profile_banners/753187517801852928/1596300818,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none
id_str,753187517801852928,753187517801852928,Crypto.Crew,CryptoTickers,,,Relentless Gem Hunter 💎 | Trades only on Dex | Riding the Defi ponzi | Since 2017,,,False,39277,580,695,Wed Jul 13 11:21:12 +0000 2016,16814,,,True,False,10165,,1339017673108295686,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1143977155661111297/SW6VAnFI_normal.png,https://pbs.twimg.com/profile_images/1143977155661111297/SW6VAnFI_normal.png,https://pbs.twimg.com/profile_banners/753187517801852928/1596300818,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none
text,753187517801852928,753187517801852928,Crypto.Crew,CryptoTickers,,,Relentless Gem Hunter 💎 | Trades only on Dex | Riding the Defi ponzi | Since 2017,,,False,39277,580,695,Wed Jul 13 11:21:12 +0000 2016,16814,,,True,False,10165,,"2021 should bless us with a retirement pump, so we never look at altcoins for 4 years and come back for the next cycle",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1143977155661111297/SW6VAnFI_normal.png,https://pbs.twimg.com/profile_images/1143977155661111297/SW6VAnFI_normal.png,https://pbs.twimg.com/profile_banners/753187517801852928/1596300818,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none
truncated,753187517801852928,753187517801852928,Crypto.Crew,CryptoTickers,,,Relentless Gem Hunter 💎 | Trades only on Dex | Riding the Defi ponzi | Since 2017,,,False,39277,580,695,Wed Jul 13 11:21:12 +0000 2016,16814,,,True,False,10165,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1143977155661111297/SW6VAnFI_normal.png,https://pbs.twimg.com/profile_images/1143977155661111297/SW6VAnFI_normal.png,https://pbs.twimg.com/profile_banners/753187517801852928/1596300818,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none
entities,753187517801852928,753187517801852928,Crypto.Crew,CryptoTickers,,,Relentless Gem Hunter 💎 | Trades only on Dex | Riding the Defi ponzi | Since 2017,,,False,39277,580,695,Wed Jul 13 11:21:12 +0000 2016,16814,,,True,False,10165,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1143977155661111297/SW6VAnFI_normal.png,https://pbs.twimg.com/profile_images/1143977155661111297/SW6VAnFI_normal.png,https://pbs.twimg.com/profile_banners/753187517801852928/1596300818,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none
source,753187517801852928,753187517801852928,Crypto.Crew,CryptoTickers,,,Relentless Gem Hunter 💎 | Trades only on Dex | Riding the Defi ponzi | Since 2017,,,False,39277,580,695,Wed Jul 13 11:21:12 +0000 2016,16814,,,True,False,10165,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1143977155661111297/SW6VAnFI_normal.png,https://pbs.twimg.com/profile_images/1143977155661111297/SW6VAnFI_normal.png,https://pbs.twimg.com/profile_banners/753187517801852928/1596300818,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none
in_reply_to_status_id,753187517801852928,753187517801852928,Crypto.Crew,CryptoTickers,,,Relentless Gem Hunter 💎 | Trades only on Dex | Riding the Defi ponzi | Since 2017,,,False,39277,580,695,Wed Jul 13 11:21:12 +0000 2016,16814,,,True,False,10165,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1143977155661111297/SW6VAnFI_normal.png,https://pbs.twimg.com/profile_images/1143977155661111297/SW6VAnFI_normal.png,https://pbs.twimg.com/profile_banners/753187517801852928/1596300818,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none
in_reply_to_status_id_str,753187517801852928,753187517801852928,Crypto.Crew,CryptoTickers,,,Relentless Gem Hunter 💎 | Trades only on Dex | Riding the Defi ponzi | Since 2017,,,False,39277,580,695,Wed Jul 13 11:21:12 +0000 2016,16814,,,True,False,10165,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1143977155661111297/SW6VAnFI_normal.png,https://pbs.twimg.com/profile_images/1143977155661111297/SW6VAnFI_normal.png,https://pbs.twimg.com/profile_banners/753187517801852928/1596300818,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none
in_reply_to_user_id,753187517801852928,753187517801852928,Crypto.Crew,CryptoTickers,,,Relentless Gem Hunter 💎 | Trades only on Dex | Riding the Defi ponzi | Since 2017,,,False,39277,580,695,Wed Jul 13 11:21:12 +0000 2016,16814,,,True,False,10165,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1143977155661111297/SW6VAnFI_normal.png,https://pbs.twimg.com/profile_images/1143977155661111297/SW6VAnFI_normal.png,https://pbs.twimg.com/profile_banners/753187517801852928/1596300818,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none
