,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1189932582252752896,1189932582252752896,Ayekooto,realayekooto,,,Parody| Satire| Politics& Economics| Syvophant| Follow me at your own...|,,{'urls': []},False,13,2,0,Thu Oct 31 15:51:41 +0000 2019,20,,,False,False,614,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1323613299955671043/Y0S9rzW-_normal.jpg,https://pbs.twimg.com/profile_images/1323613299955671043/Y0S9rzW-_normal.jpg,https://pbs.twimg.com/profile_banners/1189932582252752896/1604433596,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1189932582252752896,1189932582252752896,Ayekooto,realayekooto,,,Parody| Satire| Politics& Economics| Syvophant| Follow me at your own...|,,,False,13,2,0,Thu Oct 31 15:51:41 +0000 2019,20,,,False,False,614,,Wed Dec 16 01:21:06 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1323613299955671043/Y0S9rzW-_normal.jpg,https://pbs.twimg.com/profile_images/1323613299955671043/Y0S9rzW-_normal.jpg,https://pbs.twimg.com/profile_banners/1189932582252752896/1604433596,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1189932582252752896,1189932582252752896,Ayekooto,realayekooto,,,Parody| Satire| Politics& Economics| Syvophant| Follow me at your own...|,,,False,13,2,0,Thu Oct 31 15:51:41 +0000 2019,20,,,False,False,614,,1339017676669263872,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1323613299955671043/Y0S9rzW-_normal.jpg,https://pbs.twimg.com/profile_images/1323613299955671043/Y0S9rzW-_normal.jpg,https://pbs.twimg.com/profile_banners/1189932582252752896/1604433596,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1189932582252752896,1189932582252752896,Ayekooto,realayekooto,,,Parody| Satire| Politics& Economics| Syvophant| Follow me at your own...|,,,False,13,2,0,Thu Oct 31 15:51:41 +0000 2019,20,,,False,False,614,,1339017676669263872,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1323613299955671043/Y0S9rzW-_normal.jpg,https://pbs.twimg.com/profile_images/1323613299955671043/Y0S9rzW-_normal.jpg,https://pbs.twimg.com/profile_banners/1189932582252752896/1604433596,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1189932582252752896,1189932582252752896,Ayekooto,realayekooto,,,Parody| Satire| Politics& Economics| Syvophant| Follow me at your own...|,,,False,13,2,0,Thu Oct 31 15:51:41 +0000 2019,20,,,False,False,614,,A proof that someone is working with Buhari is the ability to romanticize idiocy. https://t.co/f1Z10mCAOH,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1323613299955671043/Y0S9rzW-_normal.jpg,https://pbs.twimg.com/profile_images/1323613299955671043/Y0S9rzW-_normal.jpg,https://pbs.twimg.com/profile_banners/1189932582252752896/1604433596,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1189932582252752896,1189932582252752896,Ayekooto,realayekooto,,,Parody| Satire| Politics& Economics| Syvophant| Follow me at your own...|,,,False,13,2,0,Thu Oct 31 15:51:41 +0000 2019,20,,,False,False,614,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1323613299955671043/Y0S9rzW-_normal.jpg,https://pbs.twimg.com/profile_images/1323613299955671043/Y0S9rzW-_normal.jpg,https://pbs.twimg.com/profile_banners/1189932582252752896/1604433596,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1189932582252752896,1189932582252752896,Ayekooto,realayekooto,,,Parody| Satire| Politics& Economics| Syvophant| Follow me at your own...|,,,False,13,2,0,Thu Oct 31 15:51:41 +0000 2019,20,,,False,False,614,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/f1Z10mCAOH', 'expanded_url': 'https://twitter.com/BashirAhmaad/status/1338921005591506946', 'display_url': 'twitter.com/BashirAhmaad/s…', 'indices': [82, 105]}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1323613299955671043/Y0S9rzW-_normal.jpg,https://pbs.twimg.com/profile_images/1323613299955671043/Y0S9rzW-_normal.jpg,https://pbs.twimg.com/profile_banners/1189932582252752896/1604433596,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1189932582252752896,1189932582252752896,Ayekooto,realayekooto,,,Parody| Satire| Politics& Economics| Syvophant| Follow me at your own...|,,,False,13,2,0,Thu Oct 31 15:51:41 +0000 2019,20,,,False,False,614,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1323613299955671043/Y0S9rzW-_normal.jpg,https://pbs.twimg.com/profile_images/1323613299955671043/Y0S9rzW-_normal.jpg,https://pbs.twimg.com/profile_banners/1189932582252752896/1604433596,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1189932582252752896,1189932582252752896,Ayekooto,realayekooto,,,Parody| Satire| Politics& Economics| Syvophant| Follow me at your own...|,,,False,13,2,0,Thu Oct 31 15:51:41 +0000 2019,20,,,False,False,614,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1323613299955671043/Y0S9rzW-_normal.jpg,https://pbs.twimg.com/profile_images/1323613299955671043/Y0S9rzW-_normal.jpg,https://pbs.twimg.com/profile_banners/1189932582252752896/1604433596,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1189932582252752896,1189932582252752896,Ayekooto,realayekooto,,,Parody| Satire| Politics& Economics| Syvophant| Follow me at your own...|,,,False,13,2,0,Thu Oct 31 15:51:41 +0000 2019,20,,,False,False,614,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1323613299955671043/Y0S9rzW-_normal.jpg,https://pbs.twimg.com/profile_images/1323613299955671043/Y0S9rzW-_normal.jpg,https://pbs.twimg.com/profile_banners/1189932582252752896/1604433596,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
