,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,902602947867049984,902602947867049984,🎄,temorinki,,,"it's ok to call me tem|🇨🇱|the ceo of Rhythm Heaven|I make art|@asseMBly_needed ❤️  I Love you, and I'm proud of you",https://t.co/xcAfdvr7tt,"{'urls': [{'url': 'https://t.co/xcAfdvr7tt', 'expanded_url': 'https://ko-fi.com/temorinki', 'display_url': 'ko-fi.com/temorinki', 'indices': [0, 23]}]}",False,1124,802,14,Tue Aug 29 18:44:47 +0000 2017,66511,,,False,False,21974,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336142851927912448/ZjpfODWC_normal.jpg,https://pbs.twimg.com/profile_images/1336142851927912448/ZjpfODWC_normal.jpg,https://pbs.twimg.com/profile_banners/902602947867049984/1607135503,774466,000000,000000,000000,False,True,False,False,False,False,False,none
description,902602947867049984,902602947867049984,🎄,temorinki,,,"it's ok to call me tem|🇨🇱|the ceo of Rhythm Heaven|I make art|@asseMBly_needed ❤️  I Love you, and I'm proud of you",https://t.co/xcAfdvr7tt,{'urls': []},False,1124,802,14,Tue Aug 29 18:44:47 +0000 2017,66511,,,False,False,21974,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336142851927912448/ZjpfODWC_normal.jpg,https://pbs.twimg.com/profile_images/1336142851927912448/ZjpfODWC_normal.jpg,https://pbs.twimg.com/profile_banners/902602947867049984/1607135503,774466,000000,000000,000000,False,True,False,False,False,False,False,none
created_at,902602947867049984,902602947867049984,🎄,temorinki,,,"it's ok to call me tem|🇨🇱|the ceo of Rhythm Heaven|I make art|@asseMBly_needed ❤️  I Love you, and I'm proud of you",https://t.co/xcAfdvr7tt,,False,1124,802,14,Tue Aug 29 18:44:47 +0000 2017,66511,,,False,False,21974,,Tue Dec 15 03:13:21 +0000 2020,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336142851927912448/ZjpfODWC_normal.jpg,https://pbs.twimg.com/profile_images/1336142851927912448/ZjpfODWC_normal.jpg,https://pbs.twimg.com/profile_banners/902602947867049984/1607135503,774466,000000,000000,000000,False,True,False,False,False,False,False,none
id,902602947867049984,902602947867049984,🎄,temorinki,,,"it's ok to call me tem|🇨🇱|the ceo of Rhythm Heaven|I make art|@asseMBly_needed ❤️  I Love you, and I'm proud of you",https://t.co/xcAfdvr7tt,,False,1124,802,14,Tue Aug 29 18:44:47 +0000 2017,66511,,,False,False,21974,,1338683538384838658,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336142851927912448/ZjpfODWC_normal.jpg,https://pbs.twimg.com/profile_images/1336142851927912448/ZjpfODWC_normal.jpg,https://pbs.twimg.com/profile_banners/902602947867049984/1607135503,774466,000000,000000,000000,False,True,False,False,False,False,False,none
id_str,902602947867049984,902602947867049984,🎄,temorinki,,,"it's ok to call me tem|🇨🇱|the ceo of Rhythm Heaven|I make art|@asseMBly_needed ❤️  I Love you, and I'm proud of you",https://t.co/xcAfdvr7tt,,False,1124,802,14,Tue Aug 29 18:44:47 +0000 2017,66511,,,False,False,21974,,1338683538384838658,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336142851927912448/ZjpfODWC_normal.jpg,https://pbs.twimg.com/profile_images/1336142851927912448/ZjpfODWC_normal.jpg,https://pbs.twimg.com/profile_banners/902602947867049984/1607135503,774466,000000,000000,000000,False,True,False,False,False,False,False,none
text,902602947867049984,902602947867049984,🎄,temorinki,,,"it's ok to call me tem|🇨🇱|the ceo of Rhythm Heaven|I make art|@asseMBly_needed ❤️  I Love you, and I'm proud of you",https://t.co/xcAfdvr7tt,,False,1124,802,14,Tue Aug 29 18:44:47 +0000 2017,66511,,,False,False,21974,,RT @winteamelon: didnt draw dewey and louie 😭 https://t.co/w2Ruuaij97,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336142851927912448/ZjpfODWC_normal.jpg,https://pbs.twimg.com/profile_images/1336142851927912448/ZjpfODWC_normal.jpg,https://pbs.twimg.com/profile_banners/902602947867049984/1607135503,774466,000000,000000,000000,False,True,False,False,False,False,False,none
truncated,902602947867049984,902602947867049984,🎄,temorinki,,,"it's ok to call me tem|🇨🇱|the ceo of Rhythm Heaven|I make art|@asseMBly_needed ❤️  I Love you, and I'm proud of you",https://t.co/xcAfdvr7tt,,False,1124,802,14,Tue Aug 29 18:44:47 +0000 2017,66511,,,False,False,21974,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336142851927912448/ZjpfODWC_normal.jpg,https://pbs.twimg.com/profile_images/1336142851927912448/ZjpfODWC_normal.jpg,https://pbs.twimg.com/profile_banners/902602947867049984/1607135503,774466,000000,000000,000000,False,True,False,False,False,False,False,none
entities,902602947867049984,902602947867049984,🎄,temorinki,,,"it's ok to call me tem|🇨🇱|the ceo of Rhythm Heaven|I make art|@asseMBly_needed ❤️  I Love you, and I'm proud of you",https://t.co/xcAfdvr7tt,,False,1124,802,14,Tue Aug 29 18:44:47 +0000 2017,66511,,,False,False,21974,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'winteamelon', 'name': 'eli (working on comms)', 'id': 1005713501766029319, 'id_str': '1005713501766029319', 'indices': [3, 15]}], 'urls': [], 'media': [{'id': 1338539166447984641, 'id_str': '1338539166447984641', 'indices': [46, 69], 'media_url': 'http://pbs.twimg.com/media/EpNyR64UYAE1DvW.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpNyR64UYAE1DvW.jpg', 'url': 'https://t.co/w2Ruuaij97', 'display_url': 'pic.twitter.com/w2Ruuaij97', 'expanded_url': 'https://twitter.com/winteamelon/status/1338539287822757888/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 449, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1352, 'h': 2048, 'resize': 'fit'}, 'medium': {'w': 792, 'h': 1200, 'resize': 'fit'}}, 'source_status_id': 1338539287822757888, 'source_status_id_str': '1338539287822757888', 'source_user_id': 1005713501766029319, 'source_user_id_str': '1005713501766029319'}]}",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336142851927912448/ZjpfODWC_normal.jpg,https://pbs.twimg.com/profile_images/1336142851927912448/ZjpfODWC_normal.jpg,https://pbs.twimg.com/profile_banners/902602947867049984/1607135503,774466,000000,000000,000000,False,True,False,False,False,False,False,none
extended_entities,902602947867049984,902602947867049984,🎄,temorinki,,,"it's ok to call me tem|🇨🇱|the ceo of Rhythm Heaven|I make art|@asseMBly_needed ❤️  I Love you, and I'm proud of you",https://t.co/xcAfdvr7tt,,False,1124,802,14,Tue Aug 29 18:44:47 +0000 2017,66511,,,False,False,21974,,"{'media': [{'id': 1338539166447984641, 'id_str': '1338539166447984641', 'indices': [46, 69], 'media_url': 'http://pbs.twimg.com/media/EpNyR64UYAE1DvW.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpNyR64UYAE1DvW.jpg', 'url': 'https://t.co/w2Ruuaij97', 'display_url': 'pic.twitter.com/w2Ruuaij97', 'expanded_url': 'https://twitter.com/winteamelon/status/1338539287822757888/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 449, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1352, 'h': 2048, 'resize': 'fit'}, 'medium': {'w': 792, 'h': 1200, 'resize': 'fit'}}, 'source_status_id': 1338539287822757888, 'source_status_id_str': '1338539287822757888', 'source_user_id': 1005713501766029319, 'source_user_id_str': '1005713501766029319'}]}",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336142851927912448/ZjpfODWC_normal.jpg,https://pbs.twimg.com/profile_images/1336142851927912448/ZjpfODWC_normal.jpg,https://pbs.twimg.com/profile_banners/902602947867049984/1607135503,774466,000000,000000,000000,False,True,False,False,False,False,False,none
source,902602947867049984,902602947867049984,🎄,temorinki,,,"it's ok to call me tem|🇨🇱|the ceo of Rhythm Heaven|I make art|@asseMBly_needed ❤️  I Love you, and I'm proud of you",https://t.co/xcAfdvr7tt,,False,1124,802,14,Tue Aug 29 18:44:47 +0000 2017,66511,,,False,False,21974,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336142851927912448/ZjpfODWC_normal.jpg,https://pbs.twimg.com/profile_images/1336142851927912448/ZjpfODWC_normal.jpg,https://pbs.twimg.com/profile_banners/902602947867049984/1607135503,774466,000000,000000,000000,False,True,False,False,False,False,False,none
