,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,807832980,807832980,maybe: brie,brianapike,ca,,wingin’ it • she/her • ♓︎ ☼ | ♐︎ ☽ | ♌︎ ↑,https://t.co/mJFDygRn4M,"{'urls': [{'url': 'https://t.co/mJFDygRn4M', 'expanded_url': 'http://instagram.com/brianapike', 'display_url': 'instagram.com/brianapike', 'indices': [0, 23]}]}",False,3614,374,57,Fri Sep 07 00:01:26 +0000 2012,101251,,,True,False,64716,,,False,False,False,FAF5FA,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1316125183145435136/1s5JHYyf_normal.jpg,https://pbs.twimg.com/profile_images/1316125183145435136/1s5JHYyf_normal.jpg,https://pbs.twimg.com/profile_banners/807832980/1602623734,000000,FFFFFF,DDEEF6,333333,False,False,False,False,False,False,False,regular
description,807832980,807832980,maybe: brie,brianapike,ca,,wingin’ it • she/her • ♓︎ ☼ | ♐︎ ☽ | ♌︎ ↑,https://t.co/mJFDygRn4M,{'urls': []},False,3614,374,57,Fri Sep 07 00:01:26 +0000 2012,101251,,,True,False,64716,,,False,False,False,FAF5FA,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1316125183145435136/1s5JHYyf_normal.jpg,https://pbs.twimg.com/profile_images/1316125183145435136/1s5JHYyf_normal.jpg,https://pbs.twimg.com/profile_banners/807832980/1602623734,000000,FFFFFF,DDEEF6,333333,False,False,False,False,False,False,False,regular
created_at,807832980,807832980,maybe: brie,brianapike,ca,,wingin’ it • she/her • ♓︎ ☼ | ♐︎ ☽ | ♌︎ ↑,https://t.co/mJFDygRn4M,,False,3614,374,57,Fri Sep 07 00:01:26 +0000 2012,101251,,,True,False,64716,,Tue Dec 15 00:10:04 +0000 2020,False,False,False,FAF5FA,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1316125183145435136/1s5JHYyf_normal.jpg,https://pbs.twimg.com/profile_images/1316125183145435136/1s5JHYyf_normal.jpg,https://pbs.twimg.com/profile_banners/807832980/1602623734,000000,FFFFFF,DDEEF6,333333,False,False,False,False,False,False,False,regular
id,807832980,807832980,maybe: brie,brianapike,ca,,wingin’ it • she/her • ♓︎ ☼ | ♐︎ ☽ | ♌︎ ↑,https://t.co/mJFDygRn4M,,False,3614,374,57,Fri Sep 07 00:01:26 +0000 2012,101251,,,True,False,64716,,1338637411144802305,False,False,False,FAF5FA,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1316125183145435136/1s5JHYyf_normal.jpg,https://pbs.twimg.com/profile_images/1316125183145435136/1s5JHYyf_normal.jpg,https://pbs.twimg.com/profile_banners/807832980/1602623734,000000,FFFFFF,DDEEF6,333333,False,False,False,False,False,False,False,regular
id_str,807832980,807832980,maybe: brie,brianapike,ca,,wingin’ it • she/her • ♓︎ ☼ | ♐︎ ☽ | ♌︎ ↑,https://t.co/mJFDygRn4M,,False,3614,374,57,Fri Sep 07 00:01:26 +0000 2012,101251,,,True,False,64716,,1338637411144802305,False,False,False,FAF5FA,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1316125183145435136/1s5JHYyf_normal.jpg,https://pbs.twimg.com/profile_images/1316125183145435136/1s5JHYyf_normal.jpg,https://pbs.twimg.com/profile_banners/807832980/1602623734,000000,FFFFFF,DDEEF6,333333,False,False,False,False,False,False,False,regular
text,807832980,807832980,maybe: brie,brianapike,ca,,wingin’ it • she/her • ♓︎ ☼ | ♐︎ ☽ | ♌︎ ↑,https://t.co/mJFDygRn4M,,False,3614,374,57,Fri Sep 07 00:01:26 +0000 2012,101251,,,True,False,64716,,@sunlitblue edibles always got ur back,False,False,False,FAF5FA,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1316125183145435136/1s5JHYyf_normal.jpg,https://pbs.twimg.com/profile_images/1316125183145435136/1s5JHYyf_normal.jpg,https://pbs.twimg.com/profile_banners/807832980/1602623734,000000,FFFFFF,DDEEF6,333333,False,False,False,False,False,False,False,regular
truncated,807832980,807832980,maybe: brie,brianapike,ca,,wingin’ it • she/her • ♓︎ ☼ | ♐︎ ☽ | ♌︎ ↑,https://t.co/mJFDygRn4M,,False,3614,374,57,Fri Sep 07 00:01:26 +0000 2012,101251,,,True,False,64716,,False,False,False,False,FAF5FA,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1316125183145435136/1s5JHYyf_normal.jpg,https://pbs.twimg.com/profile_images/1316125183145435136/1s5JHYyf_normal.jpg,https://pbs.twimg.com/profile_banners/807832980/1602623734,000000,FFFFFF,DDEEF6,333333,False,False,False,False,False,False,False,regular
entities,807832980,807832980,maybe: brie,brianapike,ca,,wingin’ it • she/her • ♓︎ ☼ | ♐︎ ☽ | ♌︎ ↑,https://t.co/mJFDygRn4M,,False,3614,374,57,Fri Sep 07 00:01:26 +0000 2012,101251,,,True,False,64716,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sunlitblue', 'name': 'HOT GIRL ZO 👁', 'id': 2386552781, 'id_str': '2386552781', 'indices': [0, 11]}], 'urls': []}",False,False,False,FAF5FA,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1316125183145435136/1s5JHYyf_normal.jpg,https://pbs.twimg.com/profile_images/1316125183145435136/1s5JHYyf_normal.jpg,https://pbs.twimg.com/profile_banners/807832980/1602623734,000000,FFFFFF,DDEEF6,333333,False,False,False,False,False,False,False,regular
source,807832980,807832980,maybe: brie,brianapike,ca,,wingin’ it • she/her • ♓︎ ☼ | ♐︎ ☽ | ♌︎ ↑,https://t.co/mJFDygRn4M,,False,3614,374,57,Fri Sep 07 00:01:26 +0000 2012,101251,,,True,False,64716,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,FAF5FA,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1316125183145435136/1s5JHYyf_normal.jpg,https://pbs.twimg.com/profile_images/1316125183145435136/1s5JHYyf_normal.jpg,https://pbs.twimg.com/profile_banners/807832980/1602623734,000000,FFFFFF,DDEEF6,333333,False,False,False,False,False,False,False,regular
in_reply_to_status_id,807832980,807832980,maybe: brie,brianapike,ca,,wingin’ it • she/her • ♓︎ ☼ | ♐︎ ☽ | ♌︎ ↑,https://t.co/mJFDygRn4M,,False,3614,374,57,Fri Sep 07 00:01:26 +0000 2012,101251,,,True,False,64716,,1338635606931496961,False,False,False,FAF5FA,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1316125183145435136/1s5JHYyf_normal.jpg,https://pbs.twimg.com/profile_images/1316125183145435136/1s5JHYyf_normal.jpg,https://pbs.twimg.com/profile_banners/807832980/1602623734,000000,FFFFFF,DDEEF6,333333,False,False,False,False,False,False,False,regular
in_reply_to_status_id_str,807832980,807832980,maybe: brie,brianapike,ca,,wingin’ it • she/her • ♓︎ ☼ | ♐︎ ☽ | ♌︎ ↑,https://t.co/mJFDygRn4M,,False,3614,374,57,Fri Sep 07 00:01:26 +0000 2012,101251,,,True,False,64716,,1338635606931496961,False,False,False,FAF5FA,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1316125183145435136/1s5JHYyf_normal.jpg,https://pbs.twimg.com/profile_images/1316125183145435136/1s5JHYyf_normal.jpg,https://pbs.twimg.com/profile_banners/807832980/1602623734,000000,FFFFFF,DDEEF6,333333,False,False,False,False,False,False,False,regular
in_reply_to_user_id,807832980,807832980,maybe: brie,brianapike,ca,,wingin’ it • she/her • ♓︎ ☼ | ♐︎ ☽ | ♌︎ ↑,https://t.co/mJFDygRn4M,,False,3614,374,57,Fri Sep 07 00:01:26 +0000 2012,101251,,,True,False,64716,,2386552781,False,False,False,FAF5FA,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1316125183145435136/1s5JHYyf_normal.jpg,https://pbs.twimg.com/profile_images/1316125183145435136/1s5JHYyf_normal.jpg,https://pbs.twimg.com/profile_banners/807832980/1602623734,000000,FFFFFF,DDEEF6,333333,False,False,False,False,False,False,False,regular
in_reply_to_user_id_str,807832980,807832980,maybe: brie,brianapike,ca,,wingin’ it • she/her • ♓︎ ☼ | ♐︎ ☽ | ♌︎ ↑,https://t.co/mJFDygRn4M,,False,3614,374,57,Fri Sep 07 00:01:26 +0000 2012,101251,,,True,False,64716,,2386552781,False,False,False,FAF5FA,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1316125183145435136/1s5JHYyf_normal.jpg,https://pbs.twimg.com/profile_images/1316125183145435136/1s5JHYyf_normal.jpg,https://pbs.twimg.com/profile_banners/807832980/1602623734,000000,FFFFFF,DDEEF6,333333,False,False,False,False,False,False,False,regular
in_reply_to_screen_name,807832980,807832980,maybe: brie,brianapike,ca,,wingin’ it • she/her • ♓︎ ☼ | ♐︎ ☽ | ♌︎ ↑,https://t.co/mJFDygRn4M,,False,3614,374,57,Fri Sep 07 00:01:26 +0000 2012,101251,,,True,False,64716,,sunlitblue,False,False,False,FAF5FA,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1316125183145435136/1s5JHYyf_normal.jpg,https://pbs.twimg.com/profile_images/1316125183145435136/1s5JHYyf_normal.jpg,https://pbs.twimg.com/profile_banners/807832980/1602623734,000000,FFFFFF,DDEEF6,333333,False,False,False,False,False,False,False,regular
