,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,2343465690,2343465690,K. Banning Kellum - The King of Shlock | BLM,banningk1979,"New Orleans, LA",,"New Orleans Native | Horror Author | The King of Shlock on #Twitch | Co-host @WTBPodcast on #Spotify | Editorialist at https://t.co/J7wV7D4RZs
#BlackLivesMatter",https://t.co/H7VaLWoTkB,,False,4244,3090,45,Fri Feb 14 11:45:45 +0000 2014,9605,,,True,False,8574,,True,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1320997131692498945/5ttkvYVh_normal.jpg,https://pbs.twimg.com/profile_images/1320997131692498945/5ttkvYVh_normal.jpg,https://pbs.twimg.com/profile_banners/2343465690/1585950391,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,2343465690,2343465690,K. Banning Kellum - The King of Shlock | BLM,banningk1979,"New Orleans, LA",,"New Orleans Native | Horror Author | The King of Shlock on #Twitch | Co-host @WTBPodcast on #Spotify | Editorialist at https://t.co/J7wV7D4RZs
#BlackLivesMatter",https://t.co/H7VaLWoTkB,,False,4244,3090,45,Fri Feb 14 11:45:45 +0000 2014,9605,,,True,False,8574,,"{'hashtags': [{'text': 'twitchstream', 'indices': [7, 20]}, {'text': 'TwitchAffilate', 'indices': [56, 71]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/fEDwkDHG00', 'expanded_url': 'https://twitter.com/i/web/status/1339017658545614850', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [115, 138]}]}",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1320997131692498945/5ttkvYVh_normal.jpg,https://pbs.twimg.com/profile_images/1320997131692498945/5ttkvYVh_normal.jpg,https://pbs.twimg.com/profile_banners/2343465690/1585950391,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,2343465690,2343465690,K. Banning Kellum - The King of Shlock | BLM,banningk1979,"New Orleans, LA",,"New Orleans Native | Horror Author | The King of Shlock on #Twitch | Co-host @WTBPodcast on #Spotify | Editorialist at https://t.co/J7wV7D4RZs
#BlackLivesMatter",https://t.co/H7VaLWoTkB,,False,4244,3090,45,Fri Feb 14 11:45:45 +0000 2014,9605,,,True,False,8574,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1320997131692498945/5ttkvYVh_normal.jpg,https://pbs.twimg.com/profile_images/1320997131692498945/5ttkvYVh_normal.jpg,https://pbs.twimg.com/profile_banners/2343465690/1585950391,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,2343465690,2343465690,K. Banning Kellum - The King of Shlock | BLM,banningk1979,"New Orleans, LA",,"New Orleans Native | Horror Author | The King of Shlock on #Twitch | Co-host @WTBPodcast on #Spotify | Editorialist at https://t.co/J7wV7D4RZs
#BlackLivesMatter",https://t.co/H7VaLWoTkB,,False,4244,3090,45,Fri Feb 14 11:45:45 +0000 2014,9605,,,True,False,8574,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1320997131692498945/5ttkvYVh_normal.jpg,https://pbs.twimg.com/profile_images/1320997131692498945/5ttkvYVh_normal.jpg,https://pbs.twimg.com/profile_banners/2343465690/1585950391,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,2343465690,2343465690,K. Banning Kellum - The King of Shlock | BLM,banningk1979,"New Orleans, LA",,"New Orleans Native | Horror Author | The King of Shlock on #Twitch | Co-host @WTBPodcast on #Spotify | Editorialist at https://t.co/J7wV7D4RZs
#BlackLivesMatter",https://t.co/H7VaLWoTkB,,False,4244,3090,45,Fri Feb 14 11:45:45 +0000 2014,9605,,,True,False,8574,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1320997131692498945/5ttkvYVh_normal.jpg,https://pbs.twimg.com/profile_images/1320997131692498945/5ttkvYVh_normal.jpg,https://pbs.twimg.com/profile_banners/2343465690/1585950391,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id,2343465690,2343465690,K. Banning Kellum - The King of Shlock | BLM,banningk1979,"New Orleans, LA",,"New Orleans Native | Horror Author | The King of Shlock on #Twitch | Co-host @WTBPodcast on #Spotify | Editorialist at https://t.co/J7wV7D4RZs
#BlackLivesMatter",https://t.co/H7VaLWoTkB,,False,4244,3090,45,Fri Feb 14 11:45:45 +0000 2014,9605,,,True,False,8574,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1320997131692498945/5ttkvYVh_normal.jpg,https://pbs.twimg.com/profile_images/1320997131692498945/5ttkvYVh_normal.jpg,https://pbs.twimg.com/profile_banners/2343465690/1585950391,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id_str,2343465690,2343465690,K. Banning Kellum - The King of Shlock | BLM,banningk1979,"New Orleans, LA",,"New Orleans Native | Horror Author | The King of Shlock on #Twitch | Co-host @WTBPodcast on #Spotify | Editorialist at https://t.co/J7wV7D4RZs
#BlackLivesMatter",https://t.co/H7VaLWoTkB,,False,4244,3090,45,Fri Feb 14 11:45:45 +0000 2014,9605,,,True,False,8574,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1320997131692498945/5ttkvYVh_normal.jpg,https://pbs.twimg.com/profile_images/1320997131692498945/5ttkvYVh_normal.jpg,https://pbs.twimg.com/profile_banners/2343465690/1585950391,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_screen_name,2343465690,2343465690,K. Banning Kellum - The King of Shlock | BLM,banningk1979,"New Orleans, LA",,"New Orleans Native | Horror Author | The King of Shlock on #Twitch | Co-host @WTBPodcast on #Spotify | Editorialist at https://t.co/J7wV7D4RZs
#BlackLivesMatter",https://t.co/H7VaLWoTkB,,False,4244,3090,45,Fri Feb 14 11:45:45 +0000 2014,9605,,,True,False,8574,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1320997131692498945/5ttkvYVh_normal.jpg,https://pbs.twimg.com/profile_images/1320997131692498945/5ttkvYVh_normal.jpg,https://pbs.twimg.com/profile_banners/2343465690/1585950391,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
geo,2343465690,2343465690,K. Banning Kellum - The King of Shlock | BLM,banningk1979,"New Orleans, LA",,"New Orleans Native | Horror Author | The King of Shlock on #Twitch | Co-host @WTBPodcast on #Spotify | Editorialist at https://t.co/J7wV7D4RZs
#BlackLivesMatter",https://t.co/H7VaLWoTkB,,False,4244,3090,45,Fri Feb 14 11:45:45 +0000 2014,9605,,,True,False,8574,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1320997131692498945/5ttkvYVh_normal.jpg,https://pbs.twimg.com/profile_images/1320997131692498945/5ttkvYVh_normal.jpg,https://pbs.twimg.com/profile_banners/2343465690/1585950391,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
coordinates,2343465690,2343465690,K. Banning Kellum - The King of Shlock | BLM,banningk1979,"New Orleans, LA",,"New Orleans Native | Horror Author | The King of Shlock on #Twitch | Co-host @WTBPodcast on #Spotify | Editorialist at https://t.co/J7wV7D4RZs
#BlackLivesMatter",https://t.co/H7VaLWoTkB,,False,4244,3090,45,Fri Feb 14 11:45:45 +0000 2014,9605,,,True,False,8574,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1320997131692498945/5ttkvYVh_normal.jpg,https://pbs.twimg.com/profile_images/1320997131692498945/5ttkvYVh_normal.jpg,https://pbs.twimg.com/profile_banners/2343465690/1585950391,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
place,2343465690,2343465690,K. Banning Kellum - The King of Shlock | BLM,banningk1979,"New Orleans, LA",,"New Orleans Native | Horror Author | The King of Shlock on #Twitch | Co-host @WTBPodcast on #Spotify | Editorialist at https://t.co/J7wV7D4RZs
#BlackLivesMatter",https://t.co/H7VaLWoTkB,,False,4244,3090,45,Fri Feb 14 11:45:45 +0000 2014,9605,,,True,False,8574,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1320997131692498945/5ttkvYVh_normal.jpg,https://pbs.twimg.com/profile_images/1320997131692498945/5ttkvYVh_normal.jpg,https://pbs.twimg.com/profile_banners/2343465690/1585950391,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
contributors,2343465690,2343465690,K. Banning Kellum - The King of Shlock | BLM,banningk1979,"New Orleans, LA",,"New Orleans Native | Horror Author | The King of Shlock on #Twitch | Co-host @WTBPodcast on #Spotify | Editorialist at https://t.co/J7wV7D4RZs
#BlackLivesMatter",https://t.co/H7VaLWoTkB,,False,4244,3090,45,Fri Feb 14 11:45:45 +0000 2014,9605,,,True,False,8574,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1320997131692498945/5ttkvYVh_normal.jpg,https://pbs.twimg.com/profile_images/1320997131692498945/5ttkvYVh_normal.jpg,https://pbs.twimg.com/profile_banners/2343465690/1585950391,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
is_quote_status,2343465690,2343465690,K. Banning Kellum - The King of Shlock | BLM,banningk1979,"New Orleans, LA",,"New Orleans Native | Horror Author | The King of Shlock on #Twitch | Co-host @WTBPodcast on #Spotify | Editorialist at https://t.co/J7wV7D4RZs
#BlackLivesMatter",https://t.co/H7VaLWoTkB,,False,4244,3090,45,Fri Feb 14 11:45:45 +0000 2014,9605,,,True,False,8574,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1320997131692498945/5ttkvYVh_normal.jpg,https://pbs.twimg.com/profile_images/1320997131692498945/5ttkvYVh_normal.jpg,https://pbs.twimg.com/profile_banners/2343465690/1585950391,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweet_count,2343465690,2343465690,K. Banning Kellum - The King of Shlock | BLM,banningk1979,"New Orleans, LA",,"New Orleans Native | Horror Author | The King of Shlock on #Twitch | Co-host @WTBPodcast on #Spotify | Editorialist at https://t.co/J7wV7D4RZs
#BlackLivesMatter",https://t.co/H7VaLWoTkB,,False,4244,3090,45,Fri Feb 14 11:45:45 +0000 2014,9605,,,True,False,8574,,1,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1320997131692498945/5ttkvYVh_normal.jpg,https://pbs.twimg.com/profile_images/1320997131692498945/5ttkvYVh_normal.jpg,https://pbs.twimg.com/profile_banners/2343465690/1585950391,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorite_count,2343465690,2343465690,K. Banning Kellum - The King of Shlock | BLM,banningk1979,"New Orleans, LA",,"New Orleans Native | Horror Author | The King of Shlock on #Twitch | Co-host @WTBPodcast on #Spotify | Editorialist at https://t.co/J7wV7D4RZs
#BlackLivesMatter",https://t.co/H7VaLWoTkB,,False,4244,3090,45,Fri Feb 14 11:45:45 +0000 2014,9605,,,True,False,8574,,1,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1320997131692498945/5ttkvYVh_normal.jpg,https://pbs.twimg.com/profile_images/1320997131692498945/5ttkvYVh_normal.jpg,https://pbs.twimg.com/profile_banners/2343465690/1585950391,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorited,2343465690,2343465690,K. Banning Kellum - The King of Shlock | BLM,banningk1979,"New Orleans, LA",,"New Orleans Native | Horror Author | The King of Shlock on #Twitch | Co-host @WTBPodcast on #Spotify | Editorialist at https://t.co/J7wV7D4RZs
#BlackLivesMatter",https://t.co/H7VaLWoTkB,,False,4244,3090,45,Fri Feb 14 11:45:45 +0000 2014,9605,,,True,False,8574,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1320997131692498945/5ttkvYVh_normal.jpg,https://pbs.twimg.com/profile_images/1320997131692498945/5ttkvYVh_normal.jpg,https://pbs.twimg.com/profile_banners/2343465690/1585950391,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweeted,2343465690,2343465690,K. Banning Kellum - The King of Shlock | BLM,banningk1979,"New Orleans, LA",,"New Orleans Native | Horror Author | The King of Shlock on #Twitch | Co-host @WTBPodcast on #Spotify | Editorialist at https://t.co/J7wV7D4RZs
#BlackLivesMatter",https://t.co/H7VaLWoTkB,,False,4244,3090,45,Fri Feb 14 11:45:45 +0000 2014,9605,,,True,False,8574,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1320997131692498945/5ttkvYVh_normal.jpg,https://pbs.twimg.com/profile_images/1320997131692498945/5ttkvYVh_normal.jpg,https://pbs.twimg.com/profile_banners/2343465690/1585950391,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
possibly_sensitive,2343465690,2343465690,K. Banning Kellum - The King of Shlock | BLM,banningk1979,"New Orleans, LA",,"New Orleans Native | Horror Author | The King of Shlock on #Twitch | Co-host @WTBPodcast on #Spotify | Editorialist at https://t.co/J7wV7D4RZs
#BlackLivesMatter",https://t.co/H7VaLWoTkB,,False,4244,3090,45,Fri Feb 14 11:45:45 +0000 2014,9605,,,True,False,8574,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1320997131692498945/5ttkvYVh_normal.jpg,https://pbs.twimg.com/profile_images/1320997131692498945/5ttkvYVh_normal.jpg,https://pbs.twimg.com/profile_banners/2343465690/1585950391,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
lang,2343465690,2343465690,K. Banning Kellum - The King of Shlock | BLM,banningk1979,"New Orleans, LA",,"New Orleans Native | Horror Author | The King of Shlock on #Twitch | Co-host @WTBPodcast on #Spotify | Editorialist at https://t.co/J7wV7D4RZs
#BlackLivesMatter",https://t.co/H7VaLWoTkB,,False,4244,3090,45,Fri Feb 14 11:45:45 +0000 2014,9605,,,True,False,8574,,en,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1320997131692498945/5ttkvYVh_normal.jpg,https://pbs.twimg.com/profile_images/1320997131692498945/5ttkvYVh_normal.jpg,https://pbs.twimg.com/profile_banners/2343465690/1585950391,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
