,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1287564775564615680,1287564775564615680,Ellie ♡ OnHo Month 💙,ojkmt010215,• a boat fishing with onew ,,Is this the type of reality you wanted? -Kim JongHyun ● 5HINee || just breathe • 2009 Shawol🇵🇭 uwu • そばにいるよ ずっと || multi suju•nct•exo•rv•,,{'urls': []},False,276,463,5,Mon Jul 27 01:45:51 +0000 2020,6403,,,False,False,5582,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1302871129615405056/GgxFHH8U_normal.jpg,https://pbs.twimg.com/profile_images/1302871129615405056/GgxFHH8U_normal.jpg,https://pbs.twimg.com/profile_banners/1287564775564615680/1595815347,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1287564775564615680,1287564775564615680,Ellie ♡ OnHo Month 💙,ojkmt010215,• a boat fishing with onew ,,Is this the type of reality you wanted? -Kim JongHyun ● 5HINee || just breathe • 2009 Shawol🇵🇭 uwu • そばにいるよ ずっと || multi suju•nct•exo•rv•,,,False,276,463,5,Mon Jul 27 01:45:51 +0000 2020,6403,,,False,False,5582,,Tue Dec 15 13:39:27 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1302871129615405056/GgxFHH8U_normal.jpg,https://pbs.twimg.com/profile_images/1302871129615405056/GgxFHH8U_normal.jpg,https://pbs.twimg.com/profile_banners/1287564775564615680/1595815347,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1287564775564615680,1287564775564615680,Ellie ♡ OnHo Month 💙,ojkmt010215,• a boat fishing with onew ,,Is this the type of reality you wanted? -Kim JongHyun ● 5HINee || just breathe • 2009 Shawol🇵🇭 uwu • そばにいるよ ずっと || multi suju•nct•exo•rv•,,,False,276,463,5,Mon Jul 27 01:45:51 +0000 2020,6403,,,False,False,5582,,1338841099956146178,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1302871129615405056/GgxFHH8U_normal.jpg,https://pbs.twimg.com/profile_images/1302871129615405056/GgxFHH8U_normal.jpg,https://pbs.twimg.com/profile_banners/1287564775564615680/1595815347,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1287564775564615680,1287564775564615680,Ellie ♡ OnHo Month 💙,ojkmt010215,• a boat fishing with onew ,,Is this the type of reality you wanted? -Kim JongHyun ● 5HINee || just breathe • 2009 Shawol🇵🇭 uwu • そばにいるよ ずっと || multi suju•nct•exo•rv•,,,False,276,463,5,Mon Jul 27 01:45:51 +0000 2020,6403,,,False,False,5582,,1338841099956146178,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1302871129615405056/GgxFHH8U_normal.jpg,https://pbs.twimg.com/profile_images/1302871129615405056/GgxFHH8U_normal.jpg,https://pbs.twimg.com/profile_banners/1287564775564615680/1595815347,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1287564775564615680,1287564775564615680,Ellie ♡ OnHo Month 💙,ojkmt010215,• a boat fishing with onew ,,Is this the type of reality you wanted? -Kim JongHyun ● 5HINee || just breathe • 2009 Shawol🇵🇭 uwu • そばにいるよ ずっと || multi suju•nct•exo•rv•,,,False,276,463,5,Mon Jul 27 01:45:51 +0000 2020,6403,,,False,False,5582,,"It was just like yesterday we were flipping dalgona coffees, what do you mean there are less than 3 weeks left in this year?",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1302871129615405056/GgxFHH8U_normal.jpg,https://pbs.twimg.com/profile_images/1302871129615405056/GgxFHH8U_normal.jpg,https://pbs.twimg.com/profile_banners/1287564775564615680/1595815347,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1287564775564615680,1287564775564615680,Ellie ♡ OnHo Month 💙,ojkmt010215,• a boat fishing with onew ,,Is this the type of reality you wanted? -Kim JongHyun ● 5HINee || just breathe • 2009 Shawol🇵🇭 uwu • そばにいるよ ずっと || multi suju•nct•exo•rv•,,,False,276,463,5,Mon Jul 27 01:45:51 +0000 2020,6403,,,False,False,5582,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1302871129615405056/GgxFHH8U_normal.jpg,https://pbs.twimg.com/profile_images/1302871129615405056/GgxFHH8U_normal.jpg,https://pbs.twimg.com/profile_banners/1287564775564615680/1595815347,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1287564775564615680,1287564775564615680,Ellie ♡ OnHo Month 💙,ojkmt010215,• a boat fishing with onew ,,Is this the type of reality you wanted? -Kim JongHyun ● 5HINee || just breathe • 2009 Shawol🇵🇭 uwu • そばにいるよ ずっと || multi suju•nct•exo•rv•,,,False,276,463,5,Mon Jul 27 01:45:51 +0000 2020,6403,,,False,False,5582,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1302871129615405056/GgxFHH8U_normal.jpg,https://pbs.twimg.com/profile_images/1302871129615405056/GgxFHH8U_normal.jpg,https://pbs.twimg.com/profile_banners/1287564775564615680/1595815347,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1287564775564615680,1287564775564615680,Ellie ♡ OnHo Month 💙,ojkmt010215,• a boat fishing with onew ,,Is this the type of reality you wanted? -Kim JongHyun ● 5HINee || just breathe • 2009 Shawol🇵🇭 uwu • そばにいるよ ずっと || multi suju•nct•exo•rv•,,,False,276,463,5,Mon Jul 27 01:45:51 +0000 2020,6403,,,False,False,5582,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1302871129615405056/GgxFHH8U_normal.jpg,https://pbs.twimg.com/profile_images/1302871129615405056/GgxFHH8U_normal.jpg,https://pbs.twimg.com/profile_banners/1287564775564615680/1595815347,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1287564775564615680,1287564775564615680,Ellie ♡ OnHo Month 💙,ojkmt010215,• a boat fishing with onew ,,Is this the type of reality you wanted? -Kim JongHyun ● 5HINee || just breathe • 2009 Shawol🇵🇭 uwu • そばにいるよ ずっと || multi suju•nct•exo•rv•,,,False,276,463,5,Mon Jul 27 01:45:51 +0000 2020,6403,,,False,False,5582,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1302871129615405056/GgxFHH8U_normal.jpg,https://pbs.twimg.com/profile_images/1302871129615405056/GgxFHH8U_normal.jpg,https://pbs.twimg.com/profile_banners/1287564775564615680/1595815347,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1287564775564615680,1287564775564615680,Ellie ♡ OnHo Month 💙,ojkmt010215,• a boat fishing with onew ,,Is this the type of reality you wanted? -Kim JongHyun ● 5HINee || just breathe • 2009 Shawol🇵🇭 uwu • そばにいるよ ずっと || multi suju•nct•exo•rv•,,,False,276,463,5,Mon Jul 27 01:45:51 +0000 2020,6403,,,False,False,5582,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1302871129615405056/GgxFHH8U_normal.jpg,https://pbs.twimg.com/profile_images/1302871129615405056/GgxFHH8U_normal.jpg,https://pbs.twimg.com/profile_banners/1287564775564615680/1595815347,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id,1287564775564615680,1287564775564615680,Ellie ♡ OnHo Month 💙,ojkmt010215,• a boat fishing with onew ,,Is this the type of reality you wanted? -Kim JongHyun ● 5HINee || just breathe • 2009 Shawol🇵🇭 uwu • そばにいるよ ずっと || multi suju•nct•exo•rv•,,,False,276,463,5,Mon Jul 27 01:45:51 +0000 2020,6403,,,False,False,5582,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1302871129615405056/GgxFHH8U_normal.jpg,https://pbs.twimg.com/profile_images/1302871129615405056/GgxFHH8U_normal.jpg,https://pbs.twimg.com/profile_banners/1287564775564615680/1595815347,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id_str,1287564775564615680,1287564775564615680,Ellie ♡ OnHo Month 💙,ojkmt010215,• a boat fishing with onew ,,Is this the type of reality you wanted? -Kim JongHyun ● 5HINee || just breathe • 2009 Shawol🇵🇭 uwu • そばにいるよ ずっと || multi suju•nct•exo•rv•,,,False,276,463,5,Mon Jul 27 01:45:51 +0000 2020,6403,,,False,False,5582,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1302871129615405056/GgxFHH8U_normal.jpg,https://pbs.twimg.com/profile_images/1302871129615405056/GgxFHH8U_normal.jpg,https://pbs.twimg.com/profile_banners/1287564775564615680/1595815347,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
