,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1287460438557560834,1287460438557560834,❄️ Anna ❄️,annalowcal,ugw: 55kg cw: 80kg,,she/her | 22 | 5’7” | tw eating disorder,https://t.co/YoNzN0WDAy,"{'urls': [{'url': 'https://t.co/YoNzN0WDAy', 'expanded_url': 'https://annalowcal.carrd.co/', 'display_url': 'annalowcal.carrd.co', 'indices': [0, 23]}]}",False,237,354,0,Sun Jul 26 18:51:13 +0000 2020,219,,,False,False,1204,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333700593597214720/aH7qBTmq_normal.jpg,https://pbs.twimg.com/profile_images/1333700593597214720/aH7qBTmq_normal.jpg,https://pbs.twimg.com/profile_banners/1287460438557560834/1606813964,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
description,1287460438557560834,1287460438557560834,❄️ Anna ❄️,annalowcal,ugw: 55kg cw: 80kg,,she/her | 22 | 5’7” | tw eating disorder,https://t.co/YoNzN0WDAy,{'urls': []},False,237,354,0,Sun Jul 26 18:51:13 +0000 2020,219,,,False,False,1204,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333700593597214720/aH7qBTmq_normal.jpg,https://pbs.twimg.com/profile_images/1333700593597214720/aH7qBTmq_normal.jpg,https://pbs.twimg.com/profile_banners/1287460438557560834/1606813964,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1287460438557560834,1287460438557560834,❄️ Anna ❄️,annalowcal,ugw: 55kg cw: 80kg,,she/her | 22 | 5’7” | tw eating disorder,https://t.co/YoNzN0WDAy,,False,237,354,0,Sun Jul 26 18:51:13 +0000 2020,219,,,False,False,1204,,Tue Dec 15 00:53:05 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333700593597214720/aH7qBTmq_normal.jpg,https://pbs.twimg.com/profile_images/1333700593597214720/aH7qBTmq_normal.jpg,https://pbs.twimg.com/profile_banners/1287460438557560834/1606813964,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1287460438557560834,1287460438557560834,❄️ Anna ❄️,annalowcal,ugw: 55kg cw: 80kg,,she/her | 22 | 5’7” | tw eating disorder,https://t.co/YoNzN0WDAy,,False,237,354,0,Sun Jul 26 18:51:13 +0000 2020,219,,,False,False,1204,,1338648238434430976,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333700593597214720/aH7qBTmq_normal.jpg,https://pbs.twimg.com/profile_images/1333700593597214720/aH7qBTmq_normal.jpg,https://pbs.twimg.com/profile_banners/1287460438557560834/1606813964,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1287460438557560834,1287460438557560834,❄️ Anna ❄️,annalowcal,ugw: 55kg cw: 80kg,,she/her | 22 | 5’7” | tw eating disorder,https://t.co/YoNzN0WDAy,,False,237,354,0,Sun Jul 26 18:51:13 +0000 2020,219,,,False,False,1204,,1338648238434430976,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333700593597214720/aH7qBTmq_normal.jpg,https://pbs.twimg.com/profile_images/1333700593597214720/aH7qBTmq_normal.jpg,https://pbs.twimg.com/profile_banners/1287460438557560834/1606813964,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1287460438557560834,1287460438557560834,❄️ Anna ❄️,annalowcal,ugw: 55kg cw: 80kg,,she/her | 22 | 5’7” | tw eating disorder,https://t.co/YoNzN0WDAy,,False,237,354,0,Sun Jul 26 18:51:13 +0000 2020,219,,,False,False,1204,,RT @skinnysagi: TELLING SOMEONE WITH ED THAT THEYLL JUST END UP GAINING BACK WEIGHT OR EVEN GAIN MORE THAN THERE ORIGINAL WEIGHT IS NOT THE…,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333700593597214720/aH7qBTmq_normal.jpg,https://pbs.twimg.com/profile_images/1333700593597214720/aH7qBTmq_normal.jpg,https://pbs.twimg.com/profile_banners/1287460438557560834/1606813964,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1287460438557560834,1287460438557560834,❄️ Anna ❄️,annalowcal,ugw: 55kg cw: 80kg,,she/her | 22 | 5’7” | tw eating disorder,https://t.co/YoNzN0WDAy,,False,237,354,0,Sun Jul 26 18:51:13 +0000 2020,219,,,False,False,1204,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333700593597214720/aH7qBTmq_normal.jpg,https://pbs.twimg.com/profile_images/1333700593597214720/aH7qBTmq_normal.jpg,https://pbs.twimg.com/profile_banners/1287460438557560834/1606813964,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1287460438557560834,1287460438557560834,❄️ Anna ❄️,annalowcal,ugw: 55kg cw: 80kg,,she/her | 22 | 5’7” | tw eating disorder,https://t.co/YoNzN0WDAy,,False,237,354,0,Sun Jul 26 18:51:13 +0000 2020,219,,,False,False,1204,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'skinnysagi', 'name': 'usagi🌸', 'id': 1280349775842275328, 'id_str': '1280349775842275328', 'indices': [3, 14]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333700593597214720/aH7qBTmq_normal.jpg,https://pbs.twimg.com/profile_images/1333700593597214720/aH7qBTmq_normal.jpg,https://pbs.twimg.com/profile_banners/1287460438557560834/1606813964,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1287460438557560834,1287460438557560834,❄️ Anna ❄️,annalowcal,ugw: 55kg cw: 80kg,,she/her | 22 | 5’7” | tw eating disorder,https://t.co/YoNzN0WDAy,,False,237,354,0,Sun Jul 26 18:51:13 +0000 2020,219,,,False,False,1204,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333700593597214720/aH7qBTmq_normal.jpg,https://pbs.twimg.com/profile_images/1333700593597214720/aH7qBTmq_normal.jpg,https://pbs.twimg.com/profile_banners/1287460438557560834/1606813964,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1287460438557560834,1287460438557560834,❄️ Anna ❄️,annalowcal,ugw: 55kg cw: 80kg,,she/her | 22 | 5’7” | tw eating disorder,https://t.co/YoNzN0WDAy,,False,237,354,0,Sun Jul 26 18:51:13 +0000 2020,219,,,False,False,1204,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333700593597214720/aH7qBTmq_normal.jpg,https://pbs.twimg.com/profile_images/1333700593597214720/aH7qBTmq_normal.jpg,https://pbs.twimg.com/profile_banners/1287460438557560834/1606813964,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
