,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,3227109748,3227109748,Chieh_plays,Chieh_Plays,,,| failed artist | f | 21 | loves videogames and anime | plays Roblox |,,{'urls': []},False,55,192,0,Fri May 01 21:54:02 +0000 2015,2173,,,False,False,2731,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1315522936221184000/oAwrRqfY_normal.jpg,https://pbs.twimg.com/profile_images/1315522936221184000/oAwrRqfY_normal.jpg,https://pbs.twimg.com/profile_banners/3227109748/1595851403,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
created_at,3227109748,3227109748,Chieh_plays,Chieh_Plays,,,| failed artist | f | 21 | loves videogames and anime | plays Roblox |,,,False,55,192,0,Fri May 01 21:54:02 +0000 2015,2173,,,False,False,2731,,Wed Dec 16 01:24:10 +0000 2020,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1315522936221184000/oAwrRqfY_normal.jpg,https://pbs.twimg.com/profile_images/1315522936221184000/oAwrRqfY_normal.jpg,https://pbs.twimg.com/profile_banners/3227109748/1595851403,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
id,3227109748,3227109748,Chieh_plays,Chieh_Plays,,,| failed artist | f | 21 | loves videogames and anime | plays Roblox |,,,False,55,192,0,Fri May 01 21:54:02 +0000 2015,2173,,,False,False,2731,,1339018447993376769,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1315522936221184000/oAwrRqfY_normal.jpg,https://pbs.twimg.com/profile_images/1315522936221184000/oAwrRqfY_normal.jpg,https://pbs.twimg.com/profile_banners/3227109748/1595851403,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
id_str,3227109748,3227109748,Chieh_plays,Chieh_Plays,,,| failed artist | f | 21 | loves videogames and anime | plays Roblox |,,,False,55,192,0,Fri May 01 21:54:02 +0000 2015,2173,,,False,False,2731,,1339018447993376769,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1315522936221184000/oAwrRqfY_normal.jpg,https://pbs.twimg.com/profile_images/1315522936221184000/oAwrRqfY_normal.jpg,https://pbs.twimg.com/profile_banners/3227109748/1595851403,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
text,3227109748,3227109748,Chieh_plays,Chieh_Plays,,,| failed artist | f | 21 | loves videogames and anime | plays Roblox |,,,False,55,192,0,Fri May 01 21:54:02 +0000 2015,2173,,,False,False,2731,,@EliteDreamStar @SharkBloxYT @greenlegocats @KonekoKittenYT @Roblox I got the same Problem...since days....only ans… https://t.co/LMm6YAvFyJ,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1315522936221184000/oAwrRqfY_normal.jpg,https://pbs.twimg.com/profile_images/1315522936221184000/oAwrRqfY_normal.jpg,https://pbs.twimg.com/profile_banners/3227109748/1595851403,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
truncated,3227109748,3227109748,Chieh_plays,Chieh_Plays,,,| failed artist | f | 21 | loves videogames and anime | plays Roblox |,,,False,55,192,0,Fri May 01 21:54:02 +0000 2015,2173,,,False,False,2731,,True,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1315522936221184000/oAwrRqfY_normal.jpg,https://pbs.twimg.com/profile_images/1315522936221184000/oAwrRqfY_normal.jpg,https://pbs.twimg.com/profile_banners/3227109748/1595851403,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
entities,3227109748,3227109748,Chieh_plays,Chieh_Plays,,,| failed artist | f | 21 | loves videogames and anime | plays Roblox |,,,False,55,192,0,Fri May 01 21:54:02 +0000 2015,2173,,,False,False,2731,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'EliteDreamStar', 'name': 'Space', 'id': 2914227966, 'id_str': '2914227966', 'indices': [0, 15]}, {'screen_name': 'SharkBloxYT', 'name': 'SharkBlox🦈', 'id': 985359254184964096, 'id_str': '985359254184964096', 'indices': [16, 28]}, {'screen_name': 'greenlegocats', 'name': 'Lord CowCow', 'id': 828495957964656642, 'id_str': '828495957964656642', 'indices': [29, 43]}, {'screen_name': 'KonekoKittenYT', 'name': 'Kitten✨', 'id': 740824468541571072, 'id_str': '740824468541571072', 'indices': [44, 59]}, {'screen_name': 'Roblox', 'name': 'Roblox', 'id': 16745055, 'id_str': '16745055', 'indices': [60, 67]}], 'urls': [{'url': 'https://t.co/LMm6YAvFyJ', 'expanded_url': 'https://twitter.com/i/web/status/1339018447993376769', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1315522936221184000/oAwrRqfY_normal.jpg,https://pbs.twimg.com/profile_images/1315522936221184000/oAwrRqfY_normal.jpg,https://pbs.twimg.com/profile_banners/3227109748/1595851403,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
source,3227109748,3227109748,Chieh_plays,Chieh_Plays,,,| failed artist | f | 21 | loves videogames and anime | plays Roblox |,,,False,55,192,0,Fri May 01 21:54:02 +0000 2015,2173,,,False,False,2731,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1315522936221184000/oAwrRqfY_normal.jpg,https://pbs.twimg.com/profile_images/1315522936221184000/oAwrRqfY_normal.jpg,https://pbs.twimg.com/profile_banners/3227109748/1595851403,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_status_id,3227109748,3227109748,Chieh_plays,Chieh_Plays,,,| failed artist | f | 21 | loves videogames and anime | plays Roblox |,,,False,55,192,0,Fri May 01 21:54:02 +0000 2015,2173,,,False,False,2731,,1338686587199221760,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1315522936221184000/oAwrRqfY_normal.jpg,https://pbs.twimg.com/profile_images/1315522936221184000/oAwrRqfY_normal.jpg,https://pbs.twimg.com/profile_banners/3227109748/1595851403,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_status_id_str,3227109748,3227109748,Chieh_plays,Chieh_Plays,,,| failed artist | f | 21 | loves videogames and anime | plays Roblox |,,,False,55,192,0,Fri May 01 21:54:02 +0000 2015,2173,,,False,False,2731,,1338686587199221760,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1315522936221184000/oAwrRqfY_normal.jpg,https://pbs.twimg.com/profile_images/1315522936221184000/oAwrRqfY_normal.jpg,https://pbs.twimg.com/profile_banners/3227109748/1595851403,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_user_id,3227109748,3227109748,Chieh_plays,Chieh_Plays,,,| failed artist | f | 21 | loves videogames and anime | plays Roblox |,,,False,55,192,0,Fri May 01 21:54:02 +0000 2015,2173,,,False,False,2731,,2914227966,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1315522936221184000/oAwrRqfY_normal.jpg,https://pbs.twimg.com/profile_images/1315522936221184000/oAwrRqfY_normal.jpg,https://pbs.twimg.com/profile_banners/3227109748/1595851403,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
