,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,928804708487237632,928804708487237632,3dward/Amb3r,TWR_Douglas_10,"Minnesota, USA",,18 | Bi & Demiboy | Taken | VA | artist | custom maker | writer | composer | TTTE | TWR & TOMY | creator & owner of NWS & WW | PS editor | Banner by Crutch |,https://t.co/FBzWyu7Iks,"{'urls': [{'url': 'https://t.co/FBzWyu7Iks', 'expanded_url': 'https://m.youtube.com/channel/UCTd8zk0LXPkCGS4PhdNbfoA', 'display_url': 'm.youtube.com/channel/UCTd8z…', 'indices': [0, 23]}]}",False,637,400,2,Fri Nov 10 02:01:13 +0000 2017,12925,,,False,False,16568,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338653657794043913/4ETvxCnk_normal.jpg,https://pbs.twimg.com/profile_images/1338653657794043913/4ETvxCnk_normal.jpg,https://pbs.twimg.com/profile_banners/928804708487237632/1607724884,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
description,928804708487237632,928804708487237632,3dward/Amb3r,TWR_Douglas_10,"Minnesota, USA",,18 | Bi & Demiboy | Taken | VA | artist | custom maker | writer | composer | TTTE | TWR & TOMY | creator & owner of NWS & WW | PS editor | Banner by Crutch |,https://t.co/FBzWyu7Iks,{'urls': []},False,637,400,2,Fri Nov 10 02:01:13 +0000 2017,12925,,,False,False,16568,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338653657794043913/4ETvxCnk_normal.jpg,https://pbs.twimg.com/profile_images/1338653657794043913/4ETvxCnk_normal.jpg,https://pbs.twimg.com/profile_banners/928804708487237632/1607724884,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,928804708487237632,928804708487237632,3dward/Amb3r,TWR_Douglas_10,"Minnesota, USA",,18 | Bi & Demiboy | Taken | VA | artist | custom maker | writer | composer | TTTE | TWR & TOMY | creator & owner of NWS & WW | PS editor | Banner by Crutch |,https://t.co/FBzWyu7Iks,,False,637,400,2,Fri Nov 10 02:01:13 +0000 2017,12925,,,False,False,16568,,Tue Dec 15 04:38:07 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338653657794043913/4ETvxCnk_normal.jpg,https://pbs.twimg.com/profile_images/1338653657794043913/4ETvxCnk_normal.jpg,https://pbs.twimg.com/profile_banners/928804708487237632/1607724884,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,928804708487237632,928804708487237632,3dward/Amb3r,TWR_Douglas_10,"Minnesota, USA",,18 | Bi & Demiboy | Taken | VA | artist | custom maker | writer | composer | TTTE | TWR & TOMY | creator & owner of NWS & WW | PS editor | Banner by Crutch |,https://t.co/FBzWyu7Iks,,False,637,400,2,Fri Nov 10 02:01:13 +0000 2017,12925,,,False,False,16568,,1338704870577205249,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338653657794043913/4ETvxCnk_normal.jpg,https://pbs.twimg.com/profile_images/1338653657794043913/4ETvxCnk_normal.jpg,https://pbs.twimg.com/profile_banners/928804708487237632/1607724884,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,928804708487237632,928804708487237632,3dward/Amb3r,TWR_Douglas_10,"Minnesota, USA",,18 | Bi & Demiboy | Taken | VA | artist | custom maker | writer | composer | TTTE | TWR & TOMY | creator & owner of NWS & WW | PS editor | Banner by Crutch |,https://t.co/FBzWyu7Iks,,False,637,400,2,Fri Nov 10 02:01:13 +0000 2017,12925,,,False,False,16568,,1338704870577205249,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338653657794043913/4ETvxCnk_normal.jpg,https://pbs.twimg.com/profile_images/1338653657794043913/4ETvxCnk_normal.jpg,https://pbs.twimg.com/profile_banners/928804708487237632/1607724884,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,928804708487237632,928804708487237632,3dward/Amb3r,TWR_Douglas_10,"Minnesota, USA",,18 | Bi & Demiboy | Taken | VA | artist | custom maker | writer | composer | TTTE | TWR & TOMY | creator & owner of NWS & WW | PS editor | Banner by Crutch |,https://t.co/FBzWyu7Iks,,False,637,400,2,Fri Nov 10 02:01:13 +0000 2017,12925,,,False,False,16568,,13 people followed me and 2 people unfollowed me // automatically checked by https://t.co/bXtoEjmu4s,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338653657794043913/4ETvxCnk_normal.jpg,https://pbs.twimg.com/profile_images/1338653657794043913/4ETvxCnk_normal.jpg,https://pbs.twimg.com/profile_banners/928804708487237632/1607724884,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,928804708487237632,928804708487237632,3dward/Amb3r,TWR_Douglas_10,"Minnesota, USA",,18 | Bi & Demiboy | Taken | VA | artist | custom maker | writer | composer | TTTE | TWR & TOMY | creator & owner of NWS & WW | PS editor | Banner by Crutch |,https://t.co/FBzWyu7Iks,,False,637,400,2,Fri Nov 10 02:01:13 +0000 2017,12925,,,False,False,16568,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338653657794043913/4ETvxCnk_normal.jpg,https://pbs.twimg.com/profile_images/1338653657794043913/4ETvxCnk_normal.jpg,https://pbs.twimg.com/profile_banners/928804708487237632/1607724884,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,928804708487237632,928804708487237632,3dward/Amb3r,TWR_Douglas_10,"Minnesota, USA",,18 | Bi & Demiboy | Taken | VA | artist | custom maker | writer | composer | TTTE | TWR & TOMY | creator & owner of NWS & WW | PS editor | Banner by Crutch |,https://t.co/FBzWyu7Iks,,False,637,400,2,Fri Nov 10 02:01:13 +0000 2017,12925,,,False,False,16568,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/bXtoEjmu4s', 'expanded_url': 'http://fllwrs.com', 'display_url': 'fllwrs.com', 'indices': [77, 100]}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338653657794043913/4ETvxCnk_normal.jpg,https://pbs.twimg.com/profile_images/1338653657794043913/4ETvxCnk_normal.jpg,https://pbs.twimg.com/profile_banners/928804708487237632/1607724884,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,928804708487237632,928804708487237632,3dward/Amb3r,TWR_Douglas_10,"Minnesota, USA",,18 | Bi & Demiboy | Taken | VA | artist | custom maker | writer | composer | TTTE | TWR & TOMY | creator & owner of NWS & WW | PS editor | Banner by Crutch |,https://t.co/FBzWyu7Iks,,False,637,400,2,Fri Nov 10 02:01:13 +0000 2017,12925,,,False,False,16568,,"<a href=""http://fllwrs.com"" rel=""nofollow"">fllwrs</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338653657794043913/4ETvxCnk_normal.jpg,https://pbs.twimg.com/profile_images/1338653657794043913/4ETvxCnk_normal.jpg,https://pbs.twimg.com/profile_banners/928804708487237632/1607724884,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,928804708487237632,928804708487237632,3dward/Amb3r,TWR_Douglas_10,"Minnesota, USA",,18 | Bi & Demiboy | Taken | VA | artist | custom maker | writer | composer | TTTE | TWR & TOMY | creator & owner of NWS & WW | PS editor | Banner by Crutch |,https://t.co/FBzWyu7Iks,,False,637,400,2,Fri Nov 10 02:01:13 +0000 2017,12925,,,False,False,16568,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338653657794043913/4ETvxCnk_normal.jpg,https://pbs.twimg.com/profile_images/1338653657794043913/4ETvxCnk_normal.jpg,https://pbs.twimg.com/profile_banners/928804708487237632/1607724884,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,928804708487237632,928804708487237632,3dward/Amb3r,TWR_Douglas_10,"Minnesota, USA",,18 | Bi & Demiboy | Taken | VA | artist | custom maker | writer | composer | TTTE | TWR & TOMY | creator & owner of NWS & WW | PS editor | Banner by Crutch |,https://t.co/FBzWyu7Iks,,False,637,400,2,Fri Nov 10 02:01:13 +0000 2017,12925,,,False,False,16568,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338653657794043913/4ETvxCnk_normal.jpg,https://pbs.twimg.com/profile_images/1338653657794043913/4ETvxCnk_normal.jpg,https://pbs.twimg.com/profile_banners/928804708487237632/1607724884,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
