,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,2868363785,2868363785,jada 🎄,needyhss,,,you are loved and you matter! | ariana and melanie | fan account | she/her,https://t.co/HygxZrY18Z,"{'urls': [{'url': 'https://t.co/HygxZrY18Z', 'expanded_url': 'https://endsars.carrd.co/', 'display_url': 'endsars.carrd.co', 'indices': [0, 23]}]}",False,3173,589,46,Sun Nov 09 03:03:19 +0000 2014,320707,,,False,False,40860,,,False,False,False,F5ABB5,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1338462370469961734/2Fe4laxr_normal.jpg,https://pbs.twimg.com/profile_images/1338462370469961734/2Fe4laxr_normal.jpg,https://pbs.twimg.com/profile_banners/2868363785/1607949272,F5ABB5,000000,000000,000000,True,True,False,False,False,False,False,none
description,2868363785,2868363785,jada 🎄,needyhss,,,you are loved and you matter! | ariana and melanie | fan account | she/her,https://t.co/HygxZrY18Z,{'urls': []},False,3173,589,46,Sun Nov 09 03:03:19 +0000 2014,320707,,,False,False,40860,,,False,False,False,F5ABB5,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1338462370469961734/2Fe4laxr_normal.jpg,https://pbs.twimg.com/profile_images/1338462370469961734/2Fe4laxr_normal.jpg,https://pbs.twimg.com/profile_banners/2868363785/1607949272,F5ABB5,000000,000000,000000,True,True,False,False,False,False,False,none
created_at,2868363785,2868363785,jada 🎄,needyhss,,,you are loved and you matter! | ariana and melanie | fan account | she/her,https://t.co/HygxZrY18Z,,False,3173,589,46,Sun Nov 09 03:03:19 +0000 2014,320707,,,False,False,40860,,Tue Dec 15 02:01:50 +0000 2020,False,False,False,F5ABB5,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1338462370469961734/2Fe4laxr_normal.jpg,https://pbs.twimg.com/profile_images/1338462370469961734/2Fe4laxr_normal.jpg,https://pbs.twimg.com/profile_banners/2868363785/1607949272,F5ABB5,000000,000000,000000,True,True,False,False,False,False,False,none
id,2868363785,2868363785,jada 🎄,needyhss,,,you are loved and you matter! | ariana and melanie | fan account | she/her,https://t.co/HygxZrY18Z,,False,3173,589,46,Sun Nov 09 03:03:19 +0000 2014,320707,,,False,False,40860,,1338665541096120321,False,False,False,F5ABB5,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1338462370469961734/2Fe4laxr_normal.jpg,https://pbs.twimg.com/profile_images/1338462370469961734/2Fe4laxr_normal.jpg,https://pbs.twimg.com/profile_banners/2868363785/1607949272,F5ABB5,000000,000000,000000,True,True,False,False,False,False,False,none
id_str,2868363785,2868363785,jada 🎄,needyhss,,,you are loved and you matter! | ariana and melanie | fan account | she/her,https://t.co/HygxZrY18Z,,False,3173,589,46,Sun Nov 09 03:03:19 +0000 2014,320707,,,False,False,40860,,1338665541096120321,False,False,False,F5ABB5,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1338462370469961734/2Fe4laxr_normal.jpg,https://pbs.twimg.com/profile_images/1338462370469961734/2Fe4laxr_normal.jpg,https://pbs.twimg.com/profile_banners/2868363785/1607949272,F5ABB5,000000,000000,000000,True,True,False,False,False,False,False,none
text,2868363785,2868363785,jada 🎄,needyhss,,,you are loved and you matter! | ariana and melanie | fan account | she/her,https://t.co/HygxZrY18Z,,False,3173,589,46,Sun Nov 09 03:03:19 +0000 2014,320707,,,False,False,40860,,@gisellesweet_ better off 100%,False,False,False,F5ABB5,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1338462370469961734/2Fe4laxr_normal.jpg,https://pbs.twimg.com/profile_images/1338462370469961734/2Fe4laxr_normal.jpg,https://pbs.twimg.com/profile_banners/2868363785/1607949272,F5ABB5,000000,000000,000000,True,True,False,False,False,False,False,none
truncated,2868363785,2868363785,jada 🎄,needyhss,,,you are loved and you matter! | ariana and melanie | fan account | she/her,https://t.co/HygxZrY18Z,,False,3173,589,46,Sun Nov 09 03:03:19 +0000 2014,320707,,,False,False,40860,,False,False,False,False,F5ABB5,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1338462370469961734/2Fe4laxr_normal.jpg,https://pbs.twimg.com/profile_images/1338462370469961734/2Fe4laxr_normal.jpg,https://pbs.twimg.com/profile_banners/2868363785/1607949272,F5ABB5,000000,000000,000000,True,True,False,False,False,False,False,none
entities,2868363785,2868363785,jada 🎄,needyhss,,,you are loved and you matter! | ariana and melanie | fan account | she/her,https://t.co/HygxZrY18Z,,False,3173,589,46,Sun Nov 09 03:03:19 +0000 2014,320707,,,False,False,40860,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'gisellesweet_', 'name': 'kenya♡', 'id': 1311359934076989441, 'id_str': '1311359934076989441', 'indices': [0, 14]}], 'urls': []}",False,False,False,F5ABB5,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1338462370469961734/2Fe4laxr_normal.jpg,https://pbs.twimg.com/profile_images/1338462370469961734/2Fe4laxr_normal.jpg,https://pbs.twimg.com/profile_banners/2868363785/1607949272,F5ABB5,000000,000000,000000,True,True,False,False,False,False,False,none
source,2868363785,2868363785,jada 🎄,needyhss,,,you are loved and you matter! | ariana and melanie | fan account | she/her,https://t.co/HygxZrY18Z,,False,3173,589,46,Sun Nov 09 03:03:19 +0000 2014,320707,,,False,False,40860,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5ABB5,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1338462370469961734/2Fe4laxr_normal.jpg,https://pbs.twimg.com/profile_images/1338462370469961734/2Fe4laxr_normal.jpg,https://pbs.twimg.com/profile_banners/2868363785/1607949272,F5ABB5,000000,000000,000000,True,True,False,False,False,False,False,none
in_reply_to_status_id,2868363785,2868363785,jada 🎄,needyhss,,,you are loved and you matter! | ariana and melanie | fan account | she/her,https://t.co/HygxZrY18Z,,False,3173,589,46,Sun Nov 09 03:03:19 +0000 2014,320707,,,False,False,40860,,1338548520958226432,False,False,False,F5ABB5,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1338462370469961734/2Fe4laxr_normal.jpg,https://pbs.twimg.com/profile_images/1338462370469961734/2Fe4laxr_normal.jpg,https://pbs.twimg.com/profile_banners/2868363785/1607949272,F5ABB5,000000,000000,000000,True,True,False,False,False,False,False,none
in_reply_to_status_id_str,2868363785,2868363785,jada 🎄,needyhss,,,you are loved and you matter! | ariana and melanie | fan account | she/her,https://t.co/HygxZrY18Z,,False,3173,589,46,Sun Nov 09 03:03:19 +0000 2014,320707,,,False,False,40860,,1338548520958226432,False,False,False,F5ABB5,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1338462370469961734/2Fe4laxr_normal.jpg,https://pbs.twimg.com/profile_images/1338462370469961734/2Fe4laxr_normal.jpg,https://pbs.twimg.com/profile_banners/2868363785/1607949272,F5ABB5,000000,000000,000000,True,True,False,False,False,False,False,none
