,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,3116541329,3116541329,Christy🏳️‍🌈,stargazelle_,"Alabama, USA",,💖💜💙 🏳️‍🌈 Secular Humanist/Open-Minded Atheist 🌎 JSU Grad || #actuallyautistic || Mental Health Advocate,,{'urls': []},False,1196,1425,5,Thu Mar 26 00:37:55 +0000 2015,35944,,,True,False,7779,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336478230942011393/v5zxKOm__normal.jpg,https://pbs.twimg.com/profile_images/1336478230942011393/v5zxKOm__normal.jpg,https://pbs.twimg.com/profile_banners/3116541329/1586729341,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,3116541329,3116541329,Christy🏳️‍🌈,stargazelle_,"Alabama, USA",,💖💜💙 🏳️‍🌈 Secular Humanist/Open-Minded Atheist 🌎 JSU Grad || #actuallyautistic || Mental Health Advocate,,,False,1196,1425,5,Thu Mar 26 00:37:55 +0000 2015,35944,,,True,False,7779,,Tue Dec 15 08:45:53 +0000 2020,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336478230942011393/v5zxKOm__normal.jpg,https://pbs.twimg.com/profile_images/1336478230942011393/v5zxKOm__normal.jpg,https://pbs.twimg.com/profile_banners/3116541329/1586729341,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,3116541329,3116541329,Christy🏳️‍🌈,stargazelle_,"Alabama, USA",,💖💜💙 🏳️‍🌈 Secular Humanist/Open-Minded Atheist 🌎 JSU Grad || #actuallyautistic || Mental Health Advocate,,,False,1196,1425,5,Thu Mar 26 00:37:55 +0000 2015,35944,,,True,False,7779,,1338767223389876225,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336478230942011393/v5zxKOm__normal.jpg,https://pbs.twimg.com/profile_images/1336478230942011393/v5zxKOm__normal.jpg,https://pbs.twimg.com/profile_banners/3116541329/1586729341,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,3116541329,3116541329,Christy🏳️‍🌈,stargazelle_,"Alabama, USA",,💖💜💙 🏳️‍🌈 Secular Humanist/Open-Minded Atheist 🌎 JSU Grad || #actuallyautistic || Mental Health Advocate,,,False,1196,1425,5,Thu Mar 26 00:37:55 +0000 2015,35944,,,True,False,7779,,1338767223389876225,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336478230942011393/v5zxKOm__normal.jpg,https://pbs.twimg.com/profile_images/1336478230942011393/v5zxKOm__normal.jpg,https://pbs.twimg.com/profile_banners/3116541329/1586729341,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,3116541329,3116541329,Christy🏳️‍🌈,stargazelle_,"Alabama, USA",,💖💜💙 🏳️‍🌈 Secular Humanist/Open-Minded Atheist 🌎 JSU Grad || #actuallyautistic || Mental Health Advocate,,,False,1196,1425,5,Thu Mar 26 00:37:55 +0000 2015,35944,,,True,False,7779,,RT @AuthorConfusion: Hey guess what Trump lost the election again today,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336478230942011393/v5zxKOm__normal.jpg,https://pbs.twimg.com/profile_images/1336478230942011393/v5zxKOm__normal.jpg,https://pbs.twimg.com/profile_banners/3116541329/1586729341,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,3116541329,3116541329,Christy🏳️‍🌈,stargazelle_,"Alabama, USA",,💖💜💙 🏳️‍🌈 Secular Humanist/Open-Minded Atheist 🌎 JSU Grad || #actuallyautistic || Mental Health Advocate,,,False,1196,1425,5,Thu Mar 26 00:37:55 +0000 2015,35944,,,True,False,7779,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336478230942011393/v5zxKOm__normal.jpg,https://pbs.twimg.com/profile_images/1336478230942011393/v5zxKOm__normal.jpg,https://pbs.twimg.com/profile_banners/3116541329/1586729341,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,3116541329,3116541329,Christy🏳️‍🌈,stargazelle_,"Alabama, USA",,💖💜💙 🏳️‍🌈 Secular Humanist/Open-Minded Atheist 🌎 JSU Grad || #actuallyautistic || Mental Health Advocate,,,False,1196,1425,5,Thu Mar 26 00:37:55 +0000 2015,35944,,,True,False,7779,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AuthorConfusion', 'name': 'Vi La Bianca', 'id': 1022253936374308864, 'id_str': '1022253936374308864', 'indices': [3, 19]}], 'urls': []}",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336478230942011393/v5zxKOm__normal.jpg,https://pbs.twimg.com/profile_images/1336478230942011393/v5zxKOm__normal.jpg,https://pbs.twimg.com/profile_banners/3116541329/1586729341,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,3116541329,3116541329,Christy🏳️‍🌈,stargazelle_,"Alabama, USA",,💖💜💙 🏳️‍🌈 Secular Humanist/Open-Minded Atheist 🌎 JSU Grad || #actuallyautistic || Mental Health Advocate,,,False,1196,1425,5,Thu Mar 26 00:37:55 +0000 2015,35944,,,True,False,7779,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336478230942011393/v5zxKOm__normal.jpg,https://pbs.twimg.com/profile_images/1336478230942011393/v5zxKOm__normal.jpg,https://pbs.twimg.com/profile_banners/3116541329/1586729341,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,3116541329,3116541329,Christy🏳️‍🌈,stargazelle_,"Alabama, USA",,💖💜💙 🏳️‍🌈 Secular Humanist/Open-Minded Atheist 🌎 JSU Grad || #actuallyautistic || Mental Health Advocate,,,False,1196,1425,5,Thu Mar 26 00:37:55 +0000 2015,35944,,,True,False,7779,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336478230942011393/v5zxKOm__normal.jpg,https://pbs.twimg.com/profile_images/1336478230942011393/v5zxKOm__normal.jpg,https://pbs.twimg.com/profile_banners/3116541329/1586729341,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,3116541329,3116541329,Christy🏳️‍🌈,stargazelle_,"Alabama, USA",,💖💜💙 🏳️‍🌈 Secular Humanist/Open-Minded Atheist 🌎 JSU Grad || #actuallyautistic || Mental Health Advocate,,,False,1196,1425,5,Thu Mar 26 00:37:55 +0000 2015,35944,,,True,False,7779,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336478230942011393/v5zxKOm__normal.jpg,https://pbs.twimg.com/profile_images/1336478230942011393/v5zxKOm__normal.jpg,https://pbs.twimg.com/profile_banners/3116541329/1586729341,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id,3116541329,3116541329,Christy🏳️‍🌈,stargazelle_,"Alabama, USA",,💖💜💙 🏳️‍🌈 Secular Humanist/Open-Minded Atheist 🌎 JSU Grad || #actuallyautistic || Mental Health Advocate,,,False,1196,1425,5,Thu Mar 26 00:37:55 +0000 2015,35944,,,True,False,7779,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336478230942011393/v5zxKOm__normal.jpg,https://pbs.twimg.com/profile_images/1336478230942011393/v5zxKOm__normal.jpg,https://pbs.twimg.com/profile_banners/3116541329/1586729341,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
