,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,132928996,132928996,Counterview,counterviewnet,Ahmedabad,,"Twitter handle of Counterview, edited by Rajiv Shah, ex-political editor, The Times of India; foreign correspondent, Moscow, 1986-93, Patriot-Link",https://t.co/wLa7JEnMZm,"{'urls': [{'url': 'https://t.co/wLa7JEnMZm', 'expanded_url': 'https://www.counterview.net', 'display_url': 'counterview.net', 'indices': [0, 23]}]}",False,1407,571,15,Wed Apr 14 15:10:25 +0000 2010,1773,,,False,False,18431,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1078950203451936769/GR-jxg-D_normal.jpg,https://pbs.twimg.com/profile_images/1078950203451936769/GR-jxg-D_normal.jpg,https://pbs.twimg.com/profile_banners/132928996/1546077199,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
description,132928996,132928996,Counterview,counterviewnet,Ahmedabad,,"Twitter handle of Counterview, edited by Rajiv Shah, ex-political editor, The Times of India; foreign correspondent, Moscow, 1986-93, Patriot-Link",https://t.co/wLa7JEnMZm,{'urls': []},False,1407,571,15,Wed Apr 14 15:10:25 +0000 2010,1773,,,False,False,18431,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1078950203451936769/GR-jxg-D_normal.jpg,https://pbs.twimg.com/profile_images/1078950203451936769/GR-jxg-D_normal.jpg,https://pbs.twimg.com/profile_banners/132928996/1546077199,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,132928996,132928996,Counterview,counterviewnet,Ahmedabad,,"Twitter handle of Counterview, edited by Rajiv Shah, ex-political editor, The Times of India; foreign correspondent, Moscow, 1986-93, Patriot-Link",https://t.co/wLa7JEnMZm,,False,1407,571,15,Wed Apr 14 15:10:25 +0000 2010,1773,,,False,False,18431,,Wed Dec 16 02:21:13 +0000 2020,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1078950203451936769/GR-jxg-D_normal.jpg,https://pbs.twimg.com/profile_images/1078950203451936769/GR-jxg-D_normal.jpg,https://pbs.twimg.com/profile_banners/132928996/1546077199,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,132928996,132928996,Counterview,counterviewnet,Ahmedabad,,"Twitter handle of Counterview, edited by Rajiv Shah, ex-political editor, The Times of India; foreign correspondent, Moscow, 1986-93, Patriot-Link",https://t.co/wLa7JEnMZm,,False,1407,571,15,Wed Apr 14 15:10:25 +0000 2010,1773,,,False,False,18431,,1339032803627970563,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1078950203451936769/GR-jxg-D_normal.jpg,https://pbs.twimg.com/profile_images/1078950203451936769/GR-jxg-D_normal.jpg,https://pbs.twimg.com/profile_banners/132928996/1546077199,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,132928996,132928996,Counterview,counterviewnet,Ahmedabad,,"Twitter handle of Counterview, edited by Rajiv Shah, ex-political editor, The Times of India; foreign correspondent, Moscow, 1986-93, Patriot-Link",https://t.co/wLa7JEnMZm,,False,1407,571,15,Wed Apr 14 15:10:25 +0000 2010,1773,,,False,False,18431,,1339032803627970563,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1078950203451936769/GR-jxg-D_normal.jpg,https://pbs.twimg.com/profile_images/1078950203451936769/GR-jxg-D_normal.jpg,https://pbs.twimg.com/profile_banners/132928996/1546077199,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,132928996,132928996,Counterview,counterviewnet,Ahmedabad,,"Twitter handle of Counterview, edited by Rajiv Shah, ex-political editor, The Times of India; foreign correspondent, Moscow, 1986-93, Patriot-Link",https://t.co/wLa7JEnMZm,,False,1407,571,15,Wed Apr 14 15:10:25 +0000 2010,1773,,,False,False,18431,,Biden and Harris pledged to end era of ‘demonisation’: Will change take place? https://t.co/KrjnVOBtva,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1078950203451936769/GR-jxg-D_normal.jpg,https://pbs.twimg.com/profile_images/1078950203451936769/GR-jxg-D_normal.jpg,https://pbs.twimg.com/profile_banners/132928996/1546077199,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,132928996,132928996,Counterview,counterviewnet,Ahmedabad,,"Twitter handle of Counterview, edited by Rajiv Shah, ex-political editor, The Times of India; foreign correspondent, Moscow, 1986-93, Patriot-Link",https://t.co/wLa7JEnMZm,,False,1407,571,15,Wed Apr 14 15:10:25 +0000 2010,1773,,,False,False,18431,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1078950203451936769/GR-jxg-D_normal.jpg,https://pbs.twimg.com/profile_images/1078950203451936769/GR-jxg-D_normal.jpg,https://pbs.twimg.com/profile_banners/132928996/1546077199,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,132928996,132928996,Counterview,counterviewnet,Ahmedabad,,"Twitter handle of Counterview, edited by Rajiv Shah, ex-political editor, The Times of India; foreign correspondent, Moscow, 1986-93, Patriot-Link",https://t.co/wLa7JEnMZm,,False,1407,571,15,Wed Apr 14 15:10:25 +0000 2010,1773,,,False,False,18431,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/KrjnVOBtva', 'expanded_url': 'https://ift.tt/2IRUgJ8', 'display_url': 'ift.tt/2IRUgJ8', 'indices': [79, 102]}]}",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1078950203451936769/GR-jxg-D_normal.jpg,https://pbs.twimg.com/profile_images/1078950203451936769/GR-jxg-D_normal.jpg,https://pbs.twimg.com/profile_banners/132928996/1546077199,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,132928996,132928996,Counterview,counterviewnet,Ahmedabad,,"Twitter handle of Counterview, edited by Rajiv Shah, ex-political editor, The Times of India; foreign correspondent, Moscow, 1986-93, Patriot-Link",https://t.co/wLa7JEnMZm,,False,1407,571,15,Wed Apr 14 15:10:25 +0000 2010,1773,,,False,False,18431,,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1078950203451936769/GR-jxg-D_normal.jpg,https://pbs.twimg.com/profile_images/1078950203451936769/GR-jxg-D_normal.jpg,https://pbs.twimg.com/profile_banners/132928996/1546077199,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,132928996,132928996,Counterview,counterviewnet,Ahmedabad,,"Twitter handle of Counterview, edited by Rajiv Shah, ex-political editor, The Times of India; foreign correspondent, Moscow, 1986-93, Patriot-Link",https://t.co/wLa7JEnMZm,,False,1407,571,15,Wed Apr 14 15:10:25 +0000 2010,1773,,,False,False,18431,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1078950203451936769/GR-jxg-D_normal.jpg,https://pbs.twimg.com/profile_images/1078950203451936769/GR-jxg-D_normal.jpg,https://pbs.twimg.com/profile_banners/132928996/1546077199,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
