,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1231867620879552512,1231867620879552512,jade ¹ᴰ 🌶,cloudsseaveyy,"she/her | 1direction,5sos,wdw ",,#CALUM: this smile is for you,https://t.co/sXLdunrpNM,"{'urls': [{'url': 'https://t.co/sXLdunrpNM', 'expanded_url': 'https://dotherightthing.carrd.co/', 'display_url': 'dotherightthing.carrd.co', 'indices': [0, 23]}]}",False,525,638,2,Mon Feb 24 09:05:14 +0000 2020,8522,,,False,False,4537,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1320640786791231488/1KhNrp8P_normal.jpg,https://pbs.twimg.com/profile_images/1320640786791231488/1KhNrp8P_normal.jpg,https://pbs.twimg.com/profile_banners/1231867620879552512/1603700275,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
description,1231867620879552512,1231867620879552512,jade ¹ᴰ 🌶,cloudsseaveyy,"she/her | 1direction,5sos,wdw ",,#CALUM: this smile is for you,https://t.co/sXLdunrpNM,{'urls': []},False,525,638,2,Mon Feb 24 09:05:14 +0000 2020,8522,,,False,False,4537,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1320640786791231488/1KhNrp8P_normal.jpg,https://pbs.twimg.com/profile_images/1320640786791231488/1KhNrp8P_normal.jpg,https://pbs.twimg.com/profile_banners/1231867620879552512/1603700275,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1231867620879552512,1231867620879552512,jade ¹ᴰ 🌶,cloudsseaveyy,"she/her | 1direction,5sos,wdw ",,#CALUM: this smile is for you,https://t.co/sXLdunrpNM,,False,525,638,2,Mon Feb 24 09:05:14 +0000 2020,8522,,,False,False,4537,,Sun Nov 29 04:28:14 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1320640786791231488/1KhNrp8P_normal.jpg,https://pbs.twimg.com/profile_images/1320640786791231488/1KhNrp8P_normal.jpg,https://pbs.twimg.com/profile_banners/1231867620879552512/1603700275,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1231867620879552512,1231867620879552512,jade ¹ᴰ 🌶,cloudsseaveyy,"she/her | 1direction,5sos,wdw ",,#CALUM: this smile is for you,https://t.co/sXLdunrpNM,,False,525,638,2,Mon Feb 24 09:05:14 +0000 2020,8522,,,False,False,4537,,1332904175382921220,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1320640786791231488/1KhNrp8P_normal.jpg,https://pbs.twimg.com/profile_images/1320640786791231488/1KhNrp8P_normal.jpg,https://pbs.twimg.com/profile_banners/1231867620879552512/1603700275,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1231867620879552512,1231867620879552512,jade ¹ᴰ 🌶,cloudsseaveyy,"she/her | 1direction,5sos,wdw ",,#CALUM: this smile is for you,https://t.co/sXLdunrpNM,,False,525,638,2,Mon Feb 24 09:05:14 +0000 2020,8522,,,False,False,4537,,1332904175382921220,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1320640786791231488/1KhNrp8P_normal.jpg,https://pbs.twimg.com/profile_images/1320640786791231488/1KhNrp8P_normal.jpg,https://pbs.twimg.com/profile_banners/1231867620879552512/1603700275,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1231867620879552512,1231867620879552512,jade ¹ᴰ 🌶,cloudsseaveyy,"she/her | 1direction,5sos,wdw ",,#CALUM: this smile is for you,https://t.co/sXLdunrpNM,,False,525,638,2,Mon Feb 24 09:05:14 +0000 2020,8522,,,False,False,4537,,i hate stan twitter i’m deleting the app bye,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1320640786791231488/1KhNrp8P_normal.jpg,https://pbs.twimg.com/profile_images/1320640786791231488/1KhNrp8P_normal.jpg,https://pbs.twimg.com/profile_banners/1231867620879552512/1603700275,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1231867620879552512,1231867620879552512,jade ¹ᴰ 🌶,cloudsseaveyy,"she/her | 1direction,5sos,wdw ",,#CALUM: this smile is for you,https://t.co/sXLdunrpNM,,False,525,638,2,Mon Feb 24 09:05:14 +0000 2020,8522,,,False,False,4537,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1320640786791231488/1KhNrp8P_normal.jpg,https://pbs.twimg.com/profile_images/1320640786791231488/1KhNrp8P_normal.jpg,https://pbs.twimg.com/profile_banners/1231867620879552512/1603700275,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1231867620879552512,1231867620879552512,jade ¹ᴰ 🌶,cloudsseaveyy,"she/her | 1direction,5sos,wdw ",,#CALUM: this smile is for you,https://t.co/sXLdunrpNM,,False,525,638,2,Mon Feb 24 09:05:14 +0000 2020,8522,,,False,False,4537,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1320640786791231488/1KhNrp8P_normal.jpg,https://pbs.twimg.com/profile_images/1320640786791231488/1KhNrp8P_normal.jpg,https://pbs.twimg.com/profile_banners/1231867620879552512/1603700275,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1231867620879552512,1231867620879552512,jade ¹ᴰ 🌶,cloudsseaveyy,"she/her | 1direction,5sos,wdw ",,#CALUM: this smile is for you,https://t.co/sXLdunrpNM,,False,525,638,2,Mon Feb 24 09:05:14 +0000 2020,8522,,,False,False,4537,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1320640786791231488/1KhNrp8P_normal.jpg,https://pbs.twimg.com/profile_images/1320640786791231488/1KhNrp8P_normal.jpg,https://pbs.twimg.com/profile_banners/1231867620879552512/1603700275,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1231867620879552512,1231867620879552512,jade ¹ᴰ 🌶,cloudsseaveyy,"she/her | 1direction,5sos,wdw ",,#CALUM: this smile is for you,https://t.co/sXLdunrpNM,,False,525,638,2,Mon Feb 24 09:05:14 +0000 2020,8522,,,False,False,4537,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1320640786791231488/1KhNrp8P_normal.jpg,https://pbs.twimg.com/profile_images/1320640786791231488/1KhNrp8P_normal.jpg,https://pbs.twimg.com/profile_banners/1231867620879552512/1603700275,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1231867620879552512,1231867620879552512,jade ¹ᴰ 🌶,cloudsseaveyy,"she/her | 1direction,5sos,wdw ",,#CALUM: this smile is for you,https://t.co/sXLdunrpNM,,False,525,638,2,Mon Feb 24 09:05:14 +0000 2020,8522,,,False,False,4537,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1320640786791231488/1KhNrp8P_normal.jpg,https://pbs.twimg.com/profile_images/1320640786791231488/1KhNrp8P_normal.jpg,https://pbs.twimg.com/profile_banners/1231867620879552512/1603700275,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id,1231867620879552512,1231867620879552512,jade ¹ᴰ 🌶,cloudsseaveyy,"she/her | 1direction,5sos,wdw ",,#CALUM: this smile is for you,https://t.co/sXLdunrpNM,,False,525,638,2,Mon Feb 24 09:05:14 +0000 2020,8522,,,False,False,4537,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1320640786791231488/1KhNrp8P_normal.jpg,https://pbs.twimg.com/profile_images/1320640786791231488/1KhNrp8P_normal.jpg,https://pbs.twimg.com/profile_banners/1231867620879552512/1603700275,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id_str,1231867620879552512,1231867620879552512,jade ¹ᴰ 🌶,cloudsseaveyy,"she/her | 1direction,5sos,wdw ",,#CALUM: this smile is for you,https://t.co/sXLdunrpNM,,False,525,638,2,Mon Feb 24 09:05:14 +0000 2020,8522,,,False,False,4537,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1320640786791231488/1KhNrp8P_normal.jpg,https://pbs.twimg.com/profile_images/1320640786791231488/1KhNrp8P_normal.jpg,https://pbs.twimg.com/profile_banners/1231867620879552512/1603700275,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_screen_name,1231867620879552512,1231867620879552512,jade ¹ᴰ 🌶,cloudsseaveyy,"she/her | 1direction,5sos,wdw ",,#CALUM: this smile is for you,https://t.co/sXLdunrpNM,,False,525,638,2,Mon Feb 24 09:05:14 +0000 2020,8522,,,False,False,4537,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1320640786791231488/1KhNrp8P_normal.jpg,https://pbs.twimg.com/profile_images/1320640786791231488/1KhNrp8P_normal.jpg,https://pbs.twimg.com/profile_banners/1231867620879552512/1603700275,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
geo,1231867620879552512,1231867620879552512,jade ¹ᴰ 🌶,cloudsseaveyy,"she/her | 1direction,5sos,wdw ",,#CALUM: this smile is for you,https://t.co/sXLdunrpNM,,False,525,638,2,Mon Feb 24 09:05:14 +0000 2020,8522,,,False,False,4537,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1320640786791231488/1KhNrp8P_normal.jpg,https://pbs.twimg.com/profile_images/1320640786791231488/1KhNrp8P_normal.jpg,https://pbs.twimg.com/profile_banners/1231867620879552512/1603700275,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
coordinates,1231867620879552512,1231867620879552512,jade ¹ᴰ 🌶,cloudsseaveyy,"she/her | 1direction,5sos,wdw ",,#CALUM: this smile is for you,https://t.co/sXLdunrpNM,,False,525,638,2,Mon Feb 24 09:05:14 +0000 2020,8522,,,False,False,4537,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1320640786791231488/1KhNrp8P_normal.jpg,https://pbs.twimg.com/profile_images/1320640786791231488/1KhNrp8P_normal.jpg,https://pbs.twimg.com/profile_banners/1231867620879552512/1603700275,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
place,1231867620879552512,1231867620879552512,jade ¹ᴰ 🌶,cloudsseaveyy,"she/her | 1direction,5sos,wdw ",,#CALUM: this smile is for you,https://t.co/sXLdunrpNM,,False,525,638,2,Mon Feb 24 09:05:14 +0000 2020,8522,,,False,False,4537,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1320640786791231488/1KhNrp8P_normal.jpg,https://pbs.twimg.com/profile_images/1320640786791231488/1KhNrp8P_normal.jpg,https://pbs.twimg.com/profile_banners/1231867620879552512/1603700275,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
contributors,1231867620879552512,1231867620879552512,jade ¹ᴰ 🌶,cloudsseaveyy,"she/her | 1direction,5sos,wdw ",,#CALUM: this smile is for you,https://t.co/sXLdunrpNM,,False,525,638,2,Mon Feb 24 09:05:14 +0000 2020,8522,,,False,False,4537,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1320640786791231488/1KhNrp8P_normal.jpg,https://pbs.twimg.com/profile_images/1320640786791231488/1KhNrp8P_normal.jpg,https://pbs.twimg.com/profile_banners/1231867620879552512/1603700275,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
is_quote_status,1231867620879552512,1231867620879552512,jade ¹ᴰ 🌶,cloudsseaveyy,"she/her | 1direction,5sos,wdw ",,#CALUM: this smile is for you,https://t.co/sXLdunrpNM,,False,525,638,2,Mon Feb 24 09:05:14 +0000 2020,8522,,,False,False,4537,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1320640786791231488/1KhNrp8P_normal.jpg,https://pbs.twimg.com/profile_images/1320640786791231488/1KhNrp8P_normal.jpg,https://pbs.twimg.com/profile_banners/1231867620879552512/1603700275,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweet_count,1231867620879552512,1231867620879552512,jade ¹ᴰ 🌶,cloudsseaveyy,"she/her | 1direction,5sos,wdw ",,#CALUM: this smile is for you,https://t.co/sXLdunrpNM,,False,525,638,2,Mon Feb 24 09:05:14 +0000 2020,8522,,,False,False,4537,,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1320640786791231488/1KhNrp8P_normal.jpg,https://pbs.twimg.com/profile_images/1320640786791231488/1KhNrp8P_normal.jpg,https://pbs.twimg.com/profile_banners/1231867620879552512/1603700275,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorite_count,1231867620879552512,1231867620879552512,jade ¹ᴰ 🌶,cloudsseaveyy,"she/her | 1direction,5sos,wdw ",,#CALUM: this smile is for you,https://t.co/sXLdunrpNM,,False,525,638,2,Mon Feb 24 09:05:14 +0000 2020,8522,,,False,False,4537,,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1320640786791231488/1KhNrp8P_normal.jpg,https://pbs.twimg.com/profile_images/1320640786791231488/1KhNrp8P_normal.jpg,https://pbs.twimg.com/profile_banners/1231867620879552512/1603700275,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
