,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,390307376,390307376,🎄,Deathpressionn,20 | ♂,,A gentle madman / @ADTrash4 💜/ CEO of Monokuma,https://t.co/Li5cvYwZCi,"{'urls': [{'url': 'https://t.co/Li5cvYwZCi', 'expanded_url': 'https://youtu.be/p7OQymfl3qU', 'display_url': 'youtu.be/p7OQymfl3qU', 'indices': [0, 23]}]}",False,1136,1612,25,Thu Oct 13 19:42:14 +0000 2011,72071,,,True,False,214146,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1338548961318211589/Cm22h_GW_normal.jpg,https://pbs.twimg.com/profile_images/1338548961318211589/Cm22h_GW_normal.jpg,https://pbs.twimg.com/profile_banners/390307376/1606922487,0084B4,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
description,390307376,390307376,🎄,Deathpressionn,20 | ♂,,A gentle madman / @ADTrash4 💜/ CEO of Monokuma,https://t.co/Li5cvYwZCi,{'urls': []},False,1136,1612,25,Thu Oct 13 19:42:14 +0000 2011,72071,,,True,False,214146,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1338548961318211589/Cm22h_GW_normal.jpg,https://pbs.twimg.com/profile_images/1338548961318211589/Cm22h_GW_normal.jpg,https://pbs.twimg.com/profile_banners/390307376/1606922487,0084B4,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
created_at,390307376,390307376,🎄,Deathpressionn,20 | ♂,,A gentle madman / @ADTrash4 💜/ CEO of Monokuma,https://t.co/Li5cvYwZCi,,False,1136,1612,25,Thu Oct 13 19:42:14 +0000 2011,72071,,,True,False,214146,,Tue Dec 15 08:08:08 +0000 2020,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1338548961318211589/Cm22h_GW_normal.jpg,https://pbs.twimg.com/profile_images/1338548961318211589/Cm22h_GW_normal.jpg,https://pbs.twimg.com/profile_banners/390307376/1606922487,0084B4,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
id,390307376,390307376,🎄,Deathpressionn,20 | ♂,,A gentle madman / @ADTrash4 💜/ CEO of Monokuma,https://t.co/Li5cvYwZCi,,False,1136,1612,25,Thu Oct 13 19:42:14 +0000 2011,72071,,,True,False,214146,,1338757724012736512,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1338548961318211589/Cm22h_GW_normal.jpg,https://pbs.twimg.com/profile_images/1338548961318211589/Cm22h_GW_normal.jpg,https://pbs.twimg.com/profile_banners/390307376/1606922487,0084B4,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
id_str,390307376,390307376,🎄,Deathpressionn,20 | ♂,,A gentle madman / @ADTrash4 💜/ CEO of Monokuma,https://t.co/Li5cvYwZCi,,False,1136,1612,25,Thu Oct 13 19:42:14 +0000 2011,72071,,,True,False,214146,,1338757724012736512,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1338548961318211589/Cm22h_GW_normal.jpg,https://pbs.twimg.com/profile_images/1338548961318211589/Cm22h_GW_normal.jpg,https://pbs.twimg.com/profile_banners/390307376/1606922487,0084B4,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
text,390307376,390307376,🎄,Deathpressionn,20 | ♂,,A gentle madman / @ADTrash4 💜/ CEO of Monokuma,https://t.co/Li5cvYwZCi,,False,1136,1612,25,Thu Oct 13 19:42:14 +0000 2011,72071,,,True,False,214146,,No matter how much this woman stares at me I’m not moving my bag https://t.co/3TI6Ibnut0,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1338548961318211589/Cm22h_GW_normal.jpg,https://pbs.twimg.com/profile_images/1338548961318211589/Cm22h_GW_normal.jpg,https://pbs.twimg.com/profile_banners/390307376/1606922487,0084B4,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
truncated,390307376,390307376,🎄,Deathpressionn,20 | ♂,,A gentle madman / @ADTrash4 💜/ CEO of Monokuma,https://t.co/Li5cvYwZCi,,False,1136,1612,25,Thu Oct 13 19:42:14 +0000 2011,72071,,,True,False,214146,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1338548961318211589/Cm22h_GW_normal.jpg,https://pbs.twimg.com/profile_images/1338548961318211589/Cm22h_GW_normal.jpg,https://pbs.twimg.com/profile_banners/390307376/1606922487,0084B4,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
entities,390307376,390307376,🎄,Deathpressionn,20 | ♂,,A gentle madman / @ADTrash4 💜/ CEO of Monokuma,https://t.co/Li5cvYwZCi,,False,1136,1612,25,Thu Oct 13 19:42:14 +0000 2011,72071,,,True,False,214146,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1338757720258850817, 'id_str': '1338757720258850817', 'indices': [65, 88], 'media_url': 'http://pbs.twimg.com/media/EpQ5DbRXMAEtpcK.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpQ5DbRXMAEtpcK.jpg', 'url': 'https://t.co/3TI6Ibnut0', 'display_url': 'pic.twitter.com/3TI6Ibnut0', 'expanded_url': 'https://twitter.com/Deathpressionn/status/1338757724012736512/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}, 'large': {'w': 600, 'h': 800, 'resize': 'fit'}, 'medium': {'w': 600, 'h': 800, 'resize': 'fit'}}}]}",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1338548961318211589/Cm22h_GW_normal.jpg,https://pbs.twimg.com/profile_images/1338548961318211589/Cm22h_GW_normal.jpg,https://pbs.twimg.com/profile_banners/390307376/1606922487,0084B4,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
extended_entities,390307376,390307376,🎄,Deathpressionn,20 | ♂,,A gentle madman / @ADTrash4 💜/ CEO of Monokuma,https://t.co/Li5cvYwZCi,,False,1136,1612,25,Thu Oct 13 19:42:14 +0000 2011,72071,,,True,False,214146,,"{'media': [{'id': 1338757720258850817, 'id_str': '1338757720258850817', 'indices': [65, 88], 'media_url': 'http://pbs.twimg.com/media/EpQ5DbRXMAEtpcK.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpQ5DbRXMAEtpcK.jpg', 'url': 'https://t.co/3TI6Ibnut0', 'display_url': 'pic.twitter.com/3TI6Ibnut0', 'expanded_url': 'https://twitter.com/Deathpressionn/status/1338757724012736512/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}, 'large': {'w': 600, 'h': 800, 'resize': 'fit'}, 'medium': {'w': 600, 'h': 800, 'resize': 'fit'}}}]}",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1338548961318211589/Cm22h_GW_normal.jpg,https://pbs.twimg.com/profile_images/1338548961318211589/Cm22h_GW_normal.jpg,https://pbs.twimg.com/profile_banners/390307376/1606922487,0084B4,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
source,390307376,390307376,🎄,Deathpressionn,20 | ♂,,A gentle madman / @ADTrash4 💜/ CEO of Monokuma,https://t.co/Li5cvYwZCi,,False,1136,1612,25,Thu Oct 13 19:42:14 +0000 2011,72071,,,True,False,214146,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1338548961318211589/Cm22h_GW_normal.jpg,https://pbs.twimg.com/profile_images/1338548961318211589/Cm22h_GW_normal.jpg,https://pbs.twimg.com/profile_banners/390307376/1606922487,0084B4,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
