,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1290818269641752576,1290818269641752576,a is waiting for the snow to fall,clvcks,🇰🇷🏳️‍🌈  || harveytown,,☽☼ • this alt kid makes edits of british men • she/her • @picsofcoldplay,https://t.co/uzzDfAFkzV,"{'urls': [{'url': 'https://t.co/uzzDfAFkzV', 'expanded_url': 'https://twitter.com/clvcks/status/1311692245343432704?s=19', 'display_url': 'twitter.com/clvcks/status/…', 'indices': [0, 23]}]}",False,390,370,2,Wed Aug 05 01:13:58 +0000 2020,17399,,,False,False,10647,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337729781392048128/MgsdRyTW_normal.jpg,https://pbs.twimg.com/profile_images/1337729781392048128/MgsdRyTW_normal.jpg,https://pbs.twimg.com/profile_banners/1290818269641752576/1607774141,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
description,1290818269641752576,1290818269641752576,a is waiting for the snow to fall,clvcks,🇰🇷🏳️‍🌈  || harveytown,,☽☼ • this alt kid makes edits of british men • she/her • @picsofcoldplay,https://t.co/uzzDfAFkzV,{'urls': []},False,390,370,2,Wed Aug 05 01:13:58 +0000 2020,17399,,,False,False,10647,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337729781392048128/MgsdRyTW_normal.jpg,https://pbs.twimg.com/profile_images/1337729781392048128/MgsdRyTW_normal.jpg,https://pbs.twimg.com/profile_banners/1290818269641752576/1607774141,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
created_at,1290818269641752576,1290818269641752576,a is waiting for the snow to fall,clvcks,🇰🇷🏳️‍🌈  || harveytown,,☽☼ • this alt kid makes edits of british men • she/her • @picsofcoldplay,https://t.co/uzzDfAFkzV,,False,390,370,2,Wed Aug 05 01:13:58 +0000 2020,17399,,,False,False,10647,,Tue Dec 15 07:30:14 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337729781392048128/MgsdRyTW_normal.jpg,https://pbs.twimg.com/profile_images/1337729781392048128/MgsdRyTW_normal.jpg,https://pbs.twimg.com/profile_banners/1290818269641752576/1607774141,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
id,1290818269641752576,1290818269641752576,a is waiting for the snow to fall,clvcks,🇰🇷🏳️‍🌈  || harveytown,,☽☼ • this alt kid makes edits of british men • she/her • @picsofcoldplay,https://t.co/uzzDfAFkzV,,False,390,370,2,Wed Aug 05 01:13:58 +0000 2020,17399,,,False,False,10647,,1338748184210784257,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337729781392048128/MgsdRyTW_normal.jpg,https://pbs.twimg.com/profile_images/1337729781392048128/MgsdRyTW_normal.jpg,https://pbs.twimg.com/profile_banners/1290818269641752576/1607774141,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
id_str,1290818269641752576,1290818269641752576,a is waiting for the snow to fall,clvcks,🇰🇷🏳️‍🌈  || harveytown,,☽☼ • this alt kid makes edits of british men • she/her • @picsofcoldplay,https://t.co/uzzDfAFkzV,,False,390,370,2,Wed Aug 05 01:13:58 +0000 2020,17399,,,False,False,10647,,1338748184210784257,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337729781392048128/MgsdRyTW_normal.jpg,https://pbs.twimg.com/profile_images/1337729781392048128/MgsdRyTW_normal.jpg,https://pbs.twimg.com/profile_banners/1290818269641752576/1607774141,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
text,1290818269641752576,1290818269641752576,a is waiting for the snow to fall,clvcks,🇰🇷🏳️‍🌈  || harveytown,,☽☼ • this alt kid makes edits of british men • she/her • @picsofcoldplay,https://t.co/uzzDfAFkzV,,False,390,370,2,Wed Aug 05 01:13:58 +0000 2020,17399,,,False,False,10647,,@reignofsakura not u doing the beatles dirty like that 😭 still yellow is a banger,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337729781392048128/MgsdRyTW_normal.jpg,https://pbs.twimg.com/profile_images/1337729781392048128/MgsdRyTW_normal.jpg,https://pbs.twimg.com/profile_banners/1290818269641752576/1607774141,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
truncated,1290818269641752576,1290818269641752576,a is waiting for the snow to fall,clvcks,🇰🇷🏳️‍🌈  || harveytown,,☽☼ • this alt kid makes edits of british men • she/her • @picsofcoldplay,https://t.co/uzzDfAFkzV,,False,390,370,2,Wed Aug 05 01:13:58 +0000 2020,17399,,,False,False,10647,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337729781392048128/MgsdRyTW_normal.jpg,https://pbs.twimg.com/profile_images/1337729781392048128/MgsdRyTW_normal.jpg,https://pbs.twimg.com/profile_banners/1290818269641752576/1607774141,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
entities,1290818269641752576,1290818269641752576,a is waiting for the snow to fall,clvcks,🇰🇷🏳️‍🌈  || harveytown,,☽☼ • this alt kid makes edits of british men • she/her • @picsofcoldplay,https://t.co/uzzDfAFkzV,,False,390,370,2,Wed Aug 05 01:13:58 +0000 2020,17399,,,False,False,10647,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'reignofsakura', 'name': '♡ sakura ♡', 'id': 1242144051127705600, 'id_str': '1242144051127705600', 'indices': [0, 14]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337729781392048128/MgsdRyTW_normal.jpg,https://pbs.twimg.com/profile_images/1337729781392048128/MgsdRyTW_normal.jpg,https://pbs.twimg.com/profile_banners/1290818269641752576/1607774141,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
source,1290818269641752576,1290818269641752576,a is waiting for the snow to fall,clvcks,🇰🇷🏳️‍🌈  || harveytown,,☽☼ • this alt kid makes edits of british men • she/her • @picsofcoldplay,https://t.co/uzzDfAFkzV,,False,390,370,2,Wed Aug 05 01:13:58 +0000 2020,17399,,,False,False,10647,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337729781392048128/MgsdRyTW_normal.jpg,https://pbs.twimg.com/profile_images/1337729781392048128/MgsdRyTW_normal.jpg,https://pbs.twimg.com/profile_banners/1290818269641752576/1607774141,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_status_id,1290818269641752576,1290818269641752576,a is waiting for the snow to fall,clvcks,🇰🇷🏳️‍🌈  || harveytown,,☽☼ • this alt kid makes edits of british men • she/her • @picsofcoldplay,https://t.co/uzzDfAFkzV,,False,390,370,2,Wed Aug 05 01:13:58 +0000 2020,17399,,,False,False,10647,,1338741750483939329,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337729781392048128/MgsdRyTW_normal.jpg,https://pbs.twimg.com/profile_images/1337729781392048128/MgsdRyTW_normal.jpg,https://pbs.twimg.com/profile_banners/1290818269641752576/1607774141,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
