,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1334158615691726848,1334158615691726848,k i t t y 🖤,0kcalkitten,cw: 180.2,,edtwt || cw: fat || ugw: thin,,{'urls': []},False,11,57,0,Wed Dec 02 15:33:04 +0000 2020,64,,,False,False,25,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334158818343747584/UEWkYw0H_normal.jpg,https://pbs.twimg.com/profile_images/1334158818343747584/UEWkYw0H_normal.jpg,https://pbs.twimg.com/profile_banners/1334158615691726848/1606925262,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1334158615691726848,1334158615691726848,k i t t y 🖤,0kcalkitten,cw: 180.2,,edtwt || cw: fat || ugw: thin,,,False,11,57,0,Wed Dec 02 15:33:04 +0000 2020,64,,,False,False,25,,Thu Dec 10 07:40:33 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334158818343747584/UEWkYw0H_normal.jpg,https://pbs.twimg.com/profile_images/1334158818343747584/UEWkYw0H_normal.jpg,https://pbs.twimg.com/profile_banners/1334158615691726848/1606925262,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1334158615691726848,1334158615691726848,k i t t y 🖤,0kcalkitten,cw: 180.2,,edtwt || cw: fat || ugw: thin,,,False,11,57,0,Wed Dec 02 15:33:04 +0000 2020,64,,,False,False,25,,1336938840007688195,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334158818343747584/UEWkYw0H_normal.jpg,https://pbs.twimg.com/profile_images/1334158818343747584/UEWkYw0H_normal.jpg,https://pbs.twimg.com/profile_banners/1334158615691726848/1606925262,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1334158615691726848,1334158615691726848,k i t t y 🖤,0kcalkitten,cw: 180.2,,edtwt || cw: fat || ugw: thin,,,False,11,57,0,Wed Dec 02 15:33:04 +0000 2020,64,,,False,False,25,,1336938840007688195,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334158818343747584/UEWkYw0H_normal.jpg,https://pbs.twimg.com/profile_images/1334158818343747584/UEWkYw0H_normal.jpg,https://pbs.twimg.com/profile_banners/1334158615691726848/1606925262,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1334158615691726848,1334158615691726848,k i t t y 🖤,0kcalkitten,cw: 180.2,,edtwt || cw: fat || ugw: thin,,,False,11,57,0,Wed Dec 02 15:33:04 +0000 2020,64,,,False,False,25,,"RT @eboycalz: yall remember when meghan trainor said she tried to get an eating disorder but couldn't bc she ""liked food too much""? yea any…",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334158818343747584/UEWkYw0H_normal.jpg,https://pbs.twimg.com/profile_images/1334158818343747584/UEWkYw0H_normal.jpg,https://pbs.twimg.com/profile_banners/1334158615691726848/1606925262,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1334158615691726848,1334158615691726848,k i t t y 🖤,0kcalkitten,cw: 180.2,,edtwt || cw: fat || ugw: thin,,,False,11,57,0,Wed Dec 02 15:33:04 +0000 2020,64,,,False,False,25,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334158818343747584/UEWkYw0H_normal.jpg,https://pbs.twimg.com/profile_images/1334158818343747584/UEWkYw0H_normal.jpg,https://pbs.twimg.com/profile_banners/1334158615691726848/1606925262,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1334158615691726848,1334158615691726848,k i t t y 🖤,0kcalkitten,cw: 180.2,,edtwt || cw: fat || ugw: thin,,,False,11,57,0,Wed Dec 02 15:33:04 +0000 2020,64,,,False,False,25,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'eboycalz', 'name': 'everett-ed twt', 'id': 1328760692766167040, 'id_str': '1328760692766167040', 'indices': [3, 12]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334158818343747584/UEWkYw0H_normal.jpg,https://pbs.twimg.com/profile_images/1334158818343747584/UEWkYw0H_normal.jpg,https://pbs.twimg.com/profile_banners/1334158615691726848/1606925262,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1334158615691726848,1334158615691726848,k i t t y 🖤,0kcalkitten,cw: 180.2,,edtwt || cw: fat || ugw: thin,,,False,11,57,0,Wed Dec 02 15:33:04 +0000 2020,64,,,False,False,25,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334158818343747584/UEWkYw0H_normal.jpg,https://pbs.twimg.com/profile_images/1334158818343747584/UEWkYw0H_normal.jpg,https://pbs.twimg.com/profile_banners/1334158615691726848/1606925262,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1334158615691726848,1334158615691726848,k i t t y 🖤,0kcalkitten,cw: 180.2,,edtwt || cw: fat || ugw: thin,,,False,11,57,0,Wed Dec 02 15:33:04 +0000 2020,64,,,False,False,25,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334158818343747584/UEWkYw0H_normal.jpg,https://pbs.twimg.com/profile_images/1334158818343747584/UEWkYw0H_normal.jpg,https://pbs.twimg.com/profile_banners/1334158615691726848/1606925262,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1334158615691726848,1334158615691726848,k i t t y 🖤,0kcalkitten,cw: 180.2,,edtwt || cw: fat || ugw: thin,,,False,11,57,0,Wed Dec 02 15:33:04 +0000 2020,64,,,False,False,25,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334158818343747584/UEWkYw0H_normal.jpg,https://pbs.twimg.com/profile_images/1334158818343747584/UEWkYw0H_normal.jpg,https://pbs.twimg.com/profile_banners/1334158615691726848/1606925262,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id,1334158615691726848,1334158615691726848,k i t t y 🖤,0kcalkitten,cw: 180.2,,edtwt || cw: fat || ugw: thin,,,False,11,57,0,Wed Dec 02 15:33:04 +0000 2020,64,,,False,False,25,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334158818343747584/UEWkYw0H_normal.jpg,https://pbs.twimg.com/profile_images/1334158818343747584/UEWkYw0H_normal.jpg,https://pbs.twimg.com/profile_banners/1334158615691726848/1606925262,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id_str,1334158615691726848,1334158615691726848,k i t t y 🖤,0kcalkitten,cw: 180.2,,edtwt || cw: fat || ugw: thin,,,False,11,57,0,Wed Dec 02 15:33:04 +0000 2020,64,,,False,False,25,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334158818343747584/UEWkYw0H_normal.jpg,https://pbs.twimg.com/profile_images/1334158818343747584/UEWkYw0H_normal.jpg,https://pbs.twimg.com/profile_banners/1334158615691726848/1606925262,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_screen_name,1334158615691726848,1334158615691726848,k i t t y 🖤,0kcalkitten,cw: 180.2,,edtwt || cw: fat || ugw: thin,,,False,11,57,0,Wed Dec 02 15:33:04 +0000 2020,64,,,False,False,25,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334158818343747584/UEWkYw0H_normal.jpg,https://pbs.twimg.com/profile_images/1334158818343747584/UEWkYw0H_normal.jpg,https://pbs.twimg.com/profile_banners/1334158615691726848/1606925262,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
geo,1334158615691726848,1334158615691726848,k i t t y 🖤,0kcalkitten,cw: 180.2,,edtwt || cw: fat || ugw: thin,,,False,11,57,0,Wed Dec 02 15:33:04 +0000 2020,64,,,False,False,25,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334158818343747584/UEWkYw0H_normal.jpg,https://pbs.twimg.com/profile_images/1334158818343747584/UEWkYw0H_normal.jpg,https://pbs.twimg.com/profile_banners/1334158615691726848/1606925262,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
coordinates,1334158615691726848,1334158615691726848,k i t t y 🖤,0kcalkitten,cw: 180.2,,edtwt || cw: fat || ugw: thin,,,False,11,57,0,Wed Dec 02 15:33:04 +0000 2020,64,,,False,False,25,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334158818343747584/UEWkYw0H_normal.jpg,https://pbs.twimg.com/profile_images/1334158818343747584/UEWkYw0H_normal.jpg,https://pbs.twimg.com/profile_banners/1334158615691726848/1606925262,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
place,1334158615691726848,1334158615691726848,k i t t y 🖤,0kcalkitten,cw: 180.2,,edtwt || cw: fat || ugw: thin,,,False,11,57,0,Wed Dec 02 15:33:04 +0000 2020,64,,,False,False,25,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334158818343747584/UEWkYw0H_normal.jpg,https://pbs.twimg.com/profile_images/1334158818343747584/UEWkYw0H_normal.jpg,https://pbs.twimg.com/profile_banners/1334158615691726848/1606925262,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
contributors,1334158615691726848,1334158615691726848,k i t t y 🖤,0kcalkitten,cw: 180.2,,edtwt || cw: fat || ugw: thin,,,False,11,57,0,Wed Dec 02 15:33:04 +0000 2020,64,,,False,False,25,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334158818343747584/UEWkYw0H_normal.jpg,https://pbs.twimg.com/profile_images/1334158818343747584/UEWkYw0H_normal.jpg,https://pbs.twimg.com/profile_banners/1334158615691726848/1606925262,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweeted_status,1334158615691726848,1334158615691726848,k i t t y 🖤,0kcalkitten,cw: 180.2,,edtwt || cw: fat || ugw: thin,,,False,11,57,0,Wed Dec 02 15:33:04 +0000 2020,64,,,False,False,25,,"{'created_at': 'Wed Dec 09 21:12:23 +0000 2020', 'id': 1336780758652919808, 'id_str': '1336780758652919808', 'text': 'yall remember when meghan trainor said she tried to get an eating disorder but couldn\'t bc she ""liked food too much""? yea anyways', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}, 'source': '<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 38, 'favorite_count': 1280, 'favorited': False, 'retweeted': False, 'lang': 'en'}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334158818343747584/UEWkYw0H_normal.jpg,https://pbs.twimg.com/profile_images/1334158818343747584/UEWkYw0H_normal.jpg,https://pbs.twimg.com/profile_banners/1334158615691726848/1606925262,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
is_quote_status,1334158615691726848,1334158615691726848,k i t t y 🖤,0kcalkitten,cw: 180.2,,edtwt || cw: fat || ugw: thin,,,False,11,57,0,Wed Dec 02 15:33:04 +0000 2020,64,,,False,False,25,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334158818343747584/UEWkYw0H_normal.jpg,https://pbs.twimg.com/profile_images/1334158818343747584/UEWkYw0H_normal.jpg,https://pbs.twimg.com/profile_banners/1334158615691726848/1606925262,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweet_count,1334158615691726848,1334158615691726848,k i t t y 🖤,0kcalkitten,cw: 180.2,,edtwt || cw: fat || ugw: thin,,,False,11,57,0,Wed Dec 02 15:33:04 +0000 2020,64,,,False,False,25,,38,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334158818343747584/UEWkYw0H_normal.jpg,https://pbs.twimg.com/profile_images/1334158818343747584/UEWkYw0H_normal.jpg,https://pbs.twimg.com/profile_banners/1334158615691726848/1606925262,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorite_count,1334158615691726848,1334158615691726848,k i t t y 🖤,0kcalkitten,cw: 180.2,,edtwt || cw: fat || ugw: thin,,,False,11,57,0,Wed Dec 02 15:33:04 +0000 2020,64,,,False,False,25,,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334158818343747584/UEWkYw0H_normal.jpg,https://pbs.twimg.com/profile_images/1334158818343747584/UEWkYw0H_normal.jpg,https://pbs.twimg.com/profile_banners/1334158615691726848/1606925262,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
