,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,800520136910245888,800520136910245888,ruffles!,notthechips,ep•tx,,19 | vibologist | he/him,https://t.co/8qpZo7DzjT,"{'urls': [{'url': 'https://t.co/8qpZo7DzjT', 'expanded_url': 'https://www.eptxyds.org/join-us', 'display_url': 'eptxyds.org/join-us', 'indices': [0, 23]}]}",False,1883,1440,18,Mon Nov 21 02:04:08 +0000 2016,124504,,,True,False,30280,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_banners/800520136910245888/1606436495,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
description,800520136910245888,800520136910245888,ruffles!,notthechips,ep•tx,,19 | vibologist | he/him,https://t.co/8qpZo7DzjT,{'urls': []},False,1883,1440,18,Mon Nov 21 02:04:08 +0000 2016,124504,,,True,False,30280,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_banners/800520136910245888/1606436495,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,800520136910245888,800520136910245888,ruffles!,notthechips,ep•tx,,19 | vibologist | he/him,https://t.co/8qpZo7DzjT,,False,1883,1440,18,Mon Nov 21 02:04:08 +0000 2016,124504,,,True,False,30280,,Tue Dec 15 08:15:36 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_banners/800520136910245888/1606436495,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,800520136910245888,800520136910245888,ruffles!,notthechips,ep•tx,,19 | vibologist | he/him,https://t.co/8qpZo7DzjT,,False,1883,1440,18,Mon Nov 21 02:04:08 +0000 2016,124504,,,True,False,30280,,1338759599764205570,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_banners/800520136910245888/1606436495,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,800520136910245888,800520136910245888,ruffles!,notthechips,ep•tx,,19 | vibologist | he/him,https://t.co/8qpZo7DzjT,,False,1883,1440,18,Mon Nov 21 02:04:08 +0000 2016,124504,,,True,False,30280,,1338759599764205570,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_banners/800520136910245888/1606436495,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,800520136910245888,800520136910245888,ruffles!,notthechips,ep•tx,,19 | vibologist | he/him,https://t.co/8qpZo7DzjT,,False,1883,1440,18,Mon Nov 21 02:04:08 +0000 2016,124504,,,True,False,30280,,RT @Steminist_: Men literally only want one thing and it’s disgusting. https://t.co/xxDiFyZ2EC,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_banners/800520136910245888/1606436495,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,800520136910245888,800520136910245888,ruffles!,notthechips,ep•tx,,19 | vibologist | he/him,https://t.co/8qpZo7DzjT,,False,1883,1440,18,Mon Nov 21 02:04:08 +0000 2016,124504,,,True,False,30280,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_banners/800520136910245888/1606436495,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,800520136910245888,800520136910245888,ruffles!,notthechips,ep•tx,,19 | vibologist | he/him,https://t.co/8qpZo7DzjT,,False,1883,1440,18,Mon Nov 21 02:04:08 +0000 2016,124504,,,True,False,30280,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Steminist_', 'name': '𖤐 ᴛʜᴇ לילית ᴄᴏᴍᴘʟᴇx 𖤐', 'id': 892228800657969152, 'id_str': '892228800657969152', 'indices': [3, 14]}], 'urls': [], 'media': [{'id': 1338524275330985991, 'id_str': '1338524275330985991', 'indices': [71, 94], 'media_url': 'http://pbs.twimg.com/media/EpNkvJJXMAcKyFb.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpNkvJJXMAcKyFb.jpg', 'url': 'https://t.co/xxDiFyZ2EC', 'display_url': 'pic.twitter.com/xxDiFyZ2EC', 'expanded_url': 'https://twitter.com/Steminist_/status/1338524283350495239/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1119, 'h': 629, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 382, 'resize': 'fit'}, 'large': {'w': 1119, 'h': 629, 'resize': 'fit'}}, 'source_status_id': 1338524283350495239, 'source_status_id_str': '1338524283350495239', 'source_user_id': 892228800657969152, 'source_user_id_str': '892228800657969152'}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_banners/800520136910245888/1606436495,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
extended_entities,800520136910245888,800520136910245888,ruffles!,notthechips,ep•tx,,19 | vibologist | he/him,https://t.co/8qpZo7DzjT,,False,1883,1440,18,Mon Nov 21 02:04:08 +0000 2016,124504,,,True,False,30280,,"{'media': [{'id': 1338524275330985991, 'id_str': '1338524275330985991', 'indices': [71, 94], 'media_url': 'http://pbs.twimg.com/media/EpNkvJJXMAcKyFb.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpNkvJJXMAcKyFb.jpg', 'url': 'https://t.co/xxDiFyZ2EC', 'display_url': 'pic.twitter.com/xxDiFyZ2EC', 'expanded_url': 'https://twitter.com/Steminist_/status/1338524283350495239/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1119, 'h': 629, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 382, 'resize': 'fit'}, 'large': {'w': 1119, 'h': 629, 'resize': 'fit'}}, 'source_status_id': 1338524283350495239, 'source_status_id_str': '1338524283350495239', 'source_user_id': 892228800657969152, 'source_user_id_str': '892228800657969152'}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_banners/800520136910245888/1606436495,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,800520136910245888,800520136910245888,ruffles!,notthechips,ep•tx,,19 | vibologist | he/him,https://t.co/8qpZo7DzjT,,False,1883,1440,18,Mon Nov 21 02:04:08 +0000 2016,124504,,,True,False,30280,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_banners/800520136910245888/1606436495,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,800520136910245888,800520136910245888,ruffles!,notthechips,ep•tx,,19 | vibologist | he/him,https://t.co/8qpZo7DzjT,,False,1883,1440,18,Mon Nov 21 02:04:08 +0000 2016,124504,,,True,False,30280,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_banners/800520136910245888/1606436495,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
