,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1210367946280722433,1210367946280722433,E.T Shows Hole,MeBitchigotTime,"California, USA",,She/Her || Stop checking my bio. Bitch I’m the cat’s meow 🐱I make AND sell content 🔞,https://t.co/XTlN90nGwV,"{'urls': [{'url': 'https://t.co/XTlN90nGwV', 'expanded_url': 'https://cash.app/$uzo5', 'display_url': 'cash.app/$uzo5', 'indices': [0, 23]}]}",False,2336,1240,7,Fri Dec 27 01:13:13 +0000 2019,109919,,,False,False,72299,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1275362133958463490/WLWDd5U4_normal.jpg,https://pbs.twimg.com/profile_images/1275362133958463490/WLWDd5U4_normal.jpg,https://pbs.twimg.com/profile_banners/1210367946280722433/1603336996,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
description,1210367946280722433,1210367946280722433,E.T Shows Hole,MeBitchigotTime,"California, USA",,She/Her || Stop checking my bio. Bitch I’m the cat’s meow 🐱I make AND sell content 🔞,https://t.co/XTlN90nGwV,{'urls': []},False,2336,1240,7,Fri Dec 27 01:13:13 +0000 2019,109919,,,False,False,72299,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1275362133958463490/WLWDd5U4_normal.jpg,https://pbs.twimg.com/profile_images/1275362133958463490/WLWDd5U4_normal.jpg,https://pbs.twimg.com/profile_banners/1210367946280722433/1603336996,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1210367946280722433,1210367946280722433,E.T Shows Hole,MeBitchigotTime,"California, USA",,She/Her || Stop checking my bio. Bitch I’m the cat’s meow 🐱I make AND sell content 🔞,https://t.co/XTlN90nGwV,,False,2336,1240,7,Fri Dec 27 01:13:13 +0000 2019,109919,,,False,False,72299,,Tue Dec 15 08:41:39 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1275362133958463490/WLWDd5U4_normal.jpg,https://pbs.twimg.com/profile_images/1275362133958463490/WLWDd5U4_normal.jpg,https://pbs.twimg.com/profile_banners/1210367946280722433/1603336996,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1210367946280722433,1210367946280722433,E.T Shows Hole,MeBitchigotTime,"California, USA",,She/Her || Stop checking my bio. Bitch I’m the cat’s meow 🐱I make AND sell content 🔞,https://t.co/XTlN90nGwV,,False,2336,1240,7,Fri Dec 27 01:13:13 +0000 2019,109919,,,False,False,72299,,1338766157763936262,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1275362133958463490/WLWDd5U4_normal.jpg,https://pbs.twimg.com/profile_images/1275362133958463490/WLWDd5U4_normal.jpg,https://pbs.twimg.com/profile_banners/1210367946280722433/1603336996,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1210367946280722433,1210367946280722433,E.T Shows Hole,MeBitchigotTime,"California, USA",,She/Her || Stop checking my bio. Bitch I’m the cat’s meow 🐱I make AND sell content 🔞,https://t.co/XTlN90nGwV,,False,2336,1240,7,Fri Dec 27 01:13:13 +0000 2019,109919,,,False,False,72299,,1338766157763936262,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1275362133958463490/WLWDd5U4_normal.jpg,https://pbs.twimg.com/profile_images/1275362133958463490/WLWDd5U4_normal.jpg,https://pbs.twimg.com/profile_banners/1210367946280722433/1603336996,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1210367946280722433,1210367946280722433,E.T Shows Hole,MeBitchigotTime,"California, USA",,She/Her || Stop checking my bio. Bitch I’m the cat’s meow 🐱I make AND sell content 🔞,https://t.co/XTlN90nGwV,,False,2336,1240,7,Fri Dec 27 01:13:13 +0000 2019,109919,,,False,False,72299,,RT @yofavebaddie: literally has a book dedicated to about it 😭,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1275362133958463490/WLWDd5U4_normal.jpg,https://pbs.twimg.com/profile_images/1275362133958463490/WLWDd5U4_normal.jpg,https://pbs.twimg.com/profile_banners/1210367946280722433/1603336996,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1210367946280722433,1210367946280722433,E.T Shows Hole,MeBitchigotTime,"California, USA",,She/Her || Stop checking my bio. Bitch I’m the cat’s meow 🐱I make AND sell content 🔞,https://t.co/XTlN90nGwV,,False,2336,1240,7,Fri Dec 27 01:13:13 +0000 2019,109919,,,False,False,72299,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1275362133958463490/WLWDd5U4_normal.jpg,https://pbs.twimg.com/profile_images/1275362133958463490/WLWDd5U4_normal.jpg,https://pbs.twimg.com/profile_banners/1210367946280722433/1603336996,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1210367946280722433,1210367946280722433,E.T Shows Hole,MeBitchigotTime,"California, USA",,She/Her || Stop checking my bio. Bitch I’m the cat’s meow 🐱I make AND sell content 🔞,https://t.co/XTlN90nGwV,,False,2336,1240,7,Fri Dec 27 01:13:13 +0000 2019,109919,,,False,False,72299,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'yofavebaddie', 'name': 'blue ivy’s auntie ✭', 'id': 1146860550850146304, 'id_str': '1146860550850146304', 'indices': [3, 16]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1275362133958463490/WLWDd5U4_normal.jpg,https://pbs.twimg.com/profile_images/1275362133958463490/WLWDd5U4_normal.jpg,https://pbs.twimg.com/profile_banners/1210367946280722433/1603336996,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1210367946280722433,1210367946280722433,E.T Shows Hole,MeBitchigotTime,"California, USA",,She/Her || Stop checking my bio. Bitch I’m the cat’s meow 🐱I make AND sell content 🔞,https://t.co/XTlN90nGwV,,False,2336,1240,7,Fri Dec 27 01:13:13 +0000 2019,109919,,,False,False,72299,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1275362133958463490/WLWDd5U4_normal.jpg,https://pbs.twimg.com/profile_images/1275362133958463490/WLWDd5U4_normal.jpg,https://pbs.twimg.com/profile_banners/1210367946280722433/1603336996,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1210367946280722433,1210367946280722433,E.T Shows Hole,MeBitchigotTime,"California, USA",,She/Her || Stop checking my bio. Bitch I’m the cat’s meow 🐱I make AND sell content 🔞,https://t.co/XTlN90nGwV,,False,2336,1240,7,Fri Dec 27 01:13:13 +0000 2019,109919,,,False,False,72299,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1275362133958463490/WLWDd5U4_normal.jpg,https://pbs.twimg.com/profile_images/1275362133958463490/WLWDd5U4_normal.jpg,https://pbs.twimg.com/profile_banners/1210367946280722433/1603336996,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1210367946280722433,1210367946280722433,E.T Shows Hole,MeBitchigotTime,"California, USA",,She/Her || Stop checking my bio. Bitch I’m the cat’s meow 🐱I make AND sell content 🔞,https://t.co/XTlN90nGwV,,False,2336,1240,7,Fri Dec 27 01:13:13 +0000 2019,109919,,,False,False,72299,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1275362133958463490/WLWDd5U4_normal.jpg,https://pbs.twimg.com/profile_images/1275362133958463490/WLWDd5U4_normal.jpg,https://pbs.twimg.com/profile_banners/1210367946280722433/1603336996,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id,1210367946280722433,1210367946280722433,E.T Shows Hole,MeBitchigotTime,"California, USA",,She/Her || Stop checking my bio. Bitch I’m the cat’s meow 🐱I make AND sell content 🔞,https://t.co/XTlN90nGwV,,False,2336,1240,7,Fri Dec 27 01:13:13 +0000 2019,109919,,,False,False,72299,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1275362133958463490/WLWDd5U4_normal.jpg,https://pbs.twimg.com/profile_images/1275362133958463490/WLWDd5U4_normal.jpg,https://pbs.twimg.com/profile_banners/1210367946280722433/1603336996,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id_str,1210367946280722433,1210367946280722433,E.T Shows Hole,MeBitchigotTime,"California, USA",,She/Her || Stop checking my bio. Bitch I’m the cat’s meow 🐱I make AND sell content 🔞,https://t.co/XTlN90nGwV,,False,2336,1240,7,Fri Dec 27 01:13:13 +0000 2019,109919,,,False,False,72299,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1275362133958463490/WLWDd5U4_normal.jpg,https://pbs.twimg.com/profile_images/1275362133958463490/WLWDd5U4_normal.jpg,https://pbs.twimg.com/profile_banners/1210367946280722433/1603336996,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
