,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1163600753937801217,1163600753937801217,angel 🍄 PINNED IF UNF,babyhslot,"feel you on my neck while i'm calling a taxi, climbing over me while i climb in the backseat; now we're taking off, now we're taking it off tonight",,— lourrie ً࿐ ࿔*:･ﾟ ᵎᵎ SHE¡HER ²⁸,https://t.co/IFpV0CNVsU,"{'urls': [{'url': 'https://t.co/IFpV0CNVsU', 'expanded_url': 'http://bunnylouis.carrd.co', 'display_url': 'bunnylouis.carrd.co', 'indices': [0, 23]}]}",False,1419,1028,21,Mon Aug 19 23:56:59 +0000 2019,44399,,,False,False,33295,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338607983736082432/72XaSZfd_normal.jpg,https://pbs.twimg.com/profile_images/1338607983736082432/72XaSZfd_normal.jpg,https://pbs.twimg.com/profile_banners/1163600753937801217/1607983989,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
description,1163600753937801217,1163600753937801217,angel 🍄 PINNED IF UNF,babyhslot,"feel you on my neck while i'm calling a taxi, climbing over me while i climb in the backseat; now we're taking off, now we're taking it off tonight",,— lourrie ً࿐ ࿔*:･ﾟ ᵎᵎ SHE¡HER ²⁸,https://t.co/IFpV0CNVsU,{'urls': []},False,1419,1028,21,Mon Aug 19 23:56:59 +0000 2019,44399,,,False,False,33295,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338607983736082432/72XaSZfd_normal.jpg,https://pbs.twimg.com/profile_images/1338607983736082432/72XaSZfd_normal.jpg,https://pbs.twimg.com/profile_banners/1163600753937801217/1607983989,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1163600753937801217,1163600753937801217,angel 🍄 PINNED IF UNF,babyhslot,"feel you on my neck while i'm calling a taxi, climbing over me while i climb in the backseat; now we're taking off, now we're taking it off tonight",,— lourrie ً࿐ ࿔*:･ﾟ ᵎᵎ SHE¡HER ²⁸,https://t.co/IFpV0CNVsU,,False,1419,1028,21,Mon Aug 19 23:56:59 +0000 2019,44399,,,False,False,33295,,Tue Dec 15 04:50:04 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338607983736082432/72XaSZfd_normal.jpg,https://pbs.twimg.com/profile_images/1338607983736082432/72XaSZfd_normal.jpg,https://pbs.twimg.com/profile_banners/1163600753937801217/1607983989,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1163600753937801217,1163600753937801217,angel 🍄 PINNED IF UNF,babyhslot,"feel you on my neck while i'm calling a taxi, climbing over me while i climb in the backseat; now we're taking off, now we're taking it off tonight",,— lourrie ً࿐ ࿔*:･ﾟ ᵎᵎ SHE¡HER ²⁸,https://t.co/IFpV0CNVsU,,False,1419,1028,21,Mon Aug 19 23:56:59 +0000 2019,44399,,,False,False,33295,,1338707878673330177,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338607983736082432/72XaSZfd_normal.jpg,https://pbs.twimg.com/profile_images/1338607983736082432/72XaSZfd_normal.jpg,https://pbs.twimg.com/profile_banners/1163600753937801217/1607983989,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1163600753937801217,1163600753937801217,angel 🍄 PINNED IF UNF,babyhslot,"feel you on my neck while i'm calling a taxi, climbing over me while i climb in the backseat; now we're taking off, now we're taking it off tonight",,— lourrie ً࿐ ࿔*:･ﾟ ᵎᵎ SHE¡HER ²⁸,https://t.co/IFpV0CNVsU,,False,1419,1028,21,Mon Aug 19 23:56:59 +0000 2019,44399,,,False,False,33295,,1338707878673330177,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338607983736082432/72XaSZfd_normal.jpg,https://pbs.twimg.com/profile_images/1338607983736082432/72XaSZfd_normal.jpg,https://pbs.twimg.com/profile_banners/1163600753937801217/1607983989,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1163600753937801217,1163600753937801217,angel 🍄 PINNED IF UNF,babyhslot,"feel you on my neck while i'm calling a taxi, climbing over me while i climb in the backseat; now we're taking off, now we're taking it off tonight",,— lourrie ً࿐ ࿔*:･ﾟ ᵎᵎ SHE¡HER ²⁸,https://t.co/IFpV0CNVsU,,False,1419,1028,21,Mon Aug 19 23:56:59 +0000 2019,44399,,,False,False,33295,,RT @Harry_Styles: @zaynmalik love you too bro...even though you make my belly button glow in the dark.,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338607983736082432/72XaSZfd_normal.jpg,https://pbs.twimg.com/profile_images/1338607983736082432/72XaSZfd_normal.jpg,https://pbs.twimg.com/profile_banners/1163600753937801217/1607983989,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1163600753937801217,1163600753937801217,angel 🍄 PINNED IF UNF,babyhslot,"feel you on my neck while i'm calling a taxi, climbing over me while i climb in the backseat; now we're taking off, now we're taking it off tonight",,— lourrie ً࿐ ࿔*:･ﾟ ᵎᵎ SHE¡HER ²⁸,https://t.co/IFpV0CNVsU,,False,1419,1028,21,Mon Aug 19 23:56:59 +0000 2019,44399,,,False,False,33295,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338607983736082432/72XaSZfd_normal.jpg,https://pbs.twimg.com/profile_images/1338607983736082432/72XaSZfd_normal.jpg,https://pbs.twimg.com/profile_banners/1163600753937801217/1607983989,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1163600753937801217,1163600753937801217,angel 🍄 PINNED IF UNF,babyhslot,"feel you on my neck while i'm calling a taxi, climbing over me while i climb in the backseat; now we're taking off, now we're taking it off tonight",,— lourrie ً࿐ ࿔*:･ﾟ ᵎᵎ SHE¡HER ²⁸,https://t.co/IFpV0CNVsU,,False,1419,1028,21,Mon Aug 19 23:56:59 +0000 2019,44399,,,False,False,33295,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Harry_Styles', 'name': 'Harry Styles.', 'id': 181561712, 'id_str': '181561712', 'indices': [3, 16]}, {'screen_name': 'zaynmalik', 'name': 'zayn', 'id': 176566242, 'id_str': '176566242', 'indices': [18, 28]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338607983736082432/72XaSZfd_normal.jpg,https://pbs.twimg.com/profile_images/1338607983736082432/72XaSZfd_normal.jpg,https://pbs.twimg.com/profile_banners/1163600753937801217/1607983989,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1163600753937801217,1163600753937801217,angel 🍄 PINNED IF UNF,babyhslot,"feel you on my neck while i'm calling a taxi, climbing over me while i climb in the backseat; now we're taking off, now we're taking it off tonight",,— lourrie ً࿐ ࿔*:･ﾟ ᵎᵎ SHE¡HER ²⁸,https://t.co/IFpV0CNVsU,,False,1419,1028,21,Mon Aug 19 23:56:59 +0000 2019,44399,,,False,False,33295,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338607983736082432/72XaSZfd_normal.jpg,https://pbs.twimg.com/profile_images/1338607983736082432/72XaSZfd_normal.jpg,https://pbs.twimg.com/profile_banners/1163600753937801217/1607983989,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1163600753937801217,1163600753937801217,angel 🍄 PINNED IF UNF,babyhslot,"feel you on my neck while i'm calling a taxi, climbing over me while i climb in the backseat; now we're taking off, now we're taking it off tonight",,— lourrie ً࿐ ࿔*:･ﾟ ᵎᵎ SHE¡HER ²⁸,https://t.co/IFpV0CNVsU,,False,1419,1028,21,Mon Aug 19 23:56:59 +0000 2019,44399,,,False,False,33295,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338607983736082432/72XaSZfd_normal.jpg,https://pbs.twimg.com/profile_images/1338607983736082432/72XaSZfd_normal.jpg,https://pbs.twimg.com/profile_banners/1163600753937801217/1607983989,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1163600753937801217,1163600753937801217,angel 🍄 PINNED IF UNF,babyhslot,"feel you on my neck while i'm calling a taxi, climbing over me while i climb in the backseat; now we're taking off, now we're taking it off tonight",,— lourrie ً࿐ ࿔*:･ﾟ ᵎᵎ SHE¡HER ²⁸,https://t.co/IFpV0CNVsU,,False,1419,1028,21,Mon Aug 19 23:56:59 +0000 2019,44399,,,False,False,33295,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338607983736082432/72XaSZfd_normal.jpg,https://pbs.twimg.com/profile_images/1338607983736082432/72XaSZfd_normal.jpg,https://pbs.twimg.com/profile_banners/1163600753937801217/1607983989,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id,1163600753937801217,1163600753937801217,angel 🍄 PINNED IF UNF,babyhslot,"feel you on my neck while i'm calling a taxi, climbing over me while i climb in the backseat; now we're taking off, now we're taking it off tonight",,— lourrie ً࿐ ࿔*:･ﾟ ᵎᵎ SHE¡HER ²⁸,https://t.co/IFpV0CNVsU,,False,1419,1028,21,Mon Aug 19 23:56:59 +0000 2019,44399,,,False,False,33295,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338607983736082432/72XaSZfd_normal.jpg,https://pbs.twimg.com/profile_images/1338607983736082432/72XaSZfd_normal.jpg,https://pbs.twimg.com/profile_banners/1163600753937801217/1607983989,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id_str,1163600753937801217,1163600753937801217,angel 🍄 PINNED IF UNF,babyhslot,"feel you on my neck while i'm calling a taxi, climbing over me while i climb in the backseat; now we're taking off, now we're taking it off tonight",,— lourrie ً࿐ ࿔*:･ﾟ ᵎᵎ SHE¡HER ²⁸,https://t.co/IFpV0CNVsU,,False,1419,1028,21,Mon Aug 19 23:56:59 +0000 2019,44399,,,False,False,33295,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338607983736082432/72XaSZfd_normal.jpg,https://pbs.twimg.com/profile_images/1338607983736082432/72XaSZfd_normal.jpg,https://pbs.twimg.com/profile_banners/1163600753937801217/1607983989,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
