,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1314662763659227143,1314662763659227143,gloss ♡ aloe superiority,glosslino,ed nsfw sh || 16,,she/they | vent acc | hard gore dni,,{'urls': []},False,333,229,10,Fri Oct 09 20:23:45 +0000 2020,8600,,,False,False,6216,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333485512330534918/mi_dDpSv_normal.jpg,https://pbs.twimg.com/profile_images/1333485512330534918/mi_dDpSv_normal.jpg,https://pbs.twimg.com/profile_banners/1314662763659227143/1607457045,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1314662763659227143,1314662763659227143,gloss ♡ aloe superiority,glosslino,ed nsfw sh || 16,,she/they | vent acc | hard gore dni,,,False,333,229,10,Fri Oct 09 20:23:45 +0000 2020,8600,,,False,False,6216,,Tue Dec 15 08:07:42 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333485512330534918/mi_dDpSv_normal.jpg,https://pbs.twimg.com/profile_images/1333485512330534918/mi_dDpSv_normal.jpg,https://pbs.twimg.com/profile_banners/1314662763659227143/1607457045,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1314662763659227143,1314662763659227143,gloss ♡ aloe superiority,glosslino,ed nsfw sh || 16,,she/they | vent acc | hard gore dni,,,False,333,229,10,Fri Oct 09 20:23:45 +0000 2020,8600,,,False,False,6216,,1338757612683268098,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333485512330534918/mi_dDpSv_normal.jpg,https://pbs.twimg.com/profile_images/1333485512330534918/mi_dDpSv_normal.jpg,https://pbs.twimg.com/profile_banners/1314662763659227143/1607457045,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1314662763659227143,1314662763659227143,gloss ♡ aloe superiority,glosslino,ed nsfw sh || 16,,she/they | vent acc | hard gore dni,,,False,333,229,10,Fri Oct 09 20:23:45 +0000 2020,8600,,,False,False,6216,,1338757612683268098,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333485512330534918/mi_dDpSv_normal.jpg,https://pbs.twimg.com/profile_images/1333485512330534918/mi_dDpSv_normal.jpg,https://pbs.twimg.com/profile_banners/1314662763659227143/1607457045,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1314662763659227143,1314662763659227143,gloss ♡ aloe superiority,glosslino,ed nsfw sh || 16,,she/they | vent acc | hard gore dni,,,False,333,229,10,Fri Oct 09 20:23:45 +0000 2020,8600,,,False,False,6216,,@mikasalbs HI,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333485512330534918/mi_dDpSv_normal.jpg,https://pbs.twimg.com/profile_images/1333485512330534918/mi_dDpSv_normal.jpg,https://pbs.twimg.com/profile_banners/1314662763659227143/1607457045,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1314662763659227143,1314662763659227143,gloss ♡ aloe superiority,glosslino,ed nsfw sh || 16,,she/they | vent acc | hard gore dni,,,False,333,229,10,Fri Oct 09 20:23:45 +0000 2020,8600,,,False,False,6216,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333485512330534918/mi_dDpSv_normal.jpg,https://pbs.twimg.com/profile_images/1333485512330534918/mi_dDpSv_normal.jpg,https://pbs.twimg.com/profile_banners/1314662763659227143/1607457045,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1314662763659227143,1314662763659227143,gloss ♡ aloe superiority,glosslino,ed nsfw sh || 16,,she/they | vent acc | hard gore dni,,,False,333,229,10,Fri Oct 09 20:23:45 +0000 2020,8600,,,False,False,6216,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mikasalbs', 'name': 'aloe ^ↀᴥↀ^ gloss superiority', 'id': 1304887467833782273, 'id_str': '1304887467833782273', 'indices': [0, 10]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333485512330534918/mi_dDpSv_normal.jpg,https://pbs.twimg.com/profile_images/1333485512330534918/mi_dDpSv_normal.jpg,https://pbs.twimg.com/profile_banners/1314662763659227143/1607457045,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1314662763659227143,1314662763659227143,gloss ♡ aloe superiority,glosslino,ed nsfw sh || 16,,she/they | vent acc | hard gore dni,,,False,333,229,10,Fri Oct 09 20:23:45 +0000 2020,8600,,,False,False,6216,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333485512330534918/mi_dDpSv_normal.jpg,https://pbs.twimg.com/profile_images/1333485512330534918/mi_dDpSv_normal.jpg,https://pbs.twimg.com/profile_banners/1314662763659227143/1607457045,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1314662763659227143,1314662763659227143,gloss ♡ aloe superiority,glosslino,ed nsfw sh || 16,,she/they | vent acc | hard gore dni,,,False,333,229,10,Fri Oct 09 20:23:45 +0000 2020,8600,,,False,False,6216,,1338755595852263426,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333485512330534918/mi_dDpSv_normal.jpg,https://pbs.twimg.com/profile_images/1333485512330534918/mi_dDpSv_normal.jpg,https://pbs.twimg.com/profile_banners/1314662763659227143/1607457045,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1314662763659227143,1314662763659227143,gloss ♡ aloe superiority,glosslino,ed nsfw sh || 16,,she/they | vent acc | hard gore dni,,,False,333,229,10,Fri Oct 09 20:23:45 +0000 2020,8600,,,False,False,6216,,1338755595852263426,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333485512330534918/mi_dDpSv_normal.jpg,https://pbs.twimg.com/profile_images/1333485512330534918/mi_dDpSv_normal.jpg,https://pbs.twimg.com/profile_banners/1314662763659227143/1607457045,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id,1314662763659227143,1314662763659227143,gloss ♡ aloe superiority,glosslino,ed nsfw sh || 16,,she/they | vent acc | hard gore dni,,,False,333,229,10,Fri Oct 09 20:23:45 +0000 2020,8600,,,False,False,6216,,1304887467833782273,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333485512330534918/mi_dDpSv_normal.jpg,https://pbs.twimg.com/profile_images/1333485512330534918/mi_dDpSv_normal.jpg,https://pbs.twimg.com/profile_banners/1314662763659227143/1607457045,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
