,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,788812952467939328,788812952467939328,Dylsauce,DylsauceTV,Canada,,| 26 | Twitch Affiliate | Dragon Ball Fanatic | Content Creator | Business inquiries: dylsaucetv@gmail.com |,https://t.co/Ry9Ko5YfwL,"{'urls': [{'url': 'https://t.co/Ry9Ko5YfwL', 'expanded_url': 'http://www.twitch.tv/dylsaucetv', 'display_url': 'twitch.tv/dylsaucetv', 'indices': [0, 23]}]}",False,45,129,2,Wed Oct 19 18:43:58 +0000 2016,573,,,False,False,1302,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1219739294107127808/X6BhSlp5_normal.jpg,https://pbs.twimg.com/profile_images/1219739294107127808/X6BhSlp5_normal.jpg,https://pbs.twimg.com/profile_banners/788812952467939328/1578356414,FF691F,000000,000000,000000,False,True,False,False,False,False,False,none
description,788812952467939328,788812952467939328,Dylsauce,DylsauceTV,Canada,,| 26 | Twitch Affiliate | Dragon Ball Fanatic | Content Creator | Business inquiries: dylsaucetv@gmail.com |,https://t.co/Ry9Ko5YfwL,{'urls': []},False,45,129,2,Wed Oct 19 18:43:58 +0000 2016,573,,,False,False,1302,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1219739294107127808/X6BhSlp5_normal.jpg,https://pbs.twimg.com/profile_images/1219739294107127808/X6BhSlp5_normal.jpg,https://pbs.twimg.com/profile_banners/788812952467939328/1578356414,FF691F,000000,000000,000000,False,True,False,False,False,False,False,none
created_at,788812952467939328,788812952467939328,Dylsauce,DylsauceTV,Canada,,| 26 | Twitch Affiliate | Dragon Ball Fanatic | Content Creator | Business inquiries: dylsaucetv@gmail.com |,https://t.co/Ry9Ko5YfwL,,False,45,129,2,Wed Oct 19 18:43:58 +0000 2016,573,,,False,False,1302,,Sun Dec 13 01:39:14 +0000 2020,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1219739294107127808/X6BhSlp5_normal.jpg,https://pbs.twimg.com/profile_images/1219739294107127808/X6BhSlp5_normal.jpg,https://pbs.twimg.com/profile_banners/788812952467939328/1578356414,FF691F,000000,000000,000000,False,True,False,False,False,False,False,none
id,788812952467939328,788812952467939328,Dylsauce,DylsauceTV,Canada,,| 26 | Twitch Affiliate | Dragon Ball Fanatic | Content Creator | Business inquiries: dylsaucetv@gmail.com |,https://t.co/Ry9Ko5YfwL,,False,45,129,2,Wed Oct 19 18:43:58 +0000 2016,573,,,False,False,1302,,1337935077502750724,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1219739294107127808/X6BhSlp5_normal.jpg,https://pbs.twimg.com/profile_images/1219739294107127808/X6BhSlp5_normal.jpg,https://pbs.twimg.com/profile_banners/788812952467939328/1578356414,FF691F,000000,000000,000000,False,True,False,False,False,False,False,none
id_str,788812952467939328,788812952467939328,Dylsauce,DylsauceTV,Canada,,| 26 | Twitch Affiliate | Dragon Ball Fanatic | Content Creator | Business inquiries: dylsaucetv@gmail.com |,https://t.co/Ry9Ko5YfwL,,False,45,129,2,Wed Oct 19 18:43:58 +0000 2016,573,,,False,False,1302,,1337935077502750724,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1219739294107127808/X6BhSlp5_normal.jpg,https://pbs.twimg.com/profile_images/1219739294107127808/X6BhSlp5_normal.jpg,https://pbs.twimg.com/profile_banners/788812952467939328/1578356414,FF691F,000000,000000,000000,False,True,False,False,False,False,False,none
text,788812952467939328,788812952467939328,Dylsauce,DylsauceTV,Canada,,| 26 | Twitch Affiliate | Dragon Ball Fanatic | Content Creator | Business inquiries: dylsaucetv@gmail.com |,https://t.co/Ry9Ko5YfwL,,False,45,129,2,Wed Oct 19 18:43:58 +0000 2016,573,,,False,False,1302,,I just FaceTimed my girlfriend from 10ft away to flip her off. Sometimes I wonder why she hasn’t left me😂,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1219739294107127808/X6BhSlp5_normal.jpg,https://pbs.twimg.com/profile_images/1219739294107127808/X6BhSlp5_normal.jpg,https://pbs.twimg.com/profile_banners/788812952467939328/1578356414,FF691F,000000,000000,000000,False,True,False,False,False,False,False,none
truncated,788812952467939328,788812952467939328,Dylsauce,DylsauceTV,Canada,,| 26 | Twitch Affiliate | Dragon Ball Fanatic | Content Creator | Business inquiries: dylsaucetv@gmail.com |,https://t.co/Ry9Ko5YfwL,,False,45,129,2,Wed Oct 19 18:43:58 +0000 2016,573,,,False,False,1302,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1219739294107127808/X6BhSlp5_normal.jpg,https://pbs.twimg.com/profile_images/1219739294107127808/X6BhSlp5_normal.jpg,https://pbs.twimg.com/profile_banners/788812952467939328/1578356414,FF691F,000000,000000,000000,False,True,False,False,False,False,False,none
entities,788812952467939328,788812952467939328,Dylsauce,DylsauceTV,Canada,,| 26 | Twitch Affiliate | Dragon Ball Fanatic | Content Creator | Business inquiries: dylsaucetv@gmail.com |,https://t.co/Ry9Ko5YfwL,,False,45,129,2,Wed Oct 19 18:43:58 +0000 2016,573,,,False,False,1302,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1219739294107127808/X6BhSlp5_normal.jpg,https://pbs.twimg.com/profile_images/1219739294107127808/X6BhSlp5_normal.jpg,https://pbs.twimg.com/profile_banners/788812952467939328/1578356414,FF691F,000000,000000,000000,False,True,False,False,False,False,False,none
source,788812952467939328,788812952467939328,Dylsauce,DylsauceTV,Canada,,| 26 | Twitch Affiliate | Dragon Ball Fanatic | Content Creator | Business inquiries: dylsaucetv@gmail.com |,https://t.co/Ry9Ko5YfwL,,False,45,129,2,Wed Oct 19 18:43:58 +0000 2016,573,,,False,False,1302,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1219739294107127808/X6BhSlp5_normal.jpg,https://pbs.twimg.com/profile_images/1219739294107127808/X6BhSlp5_normal.jpg,https://pbs.twimg.com/profile_banners/788812952467939328/1578356414,FF691F,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_status_id,788812952467939328,788812952467939328,Dylsauce,DylsauceTV,Canada,,| 26 | Twitch Affiliate | Dragon Ball Fanatic | Content Creator | Business inquiries: dylsaucetv@gmail.com |,https://t.co/Ry9Ko5YfwL,,False,45,129,2,Wed Oct 19 18:43:58 +0000 2016,573,,,False,False,1302,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1219739294107127808/X6BhSlp5_normal.jpg,https://pbs.twimg.com/profile_images/1219739294107127808/X6BhSlp5_normal.jpg,https://pbs.twimg.com/profile_banners/788812952467939328/1578356414,FF691F,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_status_id_str,788812952467939328,788812952467939328,Dylsauce,DylsauceTV,Canada,,| 26 | Twitch Affiliate | Dragon Ball Fanatic | Content Creator | Business inquiries: dylsaucetv@gmail.com |,https://t.co/Ry9Ko5YfwL,,False,45,129,2,Wed Oct 19 18:43:58 +0000 2016,573,,,False,False,1302,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1219739294107127808/X6BhSlp5_normal.jpg,https://pbs.twimg.com/profile_images/1219739294107127808/X6BhSlp5_normal.jpg,https://pbs.twimg.com/profile_banners/788812952467939328/1578356414,FF691F,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_user_id,788812952467939328,788812952467939328,Dylsauce,DylsauceTV,Canada,,| 26 | Twitch Affiliate | Dragon Ball Fanatic | Content Creator | Business inquiries: dylsaucetv@gmail.com |,https://t.co/Ry9Ko5YfwL,,False,45,129,2,Wed Oct 19 18:43:58 +0000 2016,573,,,False,False,1302,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1219739294107127808/X6BhSlp5_normal.jpg,https://pbs.twimg.com/profile_images/1219739294107127808/X6BhSlp5_normal.jpg,https://pbs.twimg.com/profile_banners/788812952467939328/1578356414,FF691F,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_user_id_str,788812952467939328,788812952467939328,Dylsauce,DylsauceTV,Canada,,| 26 | Twitch Affiliate | Dragon Ball Fanatic | Content Creator | Business inquiries: dylsaucetv@gmail.com |,https://t.co/Ry9Ko5YfwL,,False,45,129,2,Wed Oct 19 18:43:58 +0000 2016,573,,,False,False,1302,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1219739294107127808/X6BhSlp5_normal.jpg,https://pbs.twimg.com/profile_images/1219739294107127808/X6BhSlp5_normal.jpg,https://pbs.twimg.com/profile_banners/788812952467939328/1578356414,FF691F,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_screen_name,788812952467939328,788812952467939328,Dylsauce,DylsauceTV,Canada,,| 26 | Twitch Affiliate | Dragon Ball Fanatic | Content Creator | Business inquiries: dylsaucetv@gmail.com |,https://t.co/Ry9Ko5YfwL,,False,45,129,2,Wed Oct 19 18:43:58 +0000 2016,573,,,False,False,1302,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1219739294107127808/X6BhSlp5_normal.jpg,https://pbs.twimg.com/profile_images/1219739294107127808/X6BhSlp5_normal.jpg,https://pbs.twimg.com/profile_banners/788812952467939328/1578356414,FF691F,000000,000000,000000,False,True,False,False,False,False,False,none
geo,788812952467939328,788812952467939328,Dylsauce,DylsauceTV,Canada,,| 26 | Twitch Affiliate | Dragon Ball Fanatic | Content Creator | Business inquiries: dylsaucetv@gmail.com |,https://t.co/Ry9Ko5YfwL,,False,45,129,2,Wed Oct 19 18:43:58 +0000 2016,573,,,False,False,1302,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1219739294107127808/X6BhSlp5_normal.jpg,https://pbs.twimg.com/profile_images/1219739294107127808/X6BhSlp5_normal.jpg,https://pbs.twimg.com/profile_banners/788812952467939328/1578356414,FF691F,000000,000000,000000,False,True,False,False,False,False,False,none
coordinates,788812952467939328,788812952467939328,Dylsauce,DylsauceTV,Canada,,| 26 | Twitch Affiliate | Dragon Ball Fanatic | Content Creator | Business inquiries: dylsaucetv@gmail.com |,https://t.co/Ry9Ko5YfwL,,False,45,129,2,Wed Oct 19 18:43:58 +0000 2016,573,,,False,False,1302,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1219739294107127808/X6BhSlp5_normal.jpg,https://pbs.twimg.com/profile_images/1219739294107127808/X6BhSlp5_normal.jpg,https://pbs.twimg.com/profile_banners/788812952467939328/1578356414,FF691F,000000,000000,000000,False,True,False,False,False,False,False,none
