,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1280350892240392193,1280350892240392193,NH Politics🪨,nhpol603,"New Hampshire, USA",,NH Politics | Crayon Maps | Not An Expert | @NHHTbot,,{'urls': []},False,1371,923,15,Tue Jul 07 04:00:24 +0000 2020,16124,,,False,False,8713,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324393839881236481/c4cKBiQ2_normal.jpg,https://pbs.twimg.com/profile_images/1324393839881236481/c4cKBiQ2_normal.jpg,https://pbs.twimg.com/profile_banners/1280350892240392193/1606234503,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
created_at,1280350892240392193,1280350892240392193,NH Politics🪨,nhpol603,"New Hampshire, USA",,NH Politics | Crayon Maps | Not An Expert | @NHHTbot,,,False,1371,923,15,Tue Jul 07 04:00:24 +0000 2020,16124,,,False,False,8713,,Wed Dec 16 04:28:25 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324393839881236481/c4cKBiQ2_normal.jpg,https://pbs.twimg.com/profile_images/1324393839881236481/c4cKBiQ2_normal.jpg,https://pbs.twimg.com/profile_banners/1280350892240392193/1606234503,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
id,1280350892240392193,1280350892240392193,NH Politics🪨,nhpol603,"New Hampshire, USA",,NH Politics | Crayon Maps | Not An Expert | @NHHTbot,,,False,1371,923,15,Tue Jul 07 04:00:24 +0000 2020,16124,,,False,False,8713,,1339064817513062400,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324393839881236481/c4cKBiQ2_normal.jpg,https://pbs.twimg.com/profile_images/1324393839881236481/c4cKBiQ2_normal.jpg,https://pbs.twimg.com/profile_banners/1280350892240392193/1606234503,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
id_str,1280350892240392193,1280350892240392193,NH Politics🪨,nhpol603,"New Hampshire, USA",,NH Politics | Crayon Maps | Not An Expert | @NHHTbot,,,False,1371,923,15,Tue Jul 07 04:00:24 +0000 2020,16124,,,False,False,8713,,1339064817513062400,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324393839881236481/c4cKBiQ2_normal.jpg,https://pbs.twimg.com/profile_images/1324393839881236481/c4cKBiQ2_normal.jpg,https://pbs.twimg.com/profile_banners/1280350892240392193/1606234503,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
text,1280350892240392193,1280350892240392193,NH Politics🪨,nhpol603,"New Hampshire, USA",,NH Politics | Crayon Maps | Not An Expert | @NHHTbot,,,False,1371,923,15,Tue Jul 07 04:00:24 +0000 2020,16124,,,False,False,8713,,@TadeuszMrozek2 @hjessy_ At least we’re not So*th*r*ers,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324393839881236481/c4cKBiQ2_normal.jpg,https://pbs.twimg.com/profile_images/1324393839881236481/c4cKBiQ2_normal.jpg,https://pbs.twimg.com/profile_banners/1280350892240392193/1606234503,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
truncated,1280350892240392193,1280350892240392193,NH Politics🪨,nhpol603,"New Hampshire, USA",,NH Politics | Crayon Maps | Not An Expert | @NHHTbot,,,False,1371,923,15,Tue Jul 07 04:00:24 +0000 2020,16124,,,False,False,8713,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324393839881236481/c4cKBiQ2_normal.jpg,https://pbs.twimg.com/profile_images/1324393839881236481/c4cKBiQ2_normal.jpg,https://pbs.twimg.com/profile_banners/1280350892240392193/1606234503,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
entities,1280350892240392193,1280350892240392193,NH Politics🪨,nhpol603,"New Hampshire, USA",,NH Politics | Crayon Maps | Not An Expert | @NHHTbot,,,False,1371,923,15,Tue Jul 07 04:00:24 +0000 2020,16124,,,False,False,8713,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'TadeuszMrozek2', 'name': 'Tadeusz Mrozek, Reaganator', 'id': 1245897356291256323, 'id_str': '1245897356291256323', 'indices': [0, 15]}, {'screen_name': 'hjessy_', 'name': 'Jessy Han', 'id': 4534193952, 'id_str': '4534193952', 'indices': [16, 24]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324393839881236481/c4cKBiQ2_normal.jpg,https://pbs.twimg.com/profile_images/1324393839881236481/c4cKBiQ2_normal.jpg,https://pbs.twimg.com/profile_banners/1280350892240392193/1606234503,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
source,1280350892240392193,1280350892240392193,NH Politics🪨,nhpol603,"New Hampshire, USA",,NH Politics | Crayon Maps | Not An Expert | @NHHTbot,,,False,1371,923,15,Tue Jul 07 04:00:24 +0000 2020,16124,,,False,False,8713,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324393839881236481/c4cKBiQ2_normal.jpg,https://pbs.twimg.com/profile_images/1324393839881236481/c4cKBiQ2_normal.jpg,https://pbs.twimg.com/profile_banners/1280350892240392193/1606234503,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_status_id,1280350892240392193,1280350892240392193,NH Politics🪨,nhpol603,"New Hampshire, USA",,NH Politics | Crayon Maps | Not An Expert | @NHHTbot,,,False,1371,923,15,Tue Jul 07 04:00:24 +0000 2020,16124,,,False,False,8713,,1339064369695633409,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324393839881236481/c4cKBiQ2_normal.jpg,https://pbs.twimg.com/profile_images/1324393839881236481/c4cKBiQ2_normal.jpg,https://pbs.twimg.com/profile_banners/1280350892240392193/1606234503,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_status_id_str,1280350892240392193,1280350892240392193,NH Politics🪨,nhpol603,"New Hampshire, USA",,NH Politics | Crayon Maps | Not An Expert | @NHHTbot,,,False,1371,923,15,Tue Jul 07 04:00:24 +0000 2020,16124,,,False,False,8713,,1339064369695633409,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324393839881236481/c4cKBiQ2_normal.jpg,https://pbs.twimg.com/profile_images/1324393839881236481/c4cKBiQ2_normal.jpg,https://pbs.twimg.com/profile_banners/1280350892240392193/1606234503,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_user_id,1280350892240392193,1280350892240392193,NH Politics🪨,nhpol603,"New Hampshire, USA",,NH Politics | Crayon Maps | Not An Expert | @NHHTbot,,,False,1371,923,15,Tue Jul 07 04:00:24 +0000 2020,16124,,,False,False,8713,,1245897356291256323,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324393839881236481/c4cKBiQ2_normal.jpg,https://pbs.twimg.com/profile_images/1324393839881236481/c4cKBiQ2_normal.jpg,https://pbs.twimg.com/profile_banners/1280350892240392193/1606234503,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
