,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,983885665883406336,983885665883406336,Smaug🌹 (5-11) #1 Jusuf Nurkic Stan,Smaug55,,,20 | Portland | Sports and random stuff | Backup @ClappedSmaug | @trailblazers @TimbersFC @49ers @NHLSeattle_ @oregonfootball @OregonMBB,,{'urls': []},False,992,661,2,Wed Apr 11 01:53:17 +0000 2018,87535,,,False,False,33708,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1325232686252744704/0UhdTT9Q_normal.jpg,https://pbs.twimg.com/profile_images/1325232686252744704/0UhdTT9Q_normal.jpg,https://pbs.twimg.com/profile_banners/983885665883406336/1604199347,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,983885665883406336,983885665883406336,Smaug🌹 (5-11) #1 Jusuf Nurkic Stan,Smaug55,,,20 | Portland | Sports and random stuff | Backup @ClappedSmaug | @trailblazers @TimbersFC @49ers @NHLSeattle_ @oregonfootball @OregonMBB,,,False,992,661,2,Wed Apr 11 01:53:17 +0000 2018,87535,,,False,False,33708,,Wed Dec 16 04:19:59 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1325232686252744704/0UhdTT9Q_normal.jpg,https://pbs.twimg.com/profile_images/1325232686252744704/0UhdTT9Q_normal.jpg,https://pbs.twimg.com/profile_banners/983885665883406336/1604199347,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,983885665883406336,983885665883406336,Smaug🌹 (5-11) #1 Jusuf Nurkic Stan,Smaug55,,,20 | Portland | Sports and random stuff | Backup @ClappedSmaug | @trailblazers @TimbersFC @49ers @NHLSeattle_ @oregonfootball @OregonMBB,,,False,992,661,2,Wed Apr 11 01:53:17 +0000 2018,87535,,,False,False,33708,,1339062692766617602,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1325232686252744704/0UhdTT9Q_normal.jpg,https://pbs.twimg.com/profile_images/1325232686252744704/0UhdTT9Q_normal.jpg,https://pbs.twimg.com/profile_banners/983885665883406336/1604199347,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,983885665883406336,983885665883406336,Smaug🌹 (5-11) #1 Jusuf Nurkic Stan,Smaug55,,,20 | Portland | Sports and random stuff | Backup @ClappedSmaug | @trailblazers @TimbersFC @49ers @NHLSeattle_ @oregonfootball @OregonMBB,,,False,992,661,2,Wed Apr 11 01:53:17 +0000 2018,87535,,,False,False,33708,,1339062692766617602,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1325232686252744704/0UhdTT9Q_normal.jpg,https://pbs.twimg.com/profile_images/1325232686252744704/0UhdTT9Q_normal.jpg,https://pbs.twimg.com/profile_banners/983885665883406336/1604199347,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,983885665883406336,983885665883406336,Smaug🌹 (5-11) #1 Jusuf Nurkic Stan,Smaug55,,,20 | Portland | Sports and random stuff | Backup @ClappedSmaug | @trailblazers @TimbersFC @49ers @NHLSeattle_ @oregonfootball @OregonMBB,,,False,992,661,2,Wed Apr 11 01:53:17 +0000 2018,87535,,,False,False,33708,,@TheNBACentral Unfortunate,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1325232686252744704/0UhdTT9Q_normal.jpg,https://pbs.twimg.com/profile_images/1325232686252744704/0UhdTT9Q_normal.jpg,https://pbs.twimg.com/profile_banners/983885665883406336/1604199347,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,983885665883406336,983885665883406336,Smaug🌹 (5-11) #1 Jusuf Nurkic Stan,Smaug55,,,20 | Portland | Sports and random stuff | Backup @ClappedSmaug | @trailblazers @TimbersFC @49ers @NHLSeattle_ @oregonfootball @OregonMBB,,,False,992,661,2,Wed Apr 11 01:53:17 +0000 2018,87535,,,False,False,33708,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1325232686252744704/0UhdTT9Q_normal.jpg,https://pbs.twimg.com/profile_images/1325232686252744704/0UhdTT9Q_normal.jpg,https://pbs.twimg.com/profile_banners/983885665883406336/1604199347,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,983885665883406336,983885665883406336,Smaug🌹 (5-11) #1 Jusuf Nurkic Stan,Smaug55,,,20 | Portland | Sports and random stuff | Backup @ClappedSmaug | @trailblazers @TimbersFC @49ers @NHLSeattle_ @oregonfootball @OregonMBB,,,False,992,661,2,Wed Apr 11 01:53:17 +0000 2018,87535,,,False,False,33708,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'TheNBACentral', 'name': 'NBA Central', 'id': 1548977419, 'id_str': '1548977419', 'indices': [0, 14]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1325232686252744704/0UhdTT9Q_normal.jpg,https://pbs.twimg.com/profile_images/1325232686252744704/0UhdTT9Q_normal.jpg,https://pbs.twimg.com/profile_banners/983885665883406336/1604199347,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,983885665883406336,983885665883406336,Smaug🌹 (5-11) #1 Jusuf Nurkic Stan,Smaug55,,,20 | Portland | Sports and random stuff | Backup @ClappedSmaug | @trailblazers @TimbersFC @49ers @NHLSeattle_ @oregonfootball @OregonMBB,,,False,992,661,2,Wed Apr 11 01:53:17 +0000 2018,87535,,,False,False,33708,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1325232686252744704/0UhdTT9Q_normal.jpg,https://pbs.twimg.com/profile_images/1325232686252744704/0UhdTT9Q_normal.jpg,https://pbs.twimg.com/profile_banners/983885665883406336/1604199347,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,983885665883406336,983885665883406336,Smaug🌹 (5-11) #1 Jusuf Nurkic Stan,Smaug55,,,20 | Portland | Sports and random stuff | Backup @ClappedSmaug | @trailblazers @TimbersFC @49ers @NHLSeattle_ @oregonfootball @OregonMBB,,,False,992,661,2,Wed Apr 11 01:53:17 +0000 2018,87535,,,False,False,33708,,1339062367938809856,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1325232686252744704/0UhdTT9Q_normal.jpg,https://pbs.twimg.com/profile_images/1325232686252744704/0UhdTT9Q_normal.jpg,https://pbs.twimg.com/profile_banners/983885665883406336/1604199347,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,983885665883406336,983885665883406336,Smaug🌹 (5-11) #1 Jusuf Nurkic Stan,Smaug55,,,20 | Portland | Sports and random stuff | Backup @ClappedSmaug | @trailblazers @TimbersFC @49ers @NHLSeattle_ @oregonfootball @OregonMBB,,,False,992,661,2,Wed Apr 11 01:53:17 +0000 2018,87535,,,False,False,33708,,1339062367938809856,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1325232686252744704/0UhdTT9Q_normal.jpg,https://pbs.twimg.com/profile_images/1325232686252744704/0UhdTT9Q_normal.jpg,https://pbs.twimg.com/profile_banners/983885665883406336/1604199347,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id,983885665883406336,983885665883406336,Smaug🌹 (5-11) #1 Jusuf Nurkic Stan,Smaug55,,,20 | Portland | Sports and random stuff | Backup @ClappedSmaug | @trailblazers @TimbersFC @49ers @NHLSeattle_ @oregonfootball @OregonMBB,,,False,992,661,2,Wed Apr 11 01:53:17 +0000 2018,87535,,,False,False,33708,,1548977419,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1325232686252744704/0UhdTT9Q_normal.jpg,https://pbs.twimg.com/profile_images/1325232686252744704/0UhdTT9Q_normal.jpg,https://pbs.twimg.com/profile_banners/983885665883406336/1604199347,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
