,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1288248355886333952,1288248355886333952,Aut❄️,autumnxpayton,fl | its too hot here ,,16 | Twitch Affiliate | I’ve never seen two straight best friends @miaslicck,https://t.co/vUW9cRFaiz,"{'urls': [{'url': 'https://t.co/vUW9cRFaiz', 'expanded_url': 'http://twitch.tv/autumnxpayton', 'display_url': 'twitch.tv/autumnxpayton', 'indices': [0, 23]}]}",False,146,190,1,Tue Jul 28 23:02:26 +0000 2020,10909,,,True,False,6304,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1327867401552224256/RAMR3z84_normal.jpg,https://pbs.twimg.com/profile_images/1327867401552224256/RAMR3z84_normal.jpg,https://pbs.twimg.com/profile_banners/1288248355886333952/1602973807,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
description,1288248355886333952,1288248355886333952,Aut❄️,autumnxpayton,fl | its too hot here ,,16 | Twitch Affiliate | I’ve never seen two straight best friends @miaslicck,https://t.co/vUW9cRFaiz,{'urls': []},False,146,190,1,Tue Jul 28 23:02:26 +0000 2020,10909,,,True,False,6304,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1327867401552224256/RAMR3z84_normal.jpg,https://pbs.twimg.com/profile_images/1327867401552224256/RAMR3z84_normal.jpg,https://pbs.twimg.com/profile_banners/1288248355886333952/1602973807,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1288248355886333952,1288248355886333952,Aut❄️,autumnxpayton,fl | its too hot here ,,16 | Twitch Affiliate | I’ve never seen two straight best friends @miaslicck,https://t.co/vUW9cRFaiz,,False,146,190,1,Tue Jul 28 23:02:26 +0000 2020,10909,,,True,False,6304,,Tue Dec 15 05:54:28 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1327867401552224256/RAMR3z84_normal.jpg,https://pbs.twimg.com/profile_images/1327867401552224256/RAMR3z84_normal.jpg,https://pbs.twimg.com/profile_banners/1288248355886333952/1602973807,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1288248355886333952,1288248355886333952,Aut❄️,autumnxpayton,fl | its too hot here ,,16 | Twitch Affiliate | I’ve never seen two straight best friends @miaslicck,https://t.co/vUW9cRFaiz,,False,146,190,1,Tue Jul 28 23:02:26 +0000 2020,10909,,,True,False,6304,,1338724083224236034,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1327867401552224256/RAMR3z84_normal.jpg,https://pbs.twimg.com/profile_images/1327867401552224256/RAMR3z84_normal.jpg,https://pbs.twimg.com/profile_banners/1288248355886333952/1602973807,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1288248355886333952,1288248355886333952,Aut❄️,autumnxpayton,fl | its too hot here ,,16 | Twitch Affiliate | I’ve never seen two straight best friends @miaslicck,https://t.co/vUW9cRFaiz,,False,146,190,1,Tue Jul 28 23:02:26 +0000 2020,10909,,,True,False,6304,,1338724083224236034,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1327867401552224256/RAMR3z84_normal.jpg,https://pbs.twimg.com/profile_images/1327867401552224256/RAMR3z84_normal.jpg,https://pbs.twimg.com/profile_banners/1288248355886333952/1602973807,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1288248355886333952,1288248355886333952,Aut❄️,autumnxpayton,fl | its too hot here ,,16 | Twitch Affiliate | I’ve never seen two straight best friends @miaslicck,https://t.co/vUW9cRFaiz,,False,146,190,1,Tue Jul 28 23:02:26 +0000 2020,10909,,,True,False,6304,,RT @dantdm: 💙🎄💙 https://t.co/zpCpszcJHl,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1327867401552224256/RAMR3z84_normal.jpg,https://pbs.twimg.com/profile_images/1327867401552224256/RAMR3z84_normal.jpg,https://pbs.twimg.com/profile_banners/1288248355886333952/1602973807,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1288248355886333952,1288248355886333952,Aut❄️,autumnxpayton,fl | its too hot here ,,16 | Twitch Affiliate | I’ve never seen two straight best friends @miaslicck,https://t.co/vUW9cRFaiz,,False,146,190,1,Tue Jul 28 23:02:26 +0000 2020,10909,,,True,False,6304,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1327867401552224256/RAMR3z84_normal.jpg,https://pbs.twimg.com/profile_images/1327867401552224256/RAMR3z84_normal.jpg,https://pbs.twimg.com/profile_banners/1288248355886333952/1602973807,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1288248355886333952,1288248355886333952,Aut❄️,autumnxpayton,fl | its too hot here ,,16 | Twitch Affiliate | I’ve never seen two straight best friends @miaslicck,https://t.co/vUW9cRFaiz,,False,146,190,1,Tue Jul 28 23:02:26 +0000 2020,10909,,,True,False,6304,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'dantdm', 'name': 'ᴅᴀɴᴛᴅᴍ💎', 'id': 730875392, 'id_str': '730875392', 'indices': [3, 10]}], 'urls': [], 'media': [{'id': 1338575024983318535, 'id_str': '1338575024983318535', 'indices': [16, 39], 'media_url': 'http://pbs.twimg.com/media/EpOS5KVXIAc3zP7.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpOS5KVXIAc3zP7.jpg', 'url': 'https://t.co/zpCpszcJHl', 'display_url': 'pic.twitter.com/zpCpszcJHl', 'expanded_url': 'https://twitter.com/dantdm/status/1338575031916523521/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 2048, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 1200, 'resize': 'fit'}}, 'source_status_id': 1338575031916523521, 'source_status_id_str': '1338575031916523521', 'source_user_id': 730875392, 'source_user_id_str': '730875392'}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1327867401552224256/RAMR3z84_normal.jpg,https://pbs.twimg.com/profile_images/1327867401552224256/RAMR3z84_normal.jpg,https://pbs.twimg.com/profile_banners/1288248355886333952/1602973807,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
extended_entities,1288248355886333952,1288248355886333952,Aut❄️,autumnxpayton,fl | its too hot here ,,16 | Twitch Affiliate | I’ve never seen two straight best friends @miaslicck,https://t.co/vUW9cRFaiz,,False,146,190,1,Tue Jul 28 23:02:26 +0000 2020,10909,,,True,False,6304,,"{'media': [{'id': 1338575024983318535, 'id_str': '1338575024983318535', 'indices': [16, 39], 'media_url': 'http://pbs.twimg.com/media/EpOS5KVXIAc3zP7.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpOS5KVXIAc3zP7.jpg', 'url': 'https://t.co/zpCpszcJHl', 'display_url': 'pic.twitter.com/zpCpszcJHl', 'expanded_url': 'https://twitter.com/dantdm/status/1338575031916523521/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 2048, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 1200, 'resize': 'fit'}}, 'source_status_id': 1338575031916523521, 'source_status_id_str': '1338575031916523521', 'source_user_id': 730875392, 'source_user_id_str': '730875392'}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1327867401552224256/RAMR3z84_normal.jpg,https://pbs.twimg.com/profile_images/1327867401552224256/RAMR3z84_normal.jpg,https://pbs.twimg.com/profile_banners/1288248355886333952/1602973807,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1288248355886333952,1288248355886333952,Aut❄️,autumnxpayton,fl | its too hot here ,,16 | Twitch Affiliate | I’ve never seen two straight best friends @miaslicck,https://t.co/vUW9cRFaiz,,False,146,190,1,Tue Jul 28 23:02:26 +0000 2020,10909,,,True,False,6304,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1327867401552224256/RAMR3z84_normal.jpg,https://pbs.twimg.com/profile_images/1327867401552224256/RAMR3z84_normal.jpg,https://pbs.twimg.com/profile_banners/1288248355886333952/1602973807,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1288248355886333952,1288248355886333952,Aut❄️,autumnxpayton,fl | its too hot here ,,16 | Twitch Affiliate | I’ve never seen two straight best friends @miaslicck,https://t.co/vUW9cRFaiz,,False,146,190,1,Tue Jul 28 23:02:26 +0000 2020,10909,,,True,False,6304,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1327867401552224256/RAMR3z84_normal.jpg,https://pbs.twimg.com/profile_images/1327867401552224256/RAMR3z84_normal.jpg,https://pbs.twimg.com/profile_banners/1288248355886333952/1602973807,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
