,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,810523635819520000,810523635819520000,gremlin,emperor_ryjin,sunagakure,,22 ☆ irl anime character || will draw 4 food https://t.co/wMxfHe2xH5,https://t.co/FRoT0o4J9Y,"{'urls': [{'url': 'https://t.co/FRoT0o4J9Y', 'expanded_url': 'http://Instagram.com/ryjin.cos', 'display_url': 'Instagram.com/ryjin.cos', 'indices': [0, 23]}]}",False,105,231,0,Sun Dec 18 16:34:28 +0000 2016,30156,,,True,False,11522,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1281337780430204928/06ApFS0a_normal.jpg,https://pbs.twimg.com/profile_images/1281337780430204928/06ApFS0a_normal.jpg,https://pbs.twimg.com/profile_banners/810523635819520000/1596188451,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
description,810523635819520000,810523635819520000,gremlin,emperor_ryjin,sunagakure,,22 ☆ irl anime character || will draw 4 food https://t.co/wMxfHe2xH5,https://t.co/FRoT0o4J9Y,"{'urls': [{'url': 'https://t.co/wMxfHe2xH5', 'expanded_url': 'https://ko-fi.com/ryjin', 'display_url': 'ko-fi.com/ryjin', 'indices': [45, 68]}]}",False,105,231,0,Sun Dec 18 16:34:28 +0000 2016,30156,,,True,False,11522,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1281337780430204928/06ApFS0a_normal.jpg,https://pbs.twimg.com/profile_images/1281337780430204928/06ApFS0a_normal.jpg,https://pbs.twimg.com/profile_banners/810523635819520000/1596188451,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,810523635819520000,810523635819520000,gremlin,emperor_ryjin,sunagakure,,22 ☆ irl anime character || will draw 4 food https://t.co/wMxfHe2xH5,https://t.co/FRoT0o4J9Y,,False,105,231,0,Sun Dec 18 16:34:28 +0000 2016,30156,,,True,False,11522,,Tue Dec 15 06:12:39 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1281337780430204928/06ApFS0a_normal.jpg,https://pbs.twimg.com/profile_images/1281337780430204928/06ApFS0a_normal.jpg,https://pbs.twimg.com/profile_banners/810523635819520000/1596188451,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,810523635819520000,810523635819520000,gremlin,emperor_ryjin,sunagakure,,22 ☆ irl anime character || will draw 4 food https://t.co/wMxfHe2xH5,https://t.co/FRoT0o4J9Y,,False,105,231,0,Sun Dec 18 16:34:28 +0000 2016,30156,,,True,False,11522,,1338728659754995713,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1281337780430204928/06ApFS0a_normal.jpg,https://pbs.twimg.com/profile_images/1281337780430204928/06ApFS0a_normal.jpg,https://pbs.twimg.com/profile_banners/810523635819520000/1596188451,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,810523635819520000,810523635819520000,gremlin,emperor_ryjin,sunagakure,,22 ☆ irl anime character || will draw 4 food https://t.co/wMxfHe2xH5,https://t.co/FRoT0o4J9Y,,False,105,231,0,Sun Dec 18 16:34:28 +0000 2016,30156,,,True,False,11522,,1338728659754995713,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1281337780430204928/06ApFS0a_normal.jpg,https://pbs.twimg.com/profile_images/1281337780430204928/06ApFS0a_normal.jpg,https://pbs.twimg.com/profile_banners/810523635819520000/1596188451,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,810523635819520000,810523635819520000,gremlin,emperor_ryjin,sunagakure,,22 ☆ irl anime character || will draw 4 food https://t.co/wMxfHe2xH5,https://t.co/FRoT0o4J9Y,,False,105,231,0,Sun Dec 18 16:34:28 +0000 2016,30156,,,True,False,11522,,RT @DaniAtomicus: My family has COVID &amp; the health authority told my mom that if her lips turn blue to go to the hospital. She’s Black. Her…,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1281337780430204928/06ApFS0a_normal.jpg,https://pbs.twimg.com/profile_images/1281337780430204928/06ApFS0a_normal.jpg,https://pbs.twimg.com/profile_banners/810523635819520000/1596188451,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,810523635819520000,810523635819520000,gremlin,emperor_ryjin,sunagakure,,22 ☆ irl anime character || will draw 4 food https://t.co/wMxfHe2xH5,https://t.co/FRoT0o4J9Y,,False,105,231,0,Sun Dec 18 16:34:28 +0000 2016,30156,,,True,False,11522,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1281337780430204928/06ApFS0a_normal.jpg,https://pbs.twimg.com/profile_images/1281337780430204928/06ApFS0a_normal.jpg,https://pbs.twimg.com/profile_banners/810523635819520000/1596188451,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,810523635819520000,810523635819520000,gremlin,emperor_ryjin,sunagakure,,22 ☆ irl anime character || will draw 4 food https://t.co/wMxfHe2xH5,https://t.co/FRoT0o4J9Y,,False,105,231,0,Sun Dec 18 16:34:28 +0000 2016,30156,,,True,False,11522,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DaniAtomicus', 'name': 'Antifascionista (Ethereal Bisexual in Black)', 'id': 194846015, 'id_str': '194846015', 'indices': [3, 16]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1281337780430204928/06ApFS0a_normal.jpg,https://pbs.twimg.com/profile_images/1281337780430204928/06ApFS0a_normal.jpg,https://pbs.twimg.com/profile_banners/810523635819520000/1596188451,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,810523635819520000,810523635819520000,gremlin,emperor_ryjin,sunagakure,,22 ☆ irl anime character || will draw 4 food https://t.co/wMxfHe2xH5,https://t.co/FRoT0o4J9Y,,False,105,231,0,Sun Dec 18 16:34:28 +0000 2016,30156,,,True,False,11522,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1281337780430204928/06ApFS0a_normal.jpg,https://pbs.twimg.com/profile_images/1281337780430204928/06ApFS0a_normal.jpg,https://pbs.twimg.com/profile_banners/810523635819520000/1596188451,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,810523635819520000,810523635819520000,gremlin,emperor_ryjin,sunagakure,,22 ☆ irl anime character || will draw 4 food https://t.co/wMxfHe2xH5,https://t.co/FRoT0o4J9Y,,False,105,231,0,Sun Dec 18 16:34:28 +0000 2016,30156,,,True,False,11522,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1281337780430204928/06ApFS0a_normal.jpg,https://pbs.twimg.com/profile_images/1281337780430204928/06ApFS0a_normal.jpg,https://pbs.twimg.com/profile_banners/810523635819520000/1596188451,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
