,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,4851827578,4851827578,TheJollyJinty,TheRedJinty,,,He/Him | 18 | Autistic | ADHD | 🇺🇸 | Bi |,,{'urls': []},False,1444,743,7,Wed Jan 27 01:03:34 +0000 2016,81234,,,False,False,33366,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333859323580207106/pXSUdBdf_normal.jpg,https://pbs.twimg.com/profile_images/1333859323580207106/pXSUdBdf_normal.jpg,https://pbs.twimg.com/profile_banners/4851827578/1604253860,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
created_at,4851827578,4851827578,TheJollyJinty,TheRedJinty,,,He/Him | 18 | Autistic | ADHD | 🇺🇸 | Bi |,,,False,1444,743,7,Wed Jan 27 01:03:34 +0000 2016,81234,,,False,False,33366,,Wed Dec 16 08:05:14 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333859323580207106/pXSUdBdf_normal.jpg,https://pbs.twimg.com/profile_images/1333859323580207106/pXSUdBdf_normal.jpg,https://pbs.twimg.com/profile_banners/4851827578/1604253860,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
id,4851827578,4851827578,TheJollyJinty,TheRedJinty,,,He/Him | 18 | Autistic | ADHD | 🇺🇸 | Bi |,,,False,1444,743,7,Wed Jan 27 01:03:34 +0000 2016,81234,,,False,False,33366,,1339119379729051649,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333859323580207106/pXSUdBdf_normal.jpg,https://pbs.twimg.com/profile_images/1333859323580207106/pXSUdBdf_normal.jpg,https://pbs.twimg.com/profile_banners/4851827578/1604253860,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
id_str,4851827578,4851827578,TheJollyJinty,TheRedJinty,,,He/Him | 18 | Autistic | ADHD | 🇺🇸 | Bi |,,,False,1444,743,7,Wed Jan 27 01:03:34 +0000 2016,81234,,,False,False,33366,,1339119379729051649,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333859323580207106/pXSUdBdf_normal.jpg,https://pbs.twimg.com/profile_images/1333859323580207106/pXSUdBdf_normal.jpg,https://pbs.twimg.com/profile_banners/4851827578/1604253860,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
text,4851827578,4851827578,TheJollyJinty,TheRedJinty,,,He/Him | 18 | Autistic | ADHD | 🇺🇸 | Bi |,,,False,1444,743,7,Wed Jan 27 01:03:34 +0000 2016,81234,,,False,False,33366,,"@Josephine_KK But hey, maybe we can't know how it feels to be hurt because we ""lack empathy"" 🙃",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333859323580207106/pXSUdBdf_normal.jpg,https://pbs.twimg.com/profile_images/1333859323580207106/pXSUdBdf_normal.jpg,https://pbs.twimg.com/profile_banners/4851827578/1604253860,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
truncated,4851827578,4851827578,TheJollyJinty,TheRedJinty,,,He/Him | 18 | Autistic | ADHD | 🇺🇸 | Bi |,,,False,1444,743,7,Wed Jan 27 01:03:34 +0000 2016,81234,,,False,False,33366,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333859323580207106/pXSUdBdf_normal.jpg,https://pbs.twimg.com/profile_images/1333859323580207106/pXSUdBdf_normal.jpg,https://pbs.twimg.com/profile_banners/4851827578/1604253860,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
entities,4851827578,4851827578,TheJollyJinty,TheRedJinty,,,He/Him | 18 | Autistic | ADHD | 🇺🇸 | Bi |,,,False,1444,743,7,Wed Jan 27 01:03:34 +0000 2016,81234,,,False,False,33366,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Josephine_KK', 'name': '🍍❤Hoesephine❤🍍', 'id': 489373671, 'id_str': '489373671', 'indices': [0, 13]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333859323580207106/pXSUdBdf_normal.jpg,https://pbs.twimg.com/profile_images/1333859323580207106/pXSUdBdf_normal.jpg,https://pbs.twimg.com/profile_banners/4851827578/1604253860,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
source,4851827578,4851827578,TheJollyJinty,TheRedJinty,,,He/Him | 18 | Autistic | ADHD | 🇺🇸 | Bi |,,,False,1444,743,7,Wed Jan 27 01:03:34 +0000 2016,81234,,,False,False,33366,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333859323580207106/pXSUdBdf_normal.jpg,https://pbs.twimg.com/profile_images/1333859323580207106/pXSUdBdf_normal.jpg,https://pbs.twimg.com/profile_banners/4851827578/1604253860,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_status_id,4851827578,4851827578,TheJollyJinty,TheRedJinty,,,He/Him | 18 | Autistic | ADHD | 🇺🇸 | Bi |,,,False,1444,743,7,Wed Jan 27 01:03:34 +0000 2016,81234,,,False,False,33366,,1339118151313874944,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333859323580207106/pXSUdBdf_normal.jpg,https://pbs.twimg.com/profile_images/1333859323580207106/pXSUdBdf_normal.jpg,https://pbs.twimg.com/profile_banners/4851827578/1604253860,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_status_id_str,4851827578,4851827578,TheJollyJinty,TheRedJinty,,,He/Him | 18 | Autistic | ADHD | 🇺🇸 | Bi |,,,False,1444,743,7,Wed Jan 27 01:03:34 +0000 2016,81234,,,False,False,33366,,1339118151313874944,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333859323580207106/pXSUdBdf_normal.jpg,https://pbs.twimg.com/profile_images/1333859323580207106/pXSUdBdf_normal.jpg,https://pbs.twimg.com/profile_banners/4851827578/1604253860,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_user_id,4851827578,4851827578,TheJollyJinty,TheRedJinty,,,He/Him | 18 | Autistic | ADHD | 🇺🇸 | Bi |,,,False,1444,743,7,Wed Jan 27 01:03:34 +0000 2016,81234,,,False,False,33366,,489373671,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333859323580207106/pXSUdBdf_normal.jpg,https://pbs.twimg.com/profile_images/1333859323580207106/pXSUdBdf_normal.jpg,https://pbs.twimg.com/profile_banners/4851827578/1604253860,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
