,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,23448056,23448056,MolotovFlicker Ignoring Your Questions Since 1902®,MolotovFlicker,Washington D.C.,,Washington by day; Baltimore by night. Beltway politics and Baltimore crime. Not a free online service. Just another feral cat. Get personal = get bounced.,,{'urls': []},False,6040,513,253,Mon Mar 09 15:31:27 +0000 2009,38964,,,True,False,103514,,,False,False,False,86ADC2,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1325514983761981441/GQ1bbCd8_normal.jpg,https://pbs.twimg.com/profile_images/1325514983761981441/GQ1bbCd8_normal.jpg,https://pbs.twimg.com/profile_banners/23448056/1607994039,4716C4,FFFFFF,DCEEF5,1140DB,True,False,False,False,False,False,False,none
created_at,23448056,23448056,MolotovFlicker Ignoring Your Questions Since 1902®,MolotovFlicker,Washington D.C.,,Washington by day; Baltimore by night. Beltway politics and Baltimore crime. Not a free online service. Just another feral cat. Get personal = get bounced.,,,False,6040,513,253,Mon Mar 09 15:31:27 +0000 2009,38964,,,True,False,103514,,Wed Dec 16 06:17:20 +0000 2020,False,False,False,86ADC2,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1325514983761981441/GQ1bbCd8_normal.jpg,https://pbs.twimg.com/profile_images/1325514983761981441/GQ1bbCd8_normal.jpg,https://pbs.twimg.com/profile_banners/23448056/1607994039,4716C4,FFFFFF,DCEEF5,1140DB,True,False,False,False,False,False,False,none
id,23448056,23448056,MolotovFlicker Ignoring Your Questions Since 1902®,MolotovFlicker,Washington D.C.,,Washington by day; Baltimore by night. Beltway politics and Baltimore crime. Not a free online service. Just another feral cat. Get personal = get bounced.,,,False,6040,513,253,Mon Mar 09 15:31:27 +0000 2009,38964,,,True,False,103514,,1339092227759468544,False,False,False,86ADC2,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1325514983761981441/GQ1bbCd8_normal.jpg,https://pbs.twimg.com/profile_images/1325514983761981441/GQ1bbCd8_normal.jpg,https://pbs.twimg.com/profile_banners/23448056/1607994039,4716C4,FFFFFF,DCEEF5,1140DB,True,False,False,False,False,False,False,none
id_str,23448056,23448056,MolotovFlicker Ignoring Your Questions Since 1902®,MolotovFlicker,Washington D.C.,,Washington by day; Baltimore by night. Beltway politics and Baltimore crime. Not a free online service. Just another feral cat. Get personal = get bounced.,,,False,6040,513,253,Mon Mar 09 15:31:27 +0000 2009,38964,,,True,False,103514,,1339092227759468544,False,False,False,86ADC2,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1325514983761981441/GQ1bbCd8_normal.jpg,https://pbs.twimg.com/profile_images/1325514983761981441/GQ1bbCd8_normal.jpg,https://pbs.twimg.com/profile_banners/23448056/1607994039,4716C4,FFFFFF,DCEEF5,1140DB,True,False,False,False,False,False,False,none
text,23448056,23448056,MolotovFlicker Ignoring Your Questions Since 1902®,MolotovFlicker,Washington D.C.,,Washington by day; Baltimore by night. Beltway politics and Baltimore crime. Not a free online service. Just another feral cat. Get personal = get bounced.,,,False,6040,513,253,Mon Mar 09 15:31:27 +0000 2009,38964,,,True,False,103514,,"RT @buildingbmore: It will be a while before there are any events for folks to utilize the newly renovated bath house, but we took advantag…",False,False,False,86ADC2,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1325514983761981441/GQ1bbCd8_normal.jpg,https://pbs.twimg.com/profile_images/1325514983761981441/GQ1bbCd8_normal.jpg,https://pbs.twimg.com/profile_banners/23448056/1607994039,4716C4,FFFFFF,DCEEF5,1140DB,True,False,False,False,False,False,False,none
truncated,23448056,23448056,MolotovFlicker Ignoring Your Questions Since 1902®,MolotovFlicker,Washington D.C.,,Washington by day; Baltimore by night. Beltway politics and Baltimore crime. Not a free online service. Just another feral cat. Get personal = get bounced.,,,False,6040,513,253,Mon Mar 09 15:31:27 +0000 2009,38964,,,True,False,103514,,False,False,False,False,86ADC2,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1325514983761981441/GQ1bbCd8_normal.jpg,https://pbs.twimg.com/profile_images/1325514983761981441/GQ1bbCd8_normal.jpg,https://pbs.twimg.com/profile_banners/23448056/1607994039,4716C4,FFFFFF,DCEEF5,1140DB,True,False,False,False,False,False,False,none
entities,23448056,23448056,MolotovFlicker Ignoring Your Questions Since 1902®,MolotovFlicker,Washington D.C.,,Washington by day; Baltimore by night. Beltway politics and Baltimore crime. Not a free online service. Just another feral cat. Get personal = get bounced.,,,False,6040,513,253,Mon Mar 09 15:31:27 +0000 2009,38964,,,True,False,103514,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'buildingbmore', 'name': 'Eric Stephenson', 'id': 823049083262734336, 'id_str': '823049083262734336', 'indices': [3, 17]}], 'urls': []}",False,False,False,86ADC2,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1325514983761981441/GQ1bbCd8_normal.jpg,https://pbs.twimg.com/profile_images/1325514983761981441/GQ1bbCd8_normal.jpg,https://pbs.twimg.com/profile_banners/23448056/1607994039,4716C4,FFFFFF,DCEEF5,1140DB,True,False,False,False,False,False,False,none
source,23448056,23448056,MolotovFlicker Ignoring Your Questions Since 1902®,MolotovFlicker,Washington D.C.,,Washington by day; Baltimore by night. Beltway politics and Baltimore crime. Not a free online service. Just another feral cat. Get personal = get bounced.,,,False,6040,513,253,Mon Mar 09 15:31:27 +0000 2009,38964,,,True,False,103514,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,False,False,86ADC2,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1325514983761981441/GQ1bbCd8_normal.jpg,https://pbs.twimg.com/profile_images/1325514983761981441/GQ1bbCd8_normal.jpg,https://pbs.twimg.com/profile_banners/23448056/1607994039,4716C4,FFFFFF,DCEEF5,1140DB,True,False,False,False,False,False,False,none
in_reply_to_status_id,23448056,23448056,MolotovFlicker Ignoring Your Questions Since 1902®,MolotovFlicker,Washington D.C.,,Washington by day; Baltimore by night. Beltway politics and Baltimore crime. Not a free online service. Just another feral cat. Get personal = get bounced.,,,False,6040,513,253,Mon Mar 09 15:31:27 +0000 2009,38964,,,True,False,103514,,,False,False,False,86ADC2,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1325514983761981441/GQ1bbCd8_normal.jpg,https://pbs.twimg.com/profile_images/1325514983761981441/GQ1bbCd8_normal.jpg,https://pbs.twimg.com/profile_banners/23448056/1607994039,4716C4,FFFFFF,DCEEF5,1140DB,True,False,False,False,False,False,False,none
in_reply_to_status_id_str,23448056,23448056,MolotovFlicker Ignoring Your Questions Since 1902®,MolotovFlicker,Washington D.C.,,Washington by day; Baltimore by night. Beltway politics and Baltimore crime. Not a free online service. Just another feral cat. Get personal = get bounced.,,,False,6040,513,253,Mon Mar 09 15:31:27 +0000 2009,38964,,,True,False,103514,,,False,False,False,86ADC2,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1325514983761981441/GQ1bbCd8_normal.jpg,https://pbs.twimg.com/profile_images/1325514983761981441/GQ1bbCd8_normal.jpg,https://pbs.twimg.com/profile_banners/23448056/1607994039,4716C4,FFFFFF,DCEEF5,1140DB,True,False,False,False,False,False,False,none
