,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1283016307903025154,1283016307903025154,hannah🎨🧃finals hiatus,scootscrossing,blm | semi ia bc college :/,,20 | she/her | kidcore island | @dannydinosauryt stannie & kk slider hatebot 🥰 | scoot’s bestie | pfp by @sugary_carousel | header by me | all are welcome🌈💗,,{'urls': []},False,710,580,5,Tue Jul 14 12:31:50 +0000 2020,3080,,,False,False,5140,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_banners/1283016307903025154/1601852108,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1283016307903025154,1283016307903025154,hannah🎨🧃finals hiatus,scootscrossing,blm | semi ia bc college :/,,20 | she/her | kidcore island | @dannydinosauryt stannie & kk slider hatebot 🥰 | scoot’s bestie | pfp by @sugary_carousel | header by me | all are welcome🌈💗,,,False,710,580,5,Tue Jul 14 12:31:50 +0000 2020,3080,,,False,False,5140,,Sun Dec 13 06:22:13 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_banners/1283016307903025154/1601852108,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1283016307903025154,1283016307903025154,hannah🎨🧃finals hiatus,scootscrossing,blm | semi ia bc college :/,,20 | she/her | kidcore island | @dannydinosauryt stannie & kk slider hatebot 🥰 | scoot’s bestie | pfp by @sugary_carousel | header by me | all are welcome🌈💗,,,False,710,580,5,Tue Jul 14 12:31:50 +0000 2020,3080,,,False,False,5140,,1338006292917612544,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_banners/1283016307903025154/1601852108,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1283016307903025154,1283016307903025154,hannah🎨🧃finals hiatus,scootscrossing,blm | semi ia bc college :/,,20 | she/her | kidcore island | @dannydinosauryt stannie & kk slider hatebot 🥰 | scoot’s bestie | pfp by @sugary_carousel | header by me | all are welcome🌈💗,,,False,710,580,5,Tue Jul 14 12:31:50 +0000 2020,3080,,,False,False,5140,,1338006292917612544,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_banners/1283016307903025154/1601852108,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1283016307903025154,1283016307903025154,hannah🎨🧃finals hiatus,scootscrossing,blm | semi ia bc college :/,,20 | she/her | kidcore island | @dannydinosauryt stannie & kk slider hatebot 🥰 | scoot’s bestie | pfp by @sugary_carousel | header by me | all are welcome🌈💗,,,False,710,580,5,Tue Jul 14 12:31:50 +0000 2020,3080,,,False,False,5140,,@theamandafiles HES LIKE RUDOLPH WHEN HE WEARS THE COVER OVER HIS NOSE https://t.co/s9kqNvkXyv,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_banners/1283016307903025154/1601852108,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1283016307903025154,1283016307903025154,hannah🎨🧃finals hiatus,scootscrossing,blm | semi ia bc college :/,,20 | she/her | kidcore island | @dannydinosauryt stannie & kk slider hatebot 🥰 | scoot’s bestie | pfp by @sugary_carousel | header by me | all are welcome🌈💗,,,False,710,580,5,Tue Jul 14 12:31:50 +0000 2020,3080,,,False,False,5140,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_banners/1283016307903025154/1601852108,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1283016307903025154,1283016307903025154,hannah🎨🧃finals hiatus,scootscrossing,blm | semi ia bc college :/,,20 | she/her | kidcore island | @dannydinosauryt stannie & kk slider hatebot 🥰 | scoot’s bestie | pfp by @sugary_carousel | header by me | all are welcome🌈💗,,,False,710,580,5,Tue Jul 14 12:31:50 +0000 2020,3080,,,False,False,5140,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'theamandafiles', 'name': 'amanda', 'id': 4886438363, 'id_str': '4886438363', 'indices': [0, 15]}], 'urls': [], 'media': [{'id': 1338006287997612035, 'id_str': '1338006287997612035', 'indices': [71, 94], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EpGNoT9WMAMtyMu.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EpGNoT9WMAMtyMu.jpg', 'url': 'https://t.co/s9kqNvkXyv', 'display_url': 'pic.twitter.com/s9kqNvkXyv', 'expanded_url': 'https://twitter.com/scootscrossing/status/1338006292917612544/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 480, 'h': 290, 'resize': 'fit'}, 'large': {'w': 480, 'h': 290, 'resize': 'fit'}, 'medium': {'w': 480, 'h': 290, 'resize': 'fit'}}}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_banners/1283016307903025154/1601852108,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
extended_entities,1283016307903025154,1283016307903025154,hannah🎨🧃finals hiatus,scootscrossing,blm | semi ia bc college :/,,20 | she/her | kidcore island | @dannydinosauryt stannie & kk slider hatebot 🥰 | scoot’s bestie | pfp by @sugary_carousel | header by me | all are welcome🌈💗,,,False,710,580,5,Tue Jul 14 12:31:50 +0000 2020,3080,,,False,False,5140,,"{'media': [{'id': 1338006287997612035, 'id_str': '1338006287997612035', 'indices': [71, 94], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EpGNoT9WMAMtyMu.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EpGNoT9WMAMtyMu.jpg', 'url': 'https://t.co/s9kqNvkXyv', 'display_url': 'pic.twitter.com/s9kqNvkXyv', 'expanded_url': 'https://twitter.com/scootscrossing/status/1338006292917612544/photo/1', 'type': 'animated_gif', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 480, 'h': 290, 'resize': 'fit'}, 'large': {'w': 480, 'h': 290, 'resize': 'fit'}, 'medium': {'w': 480, 'h': 290, 'resize': 'fit'}}, 'video_info': {'aspect_ratio': [48, 29], 'variants': [{'bitrate': 0, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/tweet_video/EpGNoT9WMAMtyMu.mp4'}]}}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_banners/1283016307903025154/1601852108,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1283016307903025154,1283016307903025154,hannah🎨🧃finals hiatus,scootscrossing,blm | semi ia bc college :/,,20 | she/her | kidcore island | @dannydinosauryt stannie & kk slider hatebot 🥰 | scoot’s bestie | pfp by @sugary_carousel | header by me | all are welcome🌈💗,,,False,710,580,5,Tue Jul 14 12:31:50 +0000 2020,3080,,,False,False,5140,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_banners/1283016307903025154/1601852108,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1283016307903025154,1283016307903025154,hannah🎨🧃finals hiatus,scootscrossing,blm | semi ia bc college :/,,20 | she/her | kidcore island | @dannydinosauryt stannie & kk slider hatebot 🥰 | scoot’s bestie | pfp by @sugary_carousel | header by me | all are welcome🌈💗,,,False,710,580,5,Tue Jul 14 12:31:50 +0000 2020,3080,,,False,False,5140,,1337991565424414723,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_banners/1283016307903025154/1601852108,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1283016307903025154,1283016307903025154,hannah🎨🧃finals hiatus,scootscrossing,blm | semi ia bc college :/,,20 | she/her | kidcore island | @dannydinosauryt stannie & kk slider hatebot 🥰 | scoot’s bestie | pfp by @sugary_carousel | header by me | all are welcome🌈💗,,,False,710,580,5,Tue Jul 14 12:31:50 +0000 2020,3080,,,False,False,5140,,1337991565424414723,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_banners/1283016307903025154/1601852108,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
