,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,42023686,42023686,🌗Maddie is done🌘MadMad 💖 신 미연,moonmadmad,Somewhere over the shadow,,🌙ONEUS | ONEWE | VIXX | adult | NSFW | ♐♀️she/her | ENG ok |fan acc| tired Geonhak stan - PPIYAK 🐣,,{'urls': []},False,539,781,18,Sat May 23 13:14:20 +0000 2009,128102,,,False,False,95668,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326121493424648192/Xt-zgMwy_normal.jpg,https://pbs.twimg.com/profile_images/1326121493424648192/Xt-zgMwy_normal.jpg,https://pbs.twimg.com/profile_banners/42023686/1607939377,FAB81E,000000,000000,000000,False,False,False,False,False,False,False,none
created_at,42023686,42023686,🌗Maddie is done🌘MadMad 💖 신 미연,moonmadmad,Somewhere over the shadow,,🌙ONEUS | ONEWE | VIXX | adult | NSFW | ♐♀️she/her | ENG ok |fan acc| tired Geonhak stan - PPIYAK 🐣,,,False,539,781,18,Sat May 23 13:14:20 +0000 2009,128102,,,False,False,95668,,Tue Dec 15 09:46:52 +0000 2020,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326121493424648192/Xt-zgMwy_normal.jpg,https://pbs.twimg.com/profile_images/1326121493424648192/Xt-zgMwy_normal.jpg,https://pbs.twimg.com/profile_banners/42023686/1607939377,FAB81E,000000,000000,000000,False,False,False,False,False,False,False,none
id,42023686,42023686,🌗Maddie is done🌘MadMad 💖 신 미연,moonmadmad,Somewhere over the shadow,,🌙ONEUS | ONEWE | VIXX | adult | NSFW | ♐♀️she/her | ENG ok |fan acc| tired Geonhak stan - PPIYAK 🐣,,,False,539,781,18,Sat May 23 13:14:20 +0000 2009,128102,,,False,False,95668,,1338782571065389057,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326121493424648192/Xt-zgMwy_normal.jpg,https://pbs.twimg.com/profile_images/1326121493424648192/Xt-zgMwy_normal.jpg,https://pbs.twimg.com/profile_banners/42023686/1607939377,FAB81E,000000,000000,000000,False,False,False,False,False,False,False,none
id_str,42023686,42023686,🌗Maddie is done🌘MadMad 💖 신 미연,moonmadmad,Somewhere over the shadow,,🌙ONEUS | ONEWE | VIXX | adult | NSFW | ♐♀️she/her | ENG ok |fan acc| tired Geonhak stan - PPIYAK 🐣,,,False,539,781,18,Sat May 23 13:14:20 +0000 2009,128102,,,False,False,95668,,1338782571065389057,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326121493424648192/Xt-zgMwy_normal.jpg,https://pbs.twimg.com/profile_images/1326121493424648192/Xt-zgMwy_normal.jpg,https://pbs.twimg.com/profile_banners/42023686/1607939377,FAB81E,000000,000000,000000,False,False,False,False,False,False,False,none
text,42023686,42023686,🌗Maddie is done🌘MadMad 💖 신 미연,moonmadmad,Somewhere over the shadow,,🌙ONEUS | ONEWE | VIXX | adult | NSFW | ♐♀️she/her | ENG ok |fan acc| tired Geonhak stan - PPIYAK 🐣,,,False,539,781,18,Sat May 23 13:14:20 +0000 2009,128102,,,False,False,95668,,@bywoongie How dare he? 😭 he said he loves us... he love to torture us! 😭💔,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326121493424648192/Xt-zgMwy_normal.jpg,https://pbs.twimg.com/profile_images/1326121493424648192/Xt-zgMwy_normal.jpg,https://pbs.twimg.com/profile_banners/42023686/1607939377,FAB81E,000000,000000,000000,False,False,False,False,False,False,False,none
truncated,42023686,42023686,🌗Maddie is done🌘MadMad 💖 신 미연,moonmadmad,Somewhere over the shadow,,🌙ONEUS | ONEWE | VIXX | adult | NSFW | ♐♀️she/her | ENG ok |fan acc| tired Geonhak stan - PPIYAK 🐣,,,False,539,781,18,Sat May 23 13:14:20 +0000 2009,128102,,,False,False,95668,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326121493424648192/Xt-zgMwy_normal.jpg,https://pbs.twimg.com/profile_images/1326121493424648192/Xt-zgMwy_normal.jpg,https://pbs.twimg.com/profile_banners/42023686/1607939377,FAB81E,000000,000000,000000,False,False,False,False,False,False,False,none
entities,42023686,42023686,🌗Maddie is done🌘MadMad 💖 신 미연,moonmadmad,Somewhere over the shadow,,🌙ONEUS | ONEWE | VIXX | adult | NSFW | ♐♀️she/her | ENG ok |fan acc| tired Geonhak stan - PPIYAK 🐣,,,False,539,781,18,Sat May 23 13:14:20 +0000 2009,128102,,,False,False,95668,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'bywoongie', 'name': 'lia', 'id': 1265276863527612418, 'id_str': '1265276863527612418', 'indices': [0, 10]}], 'urls': []}",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326121493424648192/Xt-zgMwy_normal.jpg,https://pbs.twimg.com/profile_images/1326121493424648192/Xt-zgMwy_normal.jpg,https://pbs.twimg.com/profile_banners/42023686/1607939377,FAB81E,000000,000000,000000,False,False,False,False,False,False,False,none
source,42023686,42023686,🌗Maddie is done🌘MadMad 💖 신 미연,moonmadmad,Somewhere over the shadow,,🌙ONEUS | ONEWE | VIXX | adult | NSFW | ♐♀️she/her | ENG ok |fan acc| tired Geonhak stan - PPIYAK 🐣,,,False,539,781,18,Sat May 23 13:14:20 +0000 2009,128102,,,False,False,95668,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326121493424648192/Xt-zgMwy_normal.jpg,https://pbs.twimg.com/profile_images/1326121493424648192/Xt-zgMwy_normal.jpg,https://pbs.twimg.com/profile_banners/42023686/1607939377,FAB81E,000000,000000,000000,False,False,False,False,False,False,False,none
in_reply_to_status_id,42023686,42023686,🌗Maddie is done🌘MadMad 💖 신 미연,moonmadmad,Somewhere over the shadow,,🌙ONEUS | ONEWE | VIXX | adult | NSFW | ♐♀️she/her | ENG ok |fan acc| tired Geonhak stan - PPIYAK 🐣,,,False,539,781,18,Sat May 23 13:14:20 +0000 2009,128102,,,False,False,95668,,1338782023549210625,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326121493424648192/Xt-zgMwy_normal.jpg,https://pbs.twimg.com/profile_images/1326121493424648192/Xt-zgMwy_normal.jpg,https://pbs.twimg.com/profile_banners/42023686/1607939377,FAB81E,000000,000000,000000,False,False,False,False,False,False,False,none
in_reply_to_status_id_str,42023686,42023686,🌗Maddie is done🌘MadMad 💖 신 미연,moonmadmad,Somewhere over the shadow,,🌙ONEUS | ONEWE | VIXX | adult | NSFW | ♐♀️she/her | ENG ok |fan acc| tired Geonhak stan - PPIYAK 🐣,,,False,539,781,18,Sat May 23 13:14:20 +0000 2009,128102,,,False,False,95668,,1338782023549210625,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326121493424648192/Xt-zgMwy_normal.jpg,https://pbs.twimg.com/profile_images/1326121493424648192/Xt-zgMwy_normal.jpg,https://pbs.twimg.com/profile_banners/42023686/1607939377,FAB81E,000000,000000,000000,False,False,False,False,False,False,False,none
in_reply_to_user_id,42023686,42023686,🌗Maddie is done🌘MadMad 💖 신 미연,moonmadmad,Somewhere over the shadow,,🌙ONEUS | ONEWE | VIXX | adult | NSFW | ♐♀️she/her | ENG ok |fan acc| tired Geonhak stan - PPIYAK 🐣,,,False,539,781,18,Sat May 23 13:14:20 +0000 2009,128102,,,False,False,95668,,1265276863527612418,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326121493424648192/Xt-zgMwy_normal.jpg,https://pbs.twimg.com/profile_images/1326121493424648192/Xt-zgMwy_normal.jpg,https://pbs.twimg.com/profile_banners/42023686/1607939377,FAB81E,000000,000000,000000,False,False,False,False,False,False,False,none
