,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1254554007995133964,1254554007995133964,Lili ☆ avoiding forced recovery,chaiteafairy,💫⭐️5’1 | 100lbs ⭐️💫,,"tw: edtwt, nsfw, vent acc | 19 | she/her | yes i hate myself | ugw: until i’m satisfied",,{'urls': []},False,422,155,6,Sun Apr 26 23:32:53 +0000 2020,7899,,,False,False,4287,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1318302953980239872/ez5JSGGP_normal.jpg,https://pbs.twimg.com/profile_images/1318302953980239872/ez5JSGGP_normal.jpg,https://pbs.twimg.com/profile_banners/1254554007995133964/1603142892,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1254554007995133964,1254554007995133964,Lili ☆ avoiding forced recovery,chaiteafairy,💫⭐️5’1 | 100lbs ⭐️💫,,"tw: edtwt, nsfw, vent acc | 19 | she/her | yes i hate myself | ugw: until i’m satisfied",,,False,422,155,6,Sun Apr 26 23:32:53 +0000 2020,7899,,,False,False,4287,,Tue Dec 15 02:01:58 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1318302953980239872/ez5JSGGP_normal.jpg,https://pbs.twimg.com/profile_images/1318302953980239872/ez5JSGGP_normal.jpg,https://pbs.twimg.com/profile_banners/1254554007995133964/1603142892,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1254554007995133964,1254554007995133964,Lili ☆ avoiding forced recovery,chaiteafairy,💫⭐️5’1 | 100lbs ⭐️💫,,"tw: edtwt, nsfw, vent acc | 19 | she/her | yes i hate myself | ugw: until i’m satisfied",,,False,422,155,6,Sun Apr 26 23:32:53 +0000 2020,7899,,,False,False,4287,,1338665573652324357,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1318302953980239872/ez5JSGGP_normal.jpg,https://pbs.twimg.com/profile_images/1318302953980239872/ez5JSGGP_normal.jpg,https://pbs.twimg.com/profile_banners/1254554007995133964/1603142892,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1254554007995133964,1254554007995133964,Lili ☆ avoiding forced recovery,chaiteafairy,💫⭐️5’1 | 100lbs ⭐️💫,,"tw: edtwt, nsfw, vent acc | 19 | she/her | yes i hate myself | ugw: until i’m satisfied",,,False,422,155,6,Sun Apr 26 23:32:53 +0000 2020,7899,,,False,False,4287,,1338665573652324357,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1318302953980239872/ez5JSGGP_normal.jpg,https://pbs.twimg.com/profile_images/1318302953980239872/ez5JSGGP_normal.jpg,https://pbs.twimg.com/profile_banners/1254554007995133964/1603142892,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1254554007995133964,1254554007995133964,Lili ☆ avoiding forced recovery,chaiteafairy,💫⭐️5’1 | 100lbs ⭐️💫,,"tw: edtwt, nsfw, vent acc | 19 | she/her | yes i hate myself | ugw: until i’m satisfied",,,False,422,155,6,Sun Apr 26 23:32:53 +0000 2020,7899,,,False,False,4287,,@kIonopinmg i was gonna be mad for you but noticing that you said ex made me feel slightly better... they probably still stink tho,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1318302953980239872/ez5JSGGP_normal.jpg,https://pbs.twimg.com/profile_images/1318302953980239872/ez5JSGGP_normal.jpg,https://pbs.twimg.com/profile_banners/1254554007995133964/1603142892,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1254554007995133964,1254554007995133964,Lili ☆ avoiding forced recovery,chaiteafairy,💫⭐️5’1 | 100lbs ⭐️💫,,"tw: edtwt, nsfw, vent acc | 19 | she/her | yes i hate myself | ugw: until i’m satisfied",,,False,422,155,6,Sun Apr 26 23:32:53 +0000 2020,7899,,,False,False,4287,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1318302953980239872/ez5JSGGP_normal.jpg,https://pbs.twimg.com/profile_images/1318302953980239872/ez5JSGGP_normal.jpg,https://pbs.twimg.com/profile_banners/1254554007995133964/1603142892,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1254554007995133964,1254554007995133964,Lili ☆ avoiding forced recovery,chaiteafairy,💫⭐️5’1 | 100lbs ⭐️💫,,"tw: edtwt, nsfw, vent acc | 19 | she/her | yes i hate myself | ugw: until i’m satisfied",,,False,422,155,6,Sun Apr 26 23:32:53 +0000 2020,7899,,,False,False,4287,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kIonopinmg', 'name': 'gumdrop 𝒿𝑒𝓈𝓈’𝓈 𝓈𝓁𝓊𝓉', 'id': 1298595934763454464, 'id_str': '1298595934763454464', 'indices': [0, 11]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1318302953980239872/ez5JSGGP_normal.jpg,https://pbs.twimg.com/profile_images/1318302953980239872/ez5JSGGP_normal.jpg,https://pbs.twimg.com/profile_banners/1254554007995133964/1603142892,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1254554007995133964,1254554007995133964,Lili ☆ avoiding forced recovery,chaiteafairy,💫⭐️5’1 | 100lbs ⭐️💫,,"tw: edtwt, nsfw, vent acc | 19 | she/her | yes i hate myself | ugw: until i’m satisfied",,,False,422,155,6,Sun Apr 26 23:32:53 +0000 2020,7899,,,False,False,4287,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1318302953980239872/ez5JSGGP_normal.jpg,https://pbs.twimg.com/profile_images/1318302953980239872/ez5JSGGP_normal.jpg,https://pbs.twimg.com/profile_banners/1254554007995133964/1603142892,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1254554007995133964,1254554007995133964,Lili ☆ avoiding forced recovery,chaiteafairy,💫⭐️5’1 | 100lbs ⭐️💫,,"tw: edtwt, nsfw, vent acc | 19 | she/her | yes i hate myself | ugw: until i’m satisfied",,,False,422,155,6,Sun Apr 26 23:32:53 +0000 2020,7899,,,False,False,4287,,1338644127769096200,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1318302953980239872/ez5JSGGP_normal.jpg,https://pbs.twimg.com/profile_images/1318302953980239872/ez5JSGGP_normal.jpg,https://pbs.twimg.com/profile_banners/1254554007995133964/1603142892,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1254554007995133964,1254554007995133964,Lili ☆ avoiding forced recovery,chaiteafairy,💫⭐️5’1 | 100lbs ⭐️💫,,"tw: edtwt, nsfw, vent acc | 19 | she/her | yes i hate myself | ugw: until i’m satisfied",,,False,422,155,6,Sun Apr 26 23:32:53 +0000 2020,7899,,,False,False,4287,,1338644127769096200,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1318302953980239872/ez5JSGGP_normal.jpg,https://pbs.twimg.com/profile_images/1318302953980239872/ez5JSGGP_normal.jpg,https://pbs.twimg.com/profile_banners/1254554007995133964/1603142892,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id,1254554007995133964,1254554007995133964,Lili ☆ avoiding forced recovery,chaiteafairy,💫⭐️5’1 | 100lbs ⭐️💫,,"tw: edtwt, nsfw, vent acc | 19 | she/her | yes i hate myself | ugw: until i’m satisfied",,,False,422,155,6,Sun Apr 26 23:32:53 +0000 2020,7899,,,False,False,4287,,1298595934763454464,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1318302953980239872/ez5JSGGP_normal.jpg,https://pbs.twimg.com/profile_images/1318302953980239872/ez5JSGGP_normal.jpg,https://pbs.twimg.com/profile_banners/1254554007995133964/1603142892,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
