,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,776264089345597444,776264089345597444,Eyimofe #EndSARS,ukutii,"Houston, TX",,"Being number 2, just means being the first to loose |22|",,{'urls': []},False,159,252,1,Thu Sep 15 03:39:16 +0000 2016,15738,,,False,False,2463,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1254640183120744449/YPbpfsng_normal.jpg,https://pbs.twimg.com/profile_images/1254640183120744449/YPbpfsng_normal.jpg,https://pbs.twimg.com/profile_banners/776264089345597444/1590918741,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,776264089345597444,776264089345597444,Eyimofe #EndSARS,ukutii,"Houston, TX",,"Being number 2, just means being the first to loose |22|",,,False,159,252,1,Thu Sep 15 03:39:16 +0000 2016,15738,,,False,False,2463,,Wed Dec 16 04:36:26 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1254640183120744449/YPbpfsng_normal.jpg,https://pbs.twimg.com/profile_images/1254640183120744449/YPbpfsng_normal.jpg,https://pbs.twimg.com/profile_banners/776264089345597444/1590918741,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,776264089345597444,776264089345597444,Eyimofe #EndSARS,ukutii,"Houston, TX",,"Being number 2, just means being the first to loose |22|",,,False,159,252,1,Thu Sep 15 03:39:16 +0000 2016,15738,,,False,False,2463,,1339066832687345664,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1254640183120744449/YPbpfsng_normal.jpg,https://pbs.twimg.com/profile_images/1254640183120744449/YPbpfsng_normal.jpg,https://pbs.twimg.com/profile_banners/776264089345597444/1590918741,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,776264089345597444,776264089345597444,Eyimofe #EndSARS,ukutii,"Houston, TX",,"Being number 2, just means being the first to loose |22|",,,False,159,252,1,Thu Sep 15 03:39:16 +0000 2016,15738,,,False,False,2463,,1339066832687345664,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1254640183120744449/YPbpfsng_normal.jpg,https://pbs.twimg.com/profile_images/1254640183120744449/YPbpfsng_normal.jpg,https://pbs.twimg.com/profile_banners/776264089345597444/1590918741,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,776264089345597444,776264089345597444,Eyimofe #EndSARS,ukutii,"Houston, TX",,"Being number 2, just means being the first to loose |22|",,,False,159,252,1,Thu Sep 15 03:39:16 +0000 2016,15738,,,False,False,2463,,Omg this song brings back so many memories https://t.co/8fgpwuwhW6,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1254640183120744449/YPbpfsng_normal.jpg,https://pbs.twimg.com/profile_images/1254640183120744449/YPbpfsng_normal.jpg,https://pbs.twimg.com/profile_banners/776264089345597444/1590918741,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,776264089345597444,776264089345597444,Eyimofe #EndSARS,ukutii,"Houston, TX",,"Being number 2, just means being the first to loose |22|",,,False,159,252,1,Thu Sep 15 03:39:16 +0000 2016,15738,,,False,False,2463,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1254640183120744449/YPbpfsng_normal.jpg,https://pbs.twimg.com/profile_images/1254640183120744449/YPbpfsng_normal.jpg,https://pbs.twimg.com/profile_banners/776264089345597444/1590918741,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,776264089345597444,776264089345597444,Eyimofe #EndSARS,ukutii,"Houston, TX",,"Being number 2, just means being the first to loose |22|",,,False,159,252,1,Thu Sep 15 03:39:16 +0000 2016,15738,,,False,False,2463,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/8fgpwuwhW6', 'expanded_url': 'https://twitter.com/throwback_mr/status/1339058232552255491', 'display_url': 'twitter.com/throwback_mr/s…', 'indices': [43, 66]}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1254640183120744449/YPbpfsng_normal.jpg,https://pbs.twimg.com/profile_images/1254640183120744449/YPbpfsng_normal.jpg,https://pbs.twimg.com/profile_banners/776264089345597444/1590918741,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,776264089345597444,776264089345597444,Eyimofe #EndSARS,ukutii,"Houston, TX",,"Being number 2, just means being the first to loose |22|",,,False,159,252,1,Thu Sep 15 03:39:16 +0000 2016,15738,,,False,False,2463,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1254640183120744449/YPbpfsng_normal.jpg,https://pbs.twimg.com/profile_images/1254640183120744449/YPbpfsng_normal.jpg,https://pbs.twimg.com/profile_banners/776264089345597444/1590918741,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,776264089345597444,776264089345597444,Eyimofe #EndSARS,ukutii,"Houston, TX",,"Being number 2, just means being the first to loose |22|",,,False,159,252,1,Thu Sep 15 03:39:16 +0000 2016,15738,,,False,False,2463,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1254640183120744449/YPbpfsng_normal.jpg,https://pbs.twimg.com/profile_images/1254640183120744449/YPbpfsng_normal.jpg,https://pbs.twimg.com/profile_banners/776264089345597444/1590918741,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,776264089345597444,776264089345597444,Eyimofe #EndSARS,ukutii,"Houston, TX",,"Being number 2, just means being the first to loose |22|",,,False,159,252,1,Thu Sep 15 03:39:16 +0000 2016,15738,,,False,False,2463,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1254640183120744449/YPbpfsng_normal.jpg,https://pbs.twimg.com/profile_images/1254640183120744449/YPbpfsng_normal.jpg,https://pbs.twimg.com/profile_banners/776264089345597444/1590918741,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
