,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1081016834751676416,1081016834751676416,⚡️𝑻𝒂𝒎𝒑𝒂🐊𝑩𝒐𝒓𝒏🏴‍☠️ (BOLT⚡️ Stan),PlayoffBolt,Amalie is home ⚡️,,☀️𝙏𝙮𝙥𝙞𝙘𝙖𝙡 𝙁𝙡𝙤𝙧𝙞𝙙𝙞𝙖𝙣🌴| CAC 23 | FUCK MARCO WILSON | #GoBolts | #GoBucs | #GoGators🐊| 🐶𝑺𝑻𝑨𝑵 𝑩𝑶𝑳𝑻⚡️|,,{'urls': []},False,1100,874,5,Fri Jan 04 02:37:52 +0000 2019,10542,,,False,False,15470,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_banners/1081016834751676416/1601899776,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1081016834751676416,1081016834751676416,⚡️𝑻𝒂𝒎𝒑𝒂🐊𝑩𝒐𝒓𝒏🏴‍☠️ (BOLT⚡️ Stan),PlayoffBolt,Amalie is home ⚡️,,☀️𝙏𝙮𝙥𝙞𝙘𝙖𝙡 𝙁𝙡𝙤𝙧𝙞𝙙𝙞𝙖𝙣🌴| CAC 23 | FUCK MARCO WILSON | #GoBolts | #GoBucs | #GoGators🐊| 🐶𝑺𝑻𝑨𝑵 𝑩𝑶𝑳𝑻⚡️|,,,False,1100,874,5,Fri Jan 04 02:37:52 +0000 2019,10542,,,False,False,15470,,Tue Dec 15 04:27:17 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_banners/1081016834751676416/1601899776,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1081016834751676416,1081016834751676416,⚡️𝑻𝒂𝒎𝒑𝒂🐊𝑩𝒐𝒓𝒏🏴‍☠️ (BOLT⚡️ Stan),PlayoffBolt,Amalie is home ⚡️,,☀️𝙏𝙮𝙥𝙞𝙘𝙖𝙡 𝙁𝙡𝙤𝙧𝙞𝙙𝙞𝙖𝙣🌴| CAC 23 | FUCK MARCO WILSON | #GoBolts | #GoBucs | #GoGators🐊| 🐶𝑺𝑻𝑨𝑵 𝑩𝑶𝑳𝑻⚡️|,,,False,1100,874,5,Fri Jan 04 02:37:52 +0000 2019,10542,,,False,False,15470,,1338702142211842049,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_banners/1081016834751676416/1601899776,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1081016834751676416,1081016834751676416,⚡️𝑻𝒂𝒎𝒑𝒂🐊𝑩𝒐𝒓𝒏🏴‍☠️ (BOLT⚡️ Stan),PlayoffBolt,Amalie is home ⚡️,,☀️𝙏𝙮𝙥𝙞𝙘𝙖𝙡 𝙁𝙡𝙤𝙧𝙞𝙙𝙞𝙖𝙣🌴| CAC 23 | FUCK MARCO WILSON | #GoBolts | #GoBucs | #GoGators🐊| 🐶𝑺𝑻𝑨𝑵 𝑩𝑶𝑳𝑻⚡️|,,,False,1100,874,5,Fri Jan 04 02:37:52 +0000 2019,10542,,,False,False,15470,,1338702142211842049,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_banners/1081016834751676416/1601899776,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1081016834751676416,1081016834751676416,⚡️𝑻𝒂𝒎𝒑𝒂🐊𝑩𝒐𝒓𝒏🏴‍☠️ (BOLT⚡️ Stan),PlayoffBolt,Amalie is home ⚡️,,☀️𝙏𝙮𝙥𝙞𝙘𝙖𝙡 𝙁𝙡𝙤𝙧𝙞𝙙𝙞𝙖𝙣🌴| CAC 23 | FUCK MARCO WILSON | #GoBolts | #GoBucs | #GoGators🐊| 🐶𝑺𝑻𝑨𝑵 𝑩𝑶𝑳𝑻⚡️|,,,False,1100,874,5,Fri Jan 04 02:37:52 +0000 2019,10542,,,False,False,15470,,RT @icymetcalf: TRACE MCSORLEY INJURED NOOOOO https://t.co/hW3LE17O1i,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_banners/1081016834751676416/1601899776,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1081016834751676416,1081016834751676416,⚡️𝑻𝒂𝒎𝒑𝒂🐊𝑩𝒐𝒓𝒏🏴‍☠️ (BOLT⚡️ Stan),PlayoffBolt,Amalie is home ⚡️,,☀️𝙏𝙮𝙥𝙞𝙘𝙖𝙡 𝙁𝙡𝙤𝙧𝙞𝙙𝙞𝙖𝙣🌴| CAC 23 | FUCK MARCO WILSON | #GoBolts | #GoBucs | #GoGators🐊| 🐶𝑺𝑻𝑨𝑵 𝑩𝑶𝑳𝑻⚡️|,,,False,1100,874,5,Fri Jan 04 02:37:52 +0000 2019,10542,,,False,False,15470,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_banners/1081016834751676416/1601899776,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1081016834751676416,1081016834751676416,⚡️𝑻𝒂𝒎𝒑𝒂🐊𝑩𝒐𝒓𝒏🏴‍☠️ (BOLT⚡️ Stan),PlayoffBolt,Amalie is home ⚡️,,☀️𝙏𝙮𝙥𝙞𝙘𝙖𝙡 𝙁𝙡𝙤𝙧𝙞𝙙𝙞𝙖𝙣🌴| CAC 23 | FUCK MARCO WILSON | #GoBolts | #GoBucs | #GoGators🐊| 🐶𝑺𝑻𝑨𝑵 𝑩𝑶𝑳𝑻⚡️|,,,False,1100,874,5,Fri Jan 04 02:37:52 +0000 2019,10542,,,False,False,15470,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'icymetcalf', 'name': '🎄¹⁴', 'id': 1332109175329996801, 'id_str': '1332109175329996801', 'indices': [3, 14]}], 'urls': [], 'media': [{'id': 1338700979705847811, 'id_str': '1338700979705847811', 'indices': [46, 69], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1338700979705847811/pu/img/3txYI_srOrbYmovj.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1338700979705847811/pu/img/3txYI_srOrbYmovj.jpg', 'url': 'https://t.co/hW3LE17O1i', 'display_url': 'pic.twitter.com/hW3LE17O1i', 'expanded_url': 'https://twitter.com/icymetcalf/status/1338701020788969472/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 669, 'resize': 'fit'}, 'medium': {'w': 732, 'h': 720, 'resize': 'fit'}, 'large': {'w': 732, 'h': 720, 'resize': 'fit'}}, 'source_status_id': 1338701020788969472, 'source_status_id_str': '1338701020788969472', 'source_user_id': 1332109175329996801, 'source_user_id_str': '1332109175329996801'}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_banners/1081016834751676416/1601899776,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
extended_entities,1081016834751676416,1081016834751676416,⚡️𝑻𝒂𝒎𝒑𝒂🐊𝑩𝒐𝒓𝒏🏴‍☠️ (BOLT⚡️ Stan),PlayoffBolt,Amalie is home ⚡️,,☀️𝙏𝙮𝙥𝙞𝙘𝙖𝙡 𝙁𝙡𝙤𝙧𝙞𝙙𝙞𝙖𝙣🌴| CAC 23 | FUCK MARCO WILSON | #GoBolts | #GoBucs | #GoGators🐊| 🐶𝑺𝑻𝑨𝑵 𝑩𝑶𝑳𝑻⚡️|,,,False,1100,874,5,Fri Jan 04 02:37:52 +0000 2019,10542,,,False,False,15470,,"{'media': [{'id': 1338700979705847811, 'id_str': '1338700979705847811', 'indices': [46, 69], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1338700979705847811/pu/img/3txYI_srOrbYmovj.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1338700979705847811/pu/img/3txYI_srOrbYmovj.jpg', 'url': 'https://t.co/hW3LE17O1i', 'display_url': 'pic.twitter.com/hW3LE17O1i', 'expanded_url': 'https://twitter.com/icymetcalf/status/1338701020788969472/video/1', 'type': 'video', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 669, 'resize': 'fit'}, 'medium': {'w': 732, 'h': 720, 'resize': 'fit'}, 'large': {'w': 732, 'h': 720, 'resize': 'fit'}}, 'source_status_id': 1338701020788969472, 'source_status_id_str': '1338701020788969472', 'source_user_id': 1332109175329996801, 'source_user_id_str': '1332109175329996801', 'video_info': {'aspect_ratio': [61, 60], 'duration_millis': 42167, 'variants': [{'bitrate': 256000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1338700979705847811/pu/vid/274x270/KufPYtzVGMYEELdE.mp4?tag=10'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/1338700979705847811/pu/pl/jUAst2IuedED67dv.m3u8?tag=10'}, {'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1338700979705847811/pu/vid/366x360/1HUIhPBwviceYFlF.mp4?tag=10'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1338700979705847811/pu/vid/732x720/JuMafzHJLDBdqMt5.mp4?tag=10'}]}, 'additional_media_info': {'monetizable': False}}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_banners/1081016834751676416/1601899776,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1081016834751676416,1081016834751676416,⚡️𝑻𝒂𝒎𝒑𝒂🐊𝑩𝒐𝒓𝒏🏴‍☠️ (BOLT⚡️ Stan),PlayoffBolt,Amalie is home ⚡️,,☀️𝙏𝙮𝙥𝙞𝙘𝙖𝙡 𝙁𝙡𝙤𝙧𝙞𝙙𝙞𝙖𝙣🌴| CAC 23 | FUCK MARCO WILSON | #GoBolts | #GoBucs | #GoGators🐊| 🐶𝑺𝑻𝑨𝑵 𝑩𝑶𝑳𝑻⚡️|,,,False,1100,874,5,Fri Jan 04 02:37:52 +0000 2019,10542,,,False,False,15470,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_banners/1081016834751676416/1601899776,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1081016834751676416,1081016834751676416,⚡️𝑻𝒂𝒎𝒑𝒂🐊𝑩𝒐𝒓𝒏🏴‍☠️ (BOLT⚡️ Stan),PlayoffBolt,Amalie is home ⚡️,,☀️𝙏𝙮𝙥𝙞𝙘𝙖𝙡 𝙁𝙡𝙤𝙧𝙞𝙙𝙞𝙖𝙣🌴| CAC 23 | FUCK MARCO WILSON | #GoBolts | #GoBucs | #GoGators🐊| 🐶𝑺𝑻𝑨𝑵 𝑩𝑶𝑳𝑻⚡️|,,,False,1100,874,5,Fri Jan 04 02:37:52 +0000 2019,10542,,,False,False,15470,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_banners/1081016834751676416/1601899776,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1081016834751676416,1081016834751676416,⚡️𝑻𝒂𝒎𝒑𝒂🐊𝑩𝒐𝒓𝒏🏴‍☠️ (BOLT⚡️ Stan),PlayoffBolt,Amalie is home ⚡️,,☀️𝙏𝙮𝙥𝙞𝙘𝙖𝙡 𝙁𝙡𝙤𝙧𝙞𝙙𝙞𝙖𝙣🌴| CAC 23 | FUCK MARCO WILSON | #GoBolts | #GoBucs | #GoGators🐊| 🐶𝑺𝑻𝑨𝑵 𝑩𝑶𝑳𝑻⚡️|,,,False,1100,874,5,Fri Jan 04 02:37:52 +0000 2019,10542,,,False,False,15470,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_banners/1081016834751676416/1601899776,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
