,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1274951930943549441,1274951930943549441,★marian ⁷𖧵 missing koo,taekoosluvv,19|🏳️‍🌈🇲🇽| adhd,,#BTS: I'm your light || she/her love pet names,,{'urls': []},False,770,736,25,Mon Jun 22 06:28:02 +0000 2020,17321,,,False,False,19024,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336773933123637253/i2c1r7oG_normal.jpg,https://pbs.twimg.com/profile_images/1336773933123637253/i2c1r7oG_normal.jpg,https://pbs.twimg.com/profile_banners/1274951930943549441/1607733008,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1274951930943549441,1274951930943549441,★marian ⁷𖧵 missing koo,taekoosluvv,19|🏳️‍🌈🇲🇽| adhd,,#BTS: I'm your light || she/her love pet names,,,False,770,736,25,Mon Jun 22 06:28:02 +0000 2020,17321,,,False,False,19024,,Wed Dec 16 03:18:04 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336773933123637253/i2c1r7oG_normal.jpg,https://pbs.twimg.com/profile_images/1336773933123637253/i2c1r7oG_normal.jpg,https://pbs.twimg.com/profile_banners/1274951930943549441/1607733008,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1274951930943549441,1274951930943549441,★marian ⁷𖧵 missing koo,taekoosluvv,19|🏳️‍🌈🇲🇽| adhd,,#BTS: I'm your light || she/her love pet names,,,False,770,736,25,Mon Jun 22 06:28:02 +0000 2020,17321,,,False,False,19024,,1339047110235316225,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336773933123637253/i2c1r7oG_normal.jpg,https://pbs.twimg.com/profile_images/1336773933123637253/i2c1r7oG_normal.jpg,https://pbs.twimg.com/profile_banners/1274951930943549441/1607733008,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1274951930943549441,1274951930943549441,★marian ⁷𖧵 missing koo,taekoosluvv,19|🏳️‍🌈🇲🇽| adhd,,#BTS: I'm your light || she/her love pet names,,,False,770,736,25,Mon Jun 22 06:28:02 +0000 2020,17321,,,False,False,19024,,1339047110235316225,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336773933123637253/i2c1r7oG_normal.jpg,https://pbs.twimg.com/profile_images/1336773933123637253/i2c1r7oG_normal.jpg,https://pbs.twimg.com/profile_banners/1274951930943549441/1607733008,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1274951930943549441,1274951930943549441,★marian ⁷𖧵 missing koo,taekoosluvv,19|🏳️‍🌈🇲🇽| adhd,,#BTS: I'm your light || she/her love pet names,,,False,770,736,25,Mon Jun 22 06:28:02 +0000 2020,17321,,,False,False,19024,,RT @sunnydayseulgi: i think this is the best thing i’ve ever watched https://t.co/bygPjqwAYG,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336773933123637253/i2c1r7oG_normal.jpg,https://pbs.twimg.com/profile_images/1336773933123637253/i2c1r7oG_normal.jpg,https://pbs.twimg.com/profile_banners/1274951930943549441/1607733008,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1274951930943549441,1274951930943549441,★marian ⁷𖧵 missing koo,taekoosluvv,19|🏳️‍🌈🇲🇽| adhd,,#BTS: I'm your light || she/her love pet names,,,False,770,736,25,Mon Jun 22 06:28:02 +0000 2020,17321,,,False,False,19024,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336773933123637253/i2c1r7oG_normal.jpg,https://pbs.twimg.com/profile_images/1336773933123637253/i2c1r7oG_normal.jpg,https://pbs.twimg.com/profile_banners/1274951930943549441/1607733008,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1274951930943549441,1274951930943549441,★marian ⁷𖧵 missing koo,taekoosluvv,19|🏳️‍🌈🇲🇽| adhd,,#BTS: I'm your light || she/her love pet names,,,False,770,736,25,Mon Jun 22 06:28:02 +0000 2020,17321,,,False,False,19024,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sunnydayseulgi', 'name': 'alex⁷ ♡', 'id': 973593575987535872, 'id_str': '973593575987535872', 'indices': [3, 18]}], 'urls': [], 'media': [{'id': 1338942735219367936, 'id_str': '1338942735219367936', 'indices': [69, 92], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1338942735219367936/pu/img/dQeWzkBng34vyLGL.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1338942735219367936/pu/img/dQeWzkBng34vyLGL.jpg', 'url': 'https://t.co/bygPjqwAYG', 'display_url': 'pic.twitter.com/bygPjqwAYG', 'expanded_url': 'https://twitter.com/sunnydayseulgi/status/1338942759395319808/video/1', 'type': 'photo', 'sizes': {'medium': {'w': 576, 'h': 576, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 576, 'h': 576, 'resize': 'fit'}, 'large': {'w': 576, 'h': 576, 'resize': 'fit'}}, 'source_status_id': 1338942759395319808, 'source_status_id_str': '1338942759395319808', 'source_user_id': 973593575987535872, 'source_user_id_str': '973593575987535872'}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336773933123637253/i2c1r7oG_normal.jpg,https://pbs.twimg.com/profile_images/1336773933123637253/i2c1r7oG_normal.jpg,https://pbs.twimg.com/profile_banners/1274951930943549441/1607733008,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
extended_entities,1274951930943549441,1274951930943549441,★marian ⁷𖧵 missing koo,taekoosluvv,19|🏳️‍🌈🇲🇽| adhd,,#BTS: I'm your light || she/her love pet names,,,False,770,736,25,Mon Jun 22 06:28:02 +0000 2020,17321,,,False,False,19024,,"{'media': [{'id': 1338942735219367936, 'id_str': '1338942735219367936', 'indices': [69, 92], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1338942735219367936/pu/img/dQeWzkBng34vyLGL.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1338942735219367936/pu/img/dQeWzkBng34vyLGL.jpg', 'url': 'https://t.co/bygPjqwAYG', 'display_url': 'pic.twitter.com/bygPjqwAYG', 'expanded_url': 'https://twitter.com/sunnydayseulgi/status/1338942759395319808/video/1', 'type': 'video', 'sizes': {'medium': {'w': 576, 'h': 576, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 576, 'h': 576, 'resize': 'fit'}, 'large': {'w': 576, 'h': 576, 'resize': 'fit'}}, 'source_status_id': 1338942759395319808, 'source_status_id_str': '1338942759395319808', 'source_user_id': 973593575987535872, 'source_user_id_str': '973593575987535872', 'video_info': {'aspect_ratio': [1, 1], 'duration_millis': 13946, 'variants': [{'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1338942735219367936/pu/vid/480x480/oIQhLs0qgoEI6rgw.mp4?tag=10'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/1338942735219367936/pu/pl/hZG6HZud1018_GBX.m3u8?tag=10'}, {'bitrate': 1280000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1338942735219367936/pu/vid/576x576/En2LFJD19bCplUZN.mp4?tag=10'}, {'bitrate': 432000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1338942735219367936/pu/vid/320x320/vjxHihpftR0p4KpF.mp4?tag=10'}]}, 'additional_media_info': {'monetizable': False}}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336773933123637253/i2c1r7oG_normal.jpg,https://pbs.twimg.com/profile_images/1336773933123637253/i2c1r7oG_normal.jpg,https://pbs.twimg.com/profile_banners/1274951930943549441/1607733008,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1274951930943549441,1274951930943549441,★marian ⁷𖧵 missing koo,taekoosluvv,19|🏳️‍🌈🇲🇽| adhd,,#BTS: I'm your light || she/her love pet names,,,False,770,736,25,Mon Jun 22 06:28:02 +0000 2020,17321,,,False,False,19024,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336773933123637253/i2c1r7oG_normal.jpg,https://pbs.twimg.com/profile_images/1336773933123637253/i2c1r7oG_normal.jpg,https://pbs.twimg.com/profile_banners/1274951930943549441/1607733008,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1274951930943549441,1274951930943549441,★marian ⁷𖧵 missing koo,taekoosluvv,19|🏳️‍🌈🇲🇽| adhd,,#BTS: I'm your light || she/her love pet names,,,False,770,736,25,Mon Jun 22 06:28:02 +0000 2020,17321,,,False,False,19024,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336773933123637253/i2c1r7oG_normal.jpg,https://pbs.twimg.com/profile_images/1336773933123637253/i2c1r7oG_normal.jpg,https://pbs.twimg.com/profile_banners/1274951930943549441/1607733008,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
