,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1213953644027973632,1213953644027973632,grace misses pieck,PIECKSARLERT,13 | they/them | carrd byf,,armin enjoyer | aot manga spoilers,https://t.co/JheWTQywzl,"{'urls': [{'url': 'https://t.co/JheWTQywzl', 'expanded_url': 'https://piecksarlert.carrd.co/', 'display_url': 'piecksarlert.carrd.co', 'indices': [0, 23]}]}",False,171,243,1,Sun Jan 05 22:41:39 +0000 2020,1825,,,False,False,3699,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338701013847519233/hrJ9WjXS_normal.jpg,https://pbs.twimg.com/profile_images/1338701013847519233/hrJ9WjXS_normal.jpg,https://pbs.twimg.com/profile_banners/1213953644027973632/1607936904,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
description,1213953644027973632,1213953644027973632,grace misses pieck,PIECKSARLERT,13 | they/them | carrd byf,,armin enjoyer | aot manga spoilers,https://t.co/JheWTQywzl,{'urls': []},False,171,243,1,Sun Jan 05 22:41:39 +0000 2020,1825,,,False,False,3699,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338701013847519233/hrJ9WjXS_normal.jpg,https://pbs.twimg.com/profile_images/1338701013847519233/hrJ9WjXS_normal.jpg,https://pbs.twimg.com/profile_banners/1213953644027973632/1607936904,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1213953644027973632,1213953644027973632,grace misses pieck,PIECKSARLERT,13 | they/them | carrd byf,,armin enjoyer | aot manga spoilers,https://t.co/JheWTQywzl,,False,171,243,1,Sun Jan 05 22:41:39 +0000 2020,1825,,,False,False,3699,,Tue Dec 15 06:54:01 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338701013847519233/hrJ9WjXS_normal.jpg,https://pbs.twimg.com/profile_images/1338701013847519233/hrJ9WjXS_normal.jpg,https://pbs.twimg.com/profile_banners/1213953644027973632/1607936904,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1213953644027973632,1213953644027973632,grace misses pieck,PIECKSARLERT,13 | they/them | carrd byf,,armin enjoyer | aot manga spoilers,https://t.co/JheWTQywzl,,False,171,243,1,Sun Jan 05 22:41:39 +0000 2020,1825,,,False,False,3699,,1338739070621585408,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338701013847519233/hrJ9WjXS_normal.jpg,https://pbs.twimg.com/profile_images/1338701013847519233/hrJ9WjXS_normal.jpg,https://pbs.twimg.com/profile_banners/1213953644027973632/1607936904,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1213953644027973632,1213953644027973632,grace misses pieck,PIECKSARLERT,13 | they/them | carrd byf,,armin enjoyer | aot manga spoilers,https://t.co/JheWTQywzl,,False,171,243,1,Sun Jan 05 22:41:39 +0000 2020,1825,,,False,False,3699,,1338739070621585408,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338701013847519233/hrJ9WjXS_normal.jpg,https://pbs.twimg.com/profile_images/1338701013847519233/hrJ9WjXS_normal.jpg,https://pbs.twimg.com/profile_banners/1213953644027973632/1607936904,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1213953644027973632,1213953644027973632,grace misses pieck,PIECKSARLERT,13 | they/them | carrd byf,,armin enjoyer | aot manga spoilers,https://t.co/JheWTQywzl,,False,171,243,1,Sun Jan 05 22:41:39 +0000 2020,1825,,,False,False,3699,,https://t.co/dZzotUBgQP,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338701013847519233/hrJ9WjXS_normal.jpg,https://pbs.twimg.com/profile_images/1338701013847519233/hrJ9WjXS_normal.jpg,https://pbs.twimg.com/profile_banners/1213953644027973632/1607936904,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1213953644027973632,1213953644027973632,grace misses pieck,PIECKSARLERT,13 | they/them | carrd byf,,armin enjoyer | aot manga spoilers,https://t.co/JheWTQywzl,,False,171,243,1,Sun Jan 05 22:41:39 +0000 2020,1825,,,False,False,3699,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338701013847519233/hrJ9WjXS_normal.jpg,https://pbs.twimg.com/profile_images/1338701013847519233/hrJ9WjXS_normal.jpg,https://pbs.twimg.com/profile_banners/1213953644027973632/1607936904,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1213953644027973632,1213953644027973632,grace misses pieck,PIECKSARLERT,13 | they/them | carrd byf,,armin enjoyer | aot manga spoilers,https://t.co/JheWTQywzl,,False,171,243,1,Sun Jan 05 22:41:39 +0000 2020,1825,,,False,False,3699,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1338739064745451522, 'id_str': '1338739064745451522', 'indices': [0, 23], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EpQoFiEXYAIILko.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EpQoFiEXYAIILko.jpg', 'url': 'https://t.co/dZzotUBgQP', 'display_url': 'pic.twitter.com/dZzotUBgQP', 'expanded_url': 'https://twitter.com/PIECKSARLERT/status/1338739070621585408/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 498, 'h': 498, 'resize': 'fit'}, 'medium': {'w': 498, 'h': 498, 'resize': 'fit'}, 'small': {'w': 498, 'h': 498, 'resize': 'fit'}}}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338701013847519233/hrJ9WjXS_normal.jpg,https://pbs.twimg.com/profile_images/1338701013847519233/hrJ9WjXS_normal.jpg,https://pbs.twimg.com/profile_banners/1213953644027973632/1607936904,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
extended_entities,1213953644027973632,1213953644027973632,grace misses pieck,PIECKSARLERT,13 | they/them | carrd byf,,armin enjoyer | aot manga spoilers,https://t.co/JheWTQywzl,,False,171,243,1,Sun Jan 05 22:41:39 +0000 2020,1825,,,False,False,3699,,"{'media': [{'id': 1338739064745451522, 'id_str': '1338739064745451522', 'indices': [0, 23], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EpQoFiEXYAIILko.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EpQoFiEXYAIILko.jpg', 'url': 'https://t.co/dZzotUBgQP', 'display_url': 'pic.twitter.com/dZzotUBgQP', 'expanded_url': 'https://twitter.com/PIECKSARLERT/status/1338739070621585408/photo/1', 'type': 'animated_gif', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 498, 'h': 498, 'resize': 'fit'}, 'medium': {'w': 498, 'h': 498, 'resize': 'fit'}, 'small': {'w': 498, 'h': 498, 'resize': 'fit'}}, 'video_info': {'aspect_ratio': [1, 1], 'variants': [{'bitrate': 0, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/tweet_video/EpQoFiEXYAIILko.mp4'}]}}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338701013847519233/hrJ9WjXS_normal.jpg,https://pbs.twimg.com/profile_images/1338701013847519233/hrJ9WjXS_normal.jpg,https://pbs.twimg.com/profile_banners/1213953644027973632/1607936904,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1213953644027973632,1213953644027973632,grace misses pieck,PIECKSARLERT,13 | they/them | carrd byf,,armin enjoyer | aot manga spoilers,https://t.co/JheWTQywzl,,False,171,243,1,Sun Jan 05 22:41:39 +0000 2020,1825,,,False,False,3699,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338701013847519233/hrJ9WjXS_normal.jpg,https://pbs.twimg.com/profile_images/1338701013847519233/hrJ9WjXS_normal.jpg,https://pbs.twimg.com/profile_banners/1213953644027973632/1607936904,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1213953644027973632,1213953644027973632,grace misses pieck,PIECKSARLERT,13 | they/them | carrd byf,,armin enjoyer | aot manga spoilers,https://t.co/JheWTQywzl,,False,171,243,1,Sun Jan 05 22:41:39 +0000 2020,1825,,,False,False,3699,,1338739000127926273,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338701013847519233/hrJ9WjXS_normal.jpg,https://pbs.twimg.com/profile_images/1338701013847519233/hrJ9WjXS_normal.jpg,https://pbs.twimg.com/profile_banners/1213953644027973632/1607936904,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1213953644027973632,1213953644027973632,grace misses pieck,PIECKSARLERT,13 | they/them | carrd byf,,armin enjoyer | aot manga spoilers,https://t.co/JheWTQywzl,,False,171,243,1,Sun Jan 05 22:41:39 +0000 2020,1825,,,False,False,3699,,1338739000127926273,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338701013847519233/hrJ9WjXS_normal.jpg,https://pbs.twimg.com/profile_images/1338701013847519233/hrJ9WjXS_normal.jpg,https://pbs.twimg.com/profile_banners/1213953644027973632/1607936904,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id,1213953644027973632,1213953644027973632,grace misses pieck,PIECKSARLERT,13 | they/them | carrd byf,,armin enjoyer | aot manga spoilers,https://t.co/JheWTQywzl,,False,171,243,1,Sun Jan 05 22:41:39 +0000 2020,1825,,,False,False,3699,,1213953644027973632,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338701013847519233/hrJ9WjXS_normal.jpg,https://pbs.twimg.com/profile_images/1338701013847519233/hrJ9WjXS_normal.jpg,https://pbs.twimg.com/profile_banners/1213953644027973632/1607936904,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id_str,1213953644027973632,1213953644027973632,grace misses pieck,PIECKSARLERT,13 | they/them | carrd byf,,armin enjoyer | aot manga spoilers,https://t.co/JheWTQywzl,,False,171,243,1,Sun Jan 05 22:41:39 +0000 2020,1825,,,False,False,3699,,1213953644027973632,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338701013847519233/hrJ9WjXS_normal.jpg,https://pbs.twimg.com/profile_images/1338701013847519233/hrJ9WjXS_normal.jpg,https://pbs.twimg.com/profile_banners/1213953644027973632/1607936904,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_screen_name,1213953644027973632,1213953644027973632,grace misses pieck,PIECKSARLERT,13 | they/them | carrd byf,,armin enjoyer | aot manga spoilers,https://t.co/JheWTQywzl,,False,171,243,1,Sun Jan 05 22:41:39 +0000 2020,1825,,,False,False,3699,,PIECKSARLERT,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338701013847519233/hrJ9WjXS_normal.jpg,https://pbs.twimg.com/profile_images/1338701013847519233/hrJ9WjXS_normal.jpg,https://pbs.twimg.com/profile_banners/1213953644027973632/1607936904,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
geo,1213953644027973632,1213953644027973632,grace misses pieck,PIECKSARLERT,13 | they/them | carrd byf,,armin enjoyer | aot manga spoilers,https://t.co/JheWTQywzl,,False,171,243,1,Sun Jan 05 22:41:39 +0000 2020,1825,,,False,False,3699,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338701013847519233/hrJ9WjXS_normal.jpg,https://pbs.twimg.com/profile_images/1338701013847519233/hrJ9WjXS_normal.jpg,https://pbs.twimg.com/profile_banners/1213953644027973632/1607936904,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
coordinates,1213953644027973632,1213953644027973632,grace misses pieck,PIECKSARLERT,13 | they/them | carrd byf,,armin enjoyer | aot manga spoilers,https://t.co/JheWTQywzl,,False,171,243,1,Sun Jan 05 22:41:39 +0000 2020,1825,,,False,False,3699,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338701013847519233/hrJ9WjXS_normal.jpg,https://pbs.twimg.com/profile_images/1338701013847519233/hrJ9WjXS_normal.jpg,https://pbs.twimg.com/profile_banners/1213953644027973632/1607936904,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
