,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,731820168633044993,731820168633044993,godot blend #102,sheebsheeb_,"Perth, Western Australia",,"20↑ | she/her | audio student 🎧 | NOT sfw & NOT spoiler free | my tweets are severely depressing sometimes, don't follow if you're uncomfy",,{'urls': []},False,163,312,4,Sun May 15 12:14:59 +0000 2016,19121,,,False,False,33591,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_banners/731820168633044993/1607863790,7FDBB6,000000,000000,000000,False,True,False,False,False,False,False,none
created_at,731820168633044993,731820168633044993,godot blend #102,sheebsheeb_,"Perth, Western Australia",,"20↑ | she/her | audio student 🎧 | NOT sfw & NOT spoiler free | my tweets are severely depressing sometimes, don't follow if you're uncomfy",,,False,163,312,4,Sun May 15 12:14:59 +0000 2016,19121,,,False,False,33591,,Tue Dec 15 11:59:31 +0000 2020,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_banners/731820168633044993/1607863790,7FDBB6,000000,000000,000000,False,True,False,False,False,False,False,none
id,731820168633044993,731820168633044993,godot blend #102,sheebsheeb_,"Perth, Western Australia",,"20↑ | she/her | audio student 🎧 | NOT sfw & NOT spoiler free | my tweets are severely depressing sometimes, don't follow if you're uncomfy",,,False,163,312,4,Sun May 15 12:14:59 +0000 2016,19121,,,False,False,33591,,1338815951790170113,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_banners/731820168633044993/1607863790,7FDBB6,000000,000000,000000,False,True,False,False,False,False,False,none
id_str,731820168633044993,731820168633044993,godot blend #102,sheebsheeb_,"Perth, Western Australia",,"20↑ | she/her | audio student 🎧 | NOT sfw & NOT spoiler free | my tweets are severely depressing sometimes, don't follow if you're uncomfy",,,False,163,312,4,Sun May 15 12:14:59 +0000 2016,19121,,,False,False,33591,,1338815951790170113,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_banners/731820168633044993/1607863790,7FDBB6,000000,000000,000000,False,True,False,False,False,False,False,none
text,731820168633044993,731820168633044993,godot blend #102,sheebsheeb_,"Perth, Western Australia",,"20↑ | she/her | audio student 🎧 | NOT sfw & NOT spoiler free | my tweets are severely depressing sometimes, don't follow if you're uncomfy",,,False,163,312,4,Sun May 15 12:14:59 +0000 2016,19121,,,False,False,33591,,RT @funayfunay: still open for a slot or two!,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_banners/731820168633044993/1607863790,7FDBB6,000000,000000,000000,False,True,False,False,False,False,False,none
truncated,731820168633044993,731820168633044993,godot blend #102,sheebsheeb_,"Perth, Western Australia",,"20↑ | she/her | audio student 🎧 | NOT sfw & NOT spoiler free | my tweets are severely depressing sometimes, don't follow if you're uncomfy",,,False,163,312,4,Sun May 15 12:14:59 +0000 2016,19121,,,False,False,33591,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_banners/731820168633044993/1607863790,7FDBB6,000000,000000,000000,False,True,False,False,False,False,False,none
entities,731820168633044993,731820168633044993,godot blend #102,sheebsheeb_,"Perth, Western Australia",,"20↑ | she/her | audio student 🎧 | NOT sfw & NOT spoiler free | my tweets are severely depressing sometimes, don't follow if you're uncomfy",,,False,163,312,4,Sun May 15 12:14:59 +0000 2016,19121,,,False,False,33591,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'funayfunay', 'name': 'funay🐣💡@ open commission!', 'id': 479494415, 'id_str': '479494415', 'indices': [3, 14]}], 'urls': []}",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_banners/731820168633044993/1607863790,7FDBB6,000000,000000,000000,False,True,False,False,False,False,False,none
source,731820168633044993,731820168633044993,godot blend #102,sheebsheeb_,"Perth, Western Australia",,"20↑ | she/her | audio student 🎧 | NOT sfw & NOT spoiler free | my tweets are severely depressing sometimes, don't follow if you're uncomfy",,,False,163,312,4,Sun May 15 12:14:59 +0000 2016,19121,,,False,False,33591,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_banners/731820168633044993/1607863790,7FDBB6,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_status_id,731820168633044993,731820168633044993,godot blend #102,sheebsheeb_,"Perth, Western Australia",,"20↑ | she/her | audio student 🎧 | NOT sfw & NOT spoiler free | my tweets are severely depressing sometimes, don't follow if you're uncomfy",,,False,163,312,4,Sun May 15 12:14:59 +0000 2016,19121,,,False,False,33591,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_banners/731820168633044993/1607863790,7FDBB6,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_status_id_str,731820168633044993,731820168633044993,godot blend #102,sheebsheeb_,"Perth, Western Australia",,"20↑ | she/her | audio student 🎧 | NOT sfw & NOT spoiler free | my tweets are severely depressing sometimes, don't follow if you're uncomfy",,,False,163,312,4,Sun May 15 12:14:59 +0000 2016,19121,,,False,False,33591,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_banners/731820168633044993/1607863790,7FDBB6,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_user_id,731820168633044993,731820168633044993,godot blend #102,sheebsheeb_,"Perth, Western Australia",,"20↑ | she/her | audio student 🎧 | NOT sfw & NOT spoiler free | my tweets are severely depressing sometimes, don't follow if you're uncomfy",,,False,163,312,4,Sun May 15 12:14:59 +0000 2016,19121,,,False,False,33591,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_banners/731820168633044993/1607863790,7FDBB6,000000,000000,000000,False,True,False,False,False,False,False,none
