,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,772657236,772657236,🌴🎌🌴,palmtreelivinn,"Tampa, Flawwwwda",,Just talking my shit | snapchat/IG @palmtreelivinn | SLU,https://t.co/h2DvRXjN4v,"{'urls': [{'url': 'https://t.co/h2DvRXjN4v', 'expanded_url': 'http://Instagram.com/palmtreelivinn', 'display_url': 'Instagram.com/palmtreelivinn', 'indices': [0, 23]}]}",False,354,289,3,Wed Aug 22 01:47:52 +0000 2012,5861,,,True,False,29155,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_banners/772657236/1492292720,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
description,772657236,772657236,🌴🎌🌴,palmtreelivinn,"Tampa, Flawwwwda",,Just talking my shit | snapchat/IG @palmtreelivinn | SLU,https://t.co/h2DvRXjN4v,{'urls': []},False,354,289,3,Wed Aug 22 01:47:52 +0000 2012,5861,,,True,False,29155,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_banners/772657236/1492292720,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,772657236,772657236,🌴🎌🌴,palmtreelivinn,"Tampa, Flawwwwda",,Just talking my shit | snapchat/IG @palmtreelivinn | SLU,https://t.co/h2DvRXjN4v,,False,354,289,3,Wed Aug 22 01:47:52 +0000 2012,5861,,,True,False,29155,,Tue Dec 15 06:35:38 +0000 2020,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_banners/772657236/1492292720,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,772657236,772657236,🌴🎌🌴,palmtreelivinn,"Tampa, Flawwwwda",,Just talking my shit | snapchat/IG @palmtreelivinn | SLU,https://t.co/h2DvRXjN4v,,False,354,289,3,Wed Aug 22 01:47:52 +0000 2012,5861,,,True,False,29155,,1338734442949578754,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_banners/772657236/1492292720,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,772657236,772657236,🌴🎌🌴,palmtreelivinn,"Tampa, Flawwwwda",,Just talking my shit | snapchat/IG @palmtreelivinn | SLU,https://t.co/h2DvRXjN4v,,False,354,289,3,Wed Aug 22 01:47:52 +0000 2012,5861,,,True,False,29155,,1338734442949578754,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_banners/772657236/1492292720,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,772657236,772657236,🌴🎌🌴,palmtreelivinn,"Tampa, Flawwwwda",,Just talking my shit | snapchat/IG @palmtreelivinn | SLU,https://t.co/h2DvRXjN4v,,False,354,289,3,Wed Aug 22 01:47:52 +0000 2012,5861,,,True,False,29155,,RT @chachivercetti: 5 years plus = real homies/homegirls,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_banners/772657236/1492292720,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,772657236,772657236,🌴🎌🌴,palmtreelivinn,"Tampa, Flawwwwda",,Just talking my shit | snapchat/IG @palmtreelivinn | SLU,https://t.co/h2DvRXjN4v,,False,354,289,3,Wed Aug 22 01:47:52 +0000 2012,5861,,,True,False,29155,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_banners/772657236/1492292720,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,772657236,772657236,🌴🎌🌴,palmtreelivinn,"Tampa, Flawwwwda",,Just talking my shit | snapchat/IG @palmtreelivinn | SLU,https://t.co/h2DvRXjN4v,,False,354,289,3,Wed Aug 22 01:47:52 +0000 2012,5861,,,True,False,29155,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'chachivercetti', 'name': '🍸', 'id': 246002340, 'id_str': '246002340', 'indices': [3, 18]}], 'urls': []}",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_banners/772657236/1492292720,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,772657236,772657236,🌴🎌🌴,palmtreelivinn,"Tampa, Flawwwwda",,Just talking my shit | snapchat/IG @palmtreelivinn | SLU,https://t.co/h2DvRXjN4v,,False,354,289,3,Wed Aug 22 01:47:52 +0000 2012,5861,,,True,False,29155,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_banners/772657236/1492292720,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,772657236,772657236,🌴🎌🌴,palmtreelivinn,"Tampa, Flawwwwda",,Just talking my shit | snapchat/IG @palmtreelivinn | SLU,https://t.co/h2DvRXjN4v,,False,354,289,3,Wed Aug 22 01:47:52 +0000 2012,5861,,,True,False,29155,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_banners/772657236/1492292720,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,772657236,772657236,🌴🎌🌴,palmtreelivinn,"Tampa, Flawwwwda",,Just talking my shit | snapchat/IG @palmtreelivinn | SLU,https://t.co/h2DvRXjN4v,,False,354,289,3,Wed Aug 22 01:47:52 +0000 2012,5861,,,True,False,29155,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_banners/772657236/1492292720,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
