,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1594324339,1594324339,Trespassers William,Mammoth_Spotter,UK,,PhD student (climate change). Unrepentant SFF geek. Untidy troglodyte forest dweller. Unprepared for modern life. Apprentice follower of Jesus. Bombadil wannabe,,{'urls': []},False,1122,1243,19,Sun Jul 14 21:30:04 +0000 2013,8650,,,False,False,3541,,,False,False,False,003300,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1286745886127775744/jh4vl93e_normal.jpg,https://pbs.twimg.com/profile_images/1286745886127775744/jh4vl93e_normal.jpg,https://pbs.twimg.com/profile_banners/1594324339/1585297475,003300,000000,000000,000000,False,False,False,False,False,False,False,none
created_at,1594324339,1594324339,Trespassers William,Mammoth_Spotter,UK,,PhD student (climate change). Unrepentant SFF geek. Untidy troglodyte forest dweller. Unprepared for modern life. Apprentice follower of Jesus. Bombadil wannabe,,,False,1122,1243,19,Sun Jul 14 21:30:04 +0000 2013,8650,,,False,False,3541,,Mon Dec 14 21:22:07 +0000 2020,False,False,False,003300,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1286745886127775744/jh4vl93e_normal.jpg,https://pbs.twimg.com/profile_images/1286745886127775744/jh4vl93e_normal.jpg,https://pbs.twimg.com/profile_banners/1594324339/1585297475,003300,000000,000000,000000,False,False,False,False,False,False,False,none
id,1594324339,1594324339,Trespassers William,Mammoth_Spotter,UK,,PhD student (climate change). Unrepentant SFF geek. Untidy troglodyte forest dweller. Unprepared for modern life. Apprentice follower of Jesus. Bombadil wannabe,,,False,1122,1243,19,Sun Jul 14 21:30:04 +0000 2013,8650,,,False,False,3541,,1338595145864925184,False,False,False,003300,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1286745886127775744/jh4vl93e_normal.jpg,https://pbs.twimg.com/profile_images/1286745886127775744/jh4vl93e_normal.jpg,https://pbs.twimg.com/profile_banners/1594324339/1585297475,003300,000000,000000,000000,False,False,False,False,False,False,False,none
id_str,1594324339,1594324339,Trespassers William,Mammoth_Spotter,UK,,PhD student (climate change). Unrepentant SFF geek. Untidy troglodyte forest dweller. Unprepared for modern life. Apprentice follower of Jesus. Bombadil wannabe,,,False,1122,1243,19,Sun Jul 14 21:30:04 +0000 2013,8650,,,False,False,3541,,1338595145864925184,False,False,False,003300,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1286745886127775744/jh4vl93e_normal.jpg,https://pbs.twimg.com/profile_images/1286745886127775744/jh4vl93e_normal.jpg,https://pbs.twimg.com/profile_banners/1594324339/1585297475,003300,000000,000000,000000,False,False,False,False,False,False,False,none
text,1594324339,1594324339,Trespassers William,Mammoth_Spotter,UK,,PhD student (climate change). Unrepentant SFF geek. Untidy troglodyte forest dweller. Unprepared for modern life. Apprentice follower of Jesus. Bombadil wannabe,,,False,1122,1243,19,Sun Jul 14 21:30:04 +0000 2013,8650,,,False,False,3541,,"@archaeologyart hmm, I suspect he flatters himself...",False,False,False,003300,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1286745886127775744/jh4vl93e_normal.jpg,https://pbs.twimg.com/profile_images/1286745886127775744/jh4vl93e_normal.jpg,https://pbs.twimg.com/profile_banners/1594324339/1585297475,003300,000000,000000,000000,False,False,False,False,False,False,False,none
truncated,1594324339,1594324339,Trespassers William,Mammoth_Spotter,UK,,PhD student (climate change). Unrepentant SFF geek. Untidy troglodyte forest dweller. Unprepared for modern life. Apprentice follower of Jesus. Bombadil wannabe,,,False,1122,1243,19,Sun Jul 14 21:30:04 +0000 2013,8650,,,False,False,3541,,False,False,False,False,003300,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1286745886127775744/jh4vl93e_normal.jpg,https://pbs.twimg.com/profile_images/1286745886127775744/jh4vl93e_normal.jpg,https://pbs.twimg.com/profile_banners/1594324339/1585297475,003300,000000,000000,000000,False,False,False,False,False,False,False,none
entities,1594324339,1594324339,Trespassers William,Mammoth_Spotter,UK,,PhD student (climate change). Unrepentant SFF geek. Untidy troglodyte forest dweller. Unprepared for modern life. Apprentice follower of Jesus. Bombadil wannabe,,,False,1122,1243,19,Sun Jul 14 21:30:04 +0000 2013,8650,,,False,False,3541,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'archaeologyart', 'name': 'Archaeology & Art', 'id': 765618069062422528, 'id_str': '765618069062422528', 'indices': [0, 15]}], 'urls': []}",False,False,False,003300,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1286745886127775744/jh4vl93e_normal.jpg,https://pbs.twimg.com/profile_images/1286745886127775744/jh4vl93e_normal.jpg,https://pbs.twimg.com/profile_banners/1594324339/1585297475,003300,000000,000000,000000,False,False,False,False,False,False,False,none
source,1594324339,1594324339,Trespassers William,Mammoth_Spotter,UK,,PhD student (climate change). Unrepentant SFF geek. Untidy troglodyte forest dweller. Unprepared for modern life. Apprentice follower of Jesus. Bombadil wannabe,,,False,1122,1243,19,Sun Jul 14 21:30:04 +0000 2013,8650,,,False,False,3541,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,False,False,003300,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1286745886127775744/jh4vl93e_normal.jpg,https://pbs.twimg.com/profile_images/1286745886127775744/jh4vl93e_normal.jpg,https://pbs.twimg.com/profile_banners/1594324339/1585297475,003300,000000,000000,000000,False,False,False,False,False,False,False,none
in_reply_to_status_id,1594324339,1594324339,Trespassers William,Mammoth_Spotter,UK,,PhD student (climate change). Unrepentant SFF geek. Untidy troglodyte forest dweller. Unprepared for modern life. Apprentice follower of Jesus. Bombadil wannabe,,,False,1122,1243,19,Sun Jul 14 21:30:04 +0000 2013,8650,,,False,False,3541,,1338455260516462594,False,False,False,003300,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1286745886127775744/jh4vl93e_normal.jpg,https://pbs.twimg.com/profile_images/1286745886127775744/jh4vl93e_normal.jpg,https://pbs.twimg.com/profile_banners/1594324339/1585297475,003300,000000,000000,000000,False,False,False,False,False,False,False,none
in_reply_to_status_id_str,1594324339,1594324339,Trespassers William,Mammoth_Spotter,UK,,PhD student (climate change). Unrepentant SFF geek. Untidy troglodyte forest dweller. Unprepared for modern life. Apprentice follower of Jesus. Bombadil wannabe,,,False,1122,1243,19,Sun Jul 14 21:30:04 +0000 2013,8650,,,False,False,3541,,1338455260516462594,False,False,False,003300,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1286745886127775744/jh4vl93e_normal.jpg,https://pbs.twimg.com/profile_images/1286745886127775744/jh4vl93e_normal.jpg,https://pbs.twimg.com/profile_banners/1594324339/1585297475,003300,000000,000000,000000,False,False,False,False,False,False,False,none
