,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,43276928,43276928,mx noelle,SexbombGurl,palutang-lutang sa labas,,"wala, tulog | keme lang bhie | they/them | https://t.co/OY2bhTRKFs",,"{'urls': [{'url': 'https://t.co/OY2bhTRKFs', 'expanded_url': 'https://achibdisbill.carrd.co', 'display_url': 'achibdisbill.carrd.co', 'indices': [43, 66]}]}",False,12265,2022,75,Fri May 29 05:06:19 +0000 2009,346444,,,True,False,584951,,,False,False,False,0A0A09,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,True,http://pbs.twimg.com/profile_images/1325745251856703489/XHGNYkkH_normal.jpg,https://pbs.twimg.com/profile_images/1325745251856703489/XHGNYkkH_normal.jpg,https://pbs.twimg.com/profile_banners/43276928/1608021526,F58EA8,FFFFFF,252429,666666,True,True,False,False,False,False,False,none
created_at,43276928,43276928,mx noelle,SexbombGurl,palutang-lutang sa labas,,"wala, tulog | keme lang bhie | they/them | https://t.co/OY2bhTRKFs",,,False,12265,2022,75,Fri May 29 05:06:19 +0000 2009,346444,,,True,False,584951,,Tue Dec 15 15:13:58 +0000 2020,False,False,False,0A0A09,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,True,http://pbs.twimg.com/profile_images/1325745251856703489/XHGNYkkH_normal.jpg,https://pbs.twimg.com/profile_images/1325745251856703489/XHGNYkkH_normal.jpg,https://pbs.twimg.com/profile_banners/43276928/1608021526,F58EA8,FFFFFF,252429,666666,True,True,False,False,False,False,False,none
id,43276928,43276928,mx noelle,SexbombGurl,palutang-lutang sa labas,,"wala, tulog | keme lang bhie | they/them | https://t.co/OY2bhTRKFs",,,False,12265,2022,75,Fri May 29 05:06:19 +0000 2009,346444,,,True,False,584951,,1338864884608507907,False,False,False,0A0A09,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,True,http://pbs.twimg.com/profile_images/1325745251856703489/XHGNYkkH_normal.jpg,https://pbs.twimg.com/profile_images/1325745251856703489/XHGNYkkH_normal.jpg,https://pbs.twimg.com/profile_banners/43276928/1608021526,F58EA8,FFFFFF,252429,666666,True,True,False,False,False,False,False,none
id_str,43276928,43276928,mx noelle,SexbombGurl,palutang-lutang sa labas,,"wala, tulog | keme lang bhie | they/them | https://t.co/OY2bhTRKFs",,,False,12265,2022,75,Fri May 29 05:06:19 +0000 2009,346444,,,True,False,584951,,1338864884608507907,False,False,False,0A0A09,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,True,http://pbs.twimg.com/profile_images/1325745251856703489/XHGNYkkH_normal.jpg,https://pbs.twimg.com/profile_images/1325745251856703489/XHGNYkkH_normal.jpg,https://pbs.twimg.com/profile_banners/43276928/1608021526,F58EA8,FFFFFF,252429,666666,True,True,False,False,False,False,False,none
text,43276928,43276928,mx noelle,SexbombGurl,palutang-lutang sa labas,,"wala, tulog | keme lang bhie | they/them | https://t.co/OY2bhTRKFs",,,False,12265,2022,75,Fri May 29 05:06:19 +0000 2009,346444,,,True,False,584951,,Naaalala ko na naman yung Nutrition Month natae si sis sa Cleaners,False,False,False,0A0A09,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,True,http://pbs.twimg.com/profile_images/1325745251856703489/XHGNYkkH_normal.jpg,https://pbs.twimg.com/profile_images/1325745251856703489/XHGNYkkH_normal.jpg,https://pbs.twimg.com/profile_banners/43276928/1608021526,F58EA8,FFFFFF,252429,666666,True,True,False,False,False,False,False,none
truncated,43276928,43276928,mx noelle,SexbombGurl,palutang-lutang sa labas,,"wala, tulog | keme lang bhie | they/them | https://t.co/OY2bhTRKFs",,,False,12265,2022,75,Fri May 29 05:06:19 +0000 2009,346444,,,True,False,584951,,False,False,False,False,0A0A09,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,True,http://pbs.twimg.com/profile_images/1325745251856703489/XHGNYkkH_normal.jpg,https://pbs.twimg.com/profile_images/1325745251856703489/XHGNYkkH_normal.jpg,https://pbs.twimg.com/profile_banners/43276928/1608021526,F58EA8,FFFFFF,252429,666666,True,True,False,False,False,False,False,none
entities,43276928,43276928,mx noelle,SexbombGurl,palutang-lutang sa labas,,"wala, tulog | keme lang bhie | they/them | https://t.co/OY2bhTRKFs",,,False,12265,2022,75,Fri May 29 05:06:19 +0000 2009,346444,,,True,False,584951,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",False,False,False,0A0A09,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,True,http://pbs.twimg.com/profile_images/1325745251856703489/XHGNYkkH_normal.jpg,https://pbs.twimg.com/profile_images/1325745251856703489/XHGNYkkH_normal.jpg,https://pbs.twimg.com/profile_banners/43276928/1608021526,F58EA8,FFFFFF,252429,666666,True,True,False,False,False,False,False,none
source,43276928,43276928,mx noelle,SexbombGurl,palutang-lutang sa labas,,"wala, tulog | keme lang bhie | they/them | https://t.co/OY2bhTRKFs",,,False,12265,2022,75,Fri May 29 05:06:19 +0000 2009,346444,,,True,False,584951,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,0A0A09,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,True,http://pbs.twimg.com/profile_images/1325745251856703489/XHGNYkkH_normal.jpg,https://pbs.twimg.com/profile_images/1325745251856703489/XHGNYkkH_normal.jpg,https://pbs.twimg.com/profile_banners/43276928/1608021526,F58EA8,FFFFFF,252429,666666,True,True,False,False,False,False,False,none
in_reply_to_status_id,43276928,43276928,mx noelle,SexbombGurl,palutang-lutang sa labas,,"wala, tulog | keme lang bhie | they/them | https://t.co/OY2bhTRKFs",,,False,12265,2022,75,Fri May 29 05:06:19 +0000 2009,346444,,,True,False,584951,,,False,False,False,0A0A09,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,True,http://pbs.twimg.com/profile_images/1325745251856703489/XHGNYkkH_normal.jpg,https://pbs.twimg.com/profile_images/1325745251856703489/XHGNYkkH_normal.jpg,https://pbs.twimg.com/profile_banners/43276928/1608021526,F58EA8,FFFFFF,252429,666666,True,True,False,False,False,False,False,none
in_reply_to_status_id_str,43276928,43276928,mx noelle,SexbombGurl,palutang-lutang sa labas,,"wala, tulog | keme lang bhie | they/them | https://t.co/OY2bhTRKFs",,,False,12265,2022,75,Fri May 29 05:06:19 +0000 2009,346444,,,True,False,584951,,,False,False,False,0A0A09,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,True,http://pbs.twimg.com/profile_images/1325745251856703489/XHGNYkkH_normal.jpg,https://pbs.twimg.com/profile_images/1325745251856703489/XHGNYkkH_normal.jpg,https://pbs.twimg.com/profile_banners/43276928/1608021526,F58EA8,FFFFFF,252429,666666,True,True,False,False,False,False,False,none
in_reply_to_user_id,43276928,43276928,mx noelle,SexbombGurl,palutang-lutang sa labas,,"wala, tulog | keme lang bhie | they/them | https://t.co/OY2bhTRKFs",,,False,12265,2022,75,Fri May 29 05:06:19 +0000 2009,346444,,,True,False,584951,,,False,False,False,0A0A09,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,True,http://pbs.twimg.com/profile_images/1325745251856703489/XHGNYkkH_normal.jpg,https://pbs.twimg.com/profile_images/1325745251856703489/XHGNYkkH_normal.jpg,https://pbs.twimg.com/profile_banners/43276928/1608021526,F58EA8,FFFFFF,252429,666666,True,True,False,False,False,False,False,none
