,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,843966375764811776,843966375764811776,Azia🪐👽,azialokeni,,,Grayson softball || Neko Noa,,{'urls': []},False,254,262,0,Mon Mar 20 23:23:58 +0000 2017,4257,,,True,False,1514,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1292165635590377472/6SP-qC5B_normal.jpg,https://pbs.twimg.com/profile_images/1292165635590377472/6SP-qC5B_normal.jpg,https://pbs.twimg.com/profile_banners/843966375764811776/1590313914,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,843966375764811776,843966375764811776,Azia🪐👽,azialokeni,,,Grayson softball || Neko Noa,,,False,254,262,0,Mon Mar 20 23:23:58 +0000 2017,4257,,,True,False,1514,,Tue Dec 15 06:22:31 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1292165635590377472/6SP-qC5B_normal.jpg,https://pbs.twimg.com/profile_images/1292165635590377472/6SP-qC5B_normal.jpg,https://pbs.twimg.com/profile_banners/843966375764811776/1590313914,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,843966375764811776,843966375764811776,Azia🪐👽,azialokeni,,,Grayson softball || Neko Noa,,,False,254,262,0,Mon Mar 20 23:23:58 +0000 2017,4257,,,True,False,1514,,1338731142367703041,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1292165635590377472/6SP-qC5B_normal.jpg,https://pbs.twimg.com/profile_images/1292165635590377472/6SP-qC5B_normal.jpg,https://pbs.twimg.com/profile_banners/843966375764811776/1590313914,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,843966375764811776,843966375764811776,Azia🪐👽,azialokeni,,,Grayson softball || Neko Noa,,,False,254,262,0,Mon Mar 20 23:23:58 +0000 2017,4257,,,True,False,1514,,1338731142367703041,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1292165635590377472/6SP-qC5B_normal.jpg,https://pbs.twimg.com/profile_images/1292165635590377472/6SP-qC5B_normal.jpg,https://pbs.twimg.com/profile_banners/843966375764811776/1590313914,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,843966375764811776,843966375764811776,Azia🪐👽,azialokeni,,,Grayson softball || Neko Noa,,,False,254,262,0,Mon Mar 20 23:23:58 +0000 2017,4257,,,True,False,1514,,RT @liquelokeni15: I can’t wait to open the AirPods my sisters and I got each other for Christmas😂,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1292165635590377472/6SP-qC5B_normal.jpg,https://pbs.twimg.com/profile_images/1292165635590377472/6SP-qC5B_normal.jpg,https://pbs.twimg.com/profile_banners/843966375764811776/1590313914,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,843966375764811776,843966375764811776,Azia🪐👽,azialokeni,,,Grayson softball || Neko Noa,,,False,254,262,0,Mon Mar 20 23:23:58 +0000 2017,4257,,,True,False,1514,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1292165635590377472/6SP-qC5B_normal.jpg,https://pbs.twimg.com/profile_images/1292165635590377472/6SP-qC5B_normal.jpg,https://pbs.twimg.com/profile_banners/843966375764811776/1590313914,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,843966375764811776,843966375764811776,Azia🪐👽,azialokeni,,,Grayson softball || Neko Noa,,,False,254,262,0,Mon Mar 20 23:23:58 +0000 2017,4257,,,True,False,1514,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'liquelokeni15', 'name': '✨☃️🎄Mele Ka(Lique)maka🎄🎅🏻✨', 'id': 738975219679789056, 'id_str': '738975219679789056', 'indices': [3, 17]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1292165635590377472/6SP-qC5B_normal.jpg,https://pbs.twimg.com/profile_images/1292165635590377472/6SP-qC5B_normal.jpg,https://pbs.twimg.com/profile_banners/843966375764811776/1590313914,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,843966375764811776,843966375764811776,Azia🪐👽,azialokeni,,,Grayson softball || Neko Noa,,,False,254,262,0,Mon Mar 20 23:23:58 +0000 2017,4257,,,True,False,1514,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1292165635590377472/6SP-qC5B_normal.jpg,https://pbs.twimg.com/profile_images/1292165635590377472/6SP-qC5B_normal.jpg,https://pbs.twimg.com/profile_banners/843966375764811776/1590313914,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,843966375764811776,843966375764811776,Azia🪐👽,azialokeni,,,Grayson softball || Neko Noa,,,False,254,262,0,Mon Mar 20 23:23:58 +0000 2017,4257,,,True,False,1514,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1292165635590377472/6SP-qC5B_normal.jpg,https://pbs.twimg.com/profile_images/1292165635590377472/6SP-qC5B_normal.jpg,https://pbs.twimg.com/profile_banners/843966375764811776/1590313914,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,843966375764811776,843966375764811776,Azia🪐👽,azialokeni,,,Grayson softball || Neko Noa,,,False,254,262,0,Mon Mar 20 23:23:58 +0000 2017,4257,,,True,False,1514,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1292165635590377472/6SP-qC5B_normal.jpg,https://pbs.twimg.com/profile_images/1292165635590377472/6SP-qC5B_normal.jpg,https://pbs.twimg.com/profile_banners/843966375764811776/1590313914,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
