,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1308539747132940288,1308539747132940288,TBAisen Gentleman Thief (Vtuber),theblackautismo,Thigh Heaven,,Chill dude who says dumb stuff on stream |podcast creator| #Vstreamer |Twitch Affiliate|#MaleVtuber|#Stealies|#baisenarts|@kizugya Gen 1 Member,https://t.co/IURSOWeOLt,"{'urls': [{'url': 'https://t.co/IURSOWeOLt', 'expanded_url': 'http://Twitch.tv/tbaisentba', 'display_url': 'Twitch.tv/tbaisentba', 'indices': [0, 23]}]}",False,362,280,21,Tue Sep 22 22:53:29 +0000 2020,8717,,,False,False,6670,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339035995656876032/1D6wMRKE_normal.jpg,https://pbs.twimg.com/profile_images/1339035995656876032/1D6wMRKE_normal.jpg,https://pbs.twimg.com/profile_banners/1308539747132940288/1608086035,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
description,1308539747132940288,1308539747132940288,TBAisen Gentleman Thief (Vtuber),theblackautismo,Thigh Heaven,,Chill dude who says dumb stuff on stream |podcast creator| #Vstreamer |Twitch Affiliate|#MaleVtuber|#Stealies|#baisenarts|@kizugya Gen 1 Member,https://t.co/IURSOWeOLt,{'urls': []},False,362,280,21,Tue Sep 22 22:53:29 +0000 2020,8717,,,False,False,6670,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339035995656876032/1D6wMRKE_normal.jpg,https://pbs.twimg.com/profile_images/1339035995656876032/1D6wMRKE_normal.jpg,https://pbs.twimg.com/profile_banners/1308539747132940288/1608086035,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1308539747132940288,1308539747132940288,TBAisen Gentleman Thief (Vtuber),theblackautismo,Thigh Heaven,,Chill dude who says dumb stuff on stream |podcast creator| #Vstreamer |Twitch Affiliate|#MaleVtuber|#Stealies|#baisenarts|@kizugya Gen 1 Member,https://t.co/IURSOWeOLt,,False,362,280,21,Tue Sep 22 22:53:29 +0000 2020,8717,,,False,False,6670,,Wed Dec 16 08:20:22 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339035995656876032/1D6wMRKE_normal.jpg,https://pbs.twimg.com/profile_images/1339035995656876032/1D6wMRKE_normal.jpg,https://pbs.twimg.com/profile_banners/1308539747132940288/1608086035,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1308539747132940288,1308539747132940288,TBAisen Gentleman Thief (Vtuber),theblackautismo,Thigh Heaven,,Chill dude who says dumb stuff on stream |podcast creator| #Vstreamer |Twitch Affiliate|#MaleVtuber|#Stealies|#baisenarts|@kizugya Gen 1 Member,https://t.co/IURSOWeOLt,,False,362,280,21,Tue Sep 22 22:53:29 +0000 2020,8717,,,False,False,6670,,1339123188215721986,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339035995656876032/1D6wMRKE_normal.jpg,https://pbs.twimg.com/profile_images/1339035995656876032/1D6wMRKE_normal.jpg,https://pbs.twimg.com/profile_banners/1308539747132940288/1608086035,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1308539747132940288,1308539747132940288,TBAisen Gentleman Thief (Vtuber),theblackautismo,Thigh Heaven,,Chill dude who says dumb stuff on stream |podcast creator| #Vstreamer |Twitch Affiliate|#MaleVtuber|#Stealies|#baisenarts|@kizugya Gen 1 Member,https://t.co/IURSOWeOLt,,False,362,280,21,Tue Sep 22 22:53:29 +0000 2020,8717,,,False,False,6670,,1339123188215721986,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339035995656876032/1D6wMRKE_normal.jpg,https://pbs.twimg.com/profile_images/1339035995656876032/1D6wMRKE_normal.jpg,https://pbs.twimg.com/profile_banners/1308539747132940288/1608086035,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1308539747132940288,1308539747132940288,TBAisen Gentleman Thief (Vtuber),theblackautismo,Thigh Heaven,,Chill dude who says dumb stuff on stream |podcast creator| #Vstreamer |Twitch Affiliate|#MaleVtuber|#Stealies|#baisenarts|@kizugya Gen 1 Member,https://t.co/IURSOWeOLt,,False,362,280,21,Tue Sep 22 22:53:29 +0000 2020,8717,,,False,False,6670,,@TheOGBananiel Oh my oh my how lewd hand to hand contact no sir we aren't married and the sister would have me stoned.,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339035995656876032/1D6wMRKE_normal.jpg,https://pbs.twimg.com/profile_images/1339035995656876032/1D6wMRKE_normal.jpg,https://pbs.twimg.com/profile_banners/1308539747132940288/1608086035,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1308539747132940288,1308539747132940288,TBAisen Gentleman Thief (Vtuber),theblackautismo,Thigh Heaven,,Chill dude who says dumb stuff on stream |podcast creator| #Vstreamer |Twitch Affiliate|#MaleVtuber|#Stealies|#baisenarts|@kizugya Gen 1 Member,https://t.co/IURSOWeOLt,,False,362,280,21,Tue Sep 22 22:53:29 +0000 2020,8717,,,False,False,6670,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339035995656876032/1D6wMRKE_normal.jpg,https://pbs.twimg.com/profile_images/1339035995656876032/1D6wMRKE_normal.jpg,https://pbs.twimg.com/profile_banners/1308539747132940288/1608086035,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1308539747132940288,1308539747132940288,TBAisen Gentleman Thief (Vtuber),theblackautismo,Thigh Heaven,,Chill dude who says dumb stuff on stream |podcast creator| #Vstreamer |Twitch Affiliate|#MaleVtuber|#Stealies|#baisenarts|@kizugya Gen 1 Member,https://t.co/IURSOWeOLt,,False,362,280,21,Tue Sep 22 22:53:29 +0000 2020,8717,,,False,False,6670,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'TheOGBananiel', 'name': 'Lynn ""The Bananiel"" Coville', 'id': 1328273354428596226, 'id_str': '1328273354428596226', 'indices': [0, 14]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339035995656876032/1D6wMRKE_normal.jpg,https://pbs.twimg.com/profile_images/1339035995656876032/1D6wMRKE_normal.jpg,https://pbs.twimg.com/profile_banners/1308539747132940288/1608086035,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1308539747132940288,1308539747132940288,TBAisen Gentleman Thief (Vtuber),theblackautismo,Thigh Heaven,,Chill dude who says dumb stuff on stream |podcast creator| #Vstreamer |Twitch Affiliate|#MaleVtuber|#Stealies|#baisenarts|@kizugya Gen 1 Member,https://t.co/IURSOWeOLt,,False,362,280,21,Tue Sep 22 22:53:29 +0000 2020,8717,,,False,False,6670,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339035995656876032/1D6wMRKE_normal.jpg,https://pbs.twimg.com/profile_images/1339035995656876032/1D6wMRKE_normal.jpg,https://pbs.twimg.com/profile_banners/1308539747132940288/1608086035,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1308539747132940288,1308539747132940288,TBAisen Gentleman Thief (Vtuber),theblackautismo,Thigh Heaven,,Chill dude who says dumb stuff on stream |podcast creator| #Vstreamer |Twitch Affiliate|#MaleVtuber|#Stealies|#baisenarts|@kizugya Gen 1 Member,https://t.co/IURSOWeOLt,,False,362,280,21,Tue Sep 22 22:53:29 +0000 2020,8717,,,False,False,6670,,1339122907285311489,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339035995656876032/1D6wMRKE_normal.jpg,https://pbs.twimg.com/profile_images/1339035995656876032/1D6wMRKE_normal.jpg,https://pbs.twimg.com/profile_banners/1308539747132940288/1608086035,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
