,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1312520636435136513,1312520636435136513,becca sees harry in 321 days!!!,DAYTONABABY28,eroda,,ot5 and solo stan | 17 she/her | number one clouds stan,,{'urls': []},False,384,444,3,Sat Oct 03 22:31:29 +0000 2020,11812,,,False,False,4195,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338179407622664198/u42AermD_normal.jpg,https://pbs.twimg.com/profile_images/1338179407622664198/u42AermD_normal.jpg,https://pbs.twimg.com/profile_banners/1312520636435136513/1607881808,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1312520636435136513,1312520636435136513,becca sees harry in 321 days!!!,DAYTONABABY28,eroda,,ot5 and solo stan | 17 she/her | number one clouds stan,,,False,384,444,3,Sat Oct 03 22:31:29 +0000 2020,11812,,,False,False,4195,,Tue Dec 15 06:09:35 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338179407622664198/u42AermD_normal.jpg,https://pbs.twimg.com/profile_images/1338179407622664198/u42AermD_normal.jpg,https://pbs.twimg.com/profile_banners/1312520636435136513/1607881808,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1312520636435136513,1312520636435136513,becca sees harry in 321 days!!!,DAYTONABABY28,eroda,,ot5 and solo stan | 17 she/her | number one clouds stan,,,False,384,444,3,Sat Oct 03 22:31:29 +0000 2020,11812,,,False,False,4195,,1338727890016497665,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338179407622664198/u42AermD_normal.jpg,https://pbs.twimg.com/profile_images/1338179407622664198/u42AermD_normal.jpg,https://pbs.twimg.com/profile_banners/1312520636435136513/1607881808,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1312520636435136513,1312520636435136513,becca sees harry in 321 days!!!,DAYTONABABY28,eroda,,ot5 and solo stan | 17 she/her | number one clouds stan,,,False,384,444,3,Sat Oct 03 22:31:29 +0000 2020,11812,,,False,False,4195,,1338727890016497665,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338179407622664198/u42AermD_normal.jpg,https://pbs.twimg.com/profile_images/1338179407622664198/u42AermD_normal.jpg,https://pbs.twimg.com/profile_banners/1312520636435136513/1607881808,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1312520636435136513,1312520636435136513,becca sees harry in 321 days!!!,DAYTONABABY28,eroda,,ot5 and solo stan | 17 she/her | number one clouds stan,,,False,384,444,3,Sat Oct 03 22:31:29 +0000 2020,11812,,,False,False,4195,,RT @amazonmusic: OK WE HAVE A SITUATION FOLKS – @Harry_Styles and @BTS_twt are battling for a spot in the next round. Who has your vote for…,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338179407622664198/u42AermD_normal.jpg,https://pbs.twimg.com/profile_images/1338179407622664198/u42AermD_normal.jpg,https://pbs.twimg.com/profile_banners/1312520636435136513/1607881808,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1312520636435136513,1312520636435136513,becca sees harry in 321 days!!!,DAYTONABABY28,eroda,,ot5 and solo stan | 17 she/her | number one clouds stan,,,False,384,444,3,Sat Oct 03 22:31:29 +0000 2020,11812,,,False,False,4195,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338179407622664198/u42AermD_normal.jpg,https://pbs.twimg.com/profile_images/1338179407622664198/u42AermD_normal.jpg,https://pbs.twimg.com/profile_banners/1312520636435136513/1607881808,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1312520636435136513,1312520636435136513,becca sees harry in 321 days!!!,DAYTONABABY28,eroda,,ot5 and solo stan | 17 she/her | number one clouds stan,,,False,384,444,3,Sat Oct 03 22:31:29 +0000 2020,11812,,,False,False,4195,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'amazonmusic', 'name': 'Amazon Music', 'id': 14740219, 'id_str': '14740219', 'indices': [3, 15]}, {'screen_name': 'Harry_Styles', 'name': 'Harry Styles.', 'id': 181561712, 'id_str': '181561712', 'indices': [48, 61]}, {'screen_name': 'BTS_twt', 'name': '방탄소년단', 'id': 335141638, 'id_str': '335141638', 'indices': [66, 74]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338179407622664198/u42AermD_normal.jpg,https://pbs.twimg.com/profile_images/1338179407622664198/u42AermD_normal.jpg,https://pbs.twimg.com/profile_banners/1312520636435136513/1607881808,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1312520636435136513,1312520636435136513,becca sees harry in 321 days!!!,DAYTONABABY28,eroda,,ot5 and solo stan | 17 she/her | number one clouds stan,,,False,384,444,3,Sat Oct 03 22:31:29 +0000 2020,11812,,,False,False,4195,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338179407622664198/u42AermD_normal.jpg,https://pbs.twimg.com/profile_images/1338179407622664198/u42AermD_normal.jpg,https://pbs.twimg.com/profile_banners/1312520636435136513/1607881808,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1312520636435136513,1312520636435136513,becca sees harry in 321 days!!!,DAYTONABABY28,eroda,,ot5 and solo stan | 17 she/her | number one clouds stan,,,False,384,444,3,Sat Oct 03 22:31:29 +0000 2020,11812,,,False,False,4195,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338179407622664198/u42AermD_normal.jpg,https://pbs.twimg.com/profile_images/1338179407622664198/u42AermD_normal.jpg,https://pbs.twimg.com/profile_banners/1312520636435136513/1607881808,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1312520636435136513,1312520636435136513,becca sees harry in 321 days!!!,DAYTONABABY28,eroda,,ot5 and solo stan | 17 she/her | number one clouds stan,,,False,384,444,3,Sat Oct 03 22:31:29 +0000 2020,11812,,,False,False,4195,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338179407622664198/u42AermD_normal.jpg,https://pbs.twimg.com/profile_images/1338179407622664198/u42AermD_normal.jpg,https://pbs.twimg.com/profile_banners/1312520636435136513/1607881808,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id,1312520636435136513,1312520636435136513,becca sees harry in 321 days!!!,DAYTONABABY28,eroda,,ot5 and solo stan | 17 she/her | number one clouds stan,,,False,384,444,3,Sat Oct 03 22:31:29 +0000 2020,11812,,,False,False,4195,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338179407622664198/u42AermD_normal.jpg,https://pbs.twimg.com/profile_images/1338179407622664198/u42AermD_normal.jpg,https://pbs.twimg.com/profile_banners/1312520636435136513/1607881808,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
