,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,596000419,596000419,Heggie 👊🏿,heggie23,,,Digital Marketer | Midwest Gamer | Husband | Dog Dad | #BlackLivesMatter | Navy Vet | He/Him | https://t.co/qQPt2gjmpv,,"{'urls': [{'url': 'https://t.co/qQPt2gjmpv', 'expanded_url': 'http://twitch.tv/heggie', 'display_url': 'twitch.tv/heggie', 'indices': [95, 118]}]}",False,144,570,1,Fri Jun 01 01:24:29 +0000 2012,10261,,,False,False,1118,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1193907718278590465/T_OwaL8x_normal.jpg,https://pbs.twimg.com/profile_images/1193907718278590465/T_OwaL8x_normal.jpg,https://pbs.twimg.com/profile_banners/596000419/1425432383,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
created_at,596000419,596000419,Heggie 👊🏿,heggie23,,,Digital Marketer | Midwest Gamer | Husband | Dog Dad | #BlackLivesMatter | Navy Vet | He/Him | https://t.co/qQPt2gjmpv,,,False,144,570,1,Fri Jun 01 01:24:29 +0000 2012,10261,,,False,False,1118,,Wed Dec 16 01:21:02 +0000 2020,False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1193907718278590465/T_OwaL8x_normal.jpg,https://pbs.twimg.com/profile_images/1193907718278590465/T_OwaL8x_normal.jpg,https://pbs.twimg.com/profile_banners/596000419/1425432383,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
id,596000419,596000419,Heggie 👊🏿,heggie23,,,Digital Marketer | Midwest Gamer | Husband | Dog Dad | #BlackLivesMatter | Navy Vet | He/Him | https://t.co/qQPt2gjmpv,,,False,144,570,1,Fri Jun 01 01:24:29 +0000 2012,10261,,,False,False,1118,,1339017661674639360,False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1193907718278590465/T_OwaL8x_normal.jpg,https://pbs.twimg.com/profile_images/1193907718278590465/T_OwaL8x_normal.jpg,https://pbs.twimg.com/profile_banners/596000419/1425432383,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
id_str,596000419,596000419,Heggie 👊🏿,heggie23,,,Digital Marketer | Midwest Gamer | Husband | Dog Dad | #BlackLivesMatter | Navy Vet | He/Him | https://t.co/qQPt2gjmpv,,,False,144,570,1,Fri Jun 01 01:24:29 +0000 2012,10261,,,False,False,1118,,1339017661674639360,False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1193907718278590465/T_OwaL8x_normal.jpg,https://pbs.twimg.com/profile_images/1193907718278590465/T_OwaL8x_normal.jpg,https://pbs.twimg.com/profile_banners/596000419/1425432383,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
text,596000419,596000419,Heggie 👊🏿,heggie23,,,Digital Marketer | Midwest Gamer | Husband | Dog Dad | #BlackLivesMatter | Navy Vet | He/Him | https://t.co/qQPt2gjmpv,,,False,144,570,1,Fri Jun 01 01:24:29 +0000 2012,10261,,,False,False,1118,,The man @Cosmic_Irony came in huge with these. Highly recommend this man for anyone looking to get emotes done on t… https://t.co/1JoWtQaXwE,False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1193907718278590465/T_OwaL8x_normal.jpg,https://pbs.twimg.com/profile_images/1193907718278590465/T_OwaL8x_normal.jpg,https://pbs.twimg.com/profile_banners/596000419/1425432383,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
truncated,596000419,596000419,Heggie 👊🏿,heggie23,,,Digital Marketer | Midwest Gamer | Husband | Dog Dad | #BlackLivesMatter | Navy Vet | He/Him | https://t.co/qQPt2gjmpv,,,False,144,570,1,Fri Jun 01 01:24:29 +0000 2012,10261,,,False,False,1118,,True,False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1193907718278590465/T_OwaL8x_normal.jpg,https://pbs.twimg.com/profile_images/1193907718278590465/T_OwaL8x_normal.jpg,https://pbs.twimg.com/profile_banners/596000419/1425432383,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
entities,596000419,596000419,Heggie 👊🏿,heggie23,,,Digital Marketer | Midwest Gamer | Husband | Dog Dad | #BlackLivesMatter | Navy Vet | He/Him | https://t.co/qQPt2gjmpv,,,False,144,570,1,Fri Jun 01 01:24:29 +0000 2012,10261,,,False,False,1118,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Cosmic_Irony', 'name': 'Cosmic_Irony', 'id': 2275300234, 'id_str': '2275300234', 'indices': [8, 21]}], 'urls': [{'url': 'https://t.co/1JoWtQaXwE', 'expanded_url': 'https://twitter.com/i/web/status/1339017661674639360', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1193907718278590465/T_OwaL8x_normal.jpg,https://pbs.twimg.com/profile_images/1193907718278590465/T_OwaL8x_normal.jpg,https://pbs.twimg.com/profile_banners/596000419/1425432383,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
source,596000419,596000419,Heggie 👊🏿,heggie23,,,Digital Marketer | Midwest Gamer | Husband | Dog Dad | #BlackLivesMatter | Navy Vet | He/Him | https://t.co/qQPt2gjmpv,,,False,144,570,1,Fri Jun 01 01:24:29 +0000 2012,10261,,,False,False,1118,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1193907718278590465/T_OwaL8x_normal.jpg,https://pbs.twimg.com/profile_images/1193907718278590465/T_OwaL8x_normal.jpg,https://pbs.twimg.com/profile_banners/596000419/1425432383,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_status_id,596000419,596000419,Heggie 👊🏿,heggie23,,,Digital Marketer | Midwest Gamer | Husband | Dog Dad | #BlackLivesMatter | Navy Vet | He/Him | https://t.co/qQPt2gjmpv,,,False,144,570,1,Fri Jun 01 01:24:29 +0000 2012,10261,,,False,False,1118,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1193907718278590465/T_OwaL8x_normal.jpg,https://pbs.twimg.com/profile_images/1193907718278590465/T_OwaL8x_normal.jpg,https://pbs.twimg.com/profile_banners/596000419/1425432383,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_status_id_str,596000419,596000419,Heggie 👊🏿,heggie23,,,Digital Marketer | Midwest Gamer | Husband | Dog Dad | #BlackLivesMatter | Navy Vet | He/Him | https://t.co/qQPt2gjmpv,,,False,144,570,1,Fri Jun 01 01:24:29 +0000 2012,10261,,,False,False,1118,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1193907718278590465/T_OwaL8x_normal.jpg,https://pbs.twimg.com/profile_images/1193907718278590465/T_OwaL8x_normal.jpg,https://pbs.twimg.com/profile_banners/596000419/1425432383,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_user_id,596000419,596000419,Heggie 👊🏿,heggie23,,,Digital Marketer | Midwest Gamer | Husband | Dog Dad | #BlackLivesMatter | Navy Vet | He/Him | https://t.co/qQPt2gjmpv,,,False,144,570,1,Fri Jun 01 01:24:29 +0000 2012,10261,,,False,False,1118,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1193907718278590465/T_OwaL8x_normal.jpg,https://pbs.twimg.com/profile_images/1193907718278590465/T_OwaL8x_normal.jpg,https://pbs.twimg.com/profile_banners/596000419/1425432383,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
