,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1301181950632185856,1301181950632185856,𝓣 💕💒👛🌸,wannabeitgurl,"some day, the fashion industry",,in need of a prada bag | high fashion | she/her | 16,https://t.co/tGthkGCsSi,"{'urls': [{'url': 'https://t.co/tGthkGCsSi', 'expanded_url': 'https://www.pinterest.com/wannabeitgurl/', 'display_url': 'pinterest.com/wannabeitgurl/', 'indices': [0, 23]}]}",False,1219,602,12,Wed Sep 02 15:35:33 +0000 2020,73727,,,False,False,36357,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338387454772957185/Mned3X2s_normal.jpg,https://pbs.twimg.com/profile_images/1338387454772957185/Mned3X2s_normal.jpg,https://pbs.twimg.com/profile_banners/1301181950632185856/1607931411,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
description,1301181950632185856,1301181950632185856,𝓣 💕💒👛🌸,wannabeitgurl,"some day, the fashion industry",,in need of a prada bag | high fashion | she/her | 16,https://t.co/tGthkGCsSi,{'urls': []},False,1219,602,12,Wed Sep 02 15:35:33 +0000 2020,73727,,,False,False,36357,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338387454772957185/Mned3X2s_normal.jpg,https://pbs.twimg.com/profile_images/1338387454772957185/Mned3X2s_normal.jpg,https://pbs.twimg.com/profile_banners/1301181950632185856/1607931411,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1301181950632185856,1301181950632185856,𝓣 💕💒👛🌸,wannabeitgurl,"some day, the fashion industry",,in need of a prada bag | high fashion | she/her | 16,https://t.co/tGthkGCsSi,,False,1219,602,12,Wed Sep 02 15:35:33 +0000 2020,73727,,,False,False,36357,,Tue Dec 15 06:31:45 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338387454772957185/Mned3X2s_normal.jpg,https://pbs.twimg.com/profile_images/1338387454772957185/Mned3X2s_normal.jpg,https://pbs.twimg.com/profile_banners/1301181950632185856/1607931411,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1301181950632185856,1301181950632185856,𝓣 💕💒👛🌸,wannabeitgurl,"some day, the fashion industry",,in need of a prada bag | high fashion | she/her | 16,https://t.co/tGthkGCsSi,,False,1219,602,12,Wed Sep 02 15:35:33 +0000 2020,73727,,,False,False,36357,,1338733467673141249,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338387454772957185/Mned3X2s_normal.jpg,https://pbs.twimg.com/profile_images/1338387454772957185/Mned3X2s_normal.jpg,https://pbs.twimg.com/profile_banners/1301181950632185856/1607931411,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1301181950632185856,1301181950632185856,𝓣 💕💒👛🌸,wannabeitgurl,"some day, the fashion industry",,in need of a prada bag | high fashion | she/her | 16,https://t.co/tGthkGCsSi,,False,1219,602,12,Wed Sep 02 15:35:33 +0000 2020,73727,,,False,False,36357,,1338733467673141249,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338387454772957185/Mned3X2s_normal.jpg,https://pbs.twimg.com/profile_images/1338387454772957185/Mned3X2s_normal.jpg,https://pbs.twimg.com/profile_banners/1301181950632185856/1607931411,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1301181950632185856,1301181950632185856,𝓣 💕💒👛🌸,wannabeitgurl,"some day, the fashion industry",,in need of a prada bag | high fashion | she/her | 16,https://t.co/tGthkGCsSi,,False,1219,602,12,Wed Sep 02 15:35:33 +0000 2020,73727,,,False,False,36357,,@kalxchi ? omg,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338387454772957185/Mned3X2s_normal.jpg,https://pbs.twimg.com/profile_images/1338387454772957185/Mned3X2s_normal.jpg,https://pbs.twimg.com/profile_banners/1301181950632185856/1607931411,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1301181950632185856,1301181950632185856,𝓣 💕💒👛🌸,wannabeitgurl,"some day, the fashion industry",,in need of a prada bag | high fashion | she/her | 16,https://t.co/tGthkGCsSi,,False,1219,602,12,Wed Sep 02 15:35:33 +0000 2020,73727,,,False,False,36357,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338387454772957185/Mned3X2s_normal.jpg,https://pbs.twimg.com/profile_images/1338387454772957185/Mned3X2s_normal.jpg,https://pbs.twimg.com/profile_banners/1301181950632185856/1607931411,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1301181950632185856,1301181950632185856,𝓣 💕💒👛🌸,wannabeitgurl,"some day, the fashion industry",,in need of a prada bag | high fashion | she/her | 16,https://t.co/tGthkGCsSi,,False,1219,602,12,Wed Sep 02 15:35:33 +0000 2020,73727,,,False,False,36357,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kalxchi', 'name': '✦', 'id': 990782123928797184, 'id_str': '990782123928797184', 'indices': [0, 8]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338387454772957185/Mned3X2s_normal.jpg,https://pbs.twimg.com/profile_images/1338387454772957185/Mned3X2s_normal.jpg,https://pbs.twimg.com/profile_banners/1301181950632185856/1607931411,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1301181950632185856,1301181950632185856,𝓣 💕💒👛🌸,wannabeitgurl,"some day, the fashion industry",,in need of a prada bag | high fashion | she/her | 16,https://t.co/tGthkGCsSi,,False,1219,602,12,Wed Sep 02 15:35:33 +0000 2020,73727,,,False,False,36357,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338387454772957185/Mned3X2s_normal.jpg,https://pbs.twimg.com/profile_images/1338387454772957185/Mned3X2s_normal.jpg,https://pbs.twimg.com/profile_banners/1301181950632185856/1607931411,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1301181950632185856,1301181950632185856,𝓣 💕💒👛🌸,wannabeitgurl,"some day, the fashion industry",,in need of a prada bag | high fashion | she/her | 16,https://t.co/tGthkGCsSi,,False,1219,602,12,Wed Sep 02 15:35:33 +0000 2020,73727,,,False,False,36357,,1338733363641733121,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338387454772957185/Mned3X2s_normal.jpg,https://pbs.twimg.com/profile_images/1338387454772957185/Mned3X2s_normal.jpg,https://pbs.twimg.com/profile_banners/1301181950632185856/1607931411,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1301181950632185856,1301181950632185856,𝓣 💕💒👛🌸,wannabeitgurl,"some day, the fashion industry",,in need of a prada bag | high fashion | she/her | 16,https://t.co/tGthkGCsSi,,False,1219,602,12,Wed Sep 02 15:35:33 +0000 2020,73727,,,False,False,36357,,1338733363641733121,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338387454772957185/Mned3X2s_normal.jpg,https://pbs.twimg.com/profile_images/1338387454772957185/Mned3X2s_normal.jpg,https://pbs.twimg.com/profile_banners/1301181950632185856/1607931411,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id,1301181950632185856,1301181950632185856,𝓣 💕💒👛🌸,wannabeitgurl,"some day, the fashion industry",,in need of a prada bag | high fashion | she/her | 16,https://t.co/tGthkGCsSi,,False,1219,602,12,Wed Sep 02 15:35:33 +0000 2020,73727,,,False,False,36357,,990782123928797184,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338387454772957185/Mned3X2s_normal.jpg,https://pbs.twimg.com/profile_images/1338387454772957185/Mned3X2s_normal.jpg,https://pbs.twimg.com/profile_banners/1301181950632185856/1607931411,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id_str,1301181950632185856,1301181950632185856,𝓣 💕💒👛🌸,wannabeitgurl,"some day, the fashion industry",,in need of a prada bag | high fashion | she/her | 16,https://t.co/tGthkGCsSi,,False,1219,602,12,Wed Sep 02 15:35:33 +0000 2020,73727,,,False,False,36357,,990782123928797184,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338387454772957185/Mned3X2s_normal.jpg,https://pbs.twimg.com/profile_images/1338387454772957185/Mned3X2s_normal.jpg,https://pbs.twimg.com/profile_banners/1301181950632185856/1607931411,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_screen_name,1301181950632185856,1301181950632185856,𝓣 💕💒👛🌸,wannabeitgurl,"some day, the fashion industry",,in need of a prada bag | high fashion | she/her | 16,https://t.co/tGthkGCsSi,,False,1219,602,12,Wed Sep 02 15:35:33 +0000 2020,73727,,,False,False,36357,,kalxchi,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338387454772957185/Mned3X2s_normal.jpg,https://pbs.twimg.com/profile_images/1338387454772957185/Mned3X2s_normal.jpg,https://pbs.twimg.com/profile_banners/1301181950632185856/1607931411,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
