,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1223336211261067264,1223336211261067264,merula,otahens,18 lesbian jewish asian,,#VICKY: if you're a poc that's between you and god | it/she/z | 🇧🇷,https://t.co/XBkXEStyGA,"{'urls': [{'url': 'https://t.co/XBkXEStyGA', 'expanded_url': 'http://promise.xn--g6h', 'display_url': 'promise.♥', 'indices': [0, 23]}]}",False,573,770,2,Fri Jan 31 20:04:22 +0000 2020,11376,,,False,False,19776,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338865781455503362/wHjW42v4_normal.jpg,https://pbs.twimg.com/profile_images/1338865781455503362/wHjW42v4_normal.jpg,https://pbs.twimg.com/profile_banners/1223336211261067264/1607854382,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
description,1223336211261067264,1223336211261067264,merula,otahens,18 lesbian jewish asian,,#VICKY: if you're a poc that's between you and god | it/she/z | 🇧🇷,https://t.co/XBkXEStyGA,{'urls': []},False,573,770,2,Fri Jan 31 20:04:22 +0000 2020,11376,,,False,False,19776,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338865781455503362/wHjW42v4_normal.jpg,https://pbs.twimg.com/profile_images/1338865781455503362/wHjW42v4_normal.jpg,https://pbs.twimg.com/profile_banners/1223336211261067264/1607854382,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
created_at,1223336211261067264,1223336211261067264,merula,otahens,18 lesbian jewish asian,,#VICKY: if you're a poc that's between you and god | it/she/z | 🇧🇷,https://t.co/XBkXEStyGA,,False,573,770,2,Fri Jan 31 20:04:22 +0000 2020,11376,,,False,False,19776,,Wed Dec 16 05:18:32 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338865781455503362/wHjW42v4_normal.jpg,https://pbs.twimg.com/profile_images/1338865781455503362/wHjW42v4_normal.jpg,https://pbs.twimg.com/profile_banners/1223336211261067264/1607854382,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
id,1223336211261067264,1223336211261067264,merula,otahens,18 lesbian jewish asian,,#VICKY: if you're a poc that's between you and god | it/she/z | 🇧🇷,https://t.co/XBkXEStyGA,,False,573,770,2,Fri Jan 31 20:04:22 +0000 2020,11376,,,False,False,19776,,1339077428648546304,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338865781455503362/wHjW42v4_normal.jpg,https://pbs.twimg.com/profile_images/1338865781455503362/wHjW42v4_normal.jpg,https://pbs.twimg.com/profile_banners/1223336211261067264/1607854382,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
id_str,1223336211261067264,1223336211261067264,merula,otahens,18 lesbian jewish asian,,#VICKY: if you're a poc that's between you and god | it/she/z | 🇧🇷,https://t.co/XBkXEStyGA,,False,573,770,2,Fri Jan 31 20:04:22 +0000 2020,11376,,,False,False,19776,,1339077428648546304,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338865781455503362/wHjW42v4_normal.jpg,https://pbs.twimg.com/profile_images/1338865781455503362/wHjW42v4_normal.jpg,https://pbs.twimg.com/profile_banners/1223336211261067264/1607854382,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
text,1223336211261067264,1223336211261067264,merula,otahens,18 lesbian jewish asian,,#VICKY: if you're a poc that's between you and god | it/she/z | 🇧🇷,https://t.co/XBkXEStyGA,,False,573,770,2,Fri Jan 31 20:04:22 +0000 2020,11376,,,False,False,19776,,RT @auncade: BERNADETTA HILDA NATION ‼️‼️‼️‼️‼️ https://t.co/WXO5Z70NCp,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338865781455503362/wHjW42v4_normal.jpg,https://pbs.twimg.com/profile_images/1338865781455503362/wHjW42v4_normal.jpg,https://pbs.twimg.com/profile_banners/1223336211261067264/1607854382,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
truncated,1223336211261067264,1223336211261067264,merula,otahens,18 lesbian jewish asian,,#VICKY: if you're a poc that's between you and god | it/she/z | 🇧🇷,https://t.co/XBkXEStyGA,,False,573,770,2,Fri Jan 31 20:04:22 +0000 2020,11376,,,False,False,19776,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338865781455503362/wHjW42v4_normal.jpg,https://pbs.twimg.com/profile_images/1338865781455503362/wHjW42v4_normal.jpg,https://pbs.twimg.com/profile_banners/1223336211261067264/1607854382,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
entities,1223336211261067264,1223336211261067264,merula,otahens,18 lesbian jewish asian,,#VICKY: if you're a poc that's between you and god | it/she/z | 🇧🇷,https://t.co/XBkXEStyGA,,False,573,770,2,Fri Jan 31 20:04:22 +0000 2020,11376,,,False,False,19776,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'auncade', 'name': 'VAL 🎠 working on commish 🖍', 'id': 1086518304305491968, 'id_str': '1086518304305491968', 'indices': [3, 11]}], 'urls': [], 'media': [{'id': 1339064047812145153, 'id_str': '1339064047812145153', 'indices': [48, 71], 'media_url': 'http://pbs.twimg.com/media/EpVPqCVW8AE1qaS.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpVPqCVW8AE1qaS.jpg', 'url': 'https://t.co/WXO5Z70NCp', 'display_url': 'pic.twitter.com/WXO5Z70NCp', 'expanded_url': 'https://twitter.com/auncade/status/1339064053755482118/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1949, 'h': 2048, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1142, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 647, 'h': 680, 'resize': 'fit'}}, 'source_status_id': 1339064053755482118, 'source_status_id_str': '1339064053755482118', 'source_user_id': 1086518304305491968, 'source_user_id_str': '1086518304305491968'}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338865781455503362/wHjW42v4_normal.jpg,https://pbs.twimg.com/profile_images/1338865781455503362/wHjW42v4_normal.jpg,https://pbs.twimg.com/profile_banners/1223336211261067264/1607854382,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
extended_entities,1223336211261067264,1223336211261067264,merula,otahens,18 lesbian jewish asian,,#VICKY: if you're a poc that's between you and god | it/she/z | 🇧🇷,https://t.co/XBkXEStyGA,,False,573,770,2,Fri Jan 31 20:04:22 +0000 2020,11376,,,False,False,19776,,"{'media': [{'id': 1339064047812145153, 'id_str': '1339064047812145153', 'indices': [48, 71], 'media_url': 'http://pbs.twimg.com/media/EpVPqCVW8AE1qaS.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpVPqCVW8AE1qaS.jpg', 'url': 'https://t.co/WXO5Z70NCp', 'display_url': 'pic.twitter.com/WXO5Z70NCp', 'expanded_url': 'https://twitter.com/auncade/status/1339064053755482118/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1949, 'h': 2048, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1142, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 647, 'h': 680, 'resize': 'fit'}}, 'source_status_id': 1339064053755482118, 'source_status_id_str': '1339064053755482118', 'source_user_id': 1086518304305491968, 'source_user_id_str': '1086518304305491968'}, {'id': 1339064048214827010, 'id_str': '1339064048214827010', 'indices': [48, 71], 'media_url': 'http://pbs.twimg.com/media/EpVPqD1XYAIDZf6.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpVPqD1XYAIDZf6.jpg', 'url': 'https://t.co/WXO5Z70NCp', 'display_url': 'pic.twitter.com/WXO5Z70NCp', 'expanded_url': 'https://twitter.com/auncade/status/1339064053755482118/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 974, 'h': 1024, 'resize': 'fit'}, 'large': {'w': 974, 'h': 1024, 'resize': 'fit'}, 'small': {'w': 647, 'h': 680, 'resize': 'fit'}}, 'source_status_id': 1339064053755482118, 'source_status_id_str': '1339064053755482118', 'source_user_id': 1086518304305491968, 'source_user_id_str': '1086518304305491968'}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338865781455503362/wHjW42v4_normal.jpg,https://pbs.twimg.com/profile_images/1338865781455503362/wHjW42v4_normal.jpg,https://pbs.twimg.com/profile_banners/1223336211261067264/1607854382,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
source,1223336211261067264,1223336211261067264,merula,otahens,18 lesbian jewish asian,,#VICKY: if you're a poc that's between you and god | it/she/z | 🇧🇷,https://t.co/XBkXEStyGA,,False,573,770,2,Fri Jan 31 20:04:22 +0000 2020,11376,,,False,False,19776,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338865781455503362/wHjW42v4_normal.jpg,https://pbs.twimg.com/profile_images/1338865781455503362/wHjW42v4_normal.jpg,https://pbs.twimg.com/profile_banners/1223336211261067264/1607854382,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_status_id,1223336211261067264,1223336211261067264,merula,otahens,18 lesbian jewish asian,,#VICKY: if you're a poc that's between you and god | it/she/z | 🇧🇷,https://t.co/XBkXEStyGA,,False,573,770,2,Fri Jan 31 20:04:22 +0000 2020,11376,,,False,False,19776,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338865781455503362/wHjW42v4_normal.jpg,https://pbs.twimg.com/profile_images/1338865781455503362/wHjW42v4_normal.jpg,https://pbs.twimg.com/profile_banners/1223336211261067264/1607854382,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_status_id_str,1223336211261067264,1223336211261067264,merula,otahens,18 lesbian jewish asian,,#VICKY: if you're a poc that's between you and god | it/she/z | 🇧🇷,https://t.co/XBkXEStyGA,,False,573,770,2,Fri Jan 31 20:04:22 +0000 2020,11376,,,False,False,19776,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338865781455503362/wHjW42v4_normal.jpg,https://pbs.twimg.com/profile_images/1338865781455503362/wHjW42v4_normal.jpg,https://pbs.twimg.com/profile_banners/1223336211261067264/1607854382,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
