,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1199538138105942016,1199538138105942016,margaret simpson💜ᵇˡᵐ,agreste_dupain_,she/her | minor,,suck! @plaggsbugaboo,,{'urls': []},False,112,59,18,Wed Nov 27 03:59:22 +0000 2019,12473,,,False,False,6592,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335701397040459779/bq-h3faO_normal.jpg,https://pbs.twimg.com/profile_images/1335701397040459779/bq-h3faO_normal.jpg,https://pbs.twimg.com/profile_banners/1199538138105942016/1607290750,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1199538138105942016,1199538138105942016,margaret simpson💜ᵇˡᵐ,agreste_dupain_,she/her | minor,,suck! @plaggsbugaboo,,,False,112,59,18,Wed Nov 27 03:59:22 +0000 2019,12473,,,False,False,6592,,Mon Dec 14 19:36:46 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335701397040459779/bq-h3faO_normal.jpg,https://pbs.twimg.com/profile_images/1335701397040459779/bq-h3faO_normal.jpg,https://pbs.twimg.com/profile_banners/1199538138105942016/1607290750,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1199538138105942016,1199538138105942016,margaret simpson💜ᵇˡᵐ,agreste_dupain_,she/her | minor,,suck! @plaggsbugaboo,,,False,112,59,18,Wed Nov 27 03:59:22 +0000 2019,12473,,,False,False,6592,,1338568635913220096,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335701397040459779/bq-h3faO_normal.jpg,https://pbs.twimg.com/profile_images/1335701397040459779/bq-h3faO_normal.jpg,https://pbs.twimg.com/profile_banners/1199538138105942016/1607290750,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1199538138105942016,1199538138105942016,margaret simpson💜ᵇˡᵐ,agreste_dupain_,she/her | minor,,suck! @plaggsbugaboo,,,False,112,59,18,Wed Nov 27 03:59:22 +0000 2019,12473,,,False,False,6592,,1338568635913220096,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335701397040459779/bq-h3faO_normal.jpg,https://pbs.twimg.com/profile_images/1335701397040459779/bq-h3faO_normal.jpg,https://pbs.twimg.com/profile_banners/1199538138105942016/1607290750,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1199538138105942016,1199538138105942016,margaret simpson💜ᵇˡᵐ,agreste_dupain_,she/her | minor,,suck! @plaggsbugaboo,,,False,112,59,18,Wed Nov 27 03:59:22 +0000 2019,12473,,,False,False,6592,,@SINGUL4RITYSAN 16 in exactly two weeks,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335701397040459779/bq-h3faO_normal.jpg,https://pbs.twimg.com/profile_images/1335701397040459779/bq-h3faO_normal.jpg,https://pbs.twimg.com/profile_banners/1199538138105942016/1607290750,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1199538138105942016,1199538138105942016,margaret simpson💜ᵇˡᵐ,agreste_dupain_,she/her | minor,,suck! @plaggsbugaboo,,,False,112,59,18,Wed Nov 27 03:59:22 +0000 2019,12473,,,False,False,6592,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335701397040459779/bq-h3faO_normal.jpg,https://pbs.twimg.com/profile_images/1335701397040459779/bq-h3faO_normal.jpg,https://pbs.twimg.com/profile_banners/1199538138105942016/1607290750,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1199538138105942016,1199538138105942016,margaret simpson💜ᵇˡᵐ,agreste_dupain_,she/her | minor,,suck! @plaggsbugaboo,,,False,112,59,18,Wed Nov 27 03:59:22 +0000 2019,12473,,,False,False,6592,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SINGUL4RITYSAN', 'name': 'THOSE BADASS UNDERWORLD PIRATE KINGS ⁉️⁷', 'id': 1143333054930399234, 'id_str': '1143333054930399234', 'indices': [0, 15]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335701397040459779/bq-h3faO_normal.jpg,https://pbs.twimg.com/profile_images/1335701397040459779/bq-h3faO_normal.jpg,https://pbs.twimg.com/profile_banners/1199538138105942016/1607290750,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1199538138105942016,1199538138105942016,margaret simpson💜ᵇˡᵐ,agreste_dupain_,she/her | minor,,suck! @plaggsbugaboo,,,False,112,59,18,Wed Nov 27 03:59:22 +0000 2019,12473,,,False,False,6592,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335701397040459779/bq-h3faO_normal.jpg,https://pbs.twimg.com/profile_images/1335701397040459779/bq-h3faO_normal.jpg,https://pbs.twimg.com/profile_banners/1199538138105942016/1607290750,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1199538138105942016,1199538138105942016,margaret simpson💜ᵇˡᵐ,agreste_dupain_,she/her | minor,,suck! @plaggsbugaboo,,,False,112,59,18,Wed Nov 27 03:59:22 +0000 2019,12473,,,False,False,6592,,1338560565229346824,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335701397040459779/bq-h3faO_normal.jpg,https://pbs.twimg.com/profile_images/1335701397040459779/bq-h3faO_normal.jpg,https://pbs.twimg.com/profile_banners/1199538138105942016/1607290750,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1199538138105942016,1199538138105942016,margaret simpson💜ᵇˡᵐ,agreste_dupain_,she/her | minor,,suck! @plaggsbugaboo,,,False,112,59,18,Wed Nov 27 03:59:22 +0000 2019,12473,,,False,False,6592,,1338560565229346824,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335701397040459779/bq-h3faO_normal.jpg,https://pbs.twimg.com/profile_images/1335701397040459779/bq-h3faO_normal.jpg,https://pbs.twimg.com/profile_banners/1199538138105942016/1607290750,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
