,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1041154435,1041154435,Ashley🌱,oyinvegan,Californ-I-A,,Brown hippie vegan || IG: ajayi.ashley ||microbio major👩🏾‍🔬||BLM🤎,,{'urls': []},False,689,1628,4,Fri Dec 28 02:37:14 +0000 2012,78496,,,True,False,4966,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1277114605316128768/SUOP_KSr_normal.jpg,https://pbs.twimg.com/profile_images/1277114605316128768/SUOP_KSr_normal.jpg,https://pbs.twimg.com/profile_banners/1041154435/1602479146,0084B4,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
created_at,1041154435,1041154435,Ashley🌱,oyinvegan,Californ-I-A,,Brown hippie vegan || IG: ajayi.ashley ||microbio major👩🏾‍🔬||BLM🤎,,,False,689,1628,4,Fri Dec 28 02:37:14 +0000 2012,78496,,,True,False,4966,,Wed Dec 16 01:21:04 +0000 2020,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1277114605316128768/SUOP_KSr_normal.jpg,https://pbs.twimg.com/profile_images/1277114605316128768/SUOP_KSr_normal.jpg,https://pbs.twimg.com/profile_banners/1041154435/1602479146,0084B4,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
id,1041154435,1041154435,Ashley🌱,oyinvegan,Californ-I-A,,Brown hippie vegan || IG: ajayi.ashley ||microbio major👩🏾‍🔬||BLM🤎,,,False,689,1628,4,Fri Dec 28 02:37:14 +0000 2012,78496,,,True,False,4966,,1339017669291339777,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1277114605316128768/SUOP_KSr_normal.jpg,https://pbs.twimg.com/profile_images/1277114605316128768/SUOP_KSr_normal.jpg,https://pbs.twimg.com/profile_banners/1041154435/1602479146,0084B4,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
id_str,1041154435,1041154435,Ashley🌱,oyinvegan,Californ-I-A,,Brown hippie vegan || IG: ajayi.ashley ||microbio major👩🏾‍🔬||BLM🤎,,,False,689,1628,4,Fri Dec 28 02:37:14 +0000 2012,78496,,,True,False,4966,,1339017669291339777,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1277114605316128768/SUOP_KSr_normal.jpg,https://pbs.twimg.com/profile_images/1277114605316128768/SUOP_KSr_normal.jpg,https://pbs.twimg.com/profile_banners/1041154435/1602479146,0084B4,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
text,1041154435,1041154435,Ashley🌱,oyinvegan,Californ-I-A,,Brown hippie vegan || IG: ajayi.ashley ||microbio major👩🏾‍🔬||BLM🤎,,,False,689,1628,4,Fri Dec 28 02:37:14 +0000 2012,78496,,,True,False,4966,,@SabrinaSith Omg!! Yess I love her lol she’s sorta the reason why I went vegan but yeah she’s gotta interesting personality,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1277114605316128768/SUOP_KSr_normal.jpg,https://pbs.twimg.com/profile_images/1277114605316128768/SUOP_KSr_normal.jpg,https://pbs.twimg.com/profile_banners/1041154435/1602479146,0084B4,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
truncated,1041154435,1041154435,Ashley🌱,oyinvegan,Californ-I-A,,Brown hippie vegan || IG: ajayi.ashley ||microbio major👩🏾‍🔬||BLM🤎,,,False,689,1628,4,Fri Dec 28 02:37:14 +0000 2012,78496,,,True,False,4966,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1277114605316128768/SUOP_KSr_normal.jpg,https://pbs.twimg.com/profile_images/1277114605316128768/SUOP_KSr_normal.jpg,https://pbs.twimg.com/profile_banners/1041154435/1602479146,0084B4,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
entities,1041154435,1041154435,Ashley🌱,oyinvegan,Californ-I-A,,Brown hippie vegan || IG: ajayi.ashley ||microbio major👩🏾‍🔬||BLM🤎,,,False,689,1628,4,Fri Dec 28 02:37:14 +0000 2012,78496,,,True,False,4966,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SabrinaSith', 'name': 'Sabrina Ⓥ', 'id': 17129334, 'id_str': '17129334', 'indices': [0, 12]}], 'urls': []}",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1277114605316128768/SUOP_KSr_normal.jpg,https://pbs.twimg.com/profile_images/1277114605316128768/SUOP_KSr_normal.jpg,https://pbs.twimg.com/profile_banners/1041154435/1602479146,0084B4,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
source,1041154435,1041154435,Ashley🌱,oyinvegan,Californ-I-A,,Brown hippie vegan || IG: ajayi.ashley ||microbio major👩🏾‍🔬||BLM🤎,,,False,689,1628,4,Fri Dec 28 02:37:14 +0000 2012,78496,,,True,False,4966,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1277114605316128768/SUOP_KSr_normal.jpg,https://pbs.twimg.com/profile_images/1277114605316128768/SUOP_KSr_normal.jpg,https://pbs.twimg.com/profile_banners/1041154435/1602479146,0084B4,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
in_reply_to_status_id,1041154435,1041154435,Ashley🌱,oyinvegan,Californ-I-A,,Brown hippie vegan || IG: ajayi.ashley ||microbio major👩🏾‍🔬||BLM🤎,,,False,689,1628,4,Fri Dec 28 02:37:14 +0000 2012,78496,,,True,False,4966,,1339007705713836033,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1277114605316128768/SUOP_KSr_normal.jpg,https://pbs.twimg.com/profile_images/1277114605316128768/SUOP_KSr_normal.jpg,https://pbs.twimg.com/profile_banners/1041154435/1602479146,0084B4,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
in_reply_to_status_id_str,1041154435,1041154435,Ashley🌱,oyinvegan,Californ-I-A,,Brown hippie vegan || IG: ajayi.ashley ||microbio major👩🏾‍🔬||BLM🤎,,,False,689,1628,4,Fri Dec 28 02:37:14 +0000 2012,78496,,,True,False,4966,,1339007705713836033,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1277114605316128768/SUOP_KSr_normal.jpg,https://pbs.twimg.com/profile_images/1277114605316128768/SUOP_KSr_normal.jpg,https://pbs.twimg.com/profile_banners/1041154435/1602479146,0084B4,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
