,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1202672657482731520,1202672657482731520,Lin ⁷⁺¹³,PinsByLin_,,,"crying over Taylor Swift and BTS, designing enamel pins, and casually missing deadlines | she/her | '99 liner",https://t.co/TCMbcRIdzR,"{'urls': [{'url': 'https://t.co/TCMbcRIdzR', 'expanded_url': 'https://www.etsy.com/shop/PinsByLin', 'display_url': 'etsy.com/shop/PinsByLin', 'indices': [0, 23]}]}",False,2806,3377,7,Thu Dec 05 19:34:48 +0000 2019,7871,,,False,False,6219,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1287797187364102144/hCOZcZxo_normal.jpg,https://pbs.twimg.com/profile_images/1287797187364102144/hCOZcZxo_normal.jpg,https://pbs.twimg.com/profile_banners/1202672657482731520/1601226550,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
description,1202672657482731520,1202672657482731520,Lin ⁷⁺¹³,PinsByLin_,,,"crying over Taylor Swift and BTS, designing enamel pins, and casually missing deadlines | she/her | '99 liner",https://t.co/TCMbcRIdzR,{'urls': []},False,2806,3377,7,Thu Dec 05 19:34:48 +0000 2019,7871,,,False,False,6219,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1287797187364102144/hCOZcZxo_normal.jpg,https://pbs.twimg.com/profile_images/1287797187364102144/hCOZcZxo_normal.jpg,https://pbs.twimg.com/profile_banners/1202672657482731520/1601226550,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1202672657482731520,1202672657482731520,Lin ⁷⁺¹³,PinsByLin_,,,"crying over Taylor Swift and BTS, designing enamel pins, and casually missing deadlines | she/her | '99 liner",https://t.co/TCMbcRIdzR,,False,2806,3377,7,Thu Dec 05 19:34:48 +0000 2019,7871,,,False,False,6219,,Wed Dec 16 06:44:17 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1287797187364102144/hCOZcZxo_normal.jpg,https://pbs.twimg.com/profile_images/1287797187364102144/hCOZcZxo_normal.jpg,https://pbs.twimg.com/profile_banners/1202672657482731520/1601226550,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1202672657482731520,1202672657482731520,Lin ⁷⁺¹³,PinsByLin_,,,"crying over Taylor Swift and BTS, designing enamel pins, and casually missing deadlines | she/her | '99 liner",https://t.co/TCMbcRIdzR,,False,2806,3377,7,Thu Dec 05 19:34:48 +0000 2019,7871,,,False,False,6219,,1339099009604964354,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1287797187364102144/hCOZcZxo_normal.jpg,https://pbs.twimg.com/profile_images/1287797187364102144/hCOZcZxo_normal.jpg,https://pbs.twimg.com/profile_banners/1202672657482731520/1601226550,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1202672657482731520,1202672657482731520,Lin ⁷⁺¹³,PinsByLin_,,,"crying over Taylor Swift and BTS, designing enamel pins, and casually missing deadlines | she/her | '99 liner",https://t.co/TCMbcRIdzR,,False,2806,3377,7,Thu Dec 05 19:34:48 +0000 2019,7871,,,False,False,6219,,1339099009604964354,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1287797187364102144/hCOZcZxo_normal.jpg,https://pbs.twimg.com/profile_images/1287797187364102144/hCOZcZxo_normal.jpg,https://pbs.twimg.com/profile_banners/1202672657482731520/1601226550,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1202672657482731520,1202672657482731520,Lin ⁷⁺¹³,PinsByLin_,,,"crying over Taylor Swift and BTS, designing enamel pins, and casually missing deadlines | she/her | '99 liner",https://t.co/TCMbcRIdzR,,False,2806,3377,7,Thu Dec 05 19:34:48 +0000 2019,7871,,,False,False,6219,,@xmastreefarm13 yeah!!,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1287797187364102144/hCOZcZxo_normal.jpg,https://pbs.twimg.com/profile_images/1287797187364102144/hCOZcZxo_normal.jpg,https://pbs.twimg.com/profile_banners/1202672657482731520/1601226550,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1202672657482731520,1202672657482731520,Lin ⁷⁺¹³,PinsByLin_,,,"crying over Taylor Swift and BTS, designing enamel pins, and casually missing deadlines | she/her | '99 liner",https://t.co/TCMbcRIdzR,,False,2806,3377,7,Thu Dec 05 19:34:48 +0000 2019,7871,,,False,False,6219,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1287797187364102144/hCOZcZxo_normal.jpg,https://pbs.twimg.com/profile_images/1287797187364102144/hCOZcZxo_normal.jpg,https://pbs.twimg.com/profile_banners/1202672657482731520/1601226550,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1202672657482731520,1202672657482731520,Lin ⁷⁺¹³,PinsByLin_,,,"crying over Taylor Swift and BTS, designing enamel pins, and casually missing deadlines | she/her | '99 liner",https://t.co/TCMbcRIdzR,,False,2806,3377,7,Thu Dec 05 19:34:48 +0000 2019,7871,,,False,False,6219,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'xmastreefarm13', 'name': '𝚎𝚟𝚎𝚛𝚖𝚘𝚛𝚎, Kelly 🎂 HAPPY BIRTHDAY TAYLOR!', 'id': 973880930753429504, 'id_str': '973880930753429504', 'indices': [0, 15]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1287797187364102144/hCOZcZxo_normal.jpg,https://pbs.twimg.com/profile_images/1287797187364102144/hCOZcZxo_normal.jpg,https://pbs.twimg.com/profile_banners/1202672657482731520/1601226550,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1202672657482731520,1202672657482731520,Lin ⁷⁺¹³,PinsByLin_,,,"crying over Taylor Swift and BTS, designing enamel pins, and casually missing deadlines | she/her | '99 liner",https://t.co/TCMbcRIdzR,,False,2806,3377,7,Thu Dec 05 19:34:48 +0000 2019,7871,,,False,False,6219,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1287797187364102144/hCOZcZxo_normal.jpg,https://pbs.twimg.com/profile_images/1287797187364102144/hCOZcZxo_normal.jpg,https://pbs.twimg.com/profile_banners/1202672657482731520/1601226550,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1202672657482731520,1202672657482731520,Lin ⁷⁺¹³,PinsByLin_,,,"crying over Taylor Swift and BTS, designing enamel pins, and casually missing deadlines | she/her | '99 liner",https://t.co/TCMbcRIdzR,,False,2806,3377,7,Thu Dec 05 19:34:48 +0000 2019,7871,,,False,False,6219,,1339097401802379267,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1287797187364102144/hCOZcZxo_normal.jpg,https://pbs.twimg.com/profile_images/1287797187364102144/hCOZcZxo_normal.jpg,https://pbs.twimg.com/profile_banners/1202672657482731520/1601226550,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
