,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1298374668571701248,1298374668571701248,ava🪴 || 𓆉,avasguava,ur moms house,,where is foot. | she/her :) | BLM | ♑️ | proudly married to @isa_marianne_,,{'urls': []},False,141,242,8,Tue Aug 25 21:40:31 +0000 2020,10267,,,False,False,4578,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336759432496050177/W1FpTaI9_normal.jpg,https://pbs.twimg.com/profile_images/1336759432496050177/W1FpTaI9_normal.jpg,https://pbs.twimg.com/profile_banners/1298374668571701248/1607543186,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1298374668571701248,1298374668571701248,ava🪴 || 𓆉,avasguava,ur moms house,,where is foot. | she/her :) | BLM | ♑️ | proudly married to @isa_marianne_,,,False,141,242,8,Tue Aug 25 21:40:31 +0000 2020,10267,,,False,False,4578,,Tue Dec 15 04:39:33 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336759432496050177/W1FpTaI9_normal.jpg,https://pbs.twimg.com/profile_images/1336759432496050177/W1FpTaI9_normal.jpg,https://pbs.twimg.com/profile_banners/1298374668571701248/1607543186,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1298374668571701248,1298374668571701248,ava🪴 || 𓆉,avasguava,ur moms house,,where is foot. | she/her :) | BLM | ♑️ | proudly married to @isa_marianne_,,,False,141,242,8,Tue Aug 25 21:40:31 +0000 2020,10267,,,False,False,4578,,1338705232079962113,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336759432496050177/W1FpTaI9_normal.jpg,https://pbs.twimg.com/profile_images/1336759432496050177/W1FpTaI9_normal.jpg,https://pbs.twimg.com/profile_banners/1298374668571701248/1607543186,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1298374668571701248,1298374668571701248,ava🪴 || 𓆉,avasguava,ur moms house,,where is foot. | she/her :) | BLM | ♑️ | proudly married to @isa_marianne_,,,False,141,242,8,Tue Aug 25 21:40:31 +0000 2020,10267,,,False,False,4578,,1338705232079962113,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336759432496050177/W1FpTaI9_normal.jpg,https://pbs.twimg.com/profile_images/1336759432496050177/W1FpTaI9_normal.jpg,https://pbs.twimg.com/profile_banners/1298374668571701248/1607543186,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1298374668571701248,1298374668571701248,ava🪴 || 𓆉,avasguava,ur moms house,,where is foot. | she/her :) | BLM | ♑️ | proudly married to @isa_marianne_,,,False,141,242,8,Tue Aug 25 21:40:31 +0000 2020,10267,,,False,False,4578,,@VL0GGUN mother mommy mom madre fuck u name it i call her it,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336759432496050177/W1FpTaI9_normal.jpg,https://pbs.twimg.com/profile_images/1336759432496050177/W1FpTaI9_normal.jpg,https://pbs.twimg.com/profile_banners/1298374668571701248/1607543186,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1298374668571701248,1298374668571701248,ava🪴 || 𓆉,avasguava,ur moms house,,where is foot. | she/her :) | BLM | ♑️ | proudly married to @isa_marianne_,,,False,141,242,8,Tue Aug 25 21:40:31 +0000 2020,10267,,,False,False,4578,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336759432496050177/W1FpTaI9_normal.jpg,https://pbs.twimg.com/profile_images/1336759432496050177/W1FpTaI9_normal.jpg,https://pbs.twimg.com/profile_banners/1298374668571701248/1607543186,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1298374668571701248,1298374668571701248,ava🪴 || 𓆉,avasguava,ur moms house,,where is foot. | she/her :) | BLM | ♑️ | proudly married to @isa_marianne_,,,False,141,242,8,Tue Aug 25 21:40:31 +0000 2020,10267,,,False,False,4578,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'VL0GGUN', 'name': 'sally', 'id': 1062874057417330688, 'id_str': '1062874057417330688', 'indices': [0, 8]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336759432496050177/W1FpTaI9_normal.jpg,https://pbs.twimg.com/profile_images/1336759432496050177/W1FpTaI9_normal.jpg,https://pbs.twimg.com/profile_banners/1298374668571701248/1607543186,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1298374668571701248,1298374668571701248,ava🪴 || 𓆉,avasguava,ur moms house,,where is foot. | she/her :) | BLM | ♑️ | proudly married to @isa_marianne_,,,False,141,242,8,Tue Aug 25 21:40:31 +0000 2020,10267,,,False,False,4578,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336759432496050177/W1FpTaI9_normal.jpg,https://pbs.twimg.com/profile_images/1336759432496050177/W1FpTaI9_normal.jpg,https://pbs.twimg.com/profile_banners/1298374668571701248/1607543186,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1298374668571701248,1298374668571701248,ava🪴 || 𓆉,avasguava,ur moms house,,where is foot. | she/her :) | BLM | ♑️ | proudly married to @isa_marianne_,,,False,141,242,8,Tue Aug 25 21:40:31 +0000 2020,10267,,,False,False,4578,,1338578274390306820,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336759432496050177/W1FpTaI9_normal.jpg,https://pbs.twimg.com/profile_images/1336759432496050177/W1FpTaI9_normal.jpg,https://pbs.twimg.com/profile_banners/1298374668571701248/1607543186,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1298374668571701248,1298374668571701248,ava🪴 || 𓆉,avasguava,ur moms house,,where is foot. | she/her :) | BLM | ♑️ | proudly married to @isa_marianne_,,,False,141,242,8,Tue Aug 25 21:40:31 +0000 2020,10267,,,False,False,4578,,1338578274390306820,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336759432496050177/W1FpTaI9_normal.jpg,https://pbs.twimg.com/profile_images/1336759432496050177/W1FpTaI9_normal.jpg,https://pbs.twimg.com/profile_banners/1298374668571701248/1607543186,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id,1298374668571701248,1298374668571701248,ava🪴 || 𓆉,avasguava,ur moms house,,where is foot. | she/her :) | BLM | ♑️ | proudly married to @isa_marianne_,,,False,141,242,8,Tue Aug 25 21:40:31 +0000 2020,10267,,,False,False,4578,,1062874057417330688,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336759432496050177/W1FpTaI9_normal.jpg,https://pbs.twimg.com/profile_images/1336759432496050177/W1FpTaI9_normal.jpg,https://pbs.twimg.com/profile_banners/1298374668571701248/1607543186,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
