,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,213408117,213408117,Your Favorite Fat Girl,ViciousVibrato,(D)MV,,25 | She/Her| Artist | Singer | Actor | Your fave fat girl | ♉️ | Howard Alumna | fluent in meme | my tweets range from educational to absolute filth 🤷🏽‍♀️,,{'urls': []},False,1290,417,19,Mon Nov 08 21:11:54 +0000 2010,21244,,,True,False,211755,,,False,False,False,FF6699,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_banners/213408117/1574793118,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
created_at,213408117,213408117,Your Favorite Fat Girl,ViciousVibrato,(D)MV,,25 | She/Her| Artist | Singer | Actor | Your fave fat girl | ♉️ | Howard Alumna | fluent in meme | my tweets range from educational to absolute filth 🤷🏽‍♀️,,,False,1290,417,19,Mon Nov 08 21:11:54 +0000 2010,21244,,,True,False,211755,,Tue Dec 15 02:35:37 +0000 2020,False,False,False,FF6699,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_banners/213408117/1574793118,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
id,213408117,213408117,Your Favorite Fat Girl,ViciousVibrato,(D)MV,,25 | She/Her| Artist | Singer | Actor | Your fave fat girl | ♉️ | Howard Alumna | fluent in meme | my tweets range from educational to absolute filth 🤷🏽‍♀️,,,False,1290,417,19,Mon Nov 08 21:11:54 +0000 2010,21244,,,True,False,211755,,1338674039779450880,False,False,False,FF6699,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_banners/213408117/1574793118,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
id_str,213408117,213408117,Your Favorite Fat Girl,ViciousVibrato,(D)MV,,25 | She/Her| Artist | Singer | Actor | Your fave fat girl | ♉️ | Howard Alumna | fluent in meme | my tweets range from educational to absolute filth 🤷🏽‍♀️,,,False,1290,417,19,Mon Nov 08 21:11:54 +0000 2010,21244,,,True,False,211755,,1338674039779450880,False,False,False,FF6699,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_banners/213408117/1574793118,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
text,213408117,213408117,Your Favorite Fat Girl,ViciousVibrato,(D)MV,,25 | She/Her| Artist | Singer | Actor | Your fave fat girl | ♉️ | Howard Alumna | fluent in meme | my tweets range from educational to absolute filth 🤷🏽‍♀️,,,False,1290,417,19,Mon Nov 08 21:11:54 +0000 2010,21244,,,True,False,211755,,RT @SupernovaMomma: Exactly! Or that people weren’t Neurodiverse prior to vaccines (they were),False,False,False,FF6699,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_banners/213408117/1574793118,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
truncated,213408117,213408117,Your Favorite Fat Girl,ViciousVibrato,(D)MV,,25 | She/Her| Artist | Singer | Actor | Your fave fat girl | ♉️ | Howard Alumna | fluent in meme | my tweets range from educational to absolute filth 🤷🏽‍♀️,,,False,1290,417,19,Mon Nov 08 21:11:54 +0000 2010,21244,,,True,False,211755,,False,False,False,False,FF6699,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_banners/213408117/1574793118,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
entities,213408117,213408117,Your Favorite Fat Girl,ViciousVibrato,(D)MV,,25 | She/Her| Artist | Singer | Actor | Your fave fat girl | ♉️ | Howard Alumna | fluent in meme | my tweets range from educational to absolute filth 🤷🏽‍♀️,,,False,1290,417,19,Mon Nov 08 21:11:54 +0000 2010,21244,,,True,False,211755,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SupernovaMomma', 'name': 'Urban Suburban Housewife', 'id': 1581548168, 'id_str': '1581548168', 'indices': [3, 18]}], 'urls': []}",False,False,False,FF6699,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_banners/213408117/1574793118,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
source,213408117,213408117,Your Favorite Fat Girl,ViciousVibrato,(D)MV,,25 | She/Her| Artist | Singer | Actor | Your fave fat girl | ♉️ | Howard Alumna | fluent in meme | my tweets range from educational to absolute filth 🤷🏽‍♀️,,,False,1290,417,19,Mon Nov 08 21:11:54 +0000 2010,21244,,,True,False,211755,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,FF6699,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_banners/213408117/1574793118,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
in_reply_to_status_id,213408117,213408117,Your Favorite Fat Girl,ViciousVibrato,(D)MV,,25 | She/Her| Artist | Singer | Actor | Your fave fat girl | ♉️ | Howard Alumna | fluent in meme | my tweets range from educational to absolute filth 🤷🏽‍♀️,,,False,1290,417,19,Mon Nov 08 21:11:54 +0000 2010,21244,,,True,False,211755,,,False,False,False,FF6699,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_banners/213408117/1574793118,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
in_reply_to_status_id_str,213408117,213408117,Your Favorite Fat Girl,ViciousVibrato,(D)MV,,25 | She/Her| Artist | Singer | Actor | Your fave fat girl | ♉️ | Howard Alumna | fluent in meme | my tweets range from educational to absolute filth 🤷🏽‍♀️,,,False,1290,417,19,Mon Nov 08 21:11:54 +0000 2010,21244,,,True,False,211755,,,False,False,False,FF6699,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_banners/213408117/1574793118,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
in_reply_to_user_id,213408117,213408117,Your Favorite Fat Girl,ViciousVibrato,(D)MV,,25 | She/Her| Artist | Singer | Actor | Your fave fat girl | ♉️ | Howard Alumna | fluent in meme | my tweets range from educational to absolute filth 🤷🏽‍♀️,,,False,1290,417,19,Mon Nov 08 21:11:54 +0000 2010,21244,,,True,False,211755,,,False,False,False,FF6699,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_banners/213408117/1574793118,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
in_reply_to_user_id_str,213408117,213408117,Your Favorite Fat Girl,ViciousVibrato,(D)MV,,25 | She/Her| Artist | Singer | Actor | Your fave fat girl | ♉️ | Howard Alumna | fluent in meme | my tweets range from educational to absolute filth 🤷🏽‍♀️,,,False,1290,417,19,Mon Nov 08 21:11:54 +0000 2010,21244,,,True,False,211755,,,False,False,False,FF6699,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_banners/213408117/1574793118,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
in_reply_to_screen_name,213408117,213408117,Your Favorite Fat Girl,ViciousVibrato,(D)MV,,25 | She/Her| Artist | Singer | Actor | Your fave fat girl | ♉️ | Howard Alumna | fluent in meme | my tweets range from educational to absolute filth 🤷🏽‍♀️,,,False,1290,417,19,Mon Nov 08 21:11:54 +0000 2010,21244,,,True,False,211755,,,False,False,False,FF6699,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_banners/213408117/1574793118,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
