,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1280980871961436160,1280980871961436160,m,MikeyTheNBHDsos,im nsfw lol,,"innocentsos // thenbhdsos || sweater weather || bi || engaged to my loves; ashton ♥️ luke ♥️ calum ♥️ || dad to oli, james, and maia🥺",https://t.co/Eoyp7Hfwg2,"{'urls': [{'url': 'https://t.co/Eoyp7Hfwg2', 'expanded_url': 'http://bongo.cat', 'display_url': 'bongo.cat', 'indices': [0, 23]}]}",False,331,393,2,Wed Jul 08 21:43:42 +0000 2020,627,,,True,False,4682,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338626390199955456/ZP0_8xj3_normal.jpg,https://pbs.twimg.com/profile_images/1338626390199955456/ZP0_8xj3_normal.jpg,https://pbs.twimg.com/profile_banners/1280980871961436160/1607638351,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
description,1280980871961436160,1280980871961436160,m,MikeyTheNBHDsos,im nsfw lol,,"innocentsos // thenbhdsos || sweater weather || bi || engaged to my loves; ashton ♥️ luke ♥️ calum ♥️ || dad to oli, james, and maia🥺",https://t.co/Eoyp7Hfwg2,{'urls': []},False,331,393,2,Wed Jul 08 21:43:42 +0000 2020,627,,,True,False,4682,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338626390199955456/ZP0_8xj3_normal.jpg,https://pbs.twimg.com/profile_images/1338626390199955456/ZP0_8xj3_normal.jpg,https://pbs.twimg.com/profile_banners/1280980871961436160/1607638351,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1280980871961436160,1280980871961436160,m,MikeyTheNBHDsos,im nsfw lol,,"innocentsos // thenbhdsos || sweater weather || bi || engaged to my loves; ashton ♥️ luke ♥️ calum ♥️ || dad to oli, james, and maia🥺",https://t.co/Eoyp7Hfwg2,,False,331,393,2,Wed Jul 08 21:43:42 +0000 2020,627,,,True,False,4682,,Wed Dec 16 02:56:25 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338626390199955456/ZP0_8xj3_normal.jpg,https://pbs.twimg.com/profile_images/1338626390199955456/ZP0_8xj3_normal.jpg,https://pbs.twimg.com/profile_banners/1280980871961436160/1607638351,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1280980871961436160,1280980871961436160,m,MikeyTheNBHDsos,im nsfw lol,,"innocentsos // thenbhdsos || sweater weather || bi || engaged to my loves; ashton ♥️ luke ♥️ calum ♥️ || dad to oli, james, and maia🥺",https://t.co/Eoyp7Hfwg2,,False,331,393,2,Wed Jul 08 21:43:42 +0000 2020,627,,,True,False,4682,,1339041665009389569,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338626390199955456/ZP0_8xj3_normal.jpg,https://pbs.twimg.com/profile_images/1338626390199955456/ZP0_8xj3_normal.jpg,https://pbs.twimg.com/profile_banners/1280980871961436160/1607638351,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1280980871961436160,1280980871961436160,m,MikeyTheNBHDsos,im nsfw lol,,"innocentsos // thenbhdsos || sweater weather || bi || engaged to my loves; ashton ♥️ luke ♥️ calum ♥️ || dad to oli, james, and maia🥺",https://t.co/Eoyp7Hfwg2,,False,331,393,2,Wed Jul 08 21:43:42 +0000 2020,627,,,True,False,4682,,1339041665009389569,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338626390199955456/ZP0_8xj3_normal.jpg,https://pbs.twimg.com/profile_images/1338626390199955456/ZP0_8xj3_normal.jpg,https://pbs.twimg.com/profile_banners/1280980871961436160/1607638351,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1280980871961436160,1280980871961436160,m,MikeyTheNBHDsos,im nsfw lol,,"innocentsos // thenbhdsos || sweater weather || bi || engaged to my loves; ashton ♥️ luke ♥️ calum ♥️ || dad to oli, james, and maia🥺",https://t.co/Eoyp7Hfwg2,,False,331,393,2,Wed Jul 08 21:43:42 +0000 2020,627,,,True,False,4682,,@OliToddHood you cant TRUST it omg you have to use condoms too so youre sUre about kids oli,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338626390199955456/ZP0_8xj3_normal.jpg,https://pbs.twimg.com/profile_images/1338626390199955456/ZP0_8xj3_normal.jpg,https://pbs.twimg.com/profile_banners/1280980871961436160/1607638351,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1280980871961436160,1280980871961436160,m,MikeyTheNBHDsos,im nsfw lol,,"innocentsos // thenbhdsos || sweater weather || bi || engaged to my loves; ashton ♥️ luke ♥️ calum ♥️ || dad to oli, james, and maia🥺",https://t.co/Eoyp7Hfwg2,,False,331,393,2,Wed Jul 08 21:43:42 +0000 2020,627,,,True,False,4682,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338626390199955456/ZP0_8xj3_normal.jpg,https://pbs.twimg.com/profile_images/1338626390199955456/ZP0_8xj3_normal.jpg,https://pbs.twimg.com/profile_banners/1280980871961436160/1607638351,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1280980871961436160,1280980871961436160,m,MikeyTheNBHDsos,im nsfw lol,,"innocentsos // thenbhdsos || sweater weather || bi || engaged to my loves; ashton ♥️ luke ♥️ calum ♥️ || dad to oli, james, and maia🥺",https://t.co/Eoyp7Hfwg2,,False,331,393,2,Wed Jul 08 21:43:42 +0000 2020,627,,,True,False,4682,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'OliToddHood', 'name': 'Oliver', 'id': 1329851789450080259, 'id_str': '1329851789450080259', 'indices': [0, 12]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338626390199955456/ZP0_8xj3_normal.jpg,https://pbs.twimg.com/profile_images/1338626390199955456/ZP0_8xj3_normal.jpg,https://pbs.twimg.com/profile_banners/1280980871961436160/1607638351,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1280980871961436160,1280980871961436160,m,MikeyTheNBHDsos,im nsfw lol,,"innocentsos // thenbhdsos || sweater weather || bi || engaged to my loves; ashton ♥️ luke ♥️ calum ♥️ || dad to oli, james, and maia🥺",https://t.co/Eoyp7Hfwg2,,False,331,393,2,Wed Jul 08 21:43:42 +0000 2020,627,,,True,False,4682,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338626390199955456/ZP0_8xj3_normal.jpg,https://pbs.twimg.com/profile_images/1338626390199955456/ZP0_8xj3_normal.jpg,https://pbs.twimg.com/profile_banners/1280980871961436160/1607638351,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1280980871961436160,1280980871961436160,m,MikeyTheNBHDsos,im nsfw lol,,"innocentsos // thenbhdsos || sweater weather || bi || engaged to my loves; ashton ♥️ luke ♥️ calum ♥️ || dad to oli, james, and maia🥺",https://t.co/Eoyp7Hfwg2,,False,331,393,2,Wed Jul 08 21:43:42 +0000 2020,627,,,True,False,4682,,1339041270119927808,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338626390199955456/ZP0_8xj3_normal.jpg,https://pbs.twimg.com/profile_images/1338626390199955456/ZP0_8xj3_normal.jpg,https://pbs.twimg.com/profile_banners/1280980871961436160/1607638351,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
