,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,501408593,501408593,Brenza,Brenna2Riley,ROC,,welcome to the cosmic freeway,,{'urls': []},False,592,603,2,Fri Feb 24 03:29:44 +0000 2012,13233,,,True,False,15481,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1295884336693153792/-oAdAnng_normal.jpg,https://pbs.twimg.com/profile_images/1295884336693153792/-oAdAnng_normal.jpg,https://pbs.twimg.com/profile_banners/501408593/1605022003,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,501408593,501408593,Brenza,Brenna2Riley,ROC,,welcome to the cosmic freeway,,,False,592,603,2,Fri Feb 24 03:29:44 +0000 2012,13233,,,True,False,15481,,Mon Dec 14 18:38:24 +0000 2020,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1295884336693153792/-oAdAnng_normal.jpg,https://pbs.twimg.com/profile_images/1295884336693153792/-oAdAnng_normal.jpg,https://pbs.twimg.com/profile_banners/501408593/1605022003,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,501408593,501408593,Brenza,Brenna2Riley,ROC,,welcome to the cosmic freeway,,,False,592,603,2,Fri Feb 24 03:29:44 +0000 2012,13233,,,True,False,15481,,1338553945850060804,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1295884336693153792/-oAdAnng_normal.jpg,https://pbs.twimg.com/profile_images/1295884336693153792/-oAdAnng_normal.jpg,https://pbs.twimg.com/profile_banners/501408593/1605022003,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,501408593,501408593,Brenza,Brenna2Riley,ROC,,welcome to the cosmic freeway,,,False,592,603,2,Fri Feb 24 03:29:44 +0000 2012,13233,,,True,False,15481,,1338553945850060804,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1295884336693153792/-oAdAnng_normal.jpg,https://pbs.twimg.com/profile_images/1295884336693153792/-oAdAnng_normal.jpg,https://pbs.twimg.com/profile_banners/501408593/1605022003,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,501408593,501408593,Brenza,Brenna2Riley,ROC,,welcome to the cosmic freeway,,,False,592,603,2,Fri Feb 24 03:29:44 +0000 2012,13233,,,True,False,15481,,"RT @News_8: Gov. Cuomo: ""Finger Lakes is the highest region in the state for COVID-19 hospitalizations and positivity rate.""",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1295884336693153792/-oAdAnng_normal.jpg,https://pbs.twimg.com/profile_images/1295884336693153792/-oAdAnng_normal.jpg,https://pbs.twimg.com/profile_banners/501408593/1605022003,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,501408593,501408593,Brenza,Brenna2Riley,ROC,,welcome to the cosmic freeway,,,False,592,603,2,Fri Feb 24 03:29:44 +0000 2012,13233,,,True,False,15481,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1295884336693153792/-oAdAnng_normal.jpg,https://pbs.twimg.com/profile_images/1295884336693153792/-oAdAnng_normal.jpg,https://pbs.twimg.com/profile_banners/501408593/1605022003,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,501408593,501408593,Brenza,Brenna2Riley,ROC,,welcome to the cosmic freeway,,,False,592,603,2,Fri Feb 24 03:29:44 +0000 2012,13233,,,True,False,15481,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'News_8', 'name': 'News 8 WROC', 'id': 16453340, 'id_str': '16453340', 'indices': [3, 10]}], 'urls': []}",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1295884336693153792/-oAdAnng_normal.jpg,https://pbs.twimg.com/profile_images/1295884336693153792/-oAdAnng_normal.jpg,https://pbs.twimg.com/profile_banners/501408593/1605022003,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,501408593,501408593,Brenza,Brenna2Riley,ROC,,welcome to the cosmic freeway,,,False,592,603,2,Fri Feb 24 03:29:44 +0000 2012,13233,,,True,False,15481,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1295884336693153792/-oAdAnng_normal.jpg,https://pbs.twimg.com/profile_images/1295884336693153792/-oAdAnng_normal.jpg,https://pbs.twimg.com/profile_banners/501408593/1605022003,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,501408593,501408593,Brenza,Brenna2Riley,ROC,,welcome to the cosmic freeway,,,False,592,603,2,Fri Feb 24 03:29:44 +0000 2012,13233,,,True,False,15481,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1295884336693153792/-oAdAnng_normal.jpg,https://pbs.twimg.com/profile_images/1295884336693153792/-oAdAnng_normal.jpg,https://pbs.twimg.com/profile_banners/501408593/1605022003,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,501408593,501408593,Brenza,Brenna2Riley,ROC,,welcome to the cosmic freeway,,,False,592,603,2,Fri Feb 24 03:29:44 +0000 2012,13233,,,True,False,15481,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1295884336693153792/-oAdAnng_normal.jpg,https://pbs.twimg.com/profile_images/1295884336693153792/-oAdAnng_normal.jpg,https://pbs.twimg.com/profile_banners/501408593/1605022003,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
