,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,923452883382697984,923452883382697984,SD🇯🇲🇬🇾,sanchdblack,United Kingdom,,6’3|Physiotherapist|Strength & Conditioning|BlaqbookThePodcast,https://t.co/0ZZjuVcVo1,"{'urls': [{'url': 'https://t.co/0ZZjuVcVo1', 'expanded_url': 'https://linktr.ee/utopianhf', 'display_url': 'linktr.ee/utopianhf', 'indices': [0, 23]}]}",False,450,558,2,Thu Oct 26 07:34:59 +0000 2017,11855,,,True,False,5907,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337721365672157187/X9DcGfPy_normal.jpg,https://pbs.twimg.com/profile_images/1337721365672157187/X9DcGfPy_normal.jpg,https://pbs.twimg.com/profile_banners/923452883382697984/1580315252,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
description,923452883382697984,923452883382697984,SD🇯🇲🇬🇾,sanchdblack,United Kingdom,,6’3|Physiotherapist|Strength & Conditioning|BlaqbookThePodcast,https://t.co/0ZZjuVcVo1,{'urls': []},False,450,558,2,Thu Oct 26 07:34:59 +0000 2017,11855,,,True,False,5907,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337721365672157187/X9DcGfPy_normal.jpg,https://pbs.twimg.com/profile_images/1337721365672157187/X9DcGfPy_normal.jpg,https://pbs.twimg.com/profile_banners/923452883382697984/1580315252,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,923452883382697984,923452883382697984,SD🇯🇲🇬🇾,sanchdblack,United Kingdom,,6’3|Physiotherapist|Strength & Conditioning|BlaqbookThePodcast,https://t.co/0ZZjuVcVo1,,False,450,558,2,Thu Oct 26 07:34:59 +0000 2017,11855,,,True,False,5907,,Mon Dec 14 21:17:25 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337721365672157187/X9DcGfPy_normal.jpg,https://pbs.twimg.com/profile_images/1337721365672157187/X9DcGfPy_normal.jpg,https://pbs.twimg.com/profile_banners/923452883382697984/1580315252,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,923452883382697984,923452883382697984,SD🇯🇲🇬🇾,sanchdblack,United Kingdom,,6’3|Physiotherapist|Strength & Conditioning|BlaqbookThePodcast,https://t.co/0ZZjuVcVo1,,False,450,558,2,Thu Oct 26 07:34:59 +0000 2017,11855,,,True,False,5907,,1338593961905188866,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337721365672157187/X9DcGfPy_normal.jpg,https://pbs.twimg.com/profile_images/1337721365672157187/X9DcGfPy_normal.jpg,https://pbs.twimg.com/profile_banners/923452883382697984/1580315252,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,923452883382697984,923452883382697984,SD🇯🇲🇬🇾,sanchdblack,United Kingdom,,6’3|Physiotherapist|Strength & Conditioning|BlaqbookThePodcast,https://t.co/0ZZjuVcVo1,,False,450,558,2,Thu Oct 26 07:34:59 +0000 2017,11855,,,True,False,5907,,1338593961905188866,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337721365672157187/X9DcGfPy_normal.jpg,https://pbs.twimg.com/profile_images/1337721365672157187/X9DcGfPy_normal.jpg,https://pbs.twimg.com/profile_banners/923452883382697984/1580315252,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,923452883382697984,923452883382697984,SD🇯🇲🇬🇾,sanchdblack,United Kingdom,,6’3|Physiotherapist|Strength & Conditioning|BlaqbookThePodcast,https://t.co/0ZZjuVcVo1,,False,450,558,2,Thu Oct 26 07:34:59 +0000 2017,11855,,,True,False,5907,,@Vivsss_ We love to see it 🙌🏿🙌🏿🙏🏿🙏🏿👏🏿👏🏿,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337721365672157187/X9DcGfPy_normal.jpg,https://pbs.twimg.com/profile_images/1337721365672157187/X9DcGfPy_normal.jpg,https://pbs.twimg.com/profile_banners/923452883382697984/1580315252,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,923452883382697984,923452883382697984,SD🇯🇲🇬🇾,sanchdblack,United Kingdom,,6’3|Physiotherapist|Strength & Conditioning|BlaqbookThePodcast,https://t.co/0ZZjuVcVo1,,False,450,558,2,Thu Oct 26 07:34:59 +0000 2017,11855,,,True,False,5907,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337721365672157187/X9DcGfPy_normal.jpg,https://pbs.twimg.com/profile_images/1337721365672157187/X9DcGfPy_normal.jpg,https://pbs.twimg.com/profile_banners/923452883382697984/1580315252,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,923452883382697984,923452883382697984,SD🇯🇲🇬🇾,sanchdblack,United Kingdom,,6’3|Physiotherapist|Strength & Conditioning|BlaqbookThePodcast,https://t.co/0ZZjuVcVo1,,False,450,558,2,Thu Oct 26 07:34:59 +0000 2017,11855,,,True,False,5907,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Vivsss_', 'name': '𝕍 ✨', 'id': 843912692, 'id_str': '843912692', 'indices': [0, 8]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337721365672157187/X9DcGfPy_normal.jpg,https://pbs.twimg.com/profile_images/1337721365672157187/X9DcGfPy_normal.jpg,https://pbs.twimg.com/profile_banners/923452883382697984/1580315252,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,923452883382697984,923452883382697984,SD🇯🇲🇬🇾,sanchdblack,United Kingdom,,6’3|Physiotherapist|Strength & Conditioning|BlaqbookThePodcast,https://t.co/0ZZjuVcVo1,,False,450,558,2,Thu Oct 26 07:34:59 +0000 2017,11855,,,True,False,5907,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337721365672157187/X9DcGfPy_normal.jpg,https://pbs.twimg.com/profile_images/1337721365672157187/X9DcGfPy_normal.jpg,https://pbs.twimg.com/profile_banners/923452883382697984/1580315252,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,923452883382697984,923452883382697984,SD🇯🇲🇬🇾,sanchdblack,United Kingdom,,6’3|Physiotherapist|Strength & Conditioning|BlaqbookThePodcast,https://t.co/0ZZjuVcVo1,,False,450,558,2,Thu Oct 26 07:34:59 +0000 2017,11855,,,True,False,5907,,1338558411525550081,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337721365672157187/X9DcGfPy_normal.jpg,https://pbs.twimg.com/profile_images/1337721365672157187/X9DcGfPy_normal.jpg,https://pbs.twimg.com/profile_banners/923452883382697984/1580315252,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
