,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1120838895439089664,1120838895439089664,JackiChan,JackiChanOSRS,"Kentucky, USA",,| 🔥 Twitch Affiliate 🔥 | Twitch Streamer For @Feekifam | Wanna Be Pro Smite Player 🕹 | https://t.co/VOw1ogsIWV |,https://t.co/VRY0E9hreV,"{'urls': [{'url': 'https://t.co/VRY0E9hreV', 'expanded_url': 'https://www.youtube.com/channel/UC6B6KwSk4yuDDxXw3AVKOHw', 'display_url': 'youtube.com/channel/UC6B6K…', 'indices': [0, 23]}]}",False,569,468,2,Tue Apr 23 23:56:31 +0000 2019,4016,,,True,False,2061,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1295494534563074061/pgRqES-R_normal.jpg,https://pbs.twimg.com/profile_images/1295494534563074061/pgRqES-R_normal.jpg,https://pbs.twimg.com/profile_banners/1120838895439089664/1596984459,19CF86,000000,000000,000000,False,False,False,False,False,False,False,none
description,1120838895439089664,1120838895439089664,JackiChan,JackiChanOSRS,"Kentucky, USA",,| 🔥 Twitch Affiliate 🔥 | Twitch Streamer For @Feekifam | Wanna Be Pro Smite Player 🕹 | https://t.co/VOw1ogsIWV |,https://t.co/VRY0E9hreV,"{'urls': [{'url': 'https://t.co/VOw1ogsIWV', 'expanded_url': 'http://twitch.tv/JackiChanOSRS', 'display_url': 'twitch.tv/JackiChanOSRS', 'indices': [87, 110]}]}",False,569,468,2,Tue Apr 23 23:56:31 +0000 2019,4016,,,True,False,2061,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1295494534563074061/pgRqES-R_normal.jpg,https://pbs.twimg.com/profile_images/1295494534563074061/pgRqES-R_normal.jpg,https://pbs.twimg.com/profile_banners/1120838895439089664/1596984459,19CF86,000000,000000,000000,False,False,False,False,False,False,False,none
created_at,1120838895439089664,1120838895439089664,JackiChan,JackiChanOSRS,"Kentucky, USA",,| 🔥 Twitch Affiliate 🔥 | Twitch Streamer For @Feekifam | Wanna Be Pro Smite Player 🕹 | https://t.co/VOw1ogsIWV |,https://t.co/VRY0E9hreV,,False,569,468,2,Tue Apr 23 23:56:31 +0000 2019,4016,,,True,False,2061,,Mon Dec 14 18:33:09 +0000 2020,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1295494534563074061/pgRqES-R_normal.jpg,https://pbs.twimg.com/profile_images/1295494534563074061/pgRqES-R_normal.jpg,https://pbs.twimg.com/profile_banners/1120838895439089664/1596984459,19CF86,000000,000000,000000,False,False,False,False,False,False,False,none
id,1120838895439089664,1120838895439089664,JackiChan,JackiChanOSRS,"Kentucky, USA",,| 🔥 Twitch Affiliate 🔥 | Twitch Streamer For @Feekifam | Wanna Be Pro Smite Player 🕹 | https://t.co/VOw1ogsIWV |,https://t.co/VRY0E9hreV,,False,569,468,2,Tue Apr 23 23:56:31 +0000 2019,4016,,,True,False,2061,,1338552623872565249,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1295494534563074061/pgRqES-R_normal.jpg,https://pbs.twimg.com/profile_images/1295494534563074061/pgRqES-R_normal.jpg,https://pbs.twimg.com/profile_banners/1120838895439089664/1596984459,19CF86,000000,000000,000000,False,False,False,False,False,False,False,none
id_str,1120838895439089664,1120838895439089664,JackiChan,JackiChanOSRS,"Kentucky, USA",,| 🔥 Twitch Affiliate 🔥 | Twitch Streamer For @Feekifam | Wanna Be Pro Smite Player 🕹 | https://t.co/VOw1ogsIWV |,https://t.co/VRY0E9hreV,,False,569,468,2,Tue Apr 23 23:56:31 +0000 2019,4016,,,True,False,2061,,1338552623872565249,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1295494534563074061/pgRqES-R_normal.jpg,https://pbs.twimg.com/profile_images/1295494534563074061/pgRqES-R_normal.jpg,https://pbs.twimg.com/profile_banners/1120838895439089664/1596984459,19CF86,000000,000000,000000,False,False,False,False,False,False,False,none
text,1120838895439089664,1120838895439089664,JackiChan,JackiChanOSRS,"Kentucky, USA",,| 🔥 Twitch Affiliate 🔥 | Twitch Streamer For @Feekifam | Wanna Be Pro Smite Player 🕹 | https://t.co/VOw1ogsIWV |,https://t.co/VRY0E9hreV,,False,569,468,2,Tue Apr 23 23:56:31 +0000 2019,4016,,,True,False,2061,,@MikeVicksDog Amen.,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1295494534563074061/pgRqES-R_normal.jpg,https://pbs.twimg.com/profile_images/1295494534563074061/pgRqES-R_normal.jpg,https://pbs.twimg.com/profile_banners/1120838895439089664/1596984459,19CF86,000000,000000,000000,False,False,False,False,False,False,False,none
truncated,1120838895439089664,1120838895439089664,JackiChan,JackiChanOSRS,"Kentucky, USA",,| 🔥 Twitch Affiliate 🔥 | Twitch Streamer For @Feekifam | Wanna Be Pro Smite Player 🕹 | https://t.co/VOw1ogsIWV |,https://t.co/VRY0E9hreV,,False,569,468,2,Tue Apr 23 23:56:31 +0000 2019,4016,,,True,False,2061,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1295494534563074061/pgRqES-R_normal.jpg,https://pbs.twimg.com/profile_images/1295494534563074061/pgRqES-R_normal.jpg,https://pbs.twimg.com/profile_banners/1120838895439089664/1596984459,19CF86,000000,000000,000000,False,False,False,False,False,False,False,none
entities,1120838895439089664,1120838895439089664,JackiChan,JackiChanOSRS,"Kentucky, USA",,| 🔥 Twitch Affiliate 🔥 | Twitch Streamer For @Feekifam | Wanna Be Pro Smite Player 🕹 | https://t.co/VOw1ogsIWV |,https://t.co/VRY0E9hreV,,False,569,468,2,Tue Apr 23 23:56:31 +0000 2019,4016,,,True,False,2061,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MikeVicksDog', 'name': 'FKFM🐶MikeVicksDog🐶', 'id': 1159177097836933120, 'id_str': '1159177097836933120', 'indices': [0, 13]}], 'urls': []}",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1295494534563074061/pgRqES-R_normal.jpg,https://pbs.twimg.com/profile_images/1295494534563074061/pgRqES-R_normal.jpg,https://pbs.twimg.com/profile_banners/1120838895439089664/1596984459,19CF86,000000,000000,000000,False,False,False,False,False,False,False,none
source,1120838895439089664,1120838895439089664,JackiChan,JackiChanOSRS,"Kentucky, USA",,| 🔥 Twitch Affiliate 🔥 | Twitch Streamer For @Feekifam | Wanna Be Pro Smite Player 🕹 | https://t.co/VOw1ogsIWV |,https://t.co/VRY0E9hreV,,False,569,468,2,Tue Apr 23 23:56:31 +0000 2019,4016,,,True,False,2061,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1295494534563074061/pgRqES-R_normal.jpg,https://pbs.twimg.com/profile_images/1295494534563074061/pgRqES-R_normal.jpg,https://pbs.twimg.com/profile_banners/1120838895439089664/1596984459,19CF86,000000,000000,000000,False,False,False,False,False,False,False,none
in_reply_to_status_id,1120838895439089664,1120838895439089664,JackiChan,JackiChanOSRS,"Kentucky, USA",,| 🔥 Twitch Affiliate 🔥 | Twitch Streamer For @Feekifam | Wanna Be Pro Smite Player 🕹 | https://t.co/VOw1ogsIWV |,https://t.co/VRY0E9hreV,,False,569,468,2,Tue Apr 23 23:56:31 +0000 2019,4016,,,True,False,2061,,1338505721596563457,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1295494534563074061/pgRqES-R_normal.jpg,https://pbs.twimg.com/profile_images/1295494534563074061/pgRqES-R_normal.jpg,https://pbs.twimg.com/profile_banners/1120838895439089664/1596984459,19CF86,000000,000000,000000,False,False,False,False,False,False,False,none
in_reply_to_status_id_str,1120838895439089664,1120838895439089664,JackiChan,JackiChanOSRS,"Kentucky, USA",,| 🔥 Twitch Affiliate 🔥 | Twitch Streamer For @Feekifam | Wanna Be Pro Smite Player 🕹 | https://t.co/VOw1ogsIWV |,https://t.co/VRY0E9hreV,,False,569,468,2,Tue Apr 23 23:56:31 +0000 2019,4016,,,True,False,2061,,1338505721596563457,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1295494534563074061/pgRqES-R_normal.jpg,https://pbs.twimg.com/profile_images/1295494534563074061/pgRqES-R_normal.jpg,https://pbs.twimg.com/profile_banners/1120838895439089664/1596984459,19CF86,000000,000000,000000,False,False,False,False,False,False,False,none
