,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,979527430024163328,979527430024163328,lou,mediumplace_lou,four Oreos from heaven,,musicals || gryffindor || bi || 20 || she/her,,{'urls': []},False,14,156,0,Fri Mar 30 01:15:12 +0000 2018,949,,,False,False,974,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1316143313104310272/KPT_09tm_normal.jpg,https://pbs.twimg.com/profile_images/1316143313104310272/KPT_09tm_normal.jpg,https://pbs.twimg.com/profile_banners/979527430024163328/1590947954,B0B8FF,000000,000000,000000,False,False,False,False,False,False,False,none
created_at,979527430024163328,979527430024163328,lou,mediumplace_lou,four Oreos from heaven,,musicals || gryffindor || bi || 20 || she/her,,,False,14,156,0,Fri Mar 30 01:15:12 +0000 2018,949,,,False,False,974,,Wed Dec 02 07:15:28 +0000 2020,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1316143313104310272/KPT_09tm_normal.jpg,https://pbs.twimg.com/profile_images/1316143313104310272/KPT_09tm_normal.jpg,https://pbs.twimg.com/profile_banners/979527430024163328/1590947954,B0B8FF,000000,000000,000000,False,False,False,False,False,False,False,none
id,979527430024163328,979527430024163328,lou,mediumplace_lou,four Oreos from heaven,,musicals || gryffindor || bi || 20 || she/her,,,False,14,156,0,Fri Mar 30 01:15:12 +0000 2018,949,,,False,False,974,,1334033426769457158,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1316143313104310272/KPT_09tm_normal.jpg,https://pbs.twimg.com/profile_images/1316143313104310272/KPT_09tm_normal.jpg,https://pbs.twimg.com/profile_banners/979527430024163328/1590947954,B0B8FF,000000,000000,000000,False,False,False,False,False,False,False,none
id_str,979527430024163328,979527430024163328,lou,mediumplace_lou,four Oreos from heaven,,musicals || gryffindor || bi || 20 || she/her,,,False,14,156,0,Fri Mar 30 01:15:12 +0000 2018,949,,,False,False,974,,1334033426769457158,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1316143313104310272/KPT_09tm_normal.jpg,https://pbs.twimg.com/profile_images/1316143313104310272/KPT_09tm_normal.jpg,https://pbs.twimg.com/profile_banners/979527430024163328/1590947954,B0B8FF,000000,000000,000000,False,False,False,False,False,False,False,none
text,979527430024163328,979527430024163328,lou,mediumplace_lou,four Oreos from heaven,,musicals || gryffindor || bi || 20 || she/her,,,False,14,156,0,Fri Mar 30 01:15:12 +0000 2018,949,,,False,False,974,,ill have to stay here but i am really happy to be the one responsible for her happiness this holidays,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1316143313104310272/KPT_09tm_normal.jpg,https://pbs.twimg.com/profile_images/1316143313104310272/KPT_09tm_normal.jpg,https://pbs.twimg.com/profile_banners/979527430024163328/1590947954,B0B8FF,000000,000000,000000,False,False,False,False,False,False,False,none
truncated,979527430024163328,979527430024163328,lou,mediumplace_lou,four Oreos from heaven,,musicals || gryffindor || bi || 20 || she/her,,,False,14,156,0,Fri Mar 30 01:15:12 +0000 2018,949,,,False,False,974,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1316143313104310272/KPT_09tm_normal.jpg,https://pbs.twimg.com/profile_images/1316143313104310272/KPT_09tm_normal.jpg,https://pbs.twimg.com/profile_banners/979527430024163328/1590947954,B0B8FF,000000,000000,000000,False,False,False,False,False,False,False,none
entities,979527430024163328,979527430024163328,lou,mediumplace_lou,four Oreos from heaven,,musicals || gryffindor || bi || 20 || she/her,,,False,14,156,0,Fri Mar 30 01:15:12 +0000 2018,949,,,False,False,974,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1316143313104310272/KPT_09tm_normal.jpg,https://pbs.twimg.com/profile_images/1316143313104310272/KPT_09tm_normal.jpg,https://pbs.twimg.com/profile_banners/979527430024163328/1590947954,B0B8FF,000000,000000,000000,False,False,False,False,False,False,False,none
source,979527430024163328,979527430024163328,lou,mediumplace_lou,four Oreos from heaven,,musicals || gryffindor || bi || 20 || she/her,,,False,14,156,0,Fri Mar 30 01:15:12 +0000 2018,949,,,False,False,974,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1316143313104310272/KPT_09tm_normal.jpg,https://pbs.twimg.com/profile_images/1316143313104310272/KPT_09tm_normal.jpg,https://pbs.twimg.com/profile_banners/979527430024163328/1590947954,B0B8FF,000000,000000,000000,False,False,False,False,False,False,False,none
in_reply_to_status_id,979527430024163328,979527430024163328,lou,mediumplace_lou,four Oreos from heaven,,musicals || gryffindor || bi || 20 || she/her,,,False,14,156,0,Fri Mar 30 01:15:12 +0000 2018,949,,,False,False,974,,1334033219424018438,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1316143313104310272/KPT_09tm_normal.jpg,https://pbs.twimg.com/profile_images/1316143313104310272/KPT_09tm_normal.jpg,https://pbs.twimg.com/profile_banners/979527430024163328/1590947954,B0B8FF,000000,000000,000000,False,False,False,False,False,False,False,none
in_reply_to_status_id_str,979527430024163328,979527430024163328,lou,mediumplace_lou,four Oreos from heaven,,musicals || gryffindor || bi || 20 || she/her,,,False,14,156,0,Fri Mar 30 01:15:12 +0000 2018,949,,,False,False,974,,1334033219424018438,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1316143313104310272/KPT_09tm_normal.jpg,https://pbs.twimg.com/profile_images/1316143313104310272/KPT_09tm_normal.jpg,https://pbs.twimg.com/profile_banners/979527430024163328/1590947954,B0B8FF,000000,000000,000000,False,False,False,False,False,False,False,none
in_reply_to_user_id,979527430024163328,979527430024163328,lou,mediumplace_lou,four Oreos from heaven,,musicals || gryffindor || bi || 20 || she/her,,,False,14,156,0,Fri Mar 30 01:15:12 +0000 2018,949,,,False,False,974,,979527430024163328,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1316143313104310272/KPT_09tm_normal.jpg,https://pbs.twimg.com/profile_images/1316143313104310272/KPT_09tm_normal.jpg,https://pbs.twimg.com/profile_banners/979527430024163328/1590947954,B0B8FF,000000,000000,000000,False,False,False,False,False,False,False,none
