,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1193595420838187015,1193595420838187015,KillingHer,KillingHer27,Germany,,"💀🦄 90’s kid, All things horror, OG Resident Evil Fan, 1 dog 5 cats | Twitch Affiliate | Instagram @KillingHer27 | Artwork by @p_eachu 💕",https://t.co/iT6wQ1QVAP,"{'urls': [{'url': 'https://t.co/iT6wQ1QVAP', 'expanded_url': 'https://www.twitch.tv/KillingHer', 'display_url': 'twitch.tv/KillingHer', 'indices': [0, 23]}]}",False,246,777,1,Sun Nov 10 18:25:22 +0000 2019,13983,,,False,False,6867,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_banners/1193595420838187015/1605572888,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
description,1193595420838187015,1193595420838187015,KillingHer,KillingHer27,Germany,,"💀🦄 90’s kid, All things horror, OG Resident Evil Fan, 1 dog 5 cats | Twitch Affiliate | Instagram @KillingHer27 | Artwork by @p_eachu 💕",https://t.co/iT6wQ1QVAP,{'urls': []},False,246,777,1,Sun Nov 10 18:25:22 +0000 2019,13983,,,False,False,6867,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_banners/1193595420838187015/1605572888,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1193595420838187015,1193595420838187015,KillingHer,KillingHer27,Germany,,"💀🦄 90’s kid, All things horror, OG Resident Evil Fan, 1 dog 5 cats | Twitch Affiliate | Instagram @KillingHer27 | Artwork by @p_eachu 💕",https://t.co/iT6wQ1QVAP,,False,246,777,1,Sun Nov 10 18:25:22 +0000 2019,13983,,,False,False,6867,,Mon Dec 14 23:31:04 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_banners/1193595420838187015/1605572888,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1193595420838187015,1193595420838187015,KillingHer,KillingHer27,Germany,,"💀🦄 90’s kid, All things horror, OG Resident Evil Fan, 1 dog 5 cats | Twitch Affiliate | Instagram @KillingHer27 | Artwork by @p_eachu 💕",https://t.co/iT6wQ1QVAP,,False,246,777,1,Sun Nov 10 18:25:22 +0000 2019,13983,,,False,False,6867,,1338627598956568578,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_banners/1193595420838187015/1605572888,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1193595420838187015,1193595420838187015,KillingHer,KillingHer27,Germany,,"💀🦄 90’s kid, All things horror, OG Resident Evil Fan, 1 dog 5 cats | Twitch Affiliate | Instagram @KillingHer27 | Artwork by @p_eachu 💕",https://t.co/iT6wQ1QVAP,,False,246,777,1,Sun Nov 10 18:25:22 +0000 2019,13983,,,False,False,6867,,1338627598956568578,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_banners/1193595420838187015/1605572888,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1193595420838187015,1193595420838187015,KillingHer,KillingHer27,Germany,,"💀🦄 90’s kid, All things horror, OG Resident Evil Fan, 1 dog 5 cats | Twitch Affiliate | Instagram @KillingHer27 | Artwork by @p_eachu 💕",https://t.co/iT6wQ1QVAP,,False,246,777,1,Sun Nov 10 18:25:22 +0000 2019,13983,,,False,False,6867,,Excuse me! I’m trying to watch Real Detective on Netflix... https://t.co/sOib6Xrp1u,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_banners/1193595420838187015/1605572888,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1193595420838187015,1193595420838187015,KillingHer,KillingHer27,Germany,,"💀🦄 90’s kid, All things horror, OG Resident Evil Fan, 1 dog 5 cats | Twitch Affiliate | Instagram @KillingHer27 | Artwork by @p_eachu 💕",https://t.co/iT6wQ1QVAP,,False,246,777,1,Sun Nov 10 18:25:22 +0000 2019,13983,,,False,False,6867,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_banners/1193595420838187015/1605572888,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1193595420838187015,1193595420838187015,KillingHer,KillingHer27,Germany,,"💀🦄 90’s kid, All things horror, OG Resident Evil Fan, 1 dog 5 cats | Twitch Affiliate | Instagram @KillingHer27 | Artwork by @p_eachu 💕",https://t.co/iT6wQ1QVAP,,False,246,777,1,Sun Nov 10 18:25:22 +0000 2019,13983,,,False,False,6867,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1338627583001423873, 'id_str': '1338627583001423873', 'indices': [60, 83], 'media_url': 'http://pbs.twimg.com/media/EpPCscNW8AE4rbO.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpPCscNW8AE4rbO.jpg', 'url': 'https://t.co/sOib6Xrp1u', 'display_url': 'pic.twitter.com/sOib6Xrp1u', 'expanded_url': 'https://twitter.com/KillingHer27/status/1338627598956568578/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 510, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1536, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 900, 'resize': 'fit'}}}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_banners/1193595420838187015/1605572888,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
extended_entities,1193595420838187015,1193595420838187015,KillingHer,KillingHer27,Germany,,"💀🦄 90’s kid, All things horror, OG Resident Evil Fan, 1 dog 5 cats | Twitch Affiliate | Instagram @KillingHer27 | Artwork by @p_eachu 💕",https://t.co/iT6wQ1QVAP,,False,246,777,1,Sun Nov 10 18:25:22 +0000 2019,13983,,,False,False,6867,,"{'media': [{'id': 1338627583001423873, 'id_str': '1338627583001423873', 'indices': [60, 83], 'media_url': 'http://pbs.twimg.com/media/EpPCscNW8AE4rbO.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpPCscNW8AE4rbO.jpg', 'url': 'https://t.co/sOib6Xrp1u', 'display_url': 'pic.twitter.com/sOib6Xrp1u', 'expanded_url': 'https://twitter.com/KillingHer27/status/1338627598956568578/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 510, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1536, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 900, 'resize': 'fit'}}}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_banners/1193595420838187015/1605572888,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1193595420838187015,1193595420838187015,KillingHer,KillingHer27,Germany,,"💀🦄 90’s kid, All things horror, OG Resident Evil Fan, 1 dog 5 cats | Twitch Affiliate | Instagram @KillingHer27 | Artwork by @p_eachu 💕",https://t.co/iT6wQ1QVAP,,False,246,777,1,Sun Nov 10 18:25:22 +0000 2019,13983,,,False,False,6867,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_banners/1193595420838187015/1605572888,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1193595420838187015,1193595420838187015,KillingHer,KillingHer27,Germany,,"💀🦄 90’s kid, All things horror, OG Resident Evil Fan, 1 dog 5 cats | Twitch Affiliate | Instagram @KillingHer27 | Artwork by @p_eachu 💕",https://t.co/iT6wQ1QVAP,,False,246,777,1,Sun Nov 10 18:25:22 +0000 2019,13983,,,False,False,6867,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_banners/1193595420838187015/1605572888,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
