,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1330694638747971587,1330694638747971587,|| sav ||,mcytopinions,she/her | 21+,,|| became obsessed minecraft ccs & here we are || || pfp: @costcopunk || header: @dr3amt3am3 ||,,{'urls': []},False,34,247,5,Mon Nov 23 02:08:39 +0000 2020,18337,,,False,False,1029,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337897768371834883/o1EVjgB9_normal.jpg,https://pbs.twimg.com/profile_images/1337897768371834883/o1EVjgB9_normal.jpg,https://pbs.twimg.com/profile_banners/1330694638747971587/1606151435,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1330694638747971587,1330694638747971587,|| sav ||,mcytopinions,she/her | 21+,,|| became obsessed minecraft ccs & here we are || || pfp: @costcopunk || header: @dr3amt3am3 ||,,,False,34,247,5,Mon Nov 23 02:08:39 +0000 2020,18337,,,False,False,1029,,Tue Dec 15 05:47:15 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337897768371834883/o1EVjgB9_normal.jpg,https://pbs.twimg.com/profile_images/1337897768371834883/o1EVjgB9_normal.jpg,https://pbs.twimg.com/profile_banners/1330694638747971587/1606151435,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1330694638747971587,1330694638747971587,|| sav ||,mcytopinions,she/her | 21+,,|| became obsessed minecraft ccs & here we are || || pfp: @costcopunk || header: @dr3amt3am3 ||,,,False,34,247,5,Mon Nov 23 02:08:39 +0000 2020,18337,,,False,False,1029,,1338722268881555456,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337897768371834883/o1EVjgB9_normal.jpg,https://pbs.twimg.com/profile_images/1337897768371834883/o1EVjgB9_normal.jpg,https://pbs.twimg.com/profile_banners/1330694638747971587/1606151435,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1330694638747971587,1330694638747971587,|| sav ||,mcytopinions,she/her | 21+,,|| became obsessed minecraft ccs & here we are || || pfp: @costcopunk || header: @dr3amt3am3 ||,,,False,34,247,5,Mon Nov 23 02:08:39 +0000 2020,18337,,,False,False,1029,,1338722268881555456,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337897768371834883/o1EVjgB9_normal.jpg,https://pbs.twimg.com/profile_images/1337897768371834883/o1EVjgB9_normal.jpg,https://pbs.twimg.com/profile_banners/1330694638747971587/1606151435,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1330694638747971587,1330694638747971587,|| sav ||,mcytopinions,she/her | 21+,,|| became obsessed minecraft ccs & here we are || || pfp: @costcopunk || header: @dr3amt3am3 ||,,,False,34,247,5,Mon Nov 23 02:08:39 +0000 2020,18337,,,False,False,1029,,i want the dream 14 mil hoodie sm but i already bought myself christmas presents (self care) and i’m scared to ask… https://t.co/WVN78XXyTl,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337897768371834883/o1EVjgB9_normal.jpg,https://pbs.twimg.com/profile_images/1337897768371834883/o1EVjgB9_normal.jpg,https://pbs.twimg.com/profile_banners/1330694638747971587/1606151435,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1330694638747971587,1330694638747971587,|| sav ||,mcytopinions,she/her | 21+,,|| became obsessed minecraft ccs & here we are || || pfp: @costcopunk || header: @dr3amt3am3 ||,,,False,34,247,5,Mon Nov 23 02:08:39 +0000 2020,18337,,,False,False,1029,,True,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337897768371834883/o1EVjgB9_normal.jpg,https://pbs.twimg.com/profile_images/1337897768371834883/o1EVjgB9_normal.jpg,https://pbs.twimg.com/profile_banners/1330694638747971587/1606151435,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1330694638747971587,1330694638747971587,|| sav ||,mcytopinions,she/her | 21+,,|| became obsessed minecraft ccs & here we are || || pfp: @costcopunk || header: @dr3amt3am3 ||,,,False,34,247,5,Mon Nov 23 02:08:39 +0000 2020,18337,,,False,False,1029,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/WVN78XXyTl', 'expanded_url': 'https://twitter.com/i/web/status/1338722268881555456', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337897768371834883/o1EVjgB9_normal.jpg,https://pbs.twimg.com/profile_images/1337897768371834883/o1EVjgB9_normal.jpg,https://pbs.twimg.com/profile_banners/1330694638747971587/1606151435,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1330694638747971587,1330694638747971587,|| sav ||,mcytopinions,she/her | 21+,,|| became obsessed minecraft ccs & here we are || || pfp: @costcopunk || header: @dr3amt3am3 ||,,,False,34,247,5,Mon Nov 23 02:08:39 +0000 2020,18337,,,False,False,1029,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337897768371834883/o1EVjgB9_normal.jpg,https://pbs.twimg.com/profile_images/1337897768371834883/o1EVjgB9_normal.jpg,https://pbs.twimg.com/profile_banners/1330694638747971587/1606151435,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1330694638747971587,1330694638747971587,|| sav ||,mcytopinions,she/her | 21+,,|| became obsessed minecraft ccs & here we are || || pfp: @costcopunk || header: @dr3amt3am3 ||,,,False,34,247,5,Mon Nov 23 02:08:39 +0000 2020,18337,,,False,False,1029,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337897768371834883/o1EVjgB9_normal.jpg,https://pbs.twimg.com/profile_images/1337897768371834883/o1EVjgB9_normal.jpg,https://pbs.twimg.com/profile_banners/1330694638747971587/1606151435,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1330694638747971587,1330694638747971587,|| sav ||,mcytopinions,she/her | 21+,,|| became obsessed minecraft ccs & here we are || || pfp: @costcopunk || header: @dr3amt3am3 ||,,,False,34,247,5,Mon Nov 23 02:08:39 +0000 2020,18337,,,False,False,1029,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337897768371834883/o1EVjgB9_normal.jpg,https://pbs.twimg.com/profile_images/1337897768371834883/o1EVjgB9_normal.jpg,https://pbs.twimg.com/profile_banners/1330694638747971587/1606151435,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id,1330694638747971587,1330694638747971587,|| sav ||,mcytopinions,she/her | 21+,,|| became obsessed minecraft ccs & here we are || || pfp: @costcopunk || header: @dr3amt3am3 ||,,,False,34,247,5,Mon Nov 23 02:08:39 +0000 2020,18337,,,False,False,1029,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337897768371834883/o1EVjgB9_normal.jpg,https://pbs.twimg.com/profile_images/1337897768371834883/o1EVjgB9_normal.jpg,https://pbs.twimg.com/profile_banners/1330694638747971587/1606151435,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
