,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1278887060464717824,1278887060464717824,velvet,oilyhairiscute,they/them || 13 || white,,licky lick,https://t.co/IFKqAD5XEQ,"{'urls': [{'url': 'https://t.co/IFKqAD5XEQ', 'expanded_url': 'https://pronouny.xyz/u/velvet%20:3', 'display_url': 'pronouny.xyz/u/velvet%20:3', 'indices': [0, 23]}]}",False,172,230,4,Fri Jul 03 03:03:46 +0000 2020,42281,,,True,False,10655,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336131944023814149/wAjgtCp3_normal.jpg,https://pbs.twimg.com/profile_images/1336131944023814149/wAjgtCp3_normal.jpg,https://pbs.twimg.com/profile_banners/1278887060464717824/1607995534,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
description,1278887060464717824,1278887060464717824,velvet,oilyhairiscute,they/them || 13 || white,,licky lick,https://t.co/IFKqAD5XEQ,{'urls': []},False,172,230,4,Fri Jul 03 03:03:46 +0000 2020,42281,,,True,False,10655,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336131944023814149/wAjgtCp3_normal.jpg,https://pbs.twimg.com/profile_images/1336131944023814149/wAjgtCp3_normal.jpg,https://pbs.twimg.com/profile_banners/1278887060464717824/1607995534,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1278887060464717824,1278887060464717824,velvet,oilyhairiscute,they/them || 13 || white,,licky lick,https://t.co/IFKqAD5XEQ,,False,172,230,4,Fri Jul 03 03:03:46 +0000 2020,42281,,,True,False,10655,,Tue Dec 15 10:08:49 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336131944023814149/wAjgtCp3_normal.jpg,https://pbs.twimg.com/profile_images/1336131944023814149/wAjgtCp3_normal.jpg,https://pbs.twimg.com/profile_banners/1278887060464717824/1607995534,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1278887060464717824,1278887060464717824,velvet,oilyhairiscute,they/them || 13 || white,,licky lick,https://t.co/IFKqAD5XEQ,,False,172,230,4,Fri Jul 03 03:03:46 +0000 2020,42281,,,True,False,10655,,1338788093932036097,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336131944023814149/wAjgtCp3_normal.jpg,https://pbs.twimg.com/profile_images/1336131944023814149/wAjgtCp3_normal.jpg,https://pbs.twimg.com/profile_banners/1278887060464717824/1607995534,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1278887060464717824,1278887060464717824,velvet,oilyhairiscute,they/them || 13 || white,,licky lick,https://t.co/IFKqAD5XEQ,,False,172,230,4,Fri Jul 03 03:03:46 +0000 2020,42281,,,True,False,10655,,1338788093932036097,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336131944023814149/wAjgtCp3_normal.jpg,https://pbs.twimg.com/profile_images/1336131944023814149/wAjgtCp3_normal.jpg,https://pbs.twimg.com/profile_banners/1278887060464717824/1607995534,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1278887060464717824,1278887060464717824,velvet,oilyhairiscute,they/them || 13 || white,,licky lick,https://t.co/IFKqAD5XEQ,,False,172,230,4,Fri Jul 03 03:03:46 +0000 2020,42281,,,True,False,10655,,the fact that i usually have crushes and build such great friendships with people who are older than me isn’t very… https://t.co/LcKrnpfcMD,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336131944023814149/wAjgtCp3_normal.jpg,https://pbs.twimg.com/profile_images/1336131944023814149/wAjgtCp3_normal.jpg,https://pbs.twimg.com/profile_banners/1278887060464717824/1607995534,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1278887060464717824,1278887060464717824,velvet,oilyhairiscute,they/them || 13 || white,,licky lick,https://t.co/IFKqAD5XEQ,,False,172,230,4,Fri Jul 03 03:03:46 +0000 2020,42281,,,True,False,10655,,True,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336131944023814149/wAjgtCp3_normal.jpg,https://pbs.twimg.com/profile_images/1336131944023814149/wAjgtCp3_normal.jpg,https://pbs.twimg.com/profile_banners/1278887060464717824/1607995534,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1278887060464717824,1278887060464717824,velvet,oilyhairiscute,they/them || 13 || white,,licky lick,https://t.co/IFKqAD5XEQ,,False,172,230,4,Fri Jul 03 03:03:46 +0000 2020,42281,,,True,False,10655,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/LcKrnpfcMD', 'expanded_url': 'https://twitter.com/i/web/status/1338788093932036097', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336131944023814149/wAjgtCp3_normal.jpg,https://pbs.twimg.com/profile_images/1336131944023814149/wAjgtCp3_normal.jpg,https://pbs.twimg.com/profile_banners/1278887060464717824/1607995534,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1278887060464717824,1278887060464717824,velvet,oilyhairiscute,they/them || 13 || white,,licky lick,https://t.co/IFKqAD5XEQ,,False,172,230,4,Fri Jul 03 03:03:46 +0000 2020,42281,,,True,False,10655,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336131944023814149/wAjgtCp3_normal.jpg,https://pbs.twimg.com/profile_images/1336131944023814149/wAjgtCp3_normal.jpg,https://pbs.twimg.com/profile_banners/1278887060464717824/1607995534,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1278887060464717824,1278887060464717824,velvet,oilyhairiscute,they/them || 13 || white,,licky lick,https://t.co/IFKqAD5XEQ,,False,172,230,4,Fri Jul 03 03:03:46 +0000 2020,42281,,,True,False,10655,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336131944023814149/wAjgtCp3_normal.jpg,https://pbs.twimg.com/profile_images/1336131944023814149/wAjgtCp3_normal.jpg,https://pbs.twimg.com/profile_banners/1278887060464717824/1607995534,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
