,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1082414999052697602,1082414999052697602,luna,sucssfuI,x23 ♡,,fan account | ‘he had one first 🤍’,,{'urls': []},False,6646,2155,79,Mon Jan 07 23:13:40 +0000 2019,29399,,,False,False,20856,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338214759829823491/2bYqpSqX_normal.jpg,https://pbs.twimg.com/profile_images/1338214759829823491/2bYqpSqX_normal.jpg,https://pbs.twimg.com/profile_banners/1082414999052697602/1607890281,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1082414999052697602,1082414999052697602,luna,sucssfuI,x23 ♡,,fan account | ‘he had one first 🤍’,,,False,6646,2155,79,Mon Jan 07 23:13:40 +0000 2019,29399,,,False,False,20856,,Tue Dec 15 02:28:58 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338214759829823491/2bYqpSqX_normal.jpg,https://pbs.twimg.com/profile_images/1338214759829823491/2bYqpSqX_normal.jpg,https://pbs.twimg.com/profile_banners/1082414999052697602/1607890281,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1082414999052697602,1082414999052697602,luna,sucssfuI,x23 ♡,,fan account | ‘he had one first 🤍’,,,False,6646,2155,79,Mon Jan 07 23:13:40 +0000 2019,29399,,,False,False,20856,,1338672369913704448,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338214759829823491/2bYqpSqX_normal.jpg,https://pbs.twimg.com/profile_images/1338214759829823491/2bYqpSqX_normal.jpg,https://pbs.twimg.com/profile_banners/1082414999052697602/1607890281,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1082414999052697602,1082414999052697602,luna,sucssfuI,x23 ♡,,fan account | ‘he had one first 🤍’,,,False,6646,2155,79,Mon Jan 07 23:13:40 +0000 2019,29399,,,False,False,20856,,1338672369913704448,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338214759829823491/2bYqpSqX_normal.jpg,https://pbs.twimg.com/profile_images/1338214759829823491/2bYqpSqX_normal.jpg,https://pbs.twimg.com/profile_banners/1082414999052697602/1607890281,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1082414999052697602,1082414999052697602,luna,sucssfuI,x23 ♡,,fan account | ‘he had one first 🤍’,,,False,6646,2155,79,Mon Jan 07 23:13:40 +0000 2019,29399,,,False,False,20856,,@playboygrqys good luck,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338214759829823491/2bYqpSqX_normal.jpg,https://pbs.twimg.com/profile_images/1338214759829823491/2bYqpSqX_normal.jpg,https://pbs.twimg.com/profile_banners/1082414999052697602/1607890281,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1082414999052697602,1082414999052697602,luna,sucssfuI,x23 ♡,,fan account | ‘he had one first 🤍’,,,False,6646,2155,79,Mon Jan 07 23:13:40 +0000 2019,29399,,,False,False,20856,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338214759829823491/2bYqpSqX_normal.jpg,https://pbs.twimg.com/profile_images/1338214759829823491/2bYqpSqX_normal.jpg,https://pbs.twimg.com/profile_banners/1082414999052697602/1607890281,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1082414999052697602,1082414999052697602,luna,sucssfuI,x23 ♡,,fan account | ‘he had one first 🤍’,,,False,6646,2155,79,Mon Jan 07 23:13:40 +0000 2019,29399,,,False,False,20856,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'playboygrqys', 'name': 'white mans whore', 'id': 1253448755157913600, 'id_str': '1253448755157913600', 'indices': [0, 13]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338214759829823491/2bYqpSqX_normal.jpg,https://pbs.twimg.com/profile_images/1338214759829823491/2bYqpSqX_normal.jpg,https://pbs.twimg.com/profile_banners/1082414999052697602/1607890281,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1082414999052697602,1082414999052697602,luna,sucssfuI,x23 ♡,,fan account | ‘he had one first 🤍’,,,False,6646,2155,79,Mon Jan 07 23:13:40 +0000 2019,29399,,,False,False,20856,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338214759829823491/2bYqpSqX_normal.jpg,https://pbs.twimg.com/profile_images/1338214759829823491/2bYqpSqX_normal.jpg,https://pbs.twimg.com/profile_banners/1082414999052697602/1607890281,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1082414999052697602,1082414999052697602,luna,sucssfuI,x23 ♡,,fan account | ‘he had one first 🤍’,,,False,6646,2155,79,Mon Jan 07 23:13:40 +0000 2019,29399,,,False,False,20856,,1338548216019767297,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338214759829823491/2bYqpSqX_normal.jpg,https://pbs.twimg.com/profile_images/1338214759829823491/2bYqpSqX_normal.jpg,https://pbs.twimg.com/profile_banners/1082414999052697602/1607890281,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1082414999052697602,1082414999052697602,luna,sucssfuI,x23 ♡,,fan account | ‘he had one first 🤍’,,,False,6646,2155,79,Mon Jan 07 23:13:40 +0000 2019,29399,,,False,False,20856,,1338548216019767297,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338214759829823491/2bYqpSqX_normal.jpg,https://pbs.twimg.com/profile_images/1338214759829823491/2bYqpSqX_normal.jpg,https://pbs.twimg.com/profile_banners/1082414999052697602/1607890281,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
