,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1190549529592049665,1190549529592049665,filip is barking,ovrhll,,,| them / him | ♂| 21 |,,{'urls': []},False,295,127,7,Sat Nov 02 08:41:57 +0000 2019,28358,,,False,False,4657,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335149393339691008/edmHtZy8_normal.jpg,https://pbs.twimg.com/profile_images/1335149393339691008/edmHtZy8_normal.jpg,https://pbs.twimg.com/profile_banners/1190549529592049665/1605295804,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1190549529592049665,1190549529592049665,filip is barking,ovrhll,,,| them / him | ♂| 21 |,,,False,295,127,7,Sat Nov 02 08:41:57 +0000 2019,28358,,,False,False,4657,,Mon Dec 14 20:36:38 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335149393339691008/edmHtZy8_normal.jpg,https://pbs.twimg.com/profile_images/1335149393339691008/edmHtZy8_normal.jpg,https://pbs.twimg.com/profile_banners/1190549529592049665/1605295804,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1190549529592049665,1190549529592049665,filip is barking,ovrhll,,,| them / him | ♂| 21 |,,,False,295,127,7,Sat Nov 02 08:41:57 +0000 2019,28358,,,False,False,4657,,1338583698728493057,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335149393339691008/edmHtZy8_normal.jpg,https://pbs.twimg.com/profile_images/1335149393339691008/edmHtZy8_normal.jpg,https://pbs.twimg.com/profile_banners/1190549529592049665/1605295804,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1190549529592049665,1190549529592049665,filip is barking,ovrhll,,,| them / him | ♂| 21 |,,,False,295,127,7,Sat Nov 02 08:41:57 +0000 2019,28358,,,False,False,4657,,1338583698728493057,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335149393339691008/edmHtZy8_normal.jpg,https://pbs.twimg.com/profile_images/1335149393339691008/edmHtZy8_normal.jpg,https://pbs.twimg.com/profile_banners/1190549529592049665/1605295804,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1190549529592049665,1190549529592049665,filip is barking,ovrhll,,,| them / him | ♂| 21 |,,,False,295,127,7,Sat Nov 02 08:41:57 +0000 2019,28358,,,False,False,4657,,@sapphxoutlaw i’m really sorry 😔,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335149393339691008/edmHtZy8_normal.jpg,https://pbs.twimg.com/profile_images/1335149393339691008/edmHtZy8_normal.jpg,https://pbs.twimg.com/profile_banners/1190549529592049665/1605295804,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1190549529592049665,1190549529592049665,filip is barking,ovrhll,,,| them / him | ♂| 21 |,,,False,295,127,7,Sat Nov 02 08:41:57 +0000 2019,28358,,,False,False,4657,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335149393339691008/edmHtZy8_normal.jpg,https://pbs.twimg.com/profile_images/1335149393339691008/edmHtZy8_normal.jpg,https://pbs.twimg.com/profile_banners/1190549529592049665/1605295804,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1190549529592049665,1190549529592049665,filip is barking,ovrhll,,,| them / him | ♂| 21 |,,,False,295,127,7,Sat Nov 02 08:41:57 +0000 2019,28358,,,False,False,4657,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sapphxoutlaw', 'name': 'sarah “pogchamp” roberts', 'id': 1092533528804446208, 'id_str': '1092533528804446208', 'indices': [0, 13]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335149393339691008/edmHtZy8_normal.jpg,https://pbs.twimg.com/profile_images/1335149393339691008/edmHtZy8_normal.jpg,https://pbs.twimg.com/profile_banners/1190549529592049665/1605295804,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1190549529592049665,1190549529592049665,filip is barking,ovrhll,,,| them / him | ♂| 21 |,,,False,295,127,7,Sat Nov 02 08:41:57 +0000 2019,28358,,,False,False,4657,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335149393339691008/edmHtZy8_normal.jpg,https://pbs.twimg.com/profile_images/1335149393339691008/edmHtZy8_normal.jpg,https://pbs.twimg.com/profile_banners/1190549529592049665/1605295804,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1190549529592049665,1190549529592049665,filip is barking,ovrhll,,,| them / him | ♂| 21 |,,,False,295,127,7,Sat Nov 02 08:41:57 +0000 2019,28358,,,False,False,4657,,1338576906095104000,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335149393339691008/edmHtZy8_normal.jpg,https://pbs.twimg.com/profile_images/1335149393339691008/edmHtZy8_normal.jpg,https://pbs.twimg.com/profile_banners/1190549529592049665/1605295804,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1190549529592049665,1190549529592049665,filip is barking,ovrhll,,,| them / him | ♂| 21 |,,,False,295,127,7,Sat Nov 02 08:41:57 +0000 2019,28358,,,False,False,4657,,1338576906095104000,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335149393339691008/edmHtZy8_normal.jpg,https://pbs.twimg.com/profile_images/1335149393339691008/edmHtZy8_normal.jpg,https://pbs.twimg.com/profile_banners/1190549529592049665/1605295804,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id,1190549529592049665,1190549529592049665,filip is barking,ovrhll,,,| them / him | ♂| 21 |,,,False,295,127,7,Sat Nov 02 08:41:57 +0000 2019,28358,,,False,False,4657,,1092533528804446208,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335149393339691008/edmHtZy8_normal.jpg,https://pbs.twimg.com/profile_images/1335149393339691008/edmHtZy8_normal.jpg,https://pbs.twimg.com/profile_banners/1190549529592049665/1605295804,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id_str,1190549529592049665,1190549529592049665,filip is barking,ovrhll,,,| them / him | ♂| 21 |,,,False,295,127,7,Sat Nov 02 08:41:57 +0000 2019,28358,,,False,False,4657,,1092533528804446208,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335149393339691008/edmHtZy8_normal.jpg,https://pbs.twimg.com/profile_images/1335149393339691008/edmHtZy8_normal.jpg,https://pbs.twimg.com/profile_banners/1190549529592049665/1605295804,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_screen_name,1190549529592049665,1190549529592049665,filip is barking,ovrhll,,,| them / him | ♂| 21 |,,,False,295,127,7,Sat Nov 02 08:41:57 +0000 2019,28358,,,False,False,4657,,sapphxoutlaw,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335149393339691008/edmHtZy8_normal.jpg,https://pbs.twimg.com/profile_images/1335149393339691008/edmHtZy8_normal.jpg,https://pbs.twimg.com/profile_banners/1190549529592049665/1605295804,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
geo,1190549529592049665,1190549529592049665,filip is barking,ovrhll,,,| them / him | ♂| 21 |,,,False,295,127,7,Sat Nov 02 08:41:57 +0000 2019,28358,,,False,False,4657,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335149393339691008/edmHtZy8_normal.jpg,https://pbs.twimg.com/profile_images/1335149393339691008/edmHtZy8_normal.jpg,https://pbs.twimg.com/profile_banners/1190549529592049665/1605295804,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
coordinates,1190549529592049665,1190549529592049665,filip is barking,ovrhll,,,| them / him | ♂| 21 |,,,False,295,127,7,Sat Nov 02 08:41:57 +0000 2019,28358,,,False,False,4657,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335149393339691008/edmHtZy8_normal.jpg,https://pbs.twimg.com/profile_images/1335149393339691008/edmHtZy8_normal.jpg,https://pbs.twimg.com/profile_banners/1190549529592049665/1605295804,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
place,1190549529592049665,1190549529592049665,filip is barking,ovrhll,,,| them / him | ♂| 21 |,,,False,295,127,7,Sat Nov 02 08:41:57 +0000 2019,28358,,,False,False,4657,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335149393339691008/edmHtZy8_normal.jpg,https://pbs.twimg.com/profile_images/1335149393339691008/edmHtZy8_normal.jpg,https://pbs.twimg.com/profile_banners/1190549529592049665/1605295804,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
contributors,1190549529592049665,1190549529592049665,filip is barking,ovrhll,,,| them / him | ♂| 21 |,,,False,295,127,7,Sat Nov 02 08:41:57 +0000 2019,28358,,,False,False,4657,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335149393339691008/edmHtZy8_normal.jpg,https://pbs.twimg.com/profile_images/1335149393339691008/edmHtZy8_normal.jpg,https://pbs.twimg.com/profile_banners/1190549529592049665/1605295804,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
