,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1252605204052291585,1252605204052291585,hika 🏳️‍🌈ᴺᴹ | PF2 💞,mahikasuvarna,queendom | bisexual | 17,,she/her | most of my tweets are about nicki minaj,,{'urls': []},False,1545,1105,7,Tue Apr 21 14:29:05 +0000 2020,54728,,,False,False,11497,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_banners/1252605204052291585/1605980147,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1252605204052291585,1252605204052291585,hika 🏳️‍🌈ᴺᴹ | PF2 💞,mahikasuvarna,queendom | bisexual | 17,,she/her | most of my tweets are about nicki minaj,,,False,1545,1105,7,Tue Apr 21 14:29:05 +0000 2020,54728,,,False,False,11497,,Tue Dec 15 11:17:57 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_banners/1252605204052291585/1605980147,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1252605204052291585,1252605204052291585,hika 🏳️‍🌈ᴺᴹ | PF2 💞,mahikasuvarna,queendom | bisexual | 17,,she/her | most of my tweets are about nicki minaj,,,False,1545,1105,7,Tue Apr 21 14:29:05 +0000 2020,54728,,,False,False,11497,,1338805489019346946,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_banners/1252605204052291585/1605980147,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1252605204052291585,1252605204052291585,hika 🏳️‍🌈ᴺᴹ | PF2 💞,mahikasuvarna,queendom | bisexual | 17,,she/her | most of my tweets are about nicki minaj,,,False,1545,1105,7,Tue Apr 21 14:29:05 +0000 2020,54728,,,False,False,11497,,1338805489019346946,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_banners/1252605204052291585/1605980147,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1252605204052291585,1252605204052291585,hika 🏳️‍🌈ᴺᴹ | PF2 💞,mahikasuvarna,queendom | bisexual | 17,,she/her | most of my tweets are about nicki minaj,,,False,1545,1105,7,Tue Apr 21 14:29:05 +0000 2020,54728,,,False,False,11497,,so loud... so damn loud.... https://t.co/wAsTZmWHep,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_banners/1252605204052291585/1605980147,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1252605204052291585,1252605204052291585,hika 🏳️‍🌈ᴺᴹ | PF2 💞,mahikasuvarna,queendom | bisexual | 17,,she/her | most of my tweets are about nicki minaj,,,False,1545,1105,7,Tue Apr 21 14:29:05 +0000 2020,54728,,,False,False,11497,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_banners/1252605204052291585/1605980147,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1252605204052291585,1252605204052291585,hika 🏳️‍🌈ᴺᴹ | PF2 💞,mahikasuvarna,queendom | bisexual | 17,,she/her | most of my tweets are about nicki minaj,,,False,1545,1105,7,Tue Apr 21 14:29:05 +0000 2020,54728,,,False,False,11497,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/wAsTZmWHep', 'expanded_url': 'https://twitter.com/chaoticcduccy/status/1338368680057597952', 'display_url': 'twitter.com/chaoticcduccy/…', 'indices': [28, 51]}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_banners/1252605204052291585/1605980147,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1252605204052291585,1252605204052291585,hika 🏳️‍🌈ᴺᴹ | PF2 💞,mahikasuvarna,queendom | bisexual | 17,,she/her | most of my tweets are about nicki minaj,,,False,1545,1105,7,Tue Apr 21 14:29:05 +0000 2020,54728,,,False,False,11497,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_banners/1252605204052291585/1605980147,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1252605204052291585,1252605204052291585,hika 🏳️‍🌈ᴺᴹ | PF2 💞,mahikasuvarna,queendom | bisexual | 17,,she/her | most of my tweets are about nicki minaj,,,False,1545,1105,7,Tue Apr 21 14:29:05 +0000 2020,54728,,,False,False,11497,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_banners/1252605204052291585/1605980147,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1252605204052291585,1252605204052291585,hika 🏳️‍🌈ᴺᴹ | PF2 💞,mahikasuvarna,queendom | bisexual | 17,,she/her | most of my tweets are about nicki minaj,,,False,1545,1105,7,Tue Apr 21 14:29:05 +0000 2020,54728,,,False,False,11497,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_banners/1252605204052291585/1605980147,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id,1252605204052291585,1252605204052291585,hika 🏳️‍🌈ᴺᴹ | PF2 💞,mahikasuvarna,queendom | bisexual | 17,,she/her | most of my tweets are about nicki minaj,,,False,1545,1105,7,Tue Apr 21 14:29:05 +0000 2020,54728,,,False,False,11497,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_banners/1252605204052291585/1605980147,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
