,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,3916025958,3916025958,𝐁𝐈𝐆 𝐕𝐈𝐍𝐂𝐈,cvincii,land de vinci,,shop: @CVINCIofficial | book: @VinciVault | AKΨ | Louisiana Tech University ‘21,https://t.co/g3yoXLutbg,"{'urls': [{'url': 'https://t.co/g3yoXLutbg', 'expanded_url': 'https://linktr.ee/cvinci', 'display_url': 'linktr.ee/cvinci', 'indices': [0, 23]}]}",False,2806,702,2,Fri Oct 16 17:37:48 +0000 2015,44877,,,True,False,46670,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1273111453294374921/WRniyGpJ_normal.jpg,https://pbs.twimg.com/profile_images/1273111453294374921/WRniyGpJ_normal.jpg,https://pbs.twimg.com/profile_banners/3916025958/1604727629,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
description,3916025958,3916025958,𝐁𝐈𝐆 𝐕𝐈𝐍𝐂𝐈,cvincii,land de vinci,,shop: @CVINCIofficial | book: @VinciVault | AKΨ | Louisiana Tech University ‘21,https://t.co/g3yoXLutbg,{'urls': []},False,2806,702,2,Fri Oct 16 17:37:48 +0000 2015,44877,,,True,False,46670,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1273111453294374921/WRniyGpJ_normal.jpg,https://pbs.twimg.com/profile_images/1273111453294374921/WRniyGpJ_normal.jpg,https://pbs.twimg.com/profile_banners/3916025958/1604727629,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,3916025958,3916025958,𝐁𝐈𝐆 𝐕𝐈𝐍𝐂𝐈,cvincii,land de vinci,,shop: @CVINCIofficial | book: @VinciVault | AKΨ | Louisiana Tech University ‘21,https://t.co/g3yoXLutbg,,False,2806,702,2,Fri Oct 16 17:37:48 +0000 2015,44877,,,True,False,46670,,Tue Dec 15 07:20:33 +0000 2020,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1273111453294374921/WRniyGpJ_normal.jpg,https://pbs.twimg.com/profile_images/1273111453294374921/WRniyGpJ_normal.jpg,https://pbs.twimg.com/profile_banners/3916025958/1604727629,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,3916025958,3916025958,𝐁𝐈𝐆 𝐕𝐈𝐍𝐂𝐈,cvincii,land de vinci,,shop: @CVINCIofficial | book: @VinciVault | AKΨ | Louisiana Tech University ‘21,https://t.co/g3yoXLutbg,,False,2806,702,2,Fri Oct 16 17:37:48 +0000 2015,44877,,,True,False,46670,,1338745748662464512,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1273111453294374921/WRniyGpJ_normal.jpg,https://pbs.twimg.com/profile_images/1273111453294374921/WRniyGpJ_normal.jpg,https://pbs.twimg.com/profile_banners/3916025958/1604727629,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,3916025958,3916025958,𝐁𝐈𝐆 𝐕𝐈𝐍𝐂𝐈,cvincii,land de vinci,,shop: @CVINCIofficial | book: @VinciVault | AKΨ | Louisiana Tech University ‘21,https://t.co/g3yoXLutbg,,False,2806,702,2,Fri Oct 16 17:37:48 +0000 2015,44877,,,True,False,46670,,1338745748662464512,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1273111453294374921/WRniyGpJ_normal.jpg,https://pbs.twimg.com/profile_images/1273111453294374921/WRniyGpJ_normal.jpg,https://pbs.twimg.com/profile_banners/3916025958/1604727629,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,3916025958,3916025958,𝐁𝐈𝐆 𝐕𝐈𝐍𝐂𝐈,cvincii,land de vinci,,shop: @CVINCIofficial | book: @VinciVault | AKΨ | Louisiana Tech University ‘21,https://t.co/g3yoXLutbg,,False,2806,702,2,Fri Oct 16 17:37:48 +0000 2015,44877,,,True,False,46670,,over everything.,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1273111453294374921/WRniyGpJ_normal.jpg,https://pbs.twimg.com/profile_images/1273111453294374921/WRniyGpJ_normal.jpg,https://pbs.twimg.com/profile_banners/3916025958/1604727629,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,3916025958,3916025958,𝐁𝐈𝐆 𝐕𝐈𝐍𝐂𝐈,cvincii,land de vinci,,shop: @CVINCIofficial | book: @VinciVault | AKΨ | Louisiana Tech University ‘21,https://t.co/g3yoXLutbg,,False,2806,702,2,Fri Oct 16 17:37:48 +0000 2015,44877,,,True,False,46670,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1273111453294374921/WRniyGpJ_normal.jpg,https://pbs.twimg.com/profile_images/1273111453294374921/WRniyGpJ_normal.jpg,https://pbs.twimg.com/profile_banners/3916025958/1604727629,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,3916025958,3916025958,𝐁𝐈𝐆 𝐕𝐈𝐍𝐂𝐈,cvincii,land de vinci,,shop: @CVINCIofficial | book: @VinciVault | AKΨ | Louisiana Tech University ‘21,https://t.co/g3yoXLutbg,,False,2806,702,2,Fri Oct 16 17:37:48 +0000 2015,44877,,,True,False,46670,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1273111453294374921/WRniyGpJ_normal.jpg,https://pbs.twimg.com/profile_images/1273111453294374921/WRniyGpJ_normal.jpg,https://pbs.twimg.com/profile_banners/3916025958/1604727629,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,3916025958,3916025958,𝐁𝐈𝐆 𝐕𝐈𝐍𝐂𝐈,cvincii,land de vinci,,shop: @CVINCIofficial | book: @VinciVault | AKΨ | Louisiana Tech University ‘21,https://t.co/g3yoXLutbg,,False,2806,702,2,Fri Oct 16 17:37:48 +0000 2015,44877,,,True,False,46670,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1273111453294374921/WRniyGpJ_normal.jpg,https://pbs.twimg.com/profile_images/1273111453294374921/WRniyGpJ_normal.jpg,https://pbs.twimg.com/profile_banners/3916025958/1604727629,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,3916025958,3916025958,𝐁𝐈𝐆 𝐕𝐈𝐍𝐂𝐈,cvincii,land de vinci,,shop: @CVINCIofficial | book: @VinciVault | AKΨ | Louisiana Tech University ‘21,https://t.co/g3yoXLutbg,,False,2806,702,2,Fri Oct 16 17:37:48 +0000 2015,44877,,,True,False,46670,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1273111453294374921/WRniyGpJ_normal.jpg,https://pbs.twimg.com/profile_images/1273111453294374921/WRniyGpJ_normal.jpg,https://pbs.twimg.com/profile_banners/3916025958/1604727629,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,3916025958,3916025958,𝐁𝐈𝐆 𝐕𝐈𝐍𝐂𝐈,cvincii,land de vinci,,shop: @CVINCIofficial | book: @VinciVault | AKΨ | Louisiana Tech University ‘21,https://t.co/g3yoXLutbg,,False,2806,702,2,Fri Oct 16 17:37:48 +0000 2015,44877,,,True,False,46670,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1273111453294374921/WRniyGpJ_normal.jpg,https://pbs.twimg.com/profile_images/1273111453294374921/WRniyGpJ_normal.jpg,https://pbs.twimg.com/profile_banners/3916025958/1604727629,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
