,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,45728920,45728920,the jam,ifjams,Orbit via Chicago,,Record Producer • Mix Engineer | OTJ RECORDING PRO. | #RemixFam #GOILL ✶✶✶✶,https://t.co/YQ3UzfmUbM,"{'urls': [{'url': 'https://t.co/YQ3UzfmUbM', 'expanded_url': 'http://ifthejam.com/music', 'display_url': 'ifthejam.com/music', 'indices': [0, 23]}]}",False,1264,975,29,Tue Jun 09 01:29:45 +0000 2009,63926,,,True,False,62350,,,False,False,False,0A0A0A,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1256807184039653376/YHOrxAKG_normal.jpg,https://pbs.twimg.com/profile_images/1256807184039653376/YHOrxAKG_normal.jpg,https://pbs.twimg.com/profile_banners/45728920/1466034734,93A189,000000,1F1F1F,395E37,True,False,False,False,False,False,False,none
description,45728920,45728920,the jam,ifjams,Orbit via Chicago,,Record Producer • Mix Engineer | OTJ RECORDING PRO. | #RemixFam #GOILL ✶✶✶✶,https://t.co/YQ3UzfmUbM,{'urls': []},False,1264,975,29,Tue Jun 09 01:29:45 +0000 2009,63926,,,True,False,62350,,,False,False,False,0A0A0A,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1256807184039653376/YHOrxAKG_normal.jpg,https://pbs.twimg.com/profile_images/1256807184039653376/YHOrxAKG_normal.jpg,https://pbs.twimg.com/profile_banners/45728920/1466034734,93A189,000000,1F1F1F,395E37,True,False,False,False,False,False,False,none
created_at,45728920,45728920,the jam,ifjams,Orbit via Chicago,,Record Producer • Mix Engineer | OTJ RECORDING PRO. | #RemixFam #GOILL ✶✶✶✶,https://t.co/YQ3UzfmUbM,,False,1264,975,29,Tue Jun 09 01:29:45 +0000 2009,63926,,,True,False,62350,,Wed Dec 16 01:21:03 +0000 2020,False,False,False,0A0A0A,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1256807184039653376/YHOrxAKG_normal.jpg,https://pbs.twimg.com/profile_images/1256807184039653376/YHOrxAKG_normal.jpg,https://pbs.twimg.com/profile_banners/45728920/1466034734,93A189,000000,1F1F1F,395E37,True,False,False,False,False,False,False,none
id,45728920,45728920,the jam,ifjams,Orbit via Chicago,,Record Producer • Mix Engineer | OTJ RECORDING PRO. | #RemixFam #GOILL ✶✶✶✶,https://t.co/YQ3UzfmUbM,,False,1264,975,29,Tue Jun 09 01:29:45 +0000 2009,63926,,,True,False,62350,,1339017663511752704,False,False,False,0A0A0A,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1256807184039653376/YHOrxAKG_normal.jpg,https://pbs.twimg.com/profile_images/1256807184039653376/YHOrxAKG_normal.jpg,https://pbs.twimg.com/profile_banners/45728920/1466034734,93A189,000000,1F1F1F,395E37,True,False,False,False,False,False,False,none
id_str,45728920,45728920,the jam,ifjams,Orbit via Chicago,,Record Producer • Mix Engineer | OTJ RECORDING PRO. | #RemixFam #GOILL ✶✶✶✶,https://t.co/YQ3UzfmUbM,,False,1264,975,29,Tue Jun 09 01:29:45 +0000 2009,63926,,,True,False,62350,,1339017663511752704,False,False,False,0A0A0A,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1256807184039653376/YHOrxAKG_normal.jpg,https://pbs.twimg.com/profile_images/1256807184039653376/YHOrxAKG_normal.jpg,https://pbs.twimg.com/profile_banners/45728920/1466034734,93A189,000000,1F1F1F,395E37,True,False,False,False,False,False,False,none
text,45728920,45728920,the jam,ifjams,Orbit via Chicago,,Record Producer • Mix Engineer | OTJ RECORDING PRO. | #RemixFam #GOILL ✶✶✶✶,https://t.co/YQ3UzfmUbM,,False,1264,975,29,Tue Jun 09 01:29:45 +0000 2009,63926,,,True,False,62350,,Ay y’all answer this for me pls. https://t.co/12vFwcBIgq,False,False,False,0A0A0A,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1256807184039653376/YHOrxAKG_normal.jpg,https://pbs.twimg.com/profile_images/1256807184039653376/YHOrxAKG_normal.jpg,https://pbs.twimg.com/profile_banners/45728920/1466034734,93A189,000000,1F1F1F,395E37,True,False,False,False,False,False,False,none
truncated,45728920,45728920,the jam,ifjams,Orbit via Chicago,,Record Producer • Mix Engineer | OTJ RECORDING PRO. | #RemixFam #GOILL ✶✶✶✶,https://t.co/YQ3UzfmUbM,,False,1264,975,29,Tue Jun 09 01:29:45 +0000 2009,63926,,,True,False,62350,,False,False,False,False,0A0A0A,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1256807184039653376/YHOrxAKG_normal.jpg,https://pbs.twimg.com/profile_images/1256807184039653376/YHOrxAKG_normal.jpg,https://pbs.twimg.com/profile_banners/45728920/1466034734,93A189,000000,1F1F1F,395E37,True,False,False,False,False,False,False,none
entities,45728920,45728920,the jam,ifjams,Orbit via Chicago,,Record Producer • Mix Engineer | OTJ RECORDING PRO. | #RemixFam #GOILL ✶✶✶✶,https://t.co/YQ3UzfmUbM,,False,1264,975,29,Tue Jun 09 01:29:45 +0000 2009,63926,,,True,False,62350,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/12vFwcBIgq', 'expanded_url': 'https://twitter.com/ifjams/status/1338688185753329664', 'display_url': 'twitter.com/ifjams/status/…', 'indices': [33, 56]}]}",False,False,False,0A0A0A,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1256807184039653376/YHOrxAKG_normal.jpg,https://pbs.twimg.com/profile_images/1256807184039653376/YHOrxAKG_normal.jpg,https://pbs.twimg.com/profile_banners/45728920/1466034734,93A189,000000,1F1F1F,395E37,True,False,False,False,False,False,False,none
source,45728920,45728920,the jam,ifjams,Orbit via Chicago,,Record Producer • Mix Engineer | OTJ RECORDING PRO. | #RemixFam #GOILL ✶✶✶✶,https://t.co/YQ3UzfmUbM,,False,1264,975,29,Tue Jun 09 01:29:45 +0000 2009,63926,,,True,False,62350,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,0A0A0A,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1256807184039653376/YHOrxAKG_normal.jpg,https://pbs.twimg.com/profile_images/1256807184039653376/YHOrxAKG_normal.jpg,https://pbs.twimg.com/profile_banners/45728920/1466034734,93A189,000000,1F1F1F,395E37,True,False,False,False,False,False,False,none
in_reply_to_status_id,45728920,45728920,the jam,ifjams,Orbit via Chicago,,Record Producer • Mix Engineer | OTJ RECORDING PRO. | #RemixFam #GOILL ✶✶✶✶,https://t.co/YQ3UzfmUbM,,False,1264,975,29,Tue Jun 09 01:29:45 +0000 2009,63926,,,True,False,62350,,,False,False,False,0A0A0A,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1256807184039653376/YHOrxAKG_normal.jpg,https://pbs.twimg.com/profile_images/1256807184039653376/YHOrxAKG_normal.jpg,https://pbs.twimg.com/profile_banners/45728920/1466034734,93A189,000000,1F1F1F,395E37,True,False,False,False,False,False,False,none
in_reply_to_status_id_str,45728920,45728920,the jam,ifjams,Orbit via Chicago,,Record Producer • Mix Engineer | OTJ RECORDING PRO. | #RemixFam #GOILL ✶✶✶✶,https://t.co/YQ3UzfmUbM,,False,1264,975,29,Tue Jun 09 01:29:45 +0000 2009,63926,,,True,False,62350,,,False,False,False,0A0A0A,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1256807184039653376/YHOrxAKG_normal.jpg,https://pbs.twimg.com/profile_images/1256807184039653376/YHOrxAKG_normal.jpg,https://pbs.twimg.com/profile_banners/45728920/1466034734,93A189,000000,1F1F1F,395E37,True,False,False,False,False,False,False,none
